Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,sma-SV1,Scyther,Pokémon,Grass,Hidden Fates Shiny Vault,SV1,Rare Shiny,https://images.pokemontcg.io/sma/SV1_hires.png,https://images.pokemontcg.io/sma/SV1.png,70,,"[{""name"": ""Twin Play"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Search your deck for up to 2 Scyther and put them onto your Bench. Then, shuffle your deck.""}, {""name"": ""Agility"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": ""Flip a coin. If heads, prevent all effects of attacks, including damage, done to this Pokémon during your opponent's next turn.""}]",Twin Play|Agility,|20,"Search your deck for up to 2 Scyther and put them onto your Bench. Then, shuffle your deck.|Flip a coin. If heads, prevent all effects of attacks, including damage, done to this Pokémon during your opponent's next turn.",Fire:×2,,Colorless,,Shigenori Negishi,"While young, they live together deep in the mountains, training themselves in how to fight with their scythes and move at high speeds.",,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,sma-SV2,Rowlet,Pokémon,Grass,Hidden Fates Shiny Vault,SV2,Rare Shiny,https://images.pokemontcg.io/sma/SV2_hires.png,https://images.pokemontcg.io/sma/SV2.png,60,,"[{""name"": ""Tackle"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}, {""name"": ""Leafage"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": """"}]",Tackle|Leafage,10|20,|,Fire:×2,,Colorless,,sui,"This wary Pokémon uses photosynthesis to store up energy during the day, while becoming active at night.",,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,sma-SV3,Dartrix,Pokémon,Grass,Hidden Fates Shiny Vault,SV3,Rare Shiny,https://images.pokemontcg.io/sma/SV3_hires.png,https://images.pokemontcg.io/sma/SV3.png,80,,"[{""name"": ""Sharp Blade Quill"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""This attack does 20 damage to 1 of your opponent's Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}, {""name"": ""Leaf Blade"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""50+"", ""text"": ""Flip a coin. If heads, this attack does 20 more damage.""}]",Sharp Blade Quill|Leaf Blade,|50+,"This attack does 20 damage to 1 of your opponent's Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)|Flip a coin. If heads, this attack does 20 more damage.",Fire:×2,,Colorless,Rowlet,Shigenori Negishi,"A bit of a dandy, it spends its free time preening its wings. Its preoccupation with any dirt on its plumage can leave it unable to battle.",,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,sma-SV4,Wimpod,Pokémon,Grass,Hidden Fates Shiny Vault,SV4,Rare Shiny,https://images.pokemontcg.io/sma/SV4_hires.png,https://images.pokemontcg.io/sma/SV4.png,70,"[{""name"": ""Wimp Out"", ""text"": ""During your first turn, this Pokémon has no Retreat Cost."", ""type"": ""Ability""}]","[{""name"": ""Gnaw"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""30"", ""text"": """"}]",Gnaw,30,,Fire:×2,,Colorless__Colorless__Colorless,,SATOSHI NAKAI,"This Pokémon is a coward. As it desperately dashes off, the flailing of its many legs leaves a sparkling clean path in its wake.",,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,sma-SV5,Pheromosa,Pokémon,Grass,Hidden Fates Shiny Vault,SV5,Rare Shiny,https://images.pokemontcg.io/sma/SV5_hires.png,https://images.pokemontcg.io/sma/SV5.png,110,,"[{""name"": ""High Jump Kick"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": """"}, {""name"": ""White Ray"", ""cost"": [""Grass"", ""Grass"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""90+"", ""text"": ""If you have only 1 Prize card remaining, this attack does 90 more damage.""}]",High Jump Kick|White Ray,20|90+,"|If you have only 1 Prize card remaining, this attack does 90 more damage.",Fire:×2,,,,Mizue,"One of the Ultra Beasts. It refuses to touch anything, perhaps because it senses some uncleanness in this world.",,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,sma-SV6,Charmander,Pokémon,Fire,Hidden Fates Shiny Vault,SV6,Rare Shiny,https://images.pokemontcg.io/sma/SV6_hires.png,https://images.pokemontcg.io/sma/SV6.png,70,,"[{""name"": ""Fire Fang"", ""cost"": [""Fire"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": ""Your opponent's Active Pokémon is now Burned.""}]",Fire Fang,20,Your opponent's Active Pokémon is now Burned.,Water:×2,,Colorless__Colorless,,kirisAki,"From the time it is born, a flame burns at the tip of its tail. Its life would end if the flame were to go out.",,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,sma-SV7,Charmeleon,Pokémon,Fire,Hidden Fates Shiny Vault,SV7,Rare Shiny,https://images.pokemontcg.io/sma/SV7_hires.png,https://images.pokemontcg.io/sma/SV7.png,80,"[{""name"": ""Burning Fighter"", ""text"": ""When you play this Pokémon from your hand to evolve 1 of your Pokémon during your turn, you may discard the top 5 cards of your deck. If any of those cards are Fire Energy cards, attach them to this Pokémon."", ""type"": ""Ability""}]","[{""name"": ""Flamethrower"", ""cost"": [""Fire"", ""Fire"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""80"", ""text"": ""Discard an Energy from this Pokémon.""}]",Flamethrower,80,Discard an Energy from this Pokémon.,Water:×2,,Colorless__Colorless,Charmander,nagimiso,"When it swings its burning tail, it elevates the air temperature to unbearably high levels.",,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,sma-SV8,Alolan Vulpix,Pokémon,Water,Hidden Fates Shiny Vault,SV8,Rare Shiny,https://images.pokemontcg.io/sma/SV8_hires.png,https://images.pokemontcg.io/sma/SV8.png,60,,"[{""name"": ""Beacon"", ""cost"": [], ""convertedEnergyCost"": 0, ""damage"": """", ""text"": ""Search your deck for up to 2 Pokémon, reveal them, and put them into your hand. Then, shuffle your deck.""}, {""name"": ""Icy Snow"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": """"}]",Beacon|Icy Snow,|20,"Search your deck for up to 2 Pokémon, reveal them, and put them into your hand. Then, shuffle your deck.|",Metal:×2,,Colorless,,Kouki Saitou,It exhales air colder than -58 degrees Fahrenheit. Elderly people in Alola call this Pokémon by an older name—Keokeo.,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,sma-SV9,Wooper,Pokémon,Water,Hidden Fates Shiny Vault,SV9,Rare Shiny,https://images.pokemontcg.io/sma/SV9_hires.png,https://images.pokemontcg.io/sma/SV9.png,70,,"[{""name"": ""Ram"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}, {""name"": ""Rain Splash"", ""cost"": [""Water"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": """"}]",Ram|Rain Splash,10|20,|,Grass:×2,,Colorless,,Misa Tsutsui,"When the temperature cools in the evening, they emerge from water to seek food along the shore.",,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,sma-SV10,Quagsire,Pokémon,Water,Hidden Fates Shiny Vault,SV10,Rare Shiny,https://images.pokemontcg.io/sma/SV10_hires.png,https://images.pokemontcg.io/sma/SV10.png,120,"[{""name"": ""Wash Out"", ""text"": ""As often as you like during your turn (before your attack), you may move a Water Energy from 1 of your Benched Pokémon to your Active Pokémon."", ""type"": ""Ability""}]","[{""name"": ""Hydro Pump"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""60+"", ""text"": ""This attack does 20 more damage times the amount of Water Energy attached to this Pokémon.""}]",Hydro Pump,60+,This attack does 20 more damage times the amount of Water Energy attached to this Pokémon.,Grass:×2,,Colorless__Colorless,Wooper,Saya Tsuruta,"This carefree Pokémon has an easygoing nature. While swimming, it always bumps into boat hulls.",,,,,,,,,,,,,,,,,,,,,,,,,
