Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,sm115-1,Caterpie,Pokémon,Grass,Hidden Fates,1,Common,https://images.pokemontcg.io/sm115/1_hires.png,https://images.pokemontcg.io/sm115/1.png,60,,"[{""name"": ""Tackle"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}]",Tackle,10,,Fire:×2,,Colorless,,tetsuya koizumi,"Perhaps because it would like to grow up quickly, it has a voracious appetite, eating a hundred leaves a day.",,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,sm115-2,Metapod,Pokémon,Grass,Hidden Fates,2,Uncommon,https://images.pokemontcg.io/sm115/2_hires.png,https://images.pokemontcg.io/sm115/2.png,90,,"[{""name"": ""Tackle"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": """"}]",Tackle,30,,Fire:×2,,Colorless__Colorless,Caterpie,Shibuzoh.,Its shell is filled with a thick liquid. All of the cells throughout its body are being rebuilt in preparation for evolution.,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,sm115-3,Butterfree,Pokémon,Grass,Hidden Fates,3,Rare,https://images.pokemontcg.io/sm115/3_hires.png,https://images.pokemontcg.io/sm115/3.png,130,,"[{""name"": ""Gust"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""80"", ""text"": """"}]",Gust,80,,Fire:×2,,Colorless,Metapod,Masakazu Fukuda,"Its wings are covered in toxic scales. If it finds bird Pokémon going after Caterpie, Butterfree sprinkles its scales on them to drive them off.",,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,sm115-4,Paras,Pokémon,Grass,Hidden Fates,4,Common,https://images.pokemontcg.io/sm115/4_hires.png,https://images.pokemontcg.io/sm115/4.png,70,,"[{""name"": ""Scratch"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}, {""name"": ""Slash"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": """"}]",Scratch|Slash,10|20,|,Fire:×2,,Colorless,,OOYAMA,"Whether it's due to a lack of moisture or a lack of nutrients, in Alola the mushrooms on Paras don't grow up quite right.",,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,sm115-5,Scyther,Pokémon,Grass,Hidden Fates,5,Uncommon,https://images.pokemontcg.io/sm115/5_hires.png,https://images.pokemontcg.io/sm115/5.png,100,,"[{""name"": ""Slash"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}, {""name"": ""Sharp Scythe"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": """"}]",Slash|Sharp Scythe,10|30,|,Fire:×2,,Colorless,,Hasuno,Its two sharp scythes are more than just weapons. It uses them with dexterity to dress its prey before eating.,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,sm115-6,Pinsir-GX,Pokémon,Grass,Hidden Fates,6,Rare Holo GX,https://images.pokemontcg.io/sm115/6_hires.png,https://images.pokemontcg.io/sm115/6.png,180,,"[{""name"": ""Superpowered Horns"", ""cost"": [""Grass"", ""Grass"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""110"", ""text"": """"}, {""name"": ""Guillotine-GX"", ""cost"": [""Grass"", ""Grass"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""160"", ""text"": ""(You can't use more than 1 GX attack in a game.)""}]",Superpowered Horns|Guillotine-GX,110|160,|(You can't use more than 1 GX attack in a game.),Fire:×2,,Colorless__Colorless,,5ban Graphics,,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,sm115-7,Charmander,Pokémon,Fire,Hidden Fates,7,Common,https://images.pokemontcg.io/sm115/7_hires.png,https://images.pokemontcg.io/sm115/7.png,70,,"[{""name"": ""Gnaw"", ""cost"": [""Fire""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}, {""name"": ""Flare"", ""cost"": [""Fire"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": """"}]",Gnaw|Flare,10|20,|,Water:×2,,Colorless,,Megumi Mizutani,"The flame on its tail indicates Charmander's life force. If it is healthy, the flame burns brightly.",,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,sm115-8,Charmeleon,Pokémon,Fire,Hidden Fates,8,Uncommon,https://images.pokemontcg.io/sm115/8_hires.png,https://images.pokemontcg.io/sm115/8.png,100,,"[{""name"": ""Slash"", ""cost"": [""Fire"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": """"}, {""name"": ""Flamethrower"", ""cost"": [""Fire"", ""Fire"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""80"", ""text"": """"}]",Slash|Flamethrower,30|80,|,Water:×2,,Colorless,Charmander,Shin Nagasawa,It lashes about with its tail to knock down its foe. It then tears up the fallen opponent with sharp claws.,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,sm115-9,Charizard-GX,Pokémon,Fire,Hidden Fates,9,Rare Holo GX,https://images.pokemontcg.io/sm115/9_hires.png,https://images.pokemontcg.io/sm115/9.png,250,,"[{""name"": ""Flamethrower"", ""cost"": [""Fire"", ""Fire"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""140"", ""text"": """"}, {""name"": ""Flare Blitz-GX"", ""cost"": [""Fire"", ""Fire"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""300"", ""text"": ""(You can't use more than 1 GX attack in a game.)""}]",Flamethrower|Flare Blitz-GX,140|300,|(You can't use more than 1 GX attack in a game.),Water:×2,,Colorless__Colorless__Colorless,Charmeleon,aky CG Works,,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,sm115-10,Magmar,Pokémon,Fire,Hidden Fates,10,Uncommon,https://images.pokemontcg.io/sm115/10_hires.png,https://images.pokemontcg.io/sm115/10.png,90,,"[{""name"": ""Fire Punch"", ""cost"": [""Fire"", ""Fire""], ""convertedEnergyCost"": 2, ""damage"": ""50"", ""text"": """"}]",Fire Punch,50,,Water:×2,,Colorless__Colorless,,Satoshi Shirai,"Its entire body is burning. When it breathes, the temperature rises. When it sneezes, flames shoot out!",,,,,,,,,,,,,,,,,,,,,,,,,
