Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,ex13-1,Armaldo δ,Pokémon,Fighting__Metal,Holon Phantoms,1,Rare Holo,https://images.pokemontcg.io/ex13/1_hires.png,https://images.pokemontcg.io/ex13/1.png,110,,"[{""name"": ""Delta Edge"", ""cost"": [""Metal"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""70"", ""text"": ""If you have any Supporter cards in play, this attack's base damage is 20 instead of 70.""}, {""name"": ""Fossil Charge"", ""cost"": [""Fighting"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""50"", ""text"": ""You may discard a Claw Fossil, Mysterious Fossil, Root Fossil, or Holon Fossil from your hand. If you do, choose 1 of your opponent's Benched Pokémon and do 30 damage to that Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}]",Delta Edge|Fossil Charge,70|50,"If you have any Supporter cards in play, this attack's base damage is 20 instead of 70.|You may discard a Claw Fossil, Mysterious Fossil, Root Fossil, or Holon Fossil from your hand. If you do, choose 1 of your opponent's Benched Pokémon and do 30 damage to that Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)",Grass:×2,,Colorless__Colorless__Colorless,Anorith,Masakazu Fukuda,,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,ex13-2,Cradily δ,Pokémon,Darkness__Metal,Holon Phantoms,2,Rare Holo,https://images.pokemontcg.io/ex13/2_hires.png,https://images.pokemontcg.io/ex13/2.png,100,,"[{""name"": ""Harsh Fluid"", ""cost"": [""Darkness"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": ""Put 5 damage counters on the Defending Pokémon at the end of your opponent's next turn.""}, {""name"": ""Poison Tentacles"", ""cost"": [""Metal"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""50"", ""text"": ""The Defending Pokémon is now Poisoned.""}]",Harsh Fluid|Poison Tentacles,20|50,Put 5 damage counters on the Defending Pokémon at the end of your opponent's next turn.|The Defending Pokémon is now Poisoned.,Fire:×2,,Colorless__Colorless,Lileep,Kouki Saitou,,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,ex13-3,Deoxys δ,Pokémon,Darkness,Holon Phantoms,3,Rare Holo,https://images.pokemontcg.io/ex13/3_hires.png,https://images.pokemontcg.io/ex13/3.png,70,"[{""name"": ""Form Change"", ""text"": ""Once during your turn (before your attack), you may search your deck for another Deoxys and switch it with Deoxys. (Any cards attached to Deoxys, damage counters, Special Conditions, and effects on it are now on the new Pokémon.) If you do, put Deoxys on top of your deck. Shuffle your deck afterward. You can't use more than 1 Form Change Poké-Power each turn."", ""type"": ""Poké-Power""}]","[{""name"": ""Energy Loop"", ""cost"": [""Darkness"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""60"", ""text"": ""Return 2 Energy attached to Deoxys to your hand.""}]",Energy Loop,60,Return 2 Energy attached to Deoxys to your hand.,Psychic:×2,,Colorless,,Mitsuhiro Arita,,,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,ex13-4,Deoxys δ,Pokémon,Metal,Holon Phantoms,4,Rare Holo,https://images.pokemontcg.io/ex13/4_hires.png,https://images.pokemontcg.io/ex13/4.png,80,"[{""name"": ""Form Change"", ""text"": ""Once during your turn (before your attack), you may search your deck for another Deoxys and switch it with Deoxys. (Any cards attached to Deoxys, damage counters, Special Conditions, and effects on it are now on the new Pokémon.) If you do, put Deoxys on top of your deck. Shuffle your deck afterward. You can't use more than 1 Form Change Poké-Power each turn."", ""type"": ""Poké-Power""}]","[{""name"": ""Delta Reduction"", ""cost"": [""Metal"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": ""During your opponent's next turn, any damage done to Deoxys by attacks in reduced by 30 (before applying Weakness and Resistance).""}]",Delta Reduction,30,"During your opponent's next turn, any damage done to Deoxys by attacks in reduced by 30 (before applying Weakness and Resistance).",Psychic:×2,,Colorless__Colorless,,Kagemaru Himeno,,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,ex13-5,Deoxys δ,Pokémon,Colorless,Holon Phantoms,5,Rare Holo,https://images.pokemontcg.io/ex13/5_hires.png,https://images.pokemontcg.io/ex13/5.png,70,"[{""name"": ""Form Change"", ""text"": ""Once during your turn (before your attack), you may search your deck for another Deoxys and switch it with Deoxys. (Any cards attached to Deoxys, damage counters, Special Conditions, and effects on it are now on the new Pokémon.) If you do, put Deoxys on top of your deck. Shuffle your deck afterward. You can't use more than 1 Form Change Poké-Power each turn."", ""type"": ""Poké-Power""}]","[{""name"": ""Crystal Laser"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": ""During your next turn, Deoxys's attacks do 40 more damage to the Defending Pokémon (before applying Weakness and Resistance).""}]",Crystal Laser,20,"During your next turn, Deoxys's attacks do 40 more damage to the Defending Pokémon (before applying Weakness and Resistance).",Psychic:×2,,Colorless,,Kouki Saitou,,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,ex13-6,Deoxys δ,Pokémon,Lightning,Holon Phantoms,6,Rare Holo,https://images.pokemontcg.io/ex13/6_hires.png,https://images.pokemontcg.io/ex13/6.png,60,"[{""name"": ""Form Change"", ""text"": ""Once during your turn (before your attack), you may search your deck for another Deoxys and switch it with Deoxys. (Any cards attached to Deoxys, damage counters, Special Conditions, and effects on it are now on the new Pokémon.) If you do, put Deoxys on top of your deck. Shuffle your deck afterward. You can't use more than 1 Form Change Poké-Power each turn."", ""type"": ""Poké-Power""}]","[{""name"": ""Teleportation Burst"", ""cost"": [""Lightning""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": ""Switch Deoxys with 1 of your Benched Pokémon.""}]",Teleportation Burst,20,Switch Deoxys with 1 of your Benched Pokémon.,Psychic:×2,,Colorless,,Masakazu Fukuda,,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,ex13-7,Flygon δ,Pokémon,Grass__Metal,Holon Phantoms,7,Rare Holo,https://images.pokemontcg.io/ex13/7_hires.png,https://images.pokemontcg.io/ex13/7.png,110,"[{""name"": ""Delta Supply"", ""text"": ""Once during your turn (before your attack), you may attach a basic Energy card or a δ Rainbow Energy card from your hand to 1 of your Pokémon that has δ on its card. This power can't be used if Flygon is affected by a Special Condition."", ""type"": ""Poké-Power""}]","[{""name"": ""Swift"", ""cost"": [""Grass"", ""Metal"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""60"", ""text"": ""This attack's damage isn't affected by Weakness, Resistance, Poké-Powers, Poké-Bodies, or any other effects on the Defending Pokémon.""}]",Swift,60,"This attack's damage isn't affected by Weakness, Resistance, Poké-Powers, Poké-Bodies, or any other effects on the Defending Pokémon.",Colorless:×2,Lightning:-30|Fighting:-30,Colorless__Colorless,Vibrava,Kagemaru Himeno,,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,ex13-8,Gyarados δ,Pokémon,Lightning__Metal,Holon Phantoms,8,Rare Holo,https://images.pokemontcg.io/ex13/8_hires.png,https://images.pokemontcg.io/ex13/8.png,90,"[{""name"": ""Delta Reactor"", ""text"": ""As long as any Stadium card with Holon in its name is in play, each of your Pokémon that has δ on its card does 10 more damage to the Defending Pokémon (before applying Weakness and Resistance)."", ""type"": ""Poké-Body""}]","[{""name"": ""Hyper Beam"", ""cost"": [""Metal"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": ""Flip a coin. If heads, discard an Energy card attached to the Defending Pokémon.""}, {""name"": ""Heavy Impact"", ""cost"": [""Lightning"", ""Metal"", ""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 5, ""damage"": ""80"", ""text"": """"}]",Hyper Beam|Heavy Impact,20|80,"Flip a coin. If heads, discard an Energy card attached to the Defending Pokémon.|",Lightning:×2,,Colorless__Colorless,Magikarp,Hajime Kusajima,,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,ex13-9,Kabutops δ,Pokémon,Lightning,Holon Phantoms,9,Rare Holo,https://images.pokemontcg.io/ex13/9_hires.png,https://images.pokemontcg.io/ex13/9.png,100,,"[{""name"": ""Vital Drain"", ""cost"": [""Lightning"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": ""If the Defending Pokémon is Knocked Out by this attack, remove all Special Conditions and 7 damage counters from Kabutops (all if there are less than 7).""}, {""name"": ""Thunderous Blow"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""40+"", ""text"": ""Does 40 damage plus 10 more damage for each Lightning Energy attached to Kabutops.""}]",Vital Drain|Thunderous Blow,30|40+,"If the Defending Pokémon is Knocked Out by this attack, remove all Special Conditions and 7 damage counters from Kabutops (all if there are less than 7).|Does 40 damage plus 10 more damage for each Lightning Energy attached to Kabutops.",Grass:×2,,Colorless,Kabuto,Masakazu Fukuda,,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,ex13-10,Kingdra δ,Pokémon,Fire__Metal,Holon Phantoms,10,Rare Holo,https://images.pokemontcg.io/ex13/10_hires.png,https://images.pokemontcg.io/ex13/10.png,110,"[{""name"": ""Dragon Curse"", ""text"": ""Once during your turn (before your attack), if Kingdra is your Active Pokémon, you may put 2 damage counters on 1 of your opponent's Pokémon with δ on its card. This power can't be used if Kingdra is affected by a Special Condition."", ""type"": ""Poké-Power""}]","[{""name"": ""Extra Flame"", ""cost"": [""Fire"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30+"", ""text"": ""If the Defending Pokémon is Pokémon-ex, this attack does 30 damage plus 30 more damage.""}, {""name"": ""Heat Blast"", ""cost"": [""Fire"", ""Metal"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""80"", ""text"": """"}]",Extra Flame|Heat Blast,30+|80,"If the Defending Pokémon is Pokémon-ex, this attack does 30 damage plus 30 more damage.|",Lightning:×2,,Colorless__Colorless,Seadra,Masakazu Fukuda,,,,,,,,,,,,,,,,,,,,,,,,,,
