Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,sv9-1,Caterpie,Pokémon,Grass,Journey Together,1,Common,https://images.pokemontcg.io/sv9/1_hires.png,https://images.pokemontcg.io/sv9/1.png,50,,"[{""name"": ""Bug Bite"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": """"}]",Bug Bite,20,,Fire:×2,,Colorless,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,sv9-2,Metapod,Pokémon,Grass,Journey Together,2,Common,https://images.pokemontcg.io/sv9/2_hires.png,https://images.pokemontcg.io/sv9/2.png,90,,"[{""name"": ""Harden"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""During your opponent's next turn, prevent all damage done to this Pokémon by attacks if that damage is 60 or less.""}]",Harden,,"During your opponent's next turn, prevent all damage done to this Pokémon by attacks if that damage is 60 or less.",Fire:×2,,Colorless__Colorless__Colorless,Caterpie,,,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,sv9-3,Butterfree,Pokémon,Grass,Journey Together,3,Rare,https://images.pokemontcg.io/sv9/3_hires.png,https://images.pokemontcg.io/sv9/3.png,120,,"[{""name"": ""Scale Hurricane"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""60×"", ""text"": ""Flip 4 coins. This attack does 60 damage for each heads. If at least 2 of them are heads, your opponent's Active Pokémon is now Paralyzed.""}]",Scale Hurricane,60×,"Flip 4 coins. This attack does 60 damage for each heads. If at least 2 of them are heads, your opponent's Active Pokémon is now Paralyzed.",Fire:×2,,Colorless,Metapod,,,,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,sv9-4,Paras,Pokémon,Grass,Journey Together,4,Common,https://images.pokemontcg.io/sv9/4_hires.png,https://images.pokemontcg.io/sv9/4.png,70,,"[{""name"": ""Leech Life"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": ""Heal from this Pokémon the same amount of damage you did to your opponent's Active Pokémon.""}]",Leech Life,10,Heal from this Pokémon the same amount of damage you did to your opponent's Active Pokémon.,Fire:×2,,Colorless,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,sv9-5,Parasect,Pokémon,Grass,Journey Together,5,Common,https://images.pokemontcg.io/sv9/5_hires.png,https://images.pokemontcg.io/sv9/5.png,120,,"[{""name"": ""Spore"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Your opponent's Active Pokémon is now Asleep.""}, {""name"": ""Scissor Swing"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""60+"", ""text"": ""Flip 2 coins. This attack does 30 more damage for each heads.""}]",Spore|Scissor Swing,|60+,Your opponent's Active Pokémon is now Asleep.|Flip 2 coins. This attack does 30 more damage for each heads.,Fire:×2,,Colorless__Colorless,Paras,,,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,sv9-6,Petilil,Pokémon,Grass,Journey Together,6,Common,https://images.pokemontcg.io/sv9/6_hires.png,https://images.pokemontcg.io/sv9/6.png,50,,"[{""name"": ""Leaf Step"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": """"}]",Leaf Step,30,,Fire:×2,,Colorless,,,,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,sv9-7,Lilligant,Pokémon,Grass,Journey Together,7,Common,https://images.pokemontcg.io/sv9/7_hires.png,https://images.pokemontcg.io/sv9/7.png,110,"[{""name"": ""Sunny Day"", ""text"": ""Attacks used by your Grass Pokémon and Fire Pokémon do 20 more damage to your opponent's Active Pokémon (before applying Weakness and Resistance)."", ""type"": ""Ability""}]","[{""name"": ""Spinning Attack"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""60"", ""text"": """"}]",Spinning Attack,60,,Fire:×2,,Colorless__Colorless,Petilil,,,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,sv9-8,Maractus,Pokémon,Grass,Journey Together,8,Uncommon,https://images.pokemontcg.io/sv9/8_hires.png,https://images.pokemontcg.io/sv9/8.png,110,"[{""name"": ""Exploding Needles"", ""text"": ""If this Pokémon is in the Active Spot and is Knocked Out by damage from an attack from your opponent's Pokémon, put 6 damage counters on the Attacking Pokémon."", ""type"": ""Ability""}]","[{""name"": ""Corner"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": ""During your opponent's next turn, the Defending Pokémon can't retreat.""}]",Corner,20,"During your opponent's next turn, the Defending Pokémon can't retreat.",Fire:×2,,Colorless__Colorless,,,,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,sv9-9,Karrablast,Pokémon,Grass,Journey Together,9,Common,https://images.pokemontcg.io/sv9/9_hires.png,https://images.pokemontcg.io/sv9/9.png,60,,"[{""name"": ""Push Down"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": ""Switch out your opponent's Active Pokémon to the Bench. (Your opponent chooses the new Active Pokémon.)""}]",Push Down,10,Switch out your opponent's Active Pokémon to the Bench. (Your opponent chooses the new Active Pokémon.),Fire:×2,,Colorless,,,,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,sv9-10,Foongus,Pokémon,Grass,Journey Together,10,Common,https://images.pokemontcg.io/sv9/10_hires.png,https://images.pokemontcg.io/sv9/10.png,50,,"[{""name"": ""Spore Ball"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": ""Your opponent's Active Pokémon is now Asleep.""}]",Spore Ball,10,Your opponent's Active Pokémon is now Asleep.,Fire:×2,,Colorless,,,,,,,,,,,,,,,,,,,,,,,,,,,,
