Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,base2-1,Clefable,Pokémon,Colorless,Jungle,1,Rare Holo,https://images.pokemontcg.io/base2/1_hires.png,https://images.pokemontcg.io/base2/1.png,,,,,,6.0,12.0,29.99,20.92,6.86,,,,,,29.99,45.25,999.99,64.0,33.98,,,,,
001.jpg,base2-2,Electrode,Pokémon,Lightning,Jungle,2,Rare Holo,https://images.pokemontcg.io/base2/2_hires.png,https://images.pokemontcg.io/base2/2.png,,,,,,7.83,12.95,98.99,16.3,3.97,,,,,,26.49,36.12,79.14,64.7,30.48,,,,,
002.jpg,base2-3,Flareon,Pokémon,Fire,Jungle,3,Rare Holo,https://images.pokemontcg.io/base2/3_hires.png,https://images.pokemontcg.io/base2/3.png,,,,,,19.0,40.97,189.99,47.41,32.89,,,,,,88.89,118.5,212.25,156.99,51.99,,,,,
003.jpg,base2-4,Jolteon,Pokémon,Lightning,Jungle,4,Rare Holo,https://images.pokemontcg.io/base2/4_hires.png,https://images.pokemontcg.io/base2/4.png,,,,,,18.98,35.0,99.99,36.98,14.61,,,,,,71.99,106.3,179.99,109.64,,,,,,
004.jpg,base2-5,Kangaskhan,Pokémon,Colorless,Jungle,5,Rare Holo,https://images.pokemontcg.io/base2/5_hires.png,https://images.pokemontcg.io/base2/5.png,,,,,,3.0,6.99,44.99,9.56,2.49,,,,,,35.0,55.5,449.99,77.5,,,,,,
005.jpg,base2-6,Mr. Mime,Pokémon,Psychic,Jungle,6,Rare Holo,https://images.pokemontcg.io/base2/6_hires.png,https://images.pokemontcg.io/base2/6.png,,,,,,9.0,15.3,40.49,19.54,10.96,,,,,,29.99,45.11,152.99,81.33,,,,,,
006.jpg,base2-7,Nidoqueen,Pokémon,Grass,Jungle,7,Rare Holo,https://images.pokemontcg.io/base2/7_hires.png,https://images.pokemontcg.io/base2/7.png,,,,,,10.98,15.31,171.68,18.96,5.13,,,,,,34.96,53.42,149.99,80.0,19.98,,,,,
007.jpg,base2-8,Pidgeot,Pokémon,Colorless,Jungle,8,Rare Holo,https://images.pokemontcg.io/base2/8_hires.png,https://images.pokemontcg.io/base2/8.png,,,,,,11.29,20.5,152.99,26.41,6.15,,,,,,35.95,49.99,140.0,87.81,19.73,,,,,
008.jpg,base2-9,Pinsir,Pokémon,Grass,Jungle,9,Rare Holo,https://images.pokemontcg.io/base2/9_hires.png,https://images.pokemontcg.io/base2/9.png,,,,,,9.0,16.99,109.99,19.03,8.58,,,,,,27.46,39.6,103.61,65.0,32.99,,,,,
009.jpg,base2-10,Scyther,Pokémon,Grass,Jungle,10,Rare Holo,https://images.pokemontcg.io/base2/10_hires.png,https://images.pokemontcg.io/base2/10.png,,,,,,12.0,24.14,77.99,25.44,14.53,,,,,,43.99,97.01,149.99,114.97,38.97,,,,,
010.jpg,base2-11,Snorlax,Pokémon,Colorless,Jungle,11,Rare Holo,https://images.pokemontcg.io/base2/11_hires.png,https://images.pokemontcg.io/base2/11.png,,,,,,27.99,40.5,107.99,46.93,28.34,,,,,,89.99,122.0,244.9,85.0,,,,,,
