Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,xy0-1,Weedle,Pokémon,Grass,Kalos Starter Set,1,,https://images.pokemontcg.io/xy0/1_hires.png,https://images.pokemontcg.io/xy0/1.png,40,,"[{""name"": ""String Shot"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": ""Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.""}]",String Shot,10,"Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.",Fire:×2,,Colorless,,Akira Komayama,"Often found in forests and grasslands. It has a sharp, toxic barb of around two inches on top of its head.",,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,xy0-2,Pansage,Pokémon,Grass,Kalos Starter Set,2,,https://images.pokemontcg.io/xy0/2_hires.png,https://images.pokemontcg.io/xy0/2.png,70,,"[{""name"": ""Collect"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Draw a card.""}, {""name"": ""Fury Swipes"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""10×"", ""text"": ""Flip 3 coins. This attack does 10 damage times the number of heads.""}]",Collect|Fury Swipes,|10×,Draw a card.|Flip 3 coins. This attack does 10 damage times the number of heads.,Fire:×2,,Colorless,,Masakazu Fukuda,It shares the leaf on its head with weary-looking Pokémon. These leaves are known to relieve stress.,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,xy0-3,Chespin,Pokémon,Grass,Kalos Starter Set,3,,https://images.pokemontcg.io/xy0/3_hires.png,https://images.pokemontcg.io/xy0/3.png,60,,"[{""name"": ""Vine Whip"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}, {""name"": ""Seed Bomb"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": """"}]",Vine Whip|Seed Bomb,10|20,|,Fire:×2,,Colorless,,5ban Graphics,"The quills on its head are usually soft. When it flexes them, the points become so hard and sharp that they can pierce rock.",,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,xy0-4,Quilladin,Pokémon,Grass,Kalos Starter Set,4,,https://images.pokemontcg.io/xy0/4_hires.png,https://images.pokemontcg.io/xy0/4.png,90,,"[{""name"": ""Leech Seed"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": ""Heal 10 damage from this Pokémon.""}, {""name"": ""Needle Arm"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""50"", ""text"": """"}]",Leech Seed|Needle Arm,20|50,Heal 10 damage from this Pokémon.|,Fire:×2,,Colorless__Colorless,Chespin,5ban Graphics,It relies on its sturdy shell to deflect predators' attacks. It counterattacks with its sharp quills.,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,xy0-5,Chesnaught,Pokémon,Grass,Kalos Starter Set,5,,https://images.pokemontcg.io/xy0/5_hires.png,https://images.pokemontcg.io/xy0/5.png,150,,"[{""name"": ""Needle Arm"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""50"", ""text"": """"}, {""name"": ""Tumbling Attack"", ""cost"": [""Grass"", ""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""80+"", ""text"": ""Flip a coin. If heads, this attack does 40 more damage.""}]",Needle Arm|Tumbling Attack,50|80+,"|Flip a coin. If heads, this attack does 40 more damage.",Fire:×2,,Colorless__Colorless__Colorless__Colorless,Quilladin,5ban Graphics,Its Tackle is forceful enough to flip a 50-ton tank. It shields its allies from danger with its own body.,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,xy0-6,Slugma,Pokémon,Fire,Kalos Starter Set,6,,https://images.pokemontcg.io/xy0/6_hires.png,https://images.pokemontcg.io/xy0/6.png,80,,"[{""name"": ""Combustion"", ""cost"": [""Fire"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": """"}]",Combustion,20,,Water:×2,,Colorless__Colorless,,Mitsuhiro Arita,"A common sight in volcanic areas, it slowly slithers around in a constant search for warm places.",,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,xy0-7,Pansear,Pokémon,Fire,Kalos Starter Set,7,,https://images.pokemontcg.io/xy0/7_hires.png,https://images.pokemontcg.io/xy0/7.png,70,,"[{""name"": ""Collect"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Draw a card.""}, {""name"": ""Fury Swipes"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""10×"", ""text"": ""Flip 3 coins. This attack does 10 damage times the number of heads.""}]",Collect|Fury Swipes,|10×,Draw a card.|Flip 3 coins. This attack does 10 damage times the number of heads.,Water:×2,,Colorless,,Naoyo Kimura,"Very intelligent, it roasts berries before eating them. It likes to help people.",,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,xy0-8,Fennekin,Pokémon,Fire,Kalos Starter Set,8,,https://images.pokemontcg.io/xy0/8_hires.png,https://images.pokemontcg.io/xy0/8.png,60,,"[{""name"": ""Scratch"", ""cost"": [""Fire""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}, {""name"": ""Live Coal"", ""cost"": [""Fire"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": """"}]",Scratch|Live Coal,10|20,|,Water:×2,,Colorless,,5ban Graphics,"Eating a twig fills it with energy, and its roomy ears give vent to air hotter than 390 degrees Fahrenheit.",,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,xy0-9,Braixen,Pokémon,Fire,Kalos Starter Set,9,,https://images.pokemontcg.io/xy0/9_hires.png,https://images.pokemontcg.io/xy0/9.png,80,,"[{""name"": ""Firebreathing"", ""cost"": [""Fire"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20+"", ""text"": ""Flip a coin. If heads, this attack does 20 more damage.""}, {""name"": ""Flame Tail"", ""cost"": [""Fire"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""60"", ""text"": """"}]",Firebreathing|Flame Tail,20+|60,"Flip a coin. If heads, this attack does 20 more damage.|",Water:×2,,Colorless,Fennekin,5ban Graphics,"It has a twig stuck in its tail. With friction from its tail fur, it sets the twig on fire and launches into battle.",,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,xy0-10,Delphox,Pokémon,Fire,Kalos Starter Set,10,,https://images.pokemontcg.io/xy0/10_hires.png,https://images.pokemontcg.io/xy0/10.png,140,,"[{""name"": ""Will-O-Wisp"", ""cost"": [""Fire"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": """"}, {""name"": ""Fire Blast"", ""cost"": [""Fire"", ""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""120"", ""text"": ""Discard an Energy attached to this Pokémon.""}]",Will-O-Wisp|Fire Blast,30|120,|Discard an Energy attached to this Pokémon.,Water:×2,,Colorless__Colorless,Braixen,5ban Graphics,"It gazes into the flame at the tip of its branch to achieve a focused state, which allows it to see into the future.",,,,,,,,,,,,,,,,,,,,,,,,,
