Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,ex12-1,Aerodactyl,Pokémon,Colorless,Legend Maker,1,Rare Holo,https://images.pokemontcg.io/ex12/1_hires.png,https://images.pokemontcg.io/ex12/1.png,70,"[{""name"": ""Reactive Protection"", ""text"": ""Any damage done to Aerodactyl by attacks from your opponent's Pokémon is reduced by 10 for each React Energy card attached to Aerodactyl (after applying Weakness and Resistance)."", ""type"": ""Poké-Body""}]","[{""name"": ""Power Blow"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10+"", ""text"": ""Does 10 damage plus 10 more damage for each Energy attached to Aerodactyl.""}, {""name"": ""Speed Stroke"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""40"", ""text"": ""During your opponent's next turn, prevent all effects, including damage, done to Aerodactyl by attacks from your opponent's Pokémon-ex.""}]",Power Blow|Speed Stroke,10+|40,"Does 10 damage plus 10 more damage for each Energy attached to Aerodactyl.|During your opponent's next turn, prevent all effects, including damage, done to Aerodactyl by attacks from your opponent's Pokémon-ex.",Lightning:×2,Fighting:-30,,Mysterious Fossil,Hajime Kusajima,,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,ex12-2,Aggron,Pokémon,Metal,Legend Maker,2,Rare Holo,https://images.pokemontcg.io/ex12/2_hires.png,https://images.pokemontcg.io/ex12/2.png,110,,"[{""name"": ""Heavy Blow"", ""cost"": [""Fighting"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""70-"", ""text"": ""Does 70 damage minus 10 damage for each damage counter on Aggron. If Aggron has any React Energy cards attached to it, this attack does 70 damage instead.""}, {""name"": ""Bound Crush"", ""cost"": [""Fighting"", ""Metal"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": """", ""text"": ""Choose 1 of your opponent's Pokémon. This attack does 60 damage to that Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.) During your next turn, Aggron can't use Bound Crush.""}]",Heavy Blow|Bound Crush,70-|,"Does 70 damage minus 10 damage for each damage counter on Aggron. If Aggron has any React Energy cards attached to it, this attack does 70 damage instead.|Choose 1 of your opponent's Pokémon. This attack does 60 damage to that Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.) During your next turn, Aggron can't use Bound Crush.",Fire:×2,Grass:-30,Colorless__Colorless__Colorless__Colorless,Lairon,Hisao Nakamura,,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,ex12-3,Cradily,Pokémon,Grass,Legend Maker,3,Rare Holo,https://images.pokemontcg.io/ex12/3_hires.png,https://images.pokemontcg.io/ex12/3.png,100,,"[{""name"": ""Devolution Wave"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": """", ""text"": ""Count the number of React Energy cards attached to Cradily and choose up to that number of your opponent's Evolved Pokémon. Remove the highest Stage Evolution card from each of those Pokémon, then have your opponent shuffle those cards into his or her deck.""}, {""name"": ""Linear Attack"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": """", ""text"": ""Choose 1 of your opponent's Pokémon. This attack does 30 damage to that Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}, {""name"": ""Mud Shot"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""50"", ""text"": """"}]",Devolution Wave|Linear Attack|Mud Shot,||50,"Count the number of React Energy cards attached to Cradily and choose up to that number of your opponent's Evolved Pokémon. Remove the highest Stage Evolution card from each of those Pokémon, then have your opponent shuffle those cards into his or her deck.|Choose 1 of your opponent's Pokémon. This attack does 30 damage to that Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)|",Fire:×2,,Colorless__Colorless,Lileep,Hajime Kusajima,,,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,ex12-4,Delcatty,Pokémon,Colorless,Legend Maker,4,Rare Holo,https://images.pokemontcg.io/ex12/4_hires.png,https://images.pokemontcg.io/ex12/4.png,80,"[{""name"": ""Reactive Shift"", ""text"": ""Once during your turn (before your attack), you may move a React Energy card attached to 1 of your Pokémon to another of your Pokémon. This power can't be used if Delcatty is affected by a Special Condition."", ""type"": ""Poké-Power""}]","[{""name"": ""Energy Link"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": ""Search your discard pile for an Energy card and attach it to Delcatty.""}, {""name"": ""Tail Whap"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""40"", ""text"": """"}]",Energy Link|Tail Whap,20|40,Search your discard pile for an Energy card and attach it to Delcatty.|,Fighting:×2,,Colorless,Skitty,Naoyo Kimura,,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,ex12-5,Gengar,Pokémon,Psychic,Legend Maker,5,Rare Holo,https://images.pokemontcg.io/ex12/5_hires.png,https://images.pokemontcg.io/ex12/5.png,100,"[{""name"": ""Shadow Curse"", ""text"": ""If Gengar would be Knocked Out by damage from an opponent's attack, you may put 3 damage counters on 1 of your opponent's Pokémon."", ""type"": ""Poké-Power""}]","[{""name"": ""Cursed Reaction"", ""cost"": [""Psychic""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Put 2 damage counters on your opponent's Pokémon in any way you like. If Gengar has any React Energy cards attached to it, put 4 damage counters instead.""}, {""name"": ""Super Psy Bolt"", ""cost"": [""Psychic"", ""Psychic"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""60"", ""text"": """"}]",Cursed Reaction|Super Psy Bolt,|60,"Put 2 damage counters on your opponent's Pokémon in any way you like. If Gengar has any React Energy cards attached to it, put 4 damage counters instead.|",Darkness:×2,Fighting:-30,Colorless,Haunter,Kouki Saitou,,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,ex12-6,Golem,Pokémon,Fighting,Legend Maker,6,Rare Holo,https://images.pokemontcg.io/ex12/6_hires.png,https://images.pokemontcg.io/ex12/6.png,120,,"[{""name"": ""Mend"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Search your discard pile for a Fighting Energy card and attach it to Golem. If you do, remove 2 damage counters from Golem.""}, {""name"": ""Enraged Linear Attack"", ""cost"": [""Fighting"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": """", ""text"": ""Choose 1 of your opponent's Pokémon. This attack does 10 damage for each damage counter on Golem to that Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}, {""name"": ""Rock Tumble"", ""cost"": [""Fighting"", ""Fighting"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""70"", ""text"": ""This attack's damage isn't affected by Resistance.""}]",Mend|Enraged Linear Attack|Rock Tumble,||70,"Search your discard pile for a Fighting Energy card and attach it to Golem. If you do, remove 2 damage counters from Golem.|Choose 1 of your opponent's Pokémon. This attack does 10 damage for each damage counter on Golem to that Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)|This attack's damage isn't affected by Resistance.",Water:×2,,Colorless__Colorless__Colorless,Graveler,Hajime Kusajima,,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,ex12-7,Kabutops,Pokémon,Fighting,Legend Maker,7,Rare Holo,https://images.pokemontcg.io/ex12/7_hires.png,https://images.pokemontcg.io/ex12/7.png,110,"[{""name"": ""Ancient Shell"", ""text"": ""As long as you have Omanyte or Omastar in play, damage done to Kabutops by attacks is reduced by 20 (after applying Weakness and Resistance)."", ""type"": ""Poké-Body""}]","[{""name"": ""Energy Stream"", ""cost"": [""Fighting""], ""convertedEnergyCost"": 1, ""damage"": ""30"", ""text"": ""Search your discard pile for a basic Energy card and attach it to Kabutops.""}, {""name"": ""Extra Claws"", ""cost"": [""Fighting"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""50+"", ""text"": ""If the Defending Pokémon is Pokémon-ex, this attack does 50 damage plus 30 more damage.""}]",Energy Stream|Extra Claws,30|50+,"Search your discard pile for a basic Energy card and attach it to Kabutops.|If the Defending Pokémon is Pokémon-ex, this attack does 50 damage plus 30 more damage.",Grass:×2,,Colorless__Colorless,Kabuto,Mitsuhiro Arita,,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,ex12-8,Lapras,Pokémon,Water,Legend Maker,8,Rare Holo,https://images.pokemontcg.io/ex12/8_hires.png,https://images.pokemontcg.io/ex12/8.png,80,"[{""name"": ""Support Navigation"", ""text"": ""Once during your turn, when you put Lapras onto your Bench from your hand, you may search your deck for a Supporter card, show it to your opponent, and put it into your hand. Shuffle your deck afterward."", ""type"": ""Poké-Power""}]","[{""name"": ""Surf"", ""cost"": [""Water"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": """"}]",Surf,30,,Lightning:×2,,Colorless__Colorless,,Kagemaru Himeno,,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,ex12-9,Machamp,Pokémon,Fighting,Legend Maker,9,Rare Holo,https://images.pokemontcg.io/ex12/9_hires.png,https://images.pokemontcg.io/ex12/9.png,120,,"[{""name"": ""Derail"", ""cost"": [""Fighting"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""40"", ""text"": ""Discard a Special Energy card, if any, attached to the Defending Pokémon.""}, {""name"": ""Swift Blow"", ""cost"": [""Fighting"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""60+"", ""text"": ""Does 60 damage plus 20 damage for each React Energy card attached to Machamp.""}]",Derail|Swift Blow,40|60+,"Discard a Special Energy card, if any, attached to the Defending Pokémon.|Does 60 damage plus 20 damage for each React Energy card attached to Machamp.",Psychic:×2,,Colorless__Colorless,Machoke,Kouki Saitou,,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,ex12-10,Mew,Pokémon,Psychic,Legend Maker,10,Rare Holo,https://images.pokemontcg.io/ex12/10_hires.png,https://images.pokemontcg.io/ex12/10.png,70,"[{""name"": ""Type Change"", ""text"": ""Once during your turn (before your attack), you may choose 1 of the Defending Pokémon. Mew is the same type as that Pokémon (all if that Pokémon is more than 1 type) until the end of your turn. This power can't be used if Mew is affected by a Special Condition."", ""type"": ""Poké-Power""}]","[{""name"": ""Link Blast"", ""cost"": [""Psychic"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""50"", ""text"": ""If Mew and the Defending Pokémon have a different amount of Energy attached to them, this attack's base damage is 20 instead of 50.""}]",Link Blast,50,"If Mew and the Defending Pokémon have a different amount of Energy attached to them, this attack's base damage is 20 instead of 50.",Psychic:×2,,Colorless,,Kouki Saitou,,,,,,,,,,,,,,,,,,,,,,,,,,
010.jpg,ex12-11,Muk,Pokémon,Grass,Legend Maker,11,Rare Holo,https://images.pokemontcg.io/ex12/11_hires.png,https://images.pokemontcg.io/ex12/11.png,70,"[{""name"": ""Stench"", ""text"": ""As long as Muk is your Active Pokémon, each player's Pokémon can't use any Poké-Powers."", ""type"": ""Poké-Body""}]","[{""name"": ""Poison Ring"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": ""The Defending Pokémon is now Poisoned. The Defending Pokémon can't retreat during your opponent's next turn.""}, {""name"": ""Sludge Toss"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""50"", ""text"": """"}]",Poison Ring|Sludge Toss,20|50,The Defending Pokémon is now Poisoned. The Defending Pokémon can't retreat during your opponent's next turn.|,Psychic:×2,,Colorless__Colorless,Grimer,Midori Harada,,,,,,,,,,,,,,,,,,,,,,,,,,
011.jpg,ex12-12,Shiftry,Pokémon,Darkness,Legend Maker,12,Rare Holo,https://images.pokemontcg.io/ex12/12_hires.png,https://images.pokemontcg.io/ex12/12.png,110,"[{""name"": ""Evolutionary Fan"", ""text"": ""Once during your turn, when you play Shiftry from your hand to evolve 1 of your Pokémon, you may choose 1 of your Evolved Pokémon in play (excluding any Shiftry). Return that Pokémon and all cards attached to it to your hand."", ""type"": ""Poké-Power""}]","[{""name"": ""Reactive Beating"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": ""If Shiftry has any React Energy cards attached to it, the Defending Pokémon is now Confused.""}, {""name"": ""Cross-Cut"", ""cost"": [""Darkness"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""40+"", ""text"": ""If the Defending Pokémon is an Evolved Pokémon, this attack does 40 damage plus 30 more damage.""}]",Reactive Beating|Cross-Cut,30|40+,"If Shiftry has any React Energy cards attached to it, the Defending Pokémon is now Confused.|If the Defending Pokémon is an Evolved Pokémon, this attack does 40 damage plus 30 more damage.",Fighting:×2,Psychic:-30,Colorless,Nuzleaf,Mitsuhiro Arita,,,,,,,,,,,,,,,,,,,,,,,,,,
012.jpg,ex12-13,Victreebel,Pokémon,Grass,Legend Maker,13,Rare Holo,https://images.pokemontcg.io/ex12/13_hires.png,https://images.pokemontcg.io/ex12/13.png,100,"[{""name"": ""Nectar Pod"", ""text"": ""Once during your turn (before your attack), you may switch 1 of your opponent's Benched Stage 2 Evolved Pokémon with 1 of the Defending Pokémon. Your opponent chooses the Defending Pokémon to switch. This power can't be used if Victreebel is affected by a Special Condition."", ""type"": ""Poké-Power""}]","[{""name"": ""Sleep Poison"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""10"", ""text"": ""The Defending Pokémon is now Asleep and Poisoned.""}, {""name"": ""Sharp Leaf"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""40+"", ""text"": ""Flip a coin. If heads, this attack does 40 damage plus 30 more damage.""}]",Sleep Poison|Sharp Leaf,10|40+,"The Defending Pokémon is now Asleep and Poisoned.|Flip a coin. If heads, this attack does 40 damage plus 30 more damage.",Fire:×2,,Colorless__Colorless,Weepinbell,Sumiyoshi Kizuki,,,,,,,,,,,,,,,,,,,,,,,,,,
