Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,base6-1,Alakazam,Pokémon,Psychic,Legendary Collection,1,Rare Holo,https://images.pokemontcg.io/base6/1_hires.png,https://images.pokemontcg.io/base6/1.png,80,"[{""name"": ""Damage Swap"", ""text"": ""As often as you like during your turn (before your attack), you may move 1 damage counter from 1 of your Pokémon to another as long as you don't Knock Out that Pokémon. This power can't be used if Alakazam is affected by a Special Condition."", ""type"": ""Pokémon Power""}]","[{""name"": ""Confuse Ray"", ""cost"": [""Psychic"", ""Psychic"", ""Psychic""], ""convertedEnergyCost"": 3, ""damage"": ""30"", ""text"": ""Flip a coin. If heads, the Defending Pokémon is now Confused.""}]",Confuse Ray,30,"Flip a coin. If heads, the Defending Pokémon is now Confused.",Psychic:×2,,Colorless__Colorless__Colorless,Kadabra,Ken Sugimori,Its brain can outperform a supercomputer. Its intelligence quotient is said to be 5000.,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,base6-2,Articuno,Pokémon,Water,Legendary Collection,2,Rare Holo,https://images.pokemontcg.io/base6/2_hires.png,https://images.pokemontcg.io/base6/2.png,70,,"[{""name"": ""Freeze Dry"", ""cost"": [""Water"", ""Water"", ""Water""], ""convertedEnergyCost"": 3, ""damage"": ""30"", ""text"": ""Flip a coin. If heads, the Defending Pokémon is now Paralyzed.""}, {""name"": ""Blizzard"", ""cost"": [""Water"", ""Water"", ""Water"", ""Water""], ""convertedEnergyCost"": 4, ""damage"": ""50"", ""text"": ""Flip a coin. If heads, this attack does 10 damage to each of your opponent's Benched Pokémon. If tails, this attack does 10 damage to each of your own Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}]",Freeze Dry|Blizzard,30|50,"Flip a coin. If heads, the Defending Pokémon is now Paralyzed.|Flip a coin. If heads, this attack does 10 damage to each of your opponent's Benched Pokémon. If tails, this attack does 10 damage to each of your own Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)",,Fighting:-30,Colorless__Colorless,,Mitsuhiro Arita,A legendary bird Pokémon that is said to appear to doomed people who are lost in icy mountains.,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,base6-3,Charizard,Pokémon,Fire,Legendary Collection,3,Rare Holo,https://images.pokemontcg.io/base6/3_hires.png,https://images.pokemontcg.io/base6/3.png,120,"[{""name"": ""Energy Burn"", ""text"": ""As often as you like during your turn (before your attack), you may turn all Energy attached to Charizard into Fire Energy for the rest of the turn. This power can't be used if Charizard is affected by a Special Condition."", ""type"": ""Pokémon Power""}]","[{""name"": ""Fire Spin"", ""cost"": [""Fire"", ""Fire"", ""Fire"", ""Fire""], ""convertedEnergyCost"": 4, ""damage"": ""100"", ""text"": ""Discard 2 Energy cards attached to Charizard or this attack does nothing.""}]",Fire Spin,100,Discard 2 Energy cards attached to Charizard or this attack does nothing.,Water:×2,Fighting:-30,Colorless__Colorless__Colorless,Charmeleon,Mitsuhiro Arita,Spits fire that is hot enough to melt boulders. Known to unintentionally cause forest fires.,,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,base6-4,Dark Blastoise,Pokémon,Water,Legendary Collection,4,Rare Holo,https://images.pokemontcg.io/base6/4_hires.png,https://images.pokemontcg.io/base6/4.png,70,,"[{""name"": ""Hydrocannon"", ""cost"": [""Water"", ""Water""], ""convertedEnergyCost"": 2, ""damage"": ""30+"", ""text"": ""Does 30 damage plus 20 more damage for each Water Energy attached to Dark Blastoise but not used to pay for this attack's Energy cost. You can't add more than 40 damage in this way.""}, {""name"": ""Rocket Tackle"", ""cost"": [""Water"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""40"", ""text"": ""Dark Blastoise does 10 damage to itself. Flip a coin. If heads, prevent all damage done to Dark Blastoise during your opponent's next turn. (Any other effects of attacks still happen.)""}]",Hydrocannon|Rocket Tackle,30+|40,"Does 30 damage plus 20 more damage for each Water Energy attached to Dark Blastoise but not used to pay for this attack's Energy cost. You can't add more than 40 damage in this way.|Dark Blastoise does 10 damage to itself. Flip a coin. If heads, prevent all damage done to Dark Blastoise during your opponent's next turn. (Any other effects of attacks still happen.)",Lightning:×2,,Colorless__Colorless,Dark Wartortle,Mitsuhiro Arita,An aggressive Pokémon that tackles anything it sees.,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,base6-5,Dark Dragonite,Pokémon,Colorless,Legendary Collection,5,Rare Holo,https://images.pokemontcg.io/base6/5_hires.png,https://images.pokemontcg.io/base6/5.png,70,"[{""name"": ""Summon Minions"", ""text"": ""When you play Dark Dragonite from your hand, search your deck for up to 2 Basic Pokémon and put them onto your Bench. Shuffle your deck afterward."", ""type"": ""Pokémon Power""}]","[{""name"": ""Giant Tail"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""70"", ""text"": ""Flip a coin. If tails, this attack does nothing.""}]",Giant Tail,70,"Flip a coin. If tails, this attack does nothing.",,Fighting:-30,Colorless__Colorless,Dark Dragonair,Mitsuhiro Arita,"Sometimes called ""The God of Destruction."" Its wings are able to support it in spite of its massive weight.",,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,base6-6,Dark Persian,Pokémon,Colorless,Legendary Collection,6,Rare Holo,https://images.pokemontcg.io/base6/6_hires.png,https://images.pokemontcg.io/base6/6.png,60,,"[{""name"": ""Fascinate"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Flip a coin. If heads, choose 1 of your opponent's Benched Pokémon and switch it with the Defending Pokémon. This attack can't be used if your opponent has no Benched Pokémon.""}, {""name"": ""Poison Claws"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""10"", ""text"": ""Flip a coin. If heads, the Defending Pokémon is now Poisoned.""}]",Fascinate|Poison Claws,|10,"Flip a coin. If heads, choose 1 of your opponent's Benched Pokémon and switch it with the Defending Pokémon. This attack can't be used if your opponent has no Benched Pokémon.|Flip a coin. If heads, the Defending Pokémon is now Poisoned.",Fighting:×2,Psychic:-30,,Meowth,Shin-ichi Yoshida,Popular with women because of its beautiful fur. The leader of the Rockets keeps one as a pet.,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,base6-7,Dark Raichu,Pokémon,Lightning,Legendary Collection,7,Rare Holo,https://images.pokemontcg.io/base6/7_hires.png,https://images.pokemontcg.io/base6/7.png,70,,"[{""name"": ""Surprise Thunder"", ""cost"": [""Lightning"", ""Lightning"", ""Lightning""], ""convertedEnergyCost"": 3, ""damage"": ""30"", ""text"": ""Flip a coin. If heads, flip another coin. If the second coins is heads, this attack does 20 damage to each of your opponent's Benched Pokémon. If the second coin is tails, this attack does 10 damage to each of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}]",Surprise Thunder,30,"Flip a coin. If heads, flip another coin. If the second coins is heads, this attack does 20 damage to each of your opponent's Benched Pokémon. If the second coin is tails, this attack does 10 damage to each of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)",Fighting:×2,,Colorless,Pikachu,Mitsuhiro Arita,"Stores up electricity in its body, then suddenly releases it to surprise and shock everyone.",,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,base6-8,Dark Slowbro,Pokémon,Psychic,Legendary Collection,8,Rare Holo,https://images.pokemontcg.io/base6/8_hires.png,https://images.pokemontcg.io/base6/8.png,60,"[{""name"": ""Reel In"", ""text"": ""When you play Dark Slowbro from your hand, choose up to 3 Basic Pokémon and/or Evolution cards from your discard pile and put them into your hand."", ""type"": ""Pokémon Power""}]","[{""name"": ""Fickle Attack"", ""cost"": [""Psychic"", ""Psychic""], ""convertedEnergyCost"": 2, ""damage"": ""40"", ""text"": ""Flip a coin. If tails, this attack does nothing.""}]",Fickle Attack,40,"Flip a coin. If tails, this attack does nothing.",Psychic:×2,,Colorless__Colorless,Slowpoke,Mitsuhiro Arita,"It loves nothing better than to be left alone, and so sometimes ends up being manipulated by unscrupulous people.",,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,base6-9,Dark Vaporeon,Pokémon,Water,Legendary Collection,9,Rare Holo,https://images.pokemontcg.io/base6/9_hires.png,https://images.pokemontcg.io/base6/9.png,60,,"[{""name"": ""Bite"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""30"", ""text"": """"}, {""name"": ""Whirlpool"", ""cost"": [""Water"", ""Water"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""20"", ""text"": ""If the Defending Pokémon has any Energy cards attached to it, choose 1 of them and discard it.""}]",Bite|Whirlpool,30|20,"|If the Defending Pokémon has any Energy cards attached to it, choose 1 of them and discard it.",Lightning:×2,,Colorless,Eevee,Mitsuhiro Arita,"A Pokémon capable of controlling water, so it is capable of creating giant whirlpools.",,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,base6-10,Flareon,Pokémon,Fire,Legendary Collection,10,Rare Holo,https://images.pokemontcg.io/base6/10_hires.png,https://images.pokemontcg.io/base6/10.png,70,,"[{""name"": ""Quick Attack"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""10+"", ""text"": ""Flip a coin. If heads, this attack does 10 damage plus 20 more damage; if tails, this attack does 10 damage.""}, {""name"": ""Flamethrower"", ""cost"": [""Fire"", ""Fire"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""60"", ""text"": ""Discard 1 Fire Energy card attached to Flareon or this attack does nothing.""}]",Quick Attack|Flamethrower,10+|60,"Flip a coin. If heads, this attack does 10 damage plus 20 more damage; if tails, this attack does 10 damage.|Discard 1 Fire Energy card attached to Flareon or this attack does nothing.",Water:×2,,Colorless,Eevee,Kagemaru Himeno,"When storing thermal energy in its body, its temperature could soar to over 1600 degrees.",,,,,,,,,,,,,,,,,,,,,,,,,
