Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,bw11-1,Tangela,Pokémon,Grass,Legendary Treasures,1,Common,https://images.pokemontcg.io/bw11/1_hires.png,https://images.pokemontcg.io/bw11/1.png,70,,"[{""name"": ""Beat"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}, {""name"": ""Flog"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""20+"", ""text"": ""Flip a coin. If heads, this attack does 20 more damage.""}]",Beat|Flog,10|20+,"|Flip a coin. If heads, this attack does 20 more damage.",Fire:×2,Water:-20,Colorless__Colorless,,kirisAki,"Many writhing vines cover it, so its true identity remains unknown. The blue vines grow its whole life long.",,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,bw11-2,Tangrowth,Pokémon,Grass,Legendary Treasures,2,Rare,https://images.pokemontcg.io/bw11/2_hires.png,https://images.pokemontcg.io/bw11/2.png,120,,"[{""name"": ""Bind Down"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""30"", ""text"": ""The Defending Pokémon can't retreat during your opponent's next turn.""}, {""name"": ""Flog"", ""cost"": [""Grass"", ""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""60+"", ""text"": ""Flip a coin. If heads, this attack does 30 more damage.""}]",Bind Down|Flog,30|60+,"The Defending Pokémon can't retreat during your opponent's next turn.|Flip a coin. If heads, this attack does 30 more damage.",Fire:×2,Water:-20,Colorless__Colorless__Colorless__Colorless,Tangela,Kagemaru Himeno,"Even if one of its arms is eaten, it's fine. The Pokémon regenerates quickly and will go right back to normal.",,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,bw11-3,Shuckle,Pokémon,Grass,Legendary Treasures,3,Uncommon,https://images.pokemontcg.io/bw11/3_hires.png,https://images.pokemontcg.io/bw11/3.png,80,,"[{""name"": ""Share"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Heal 40 damage from 1 of your Benched Pokémon.""}, {""name"": ""Double Stab"", ""cost"": [""Grass"", ""Grass"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""40×"", ""text"": ""Flip 2 coins. This attack does 40 damage times the number of heads.""}]",Share|Double Stab,|40×,Heal 40 damage from 1 of your Benched Pokémon.|Flip 2 coins. This attack does 40 damage times the number of heads.,Fire:×2,,Colorless,,MAHOU,"The berries stored in its vaselike shell eventually become a thick, pulpy juice.",,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,bw11-4,Cherubi,Pokémon,Grass,Legendary Treasures,4,Uncommon,https://images.pokemontcg.io/bw11/4_hires.png,https://images.pokemontcg.io/bw11/4.png,40,,"[{""name"": ""Double Spin"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10×"", ""text"": ""Flip 2 coins. This attack does 10 damage times the number of heads.""}]",Double Spin,10×,Flip 2 coins. This attack does 10 damage times the number of heads.,Fire:×2,Water:-20,Colorless,,Atsuko Nishida,"The small ball is not only filled with nutrients, it is also tasty. Starly try to peck it off.",,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,bw11-5,Carnivine,Pokémon,Grass,Legendary Treasures,5,Uncommon,https://images.pokemontcg.io/bw11/5_hires.png,https://images.pokemontcg.io/bw11/5.png,80,,"[{""name"": ""Ambush Bite"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20+"", ""text"": ""Flip a coin. If heads, this attack does 20 more damage and discard an Energy attached to the Defending Pokémon.""}]",Ambush Bite,20+,"Flip a coin. If heads, this attack does 20 more damage and discard an Energy attached to the Defending Pokémon.",Fire:×2,Water:-20,Colorless__Colorless,,HiRON,"Using its tentacles to lash itself to trees, it lies in wait for prey, luring it close with sweet-smelling drool.",,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,bw11-6,Snivy,Pokémon,Grass,Legendary Treasures,6,Common,https://images.pokemontcg.io/bw11/6_hires.png,https://images.pokemontcg.io/bw11/6.png,60,,"[{""name"": ""Leaf Blade"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""10+"", ""text"": ""Flip a coin. If heads, this attack does 30 more damage.""}]",Leaf Blade,10+,"Flip a coin. If heads, this attack does 30 more damage.",Fire:×2,Water:-20,Colorless,,Aya Kusube,"They photosynthesize by bathing their tails in sunlight. When they are not feeling well, their tails droop.",,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,bw11-7,Servine,Pokémon,Grass,Legendary Treasures,7,Uncommon,https://images.pokemontcg.io/bw11/7_hires.png,https://images.pokemontcg.io/bw11/7.png,80,,"[{""name"": ""Wring Out"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": ""Flip a coin. If heads, the Defending Pokémon is now Paralyzed and discard an Energy attached to the Defending Pokémon.""}]",Wring Out,30,"Flip a coin. If heads, the Defending Pokémon is now Paralyzed and discard an Energy attached to the Defending Pokémon.",Fire:×2,Water:-20,Colorless,Snivy,Shigenori Negishi,They avoid attacks by sinking into the shadows of thick foliage. They retaliate with masterful whipping techniques.,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,bw11-8,Serperior,Pokémon,Grass,Legendary Treasures,8,Rare Holo,https://images.pokemontcg.io/bw11/8_hires.png,https://images.pokemontcg.io/bw11/8.png,130,"[{""name"": ""Royal Heal"", ""text"": ""At any time between turns, heal 10 damage from each of your Pokémon."", ""type"": ""Ability""}]","[{""name"": ""Leaf Tornado"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""60"", ""text"": ""Move as many Grass Energy attached to your Pokémon to your other Pokémon in any way you like.""}]",Leaf Tornado,60,Move as many Grass Energy attached to your Pokémon to your other Pokémon in any way you like.,Fire:×2,Water:-20,Colorless,Servine,hatachu,They raise their heads to intimidate opponents but only give it their all when fighting a powerful opponent.,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,bw11-9,Sewaddle,Pokémon,Grass,Legendary Treasures,9,Common,https://images.pokemontcg.io/bw11/9_hires.png,https://images.pokemontcg.io/bw11/9.png,50,,"[{""name"": ""Leaf Boomerang"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20×"", ""text"": ""Flip 2 coins. This attack does 20 damage times the number of heads.""}]",Leaf Boomerang,20×,Flip 2 coins. This attack does 20 damage times the number of heads.,Fire:×2,,Colorless,,Yuka Morii,Leavanny dress it in clothes they made for it when it hatched. It hides its head in its hood while it is sleeping.,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,bw11-10,Sewaddle,Pokémon,Grass,Legendary Treasures,10,Common,https://images.pokemontcg.io/bw11/10_hires.png,https://images.pokemontcg.io/bw11/10.png,50,,"[{""name"": ""Gnaw"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": """"}]",Gnaw,20,,Fire:×2,,Colorless,,Mitsuhiro Arita,"Since this Pokémon makes its own clothes out of leaves, it is a popular mascot for fashion designers.",,,,,,,,,,,,,,,,,,,,,,,,,
010.jpg,bw11-11,Swadloon,Pokémon,Grass,Legendary Treasures,11,Uncommon,https://images.pokemontcg.io/bw11/11_hires.png,https://images.pokemontcg.io/bw11/11.png,70,,"[{""name"": ""Tackle"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": """"}, {""name"": ""String Shot"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": ""Flip a coin. If heads, the Defending Pokémon is now Paralyzed.""}]",Tackle|String Shot,20|20,"|Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",Fire:×2,,Colorless,Sewaddle,sui,Forests where Swadloon live have superb foliage because the nutrients they make from fallen leaves nourish the plant life.,,,,,,,,,,,,,,,,,,,,,,,,,
011.jpg,bw11-12,Leavanny,Pokémon,Grass,Legendary Treasures,12,Rare Holo,https://images.pokemontcg.io/bw11/12_hires.png,https://images.pokemontcg.io/bw11/12.png,130,"[{""name"": ""Leaf Tailor"", ""text"": ""Each of your Pokémon that has any Energy attached to it has no Weakness."", ""type"": ""Ability""}]","[{""name"": ""Cutting Arm"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""40+"", ""text"": ""Flip 2 coins. This attack does 20 more damage for each heads.""}]",Cutting Arm,40+,Flip 2 coins. This attack does 20 more damage for each heads.,Fire:×2,,Colorless__Colorless,Swadloon,match,"Upon finding a small Pokémon, it weaves clothing for it from leaves, using the cutters on its arms and sticky silk.",,,,,,,,,,,,,,,,,,,,,,,,,
012.jpg,bw11-13,Dwebble,Pokémon,Grass,Legendary Treasures,13,Common,https://images.pokemontcg.io/bw11/13_hires.png,https://images.pokemontcg.io/bw11/13.png,60,,"[{""name"": ""Bug Bite"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": """"}]",Bug Bite,20,,Fire:×2,,Colorless__Colorless,,sui,"When it finds a stone of a suitable size, it secretes a liquid from its mouth to open up a hole to crawl into.",,,,,,,,,,,,,,,,,,,,,,,,,
013.jpg,bw11-14,Crustle,Pokémon,Grass,Legendary Treasures,14,Uncommon,https://images.pokemontcg.io/bw11/14_hires.png,https://images.pokemontcg.io/bw11/14.png,100,,"[{""name"": ""Hard Press"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": ""Flip a coin. If heads, the Defending Pokémon is now Paralyzed.""}, {""name"": ""Hammer In"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""70"", ""text"": """"}]",Hard Press|Hammer In,30|70,"Flip a coin. If heads, the Defending Pokémon is now Paralyzed.|",Fire:×2,,Colorless__Colorless,Dwebble,Naoki Saito,"When its boulder is broken in battles for territory, it feels unsure and begins to weaken.",,,,,,,,,,,,,,,,,,,,,,,,,
014.jpg,bw11-15,Virizion,Pokémon,Grass,Legendary Treasures,15,Rare Holo,https://images.pokemontcg.io/bw11/15_hires.png,https://images.pokemontcg.io/bw11/15.png,110,,"[{""name"": ""Double Draw"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Draw 2 cards.""}, {""name"": ""Leaf Wallop"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""40"", ""text"": ""During your next turn, this Pokémon's Leaf Wallop does 40 more damage (before applying Weakness and Resistance).""}]",Double Draw|Leaf Wallop,|40,"Draw 2 cards.|During your next turn, this Pokémon's Leaf Wallop does 40 more damage (before applying Weakness and Resistance).",Fire:×2,Water:-20,Colorless,,Atsuko Nishida,"Its head sprouts horns as sharp as blades. Using whirlwind-like movements, it confounds and swiftly cuts opponents.",,,,,,,,,,,,,,,,,,,,,,,,,
015.jpg,bw11-16,Genesect,Pokémon,Grass,Legendary Treasures,16,Rare Holo,https://images.pokemontcg.io/bw11/16_hires.png,https://images.pokemontcg.io/bw11/16.png,110,,"[{""name"": ""Slash"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": """"}, {""name"": ""Gaia Blaster"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""50+"", ""text"": ""Does 20 more damage for each Grass Energy attached to this Pokémon.""}]",Slash|Gaia Blaster,20|50+,|Does 20 more damage for each Grass Energy attached to this Pokémon.,Fire:×2,,Colorless,,Ayaka Yoshida,This Pokémon existed 300 million years ago. Team Plasma altered it and attached a cannon to its back.,,,,,,,,,,,,,,,,,,,,,,,,,
016.jpg,bw11-17,Charmander,Pokémon,Fire,Legendary Treasures,17,Common,https://images.pokemontcg.io/bw11/17_hires.png,https://images.pokemontcg.io/bw11/17.png,70,,"[{""name"": ""Draw In"", ""cost"": [""Fire""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Attach 2 Fire Energy cards from your discard pile to this Pokémon.""}, {""name"": ""Flare"", ""cost"": [""Fire"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": """"}]",Draw In|Flare,|20,Attach 2 Fire Energy cards from your discard pile to this Pokémon.|,Water:×2,,Colorless__Colorless,,match,"The fire on the tip of its tail is a measure of its life. If healthy, its tail burns intensely.",,,,,,,,,,,,,,,,,,,,,,,,,
