Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,dp6-1,Deoxys Normal Forme,Pokémon,Psychic,Legends Awakened,1,Rare Holo,https://images.pokemontcg.io/dp6/1_hires.png,https://images.pokemontcg.io/dp6/1.png,90,"[{""name"": ""Form Change"", ""text"": ""Once during your turn (before your attack), you may search your deck for any Deoxys and switch it with Deoxys Normal Forme. (Any cards attached to Deoxys Normal Forme, damage counters, Special Conditions, and effects on it are now on the new Pokémon.) If you do, put Deoxys Normal Forme on top of your deck. Shuffle your deck afterward. You can't use more than 1 Form Change Poké-Power each turn."", ""type"": ""Poké-Power""}]","[{""name"": ""Energy Crush"", ""cost"": [""Psychic"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20+"", ""text"": ""Does 20 damage plus 10 more damage for each Energy attached to all of your opponent's Pokémon.""}]",Energy Crush,20+,Does 20 damage plus 10 more damage for each Energy attached to all of your opponent's Pokémon.,Psychic:×2,,Colorless,,Kent Kanetsuna,An alien virus that fell to earth on a meteor underwent a DNA mutation to become this Pokémon.,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,dp6-2,Dragonite,Pokémon,Colorless,Legends Awakened,2,Rare Holo,https://images.pokemontcg.io/dp6/2_hires.png,https://images.pokemontcg.io/dp6/2.png,140,,"[{""name"": ""Hyper Beam"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""40"", ""text"": ""Flip a coin. If heads, discard an Energy card attached to the Defending Pokémon.""}, {""name"": ""Draco Meteor"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": """", ""text"": ""Flip a coin for each of your opponent's Pokémon. If that coin flip is heads, this attack does 50 damage to that Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}]",Hyper Beam|Draco Meteor,40|,"Flip a coin. If heads, discard an Energy card attached to the Defending Pokémon.|Flip a coin for each of your opponent's Pokémon. If that coin flip is heads, this attack does 50 damage to that Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)",Colorless:+30,Fighting:-20,Colorless__Colorless__Colorless,Dragonair,Mitsuhiro Arita,It is said to make its home somewhere in the sea. It guides crews of shipwrecks to shore.,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,dp6-3,Froslass,Pokémon,Water,Legends Awakened,3,Rare Holo,https://images.pokemontcg.io/dp6/3_hires.png,https://images.pokemontcg.io/dp6/3.png,90,,"[{""name"": ""Destiny Bond"", ""cost"": [""Psychic""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Discard a Psychic Energy attached to Froslass. During your opponent's next turn, if Froslass would be Knocked Out by damage from an attack, the Attacking Pokémon is Knocked Out.""}, {""name"": ""Icy Breath"", ""cost"": [""Water"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""40"", ""text"": ""The Defending Pokémon is now Asleep. Put 1 damage counter on each of your opponent's Benched Pokémon.""}]",Destiny Bond|Icy Breath,|40,"Discard a Psychic Energy attached to Froslass. During your opponent's next turn, if Froslass would be Knocked Out by damage from an attack, the Attacking Pokémon is Knocked Out.|The Defending Pokémon is now Asleep. Put 1 damage counter on each of your opponent's Benched Pokémon.",Metal:+20,,Colorless,Snorunt,Kagemaru Himeno,It freezes foes with an icy breath nearly -60 degrees F. What seems to be its body is actually hollow.,,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,dp6-4,Giratina,Pokémon,Psychic,Legends Awakened,4,Rare Holo,https://images.pokemontcg.io/dp6/4_hires.png,https://images.pokemontcg.io/dp6/4.png,100,,"[{""name"": ""Shadow Force"", ""cost"": [""Psychic"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": """", ""text"": ""Choose 1 of your opponent's Benched Pokémon. This attack does 20 damage to that Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.) Flip a coin. If heads, prevent all effects of an attack, including damage, done to Giratina during your opponent's next turn.""}, {""name"": ""Brutal Edge"", ""cost"": [""Psychic"", ""Psychic"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""50+"", ""text"": ""Does 50 damage plus 10 more damage for each damage counter on the Defending Pokémon.""}]",Shadow Force|Brutal Edge,|50+,"Choose 1 of your opponent's Benched Pokémon. This attack does 20 damage to that Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.) Flip a coin. If heads, prevent all effects of an attack, including damage, done to Giratina during your opponent's next turn.|Does 50 damage plus 10 more damage for each damage counter on the Defending Pokémon.",Darkness:×2,Colorless:-20,Colorless__Colorless__Colorless,,Kazuaki Aihara,A Pokémon that is said to live in a world on the reverse side of ours. It appears in an ancient cemetery.,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,dp6-5,Gliscor,Pokémon,Fighting,Legends Awakened,5,Rare Holo,https://images.pokemontcg.io/dp6/5_hires.png,https://images.pokemontcg.io/dp6/5.png,80,,"[{""name"": ""Burning Poison"", ""cost"": [], ""convertedEnergyCost"": 0, ""damage"": """", ""text"": ""Choose either Burned or Poisoned. The Defending Pokémon is now affected by that Special Condition. You may return Gliscor and all cards attached to it to your hand.""}, {""name"": ""Pester"", ""cost"": [""Fighting"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""40+"", ""text"": ""If the Defending Pokémon is affected by a Special Condition, this attack does 40 damage plus 40 more damage.""}]",Burning Poison|Pester,|40+,"Choose either Burned or Poisoned. The Defending Pokémon is now affected by that Special Condition. You may return Gliscor and all cards attached to it to your hand.|If the Defending Pokémon is affected by a Special Condition, this attack does 40 damage plus 40 more damage.",Water:+20,Fighting:-20,Colorless,Gligar,Kent Kanetsuna,"It observes prey while hanging inverted from branches. When the chance presents itself, it swoops!",,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,dp6-6,Heatran,Pokémon,Fire,Legends Awakened,6,Rare Holo,https://images.pokemontcg.io/dp6/6_hires.png,https://images.pokemontcg.io/dp6/6.png,100,"[{""name"": ""Flash Fire"", ""text"": ""Once during your turn (before your attack), you may move a Fire Energy attached to 1 of your Pokémon to Heatran. This power can't be used if Heatran is affected by a Special Condition."", ""type"": ""Poké-Power""}]","[{""name"": ""Magma Storm"", ""cost"": [""Fire"", ""Fire"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""40+"", ""text"": ""You may discard as many basic Energy cards as you like attached to Heatran. If you do, this attack does 40 damage plus 20 more damage for each Energy card you discarded.""}]",Magma Storm,40+,"You may discard as many basic Energy cards as you like attached to Heatran. If you do, this attack does 40 damage plus 20 more damage for each Energy card you discarded.",Water:×2,,Colorless__Colorless__Colorless__Colorless,,Kent Kanetsuna,It dwells in volcanic caves. It digs in with its cross-shaped feet to crawl on ceilings and walls.,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,dp6-7,Kingdra,Pokémon,Water,Legends Awakened,7,Rare Holo,https://images.pokemontcg.io/dp6/7_hires.png,https://images.pokemontcg.io/dp6/7.png,130,,"[{""name"": ""Aqua Stream"", ""cost"": [], ""convertedEnergyCost"": 0, ""damage"": ""10×"", ""text"": ""Search your discard pile for as many Water Energy cards as you like, show them to your opponent, and this attack does 10 damage for each Water Energy card you chose. Put those cards on top of your deck. Shuffle your deck afterward.""}, {""name"": ""Dragon Pump"", ""cost"": [""Water""], ""convertedEnergyCost"": 1, ""damage"": ""40+"", ""text"": ""You may discard 2 cards from your hand. If you do, this attack does 40 damage plus 20 more damage and does 20 damage to 1 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}]",Aqua Stream|Dragon Pump,10×|40+,"Search your discard pile for as many Water Energy cards as you like, show them to your opponent, and this attack does 10 damage for each Water Energy card you chose. Put those cards on top of your deck. Shuffle your deck afterward.|You may discard 2 cards from your hand. If you do, this attack does 40 damage plus 20 more damage and does 20 damage to 1 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)",Lightning:+30,,Colorless,Seadra,Mitsuhiro Arita,It lives in caves on the seafloor and creates giant whirlpools every time it moves.,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,dp6-8,Luxray,Pokémon,Lightning,Legends Awakened,8,Rare Holo,https://images.pokemontcg.io/dp6/8_hires.png,https://images.pokemontcg.io/dp6/8.png,120,"[{""name"": ""Rivalry"", ""text"": ""If your opponent has any Pokémon LV.X in play, each of Luxray's attacks does 50 more damage to the Active Pokémon (before applying Weakness and Resistance)."", ""type"": ""Poké-Body""}]","[{""name"": ""Plasma"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""40"", ""text"": ""Search your discard pile for a Lightning Energy card and attach it to Luxray.""}, {""name"": ""Shock Bolt"", ""cost"": [""Lightning"", ""Lightning"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""100"", ""text"": ""Discard all Lightning Energy attached to Luxray.""}]",Plasma|Shock Bolt,40|100,Search your discard pile for a Lightning Energy card and attach it to Luxray.|Discard all Lightning Energy attached to Luxray.,Fighting:+30,Metal:-20,,Luxio,Mitsuhiro Arita,It has eyes that can see through anything. It spots and captures prey hiding behind objects.,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,dp6-9,Mamoswine,Pokémon,Water,Legends Awakened,9,Rare Holo,https://images.pokemontcg.io/dp6/9_hires.png,https://images.pokemontcg.io/dp6/9.png,140,,"[{""name"": ""Ice Fang"", ""cost"": [""Water"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""40"", ""text"": ""Flip a coin. If heads, the Defending Pokémon is now Paralyzed and discard an Energy card attached to the Defending Pokémon.""}, {""name"": ""Charge Through"", ""cost"": [""Fighting"", ""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""60+"", ""text"": ""You may do 60 damage plus 40 more damage and 40 damage to 1 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.) If you do, Mamoswine does 40 damage to itself.""}]",Ice Fang|Charge Through,40|60+,"Flip a coin. If heads, the Defending Pokémon is now Paralyzed and discard an Energy card attached to the Defending Pokémon.|You may do 60 damage plus 40 more damage and 40 damage to 1 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.) If you do, Mamoswine does 40 damage to itself.",Metal:+40,Lightning:-20,Colorless__Colorless__Colorless__Colorless,Piloswine,Kouki Saitou,Its impressive tusks are made of ice. The population thinned when it turned warm after the ice age.,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,dp6-10,Metagross,Pokémon,Metal,Legends Awakened,10,Rare Holo,https://images.pokemontcg.io/dp6/10_hires.png,https://images.pokemontcg.io/dp6/10.png,120,"[{""name"": ""Magnetic Reversal"", ""text"": ""Once during your turn (before your attack), you may flip a coin. If heads, switch 1 of your opponent's Benched Pokémon with 1 of the Defending Pokémon. This power can't be used if Metagross is affected by a Special Condition."", ""type"": ""Poké-Power""}]","[{""name"": ""Extra Comet Punch"", ""cost"": [""Metal"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""50"", ""text"": ""During your next turn, Metagross's Extra Comet Punch attack's base damage is 100.""}]",Extra Comet Punch,50,"During your next turn, Metagross's Extra Comet Punch attack's base damage is 100.",Fire:+30,Psychic:-20,Colorless__Colorless__Colorless,Metang,Kent Kanetsuna,"Metang combined to form it. With four brains, it has the intelligence of a supercomputer.",,,,,,,,,,,,,,,,,,,,,,,,,
