Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,swsh11-1,Oddish,Pokémon,Grass,Lost Origin,1,Common,https://images.pokemontcg.io/swsh11/1_hires.png,https://images.pokemontcg.io/swsh11/1.png,50,,"[{""name"": ""Ram"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": """"}]",Ram,30,,Fire:×2,,Colorless,,Miki Tanaka,"If exposed to moonlight, it starts to move. It roams far and wide at night to scatter its seeds.",,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,swsh11-2,Gloom,Pokémon,Grass,Lost Origin,2,Uncommon,https://images.pokemontcg.io/swsh11/2_hires.png,https://images.pokemontcg.io/swsh11/2.png,80,,"[{""name"": ""Absorb"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": ""Heal 30 damage from this Pokémon.""}]",Absorb,30,Heal 30 damage from this Pokémon.,Fire:×2,,Colorless__Colorless,Oddish,Tomokazu Komiya,Its pistils exude an incredibly foul odor. The horrid stench can cause fainting at a distance of 1.25 miles.,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,swsh11-3,Vileplume,Pokémon,Grass,Lost Origin,3,Rare Holo,https://images.pokemontcg.io/swsh11/3_hires.png,https://images.pokemontcg.io/swsh11/3.png,150,,"[{""name"": ""Mega Drain"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""50"", ""text"": ""Heal 30 damage from this Pokémon.""}, {""name"": ""Allergy Storm"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""90"", ""text"": ""Flip a coin. If heads, during your opponent's next turn, they can't play any Supporter cards from their hand. If tails, during your opponent's next turn, they can't play any Item cards from their hand.""}]",Mega Drain|Allergy Storm,50|90,"Heal 30 damage from this Pokémon.|Flip a coin. If heads, during your opponent's next turn, they can't play any Supporter cards from their hand. If tails, during your opponent's next turn, they can't play any Item cards from their hand.",Fire:×2,,Colorless__Colorless,Gloom,Jiro Sasumo,"It has the world's largest petals. With every step, the petals shake out heavy clouds of toxic pollen.",,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,swsh11-4,Paras,Pokémon,Grass,Lost Origin,4,Common,https://images.pokemontcg.io/swsh11/4_hires.png,https://images.pokemontcg.io/swsh11/4.png,70,,"[{""name"": ""Absorb"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": ""Heal 10 damage from this Pokémon.""}]",Absorb,20,Heal 10 damage from this Pokémon.,Fire:×2,,Colorless,,Mizue,"The mushrooms, known as tochukaso, are controlling the bug. Even if the bug bugs the mushrooms, they tell it to bug off.",,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,swsh11-5,Parasect,Pokémon,Grass,Lost Origin,5,Rare,https://images.pokemontcg.io/swsh11/5_hires.png,https://images.pokemontcg.io/swsh11/5.png,120,"[{""name"": ""Lethargy Spores"", ""text"": ""When you play this Pokémon from your hand to evolve 1 of your Pokémon during your turn, you may make both Active Pokémon Asleep and Poisoned."", ""type"": ""Ability""}]","[{""name"": ""X-Scissor"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""50+"", ""text"": ""Flip a coin. If heads, this attack does 50 more damage.""}]",X-Scissor,50+,"Flip a coin. If heads, this attack does 50 more damage.",Fire:×2,,Colorless__Colorless,Paras,Pani Kobayashi,"The bug is mostly dead, with the mushroom on its back having become the main body. If the mushroom comes off, the bug stops moving.",,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,swsh11-6,Wurmple,Pokémon,Grass,Lost Origin,6,Common,https://images.pokemontcg.io/swsh11/6_hires.png,https://images.pokemontcg.io/swsh11/6.png,60,,"[{""name"": ""Sting"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}, {""name"": ""Creepy-Crawly Congregation"", ""cost"": [""Grass"", ""Grass"", ""Grass""], ""convertedEnergyCost"": 3, ""damage"": """", ""text"": ""Search your deck for any number of Wurmple, Silcoon, Beautifly, Cascoon, and Dustox, reveal them, and put them into your hand. Then, shuffle your deck.""}]",Sting|Creepy-Crawly Congregation,10|,"|Search your deck for any number of Wurmple, Silcoon, Beautifly, Cascoon, and Dustox, reveal them, and put them into your hand. Then, shuffle your deck.",Fire:×2,,Colorless,,ryoma uratsuka,It lives among the tall grass and in forests. It repels attacks by raising up the spikes on its rear.,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,swsh11-7,Silcoon,Pokémon,Grass,Lost Origin,7,Uncommon,https://images.pokemontcg.io/swsh11/7_hires.png,https://images.pokemontcg.io/swsh11/7.png,80,,"[{""name"": ""Entangling String"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Flip a coin. If heads, during your opponent's next turn, the Defending Pokémon can't attack.""}, {""name"": ""Ram"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": """"}]",Entangling String|Ram,|30,"Flip a coin. If heads, during your opponent's next turn, the Defending Pokémon can't attack.|",Fire:×2,,Colorless__Colorless__Colorless,Wurmple,Kagemaru Himeno,It drinks dew that collects on its silk and waits for evolution. Its hard cocoon repels attacks.,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,swsh11-8,Beautifly,Pokémon,Grass,Lost Origin,8,Rare Holo,https://images.pokemontcg.io/swsh11/8_hires.png,https://images.pokemontcg.io/swsh11/8.png,130,"[{""name"": ""Stoked Straw"", ""text"": ""Once during your turn, you may draw cards until you have 6 cards in your hand."", ""type"": ""Ability""}]","[{""name"": ""Mega Drain"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""70"", ""text"": ""Heal 30 damage from this Pokémon.""}]",Mega Drain,70,Heal 30 damage from this Pokémon.,Fire:×2,,Colorless,Silcoon,Yuu Nishida,"It has an aggressive nature. It stabs prey with its long, narrow mouth to drain the prey's fluids.",,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,swsh11-9,Cascoon,Pokémon,Grass,Lost Origin,9,Uncommon,https://images.pokemontcg.io/swsh11/9_hires.png,https://images.pokemontcg.io/swsh11/9.png,80,,"[{""name"": ""Harden"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""During your opponent's next turn, prevent all damage done to this Pokémon by attacks if that damage is 60 or less.""}, {""name"": ""Rolling Tackle"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": """"}]",Harden|Rolling Tackle,|20,"During your opponent's next turn, prevent all damage done to this Pokémon by attacks if that damage is 60 or less.|",Fire:×2,,Colorless__Colorless__Colorless,Wurmple,GOSSAN,"It never forgets any attack it endured while in the cocoon. After evolution, it seeks payback.",,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,swsh11-10,Dustox,Pokémon,Grass,Lost Origin,10,Rare,https://images.pokemontcg.io/swsh11/10_hires.png,https://images.pokemontcg.io/swsh11/10.png,140,,"[{""name"": ""Nadir Powder"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": """", ""text"": ""Your opponent's Active Pokémon is now Confused and Poisoned. During Pokémon Checkup, put 8 damage counters on that Pokémon instead of 1.""}, {""name"": ""Cutting Wind"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""110"", ""text"": """"}]",Nadir Powder|Cutting Wind,|110,"Your opponent's Active Pokémon is now Confused and Poisoned. During Pokémon Checkup, put 8 damage counters on that Pokémon instead of 1.|",Fire:×2,,Colorless,Cascoon,Mitsuhiro Arita,Tends to be drawn to bonfires on dark nights. Difficult to chase away from settlements because of the way it scatters highly toxic scales.,,,,,,,,,,,,,,,,,,,,,,,,,
