Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,sm8-1,Tangela,Pokémon,Grass,Lost Thunder,1,Common,https://images.pokemontcg.io/sm8/1_hires.png,https://images.pokemontcg.io/sm8/1.png,80,,"[{""name"": ""Gentle Slap"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": """"}, {""name"": ""Bind"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""40"", ""text"": ""Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.""}]",Gentle Slap|Bind,20|40,"|Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.",Fire:×2,,Colorless__Colorless,,Ken Sugimori,It tangles any moving thing with its vines. Their subtle shaking is ticklish if you get ensnared.,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,sm8-2,Tangrowth,Pokémon,Grass,Lost Thunder,2,Rare,https://images.pokemontcg.io/sm8/2_hires.png,https://images.pokemontcg.io/sm8/2.png,140,,"[{""name"": ""Hefty Whip"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""30+"", ""text"": ""If this Pokémon was healed during this turn, this attack does 130 more damage.""}, {""name"": ""Whip Smash"", ""cost"": [""Grass"", ""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""110"", ""text"": """"}]",Hefty Whip|Whip Smash,30+|110,"If this Pokémon was healed during this turn, this attack does 130 more damage.|",Fire:×2,,Colorless__Colorless__Colorless,Tangela,Atsuko Nishida,"Its vines grow so profusely that, in the warm season, you can't even see its eyes.",,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,sm8-3,Scyther,Pokémon,Grass,Lost Thunder,3,Common,https://images.pokemontcg.io/sm8/3_hires.png,https://images.pokemontcg.io/sm8/3.png,80,,"[{""name"": ""Fury Cutter"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""10+"", ""text"": ""Flip 3 coins. If 1 of them is heads, this attack does 20 more damage. If 2 of them are heads, this attack does 50 more damage. If all of them are heads, this attack does 70 more damage.""}]",Fury Cutter,10+,"Flip 3 coins. If 1 of them is heads, this attack does 20 more damage. If 2 of them are heads, this attack does 50 more damage. If all of them are heads, this attack does 70 more damage.",Fire:×2,,Colorless,,Kouki Saitou,"While young, they live together deep in the mountains, training themselves in how to fight with their scythes and move at high speeds.",,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,sm8-4,Pinsir,Pokémon,Grass,Lost Thunder,4,Uncommon,https://images.pokemontcg.io/sm8/4_hires.png,https://images.pokemontcg.io/sm8/4.png,110,,"[{""name"": ""Grip and Squeeze"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": ""The Defending Pokémon can't retreat during your opponent's next turn.""}, {""name"": ""Hammer In"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""70"", ""text"": """"}]",Grip and Squeeze|Hammer In,20|70,The Defending Pokémon can't retreat during your opponent's next turn.|,Fire:×2,,Colorless__Colorless,,Suwama Chiaki,One solid blow from its horns is enough to split apart a large tree. Its greatest rival in Alola is Vikavolt.,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,sm8-5,Chikorita,Pokémon,Grass,Lost Thunder,5,Common,https://images.pokemontcg.io/sm8/5_hires.png,https://images.pokemontcg.io/sm8/5.png,60,,"[{""name"": ""Synthesis"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Search your deck for a Grass Energy card and attach it to 1 of your Pokémon. Then, shuffle your deck.""}, {""name"": ""Razor Leaf"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": """"}]",Synthesis|Razor Leaf,|20,"Search your deck for a Grass Energy card and attach it to 1 of your Pokémon. Then, shuffle your deck.|",Fire:×2,,Colorless,,Aya Kusube,It uses the leaf on its head to determine the temperature and humidity. It loves to sunbathe.,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,sm8-6,Chikorita,Pokémon,Grass,Lost Thunder,6,Common,https://images.pokemontcg.io/sm8/6_hires.png,https://images.pokemontcg.io/sm8/6.png,70,,"[{""name"": ""Mini Drain"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": ""Heal 10 damage from this Pokémon.""}]",Mini Drain,10,Heal 10 damage from this Pokémon.,Fire:×2,,Colorless,,sowsow,It uses the leaf on its head to determine the temperature and humidity. It loves to sunbathe.,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,sm8-7,Bayleef,Pokémon,Grass,Lost Thunder,7,Uncommon,https://images.pokemontcg.io/sm8/7_hires.png,https://images.pokemontcg.io/sm8/7.png,100,,"[{""name"": ""Soothing Scent"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": ""Your opponent's Active Pokémon is now Asleep.""}, {""name"": ""Razor Leaf"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""50"", ""text"": """"}]",Soothing Scent|Razor Leaf,20|50,Your opponent's Active Pokémon is now Asleep.|,Fire:×2,,Colorless__Colorless,Chikorita,Kagemaru Himeno,The buds that ring its neck give off a spicy aroma that perks people up.,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,sm8-8,Meganium,Pokémon,Grass,Lost Thunder,8,Rare Holo,https://images.pokemontcg.io/sm8/8_hires.png,https://images.pokemontcg.io/sm8/8.png,150,"[{""name"": ""Quick-Ripening Herb"", ""text"": ""Once during your turn (before your attack), you may use this Ability. Choose 1 of your Basic Pokémon in play. If you have a Stage 2 card in your hand that evolves from that Pokémon, put that card onto the Basic Pokémon to evolve it. You can use this Ability during your first turn or on a Pokémon that was put into play this turn."", ""type"": ""Ability""}]","[{""name"": ""Solar Beam"", ""cost"": [""Grass"", ""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""110"", ""text"": """"}]",Solar Beam,110,,Fire:×2,,Colorless__Colorless,Bayleef,nagimiso,Meganium's breath has the power to revive dead grass and plants. It can make them healthy again.,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,sm8-9,Spinarak,Pokémon,Grass,Lost Thunder,9,Common,https://images.pokemontcg.io/sm8/9_hires.png,https://images.pokemontcg.io/sm8/9.png,50,,"[{""name"": ""Spider Scram"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Your opponent's Active Pokémon is now Paralyzed and Poisoned. Put this Pokémon and all cards attached to it in the Lost Zone.""}, {""name"": ""Sting"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}]",Spider Scram|Sting,|10,Your opponent's Active Pokémon is now Paralyzed and Poisoned. Put this Pokémon and all cards attached to it in the Lost Zone.|,Fire:×2,,Colorless,,Misa Tsutsui,Some fishermen weave its sturdy thread into nets to catch fish Pokémon.,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,sm8-10,Ariados,Pokémon,Grass,Lost Thunder,10,Uncommon,https://images.pokemontcg.io/sm8/10_hires.png,https://images.pokemontcg.io/sm8/10.png,110,,"[{""name"": ""Trapping Thread"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": ""Whenever your opponent plays an Item or Supporter card from their hand during their next turn, prevent all effects of that card done to the Defending Pokémon.""}, {""name"": ""Poison Jab"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""70"", ""text"": ""Your opponent's Active Pokémon is now Poisoned.""}]",Trapping Thread|Poison Jab,30|70,"Whenever your opponent plays an Item or Supporter card from their hand during their next turn, prevent all effects of that card done to the Defending Pokémon.|Your opponent's Active Pokémon is now Poisoned.",Fire:×2,,Colorless,Spinarak,Suwama Chiaki,It spins thread from both its rear and its mouth. Then it wraps its prey up in thread and sips their bodily fluids at its leisure.,,,,,,,,,,,,,,,,,,,,,,,,,
