Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,dp5-1,Articuno,Pokémon,Water,Majestic Dawn,1,Rare Holo,https://images.pokemontcg.io/dp5/1_hires.png,https://images.pokemontcg.io/dp5/1.png,100,"[{""name"": ""Freezing Screech"", ""text"": ""Once during your turn, when you put Articuno from your hand onto your Bench, you may flip a coin. If heads, choose 1 of the Defending Pokémon. That Pokémon is now Paralyzed."", ""type"": ""Poké-Power""}]","[{""name"": ""Blizzard"", ""cost"": [""Water"", ""Water"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""60"", ""text"": ""Flip a coin. If heads, this attack does 10 damage to each of your opponent's Benched Pokémon. If tails, this attack does 10 damage to each of your Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}]",Blizzard,60,"Flip a coin. If heads, this attack does 10 damage to each of your opponent's Benched Pokémon. If tails, this attack does 10 damage to each of your Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)",Metal:×2,Fighting:-20,Colorless__Colorless,,Masakazu Fukuda,A legendary bird Pokémon. It can create blizzards by freezing moisture in the air.,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,dp5-2,Cresselia,Pokémon,Psychic,Majestic Dawn,2,Rare Holo,https://images.pokemontcg.io/dp5/2_hires.png,https://images.pokemontcg.io/dp5/2.png,70,,"[{""name"": ""Future Sight"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Look at the top 5 cards of either player's deck and put them back on top of that player's deck in any order.""}, {""name"": ""Healing Light"", ""cost"": [""Psychic"", ""Psychic"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""40"", ""text"": ""Remove 1 damage counter from each of your Pokémon.""}]",Future Sight|Healing Light,|40,Look at the top 5 cards of either player's deck and put them back on top of that player's deck in any order.|Remove 1 damage counter from each of your Pokémon.,Psychic:+20,,Colorless,,Mitsuhiro Arita,Shiny particles are released from its wings like a veil. It is said to represent the crescent moon.,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,dp5-3,Darkrai,Pokémon,Darkness,Majestic Dawn,3,Rare Holo,https://images.pokemontcg.io/dp5/3_hires.png,https://images.pokemontcg.io/dp5/3.png,80,"[{""name"": ""Darkness Shade"", ""text"": ""Once during your turn, when you put Darkrai from your hand onto your Bench, you may choose 1 of the Defending Pokémon. That Pokémon is now Asleep."", ""type"": ""Poké-Power""}]","[{""name"": ""Dark Slumber"", ""cost"": [""Darkness""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": ""At the end of your opponent's next turn, the Defending Pokémon is now Asleep.""}, {""name"": ""Dark Resolve"", ""cost"": [""Darkness"", ""Darkness"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""40"", ""text"": ""If the Defending Pokémon is Asleep, remove 4 damage counters from Darkrai.""}]",Dark Slumber|Dark Resolve,10|40,"At the end of your opponent's next turn, the Defending Pokémon is now Asleep.|If the Defending Pokémon is Asleep, remove 4 damage counters from Darkrai.",Fighting:+20,Psychic:-20,Colorless__Colorless,,Mitsuhiro Arita,It can lull people to sleep and make them dream. It is active during nights of the new moon.,,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,dp5-4,Dialga,Pokémon,Metal,Majestic Dawn,4,Rare Holo,https://images.pokemontcg.io/dp5/4_hires.png,https://images.pokemontcg.io/dp5/4.png,100,,"[{""name"": ""Time Shift"", ""cost"": [""Metal""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Draw cards until you have 6 cards in your hand.""}, {""name"": ""Diamond Blast"", ""cost"": [""Metal"", ""Metal"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""60+"", ""text"": ""Flip a coin. If heads, this attack does 60 damage plus 20 more damage.""}]",Time Shift|Diamond Blast,|60+,"Draw cards until you have 6 cards in your hand.|Flip a coin. If heads, this attack does 60 damage plus 20 more damage.",Fire:+20,Psychic:-20,Colorless__Colorless__Colorless,,Masakazu Fukuda,,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,dp5-5,Glaceon,Pokémon,Water,Majestic Dawn,5,Rare Holo,https://images.pokemontcg.io/dp5/5_hires.png,https://images.pokemontcg.io/dp5/5.png,80,,"[{""name"": ""Snow Cloak"", ""cost"": [""Water""], ""convertedEnergyCost"": 1, ""damage"": ""30"", ""text"": ""Flip a coin. If heads, prevent all effects of an attack, including damage, done to Glaceon during your opponent's next turn.""}, {""name"": ""Speed Slide"", ""cost"": [""Water"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""60"", ""text"": ""This attack's damage isn't affected by Resistance, Poké-Powers, Poké-Bodies, or any other effects on the Defending Pokémon.""}]",Snow Cloak|Speed Slide,30|60,"Flip a coin. If heads, prevent all effects of an attack, including damage, done to Glaceon during your opponent's next turn.|This attack's damage isn't affected by Resistance, Poké-Powers, Poké-Bodies, or any other effects on the Defending Pokémon.",Metal:+20,,Colorless,Eevee,Atsuko Nishida,"As a protective technique, it can completely freeze its fur to make its hairs stand like needles.",,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,dp5-6,Kabutops,Pokémon,Fighting,Majestic Dawn,6,Rare Holo,https://images.pokemontcg.io/dp5/6_hires.png,https://images.pokemontcg.io/dp5/6.png,120,"[{""name"": ""Primal Shell"", ""text"": ""As long as Kabutops is your Active Pokémon, your opponent can't play any Trainer cards from his or her hand."", ""type"": ""Poké-Body""}]","[{""name"": ""Chop Up"", ""cost"": [""Fighting"", ""Fighting"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""70"", ""text"": ""Does 10 damage to each of your opponent's Benched Pokémon that has any damage counters on it. (Don't apply Weakness and Resistance for Benched Pokémon.)""}]",Chop Up,70,Does 10 damage to each of your opponent's Benched Pokémon that has any damage counters on it. (Don't apply Weakness and Resistance for Benched Pokémon.),Grass:+30,,Colorless__Colorless,Kabuto,Kouki Saitou,It is thought that this Pokémon came onto land because its prey adapted to life on land.,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,dp5-7,Leafeon,Pokémon,Grass,Majestic Dawn,7,Rare Holo,https://images.pokemontcg.io/dp5/7_hires.png,https://images.pokemontcg.io/dp5/7.png,90,,"[{""name"": ""Bind Down"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""30"", ""text"": ""The Defending Pokémon can't retreat during your opponent's next turn.""}, {""name"": ""Leaf Guard"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""60"", ""text"": ""During your opponent's next turn, any damage done to Leafeon by attacks is reduced by 20 (after applying Weakness and Resistance).""}]",Bind Down|Leaf Guard,30|60,"The Defending Pokémon can't retreat during your opponent's next turn.|During your opponent's next turn, any damage done to Leafeon by attacks is reduced by 20 (after applying Weakness and Resistance).",Fire:+20,Water:-20,Colorless__Colorless,Eevee,Kouki Saitou,"Just like a plant, it uses photosynthesis. As a result, it is always enveloped in clear air.",,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,dp5-8,Manaphy,Pokémon,Water,Majestic Dawn,8,Rare Holo,https://images.pokemontcg.io/dp5/8_hires.png,https://images.pokemontcg.io/dp5/8.png,70,"[{""name"": ""Aqua Skin"", ""text"": ""When you attach a Water Energy card from your hand to Manaphy, remove 2 damage counters from Manaphy."", ""type"": ""Poké-Body""}]","[{""name"": ""Chase Up"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Flip a coin. If heads, search your deck for any 1 card and put it into your hand. Shuffle your deck afterward.""}, {""name"": ""Fountain"", ""cost"": [""Water"", ""Water""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": ""You may attach up to 2 basic Water Energy cards from your hand to your Benched Pokémon in any way you like.""}]",Chase Up|Fountain,|30,"Flip a coin. If heads, search your deck for any 1 card and put it into your hand. Shuffle your deck afterward.|You may attach up to 2 basic Water Energy cards from your hand to your Benched Pokémon in any way you like.",Lightning:+20,,Colorless,,Suwama Chiaki,"Born on a cold seafloor, it will swim great distances to return to its birthplace.",,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,dp5-9,Mewtwo,Pokémon,Psychic,Majestic Dawn,9,Rare Holo,https://images.pokemontcg.io/dp5/9_hires.png,https://images.pokemontcg.io/dp5/9.png,90,,"[{""name"": ""Energy Absorption"", ""cost"": [], ""convertedEnergyCost"": 0, ""damage"": """", ""text"": ""Search your discard pile for up to 2 Energy cards and attach them to Mewtwo.""}, {""name"": ""Recover"", ""cost"": [""Psychic""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Discard a Psychic Energy attached to Mewtwo and remove 6 damage counters from Mewtwo.""}, {""name"": ""Psyburn"", ""cost"": [""Psychic"", ""Psychic"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""60"", ""text"": """"}]",Energy Absorption|Recover|Psyburn,||60,Search your discard pile for up to 2 Energy cards and attach them to Mewtwo.|Discard a Psychic Energy attached to Mewtwo and remove 6 damage counters from Mewtwo.|,Psychic:×2,,Colorless__Colorless,,Kent Kanetsuna,A Pokémon created by recombining Mew's genes. It's said to have the most savage heart among Pokémon.,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,dp5-10,Moltres,Pokémon,Fire,Majestic Dawn,10,Rare Holo,https://images.pokemontcg.io/dp5/10_hires.png,https://images.pokemontcg.io/dp5/10.png,100,"[{""name"": ""Flame Charge"", ""text"": ""Once during your turn, when you put Moltres from your hand onto your Bench, you may flip a coin. If heads, search your discard pile for up to 3 Fire Energy cards and attach them to Moltres."", ""type"": ""Poké-Power""}]","[{""name"": ""Scorching Wing"", ""cost"": [""Fire"", ""Fire"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""100"", ""text"": ""Discard all Fire Energy attached to Moltres.""}]",Scorching Wing,100,Discard all Fire Energy attached to Moltres.,Water:×2,Fighting:-20,Colorless__Colorless,,Kagemaru Himeno,One of the legendary bird Pokémon. It is said that its appearance indicates the coming of spring.,,,,,,,,,,,,,,,,,,,,,,,,,
