Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,mcd12-1,Servine,Pokémon,Grass,McDonald's Collection 2012,1,Promo,https://images.pokemontcg.io/mcd12/1_hires.png,https://images.pokemontcg.io/mcd12/1.png,,,,,,0.99,1.98,7.99,2.74,,,,,,,,,,,,,,,,
001.jpg,mcd12-2,Pansage,Pokémon,Grass,McDonald's Collection 2012,2,Promo,https://images.pokemontcg.io/mcd12/2_hires.png,https://images.pokemontcg.io/mcd12/2.png,,,,,,2.5,4.99,8.98,3.22,,,,,,,,,,,,,,,,
002.jpg,mcd12-3,Dwebble,Pokémon,Grass,McDonald's Collection 2012,3,Promo,https://images.pokemontcg.io/mcd12/3_hires.png,https://images.pokemontcg.io/mcd12/3.png,,,,,,4.4,13.99,199.99,11.3,4.69,,,,,,,,,,,,,,,
003.jpg,mcd12-4,Pignite,Pokémon,Fire,McDonald's Collection 2012,4,Promo,https://images.pokemontcg.io/mcd12/4_hires.png,https://images.pokemontcg.io/mcd12/4.png,,,,,,2.29,2.46,9.99,4.25,,,,,,,,,,,,,,,,
004.jpg,mcd12-5,Dewott,Pokémon,Water,McDonald's Collection 2012,5,Promo,https://images.pokemontcg.io/mcd12/5_hires.png,https://images.pokemontcg.io/mcd12/5.png,,,,,,2.1,2.61,2.95,3.99,,,,,,,,,,,,,,,,
005.jpg,mcd12-6,Emolga,Pokémon,Lightning,McDonald's Collection 2012,6,Promo,https://images.pokemontcg.io/mcd12/6_hires.png,https://images.pokemontcg.io/mcd12/6.png,,,,,,9.98,11.75,14.99,6.68,,,,,,,,,,,,,,,,
006.jpg,mcd12-7,Woobat,Pokémon,Psychic,McDonald's Collection 2012,7,Promo,https://images.pokemontcg.io/mcd12/7_hires.png,https://images.pokemontcg.io/mcd12/7.png,,,,,,2.0,3.44,28.99,3.5,,,,,,,,,,,,,,,,
007.jpg,mcd12-8,Drilbur,Pokémon,Fighting,McDonald's Collection 2012,8,Promo,https://images.pokemontcg.io/mcd12/8_hires.png,https://images.pokemontcg.io/mcd12/8.png,,,,,,1.25,2.04,9.99,2.08,,,,,,,,,,,,,,,,
008.jpg,mcd12-9,Purrloin,Pokémon,Darkness,McDonald's Collection 2012,9,Promo,https://images.pokemontcg.io/mcd12/9_hires.png,https://images.pokemontcg.io/mcd12/9.png,,,,,,3.39,5.43,7.49,4.13,,,,,,,,,,,,,,,,
009.jpg,mcd12-10,Scraggy,Pokémon,Darkness,McDonald's Collection 2012,10,Promo,https://images.pokemontcg.io/mcd12/10_hires.png,https://images.pokemontcg.io/mcd12/10.png,,,,,,2.79,5.27,9.0,4.86,,,,,,,,,,,,,,,,
010.jpg,mcd12-11,Klang,Pokémon,Metal,McDonald's Collection 2012,11,Promo,https://images.pokemontcg.io/mcd12/11_hires.png,https://images.pokemontcg.io/mcd12/11.png,,,,,,1.0,1.89,2.99,1.99,,,,,,,,,,,,,,,,
011.jpg,mcd12-12,Axew,Pokémon,Colorless,McDonald's Collection 2012,12,Promo,https://images.pokemontcg.io/mcd12/12_hires.png,https://images.pokemontcg.io/mcd12/12.png,,,,,,3.95,5.57,7.44,6.82,,,,,,,,,,,,,,,,
