Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,mcd14-1,Weedle,Pokémon,Grass,McDonald's Collection 2014,1,,https://images.pokemontcg.io/mcd14/1_hires.png,https://images.pokemontcg.io/mcd14/1.png,40,,"[{""name"": ""String Shot"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": ""Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.""}]",String Shot,10,"Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.",Fire:×2,,Colorless,,Akira Komayama,"Often found in forests and grasslands. It has a sharp, toxic barb of around two inches on top of its head.",,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,mcd14-2,Chespin,Pokémon,Grass,McDonald's Collection 2014,2,,https://images.pokemontcg.io/mcd14/2_hires.png,https://images.pokemontcg.io/mcd14/2.png,60,,"[{""name"": ""Vine Whip"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}, {""name"": ""Seed Bomb"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": """"}]",Vine Whip|Seed Bomb,10|20,|,Fire:×2,,Colorless,,5ban Graphics,"The quills on its head are usually soft. When it flexes them, the points become so hard and sharp that they can pierce rock.",,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,mcd14-3,Fennekin,Pokémon,Fire,McDonald's Collection 2014,3,,https://images.pokemontcg.io/mcd14/3_hires.png,https://images.pokemontcg.io/mcd14/3.png,60,,"[{""name"": ""Scratch"", ""cost"": [""Fire""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}, {""name"": ""Live Coal"", ""cost"": [""Fire"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": """"}]",Scratch|Live Coal,10|20,|,Water:×2,,Colorless,,5ban Graphics,"Eating a twig fills it with energy, and its roomy ears give vent to air hotter than 390 degrees Fahrenheit.",,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,mcd14-4,Froakie,Pokémon,Water,McDonald's Collection 2014,4,,https://images.pokemontcg.io/mcd14/4_hires.png,https://images.pokemontcg.io/mcd14/4.png,60,,"[{""name"": ""Pound"", ""cost"": [""Water""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}, {""name"": ""Water Drip"", ""cost"": [""Water"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": """"}]",Pound|Water Drip,10|20,|,Grass:×2,,Colorless,,5ban Graphics,It secretes flexible bubbles from its chest and back. The bubbles reduce the damage it would otherwise take when attacked.,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,mcd14-5,Pikachu,Pokémon,Lightning,McDonald's Collection 2014,5,,https://images.pokemontcg.io/mcd14/5_hires.png,https://images.pokemontcg.io/mcd14/5.png,60,,"[{""name"": ""Nuzzle"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.""}, {""name"": ""Quick Attack"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20+"", ""text"": ""Flip a coin. If heads, this attack does 10 more damage.""}]",Nuzzle|Quick Attack,|20+,"Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.|Flip a coin. If heads, this attack does 10 more damage.",Fighting:×2,Metal:-20,Colorless,,MAHOU,It raises its tail to check its surroundings. The tail is sometimes struck by lightning in this pose.,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,mcd14-6,Inkay,Pokémon,Darkness,McDonald's Collection 2014,6,,https://images.pokemontcg.io/mcd14/6_hires.png,https://images.pokemontcg.io/mcd14/6.png,60,,"[{""name"": ""Peck"", ""cost"": [""Darkness""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}]",Peck,10,,Fighting:×2,Psychic:-20,Colorless,,5ban Graphics,Opponents who stare at the flashing of the light-emitting spots on its body become dazed and lose their will to fight.,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,mcd14-7,Honedge,Pokémon,Metal,McDonald's Collection 2014,7,,https://images.pokemontcg.io/mcd14/7_hires.png,https://images.pokemontcg.io/mcd14/7.png,60,,"[{""name"": ""Continuous Slash"", ""cost"": [""Metal"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30×"", ""text"": ""Flip a coin until you get tails. This attack does 30 damage times the number of heads.""}]",Continuous Slash,30×,Flip a coin until you get tails. This attack does 30 damage times the number of heads.,Fire:×2,Psychic:-20,Colorless__Colorless,,5ban Graphics,Apparently this Pokémon is born when a departed spirit inhabits a sword. It attaches itself to people and drinks their life force.,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,mcd14-8,Snubbull,Pokémon,Fairy,McDonald's Collection 2014,8,,https://images.pokemontcg.io/mcd14/8_hires.png,https://images.pokemontcg.io/mcd14/8.png,70,,"[{""name"": ""Headbutt"", ""cost"": [""Fairy"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": """"}]",Headbutt,20,,Metal:×2,Darkness:-20,Colorless__Colorless,,Naoki Saito,"It has an active, playful nature. Many women like to frolic with it because of its affectionate ways.",,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,mcd14-9,Swirlix,Pokémon,Fairy,McDonald's Collection 2014,9,,https://images.pokemontcg.io/mcd14/9_hires.png,https://images.pokemontcg.io/mcd14/9.png,60,,"[{""name"": ""Draining Kiss"", ""cost"": [""Fairy""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": ""Heal 10 damage from this Pokémon.""}]",Draining Kiss,10,Heal 10 damage from this Pokémon.,Metal:×2,Darkness:-20,Colorless,,5ban Graphics,"To entangle its opponents in battle, it extrudes white threads as sweet and sticky as cotton candy.",,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,mcd14-10,Bunnelby,Pokémon,Colorless,McDonald's Collection 2014,10,,https://images.pokemontcg.io/mcd14/10_hires.png,https://images.pokemontcg.io/mcd14/10.png,60,,"[{""name"": ""Tackle"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": """"}]",Tackle,20,,Fighting:×2,,Colorless,,5ban Graphics,They use their large ears to dig burrows. They will dig the whole night through.,,,,,,,,,,,,,,,,,,,,,,,,,
