Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,me1-1,Bulbasaur,Pokémon,Grass,Mega Evolution,1,Common,https://images.pokemontcg.io/me1/1_hires.png,https://images.pokemontcg.io/me1/1.png,80,,"[{""name"": ""Bind Down"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": ""During your opponent's next turn, the Defending Pokémon can't retreat.""}]",Bind Down,10,"During your opponent's next turn, the Defending Pokémon can't retreat.",Fire:×2,,Colorless__Colorless,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,me1-2,Ivysaur,Pokémon,Grass,Mega Evolution,2,Common,https://images.pokemontcg.io/me1/2_hires.png,https://images.pokemontcg.io/me1/2.png,110,,"[{""name"": ""Razor Leaf"", ""cost"": [""Grass"", ""Grass""], ""convertedEnergyCost"": 2, ""damage"": ""60"", ""text"": """"}]",Razor Leaf,60,,Fire:×2,,Colorless__Colorless__Colorless,Bulbasaur,,,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,me1-3,Mega Venusaur ex,Pokémon,Grass,Mega Evolution,3,Double Rare,https://images.pokemontcg.io/me1/3_hires.png,https://images.pokemontcg.io/me1/3.png,380,"[{""name"": ""Solar Transfer"", ""text"": ""As often as you like during your turn, you may use this Ability. Move a Basic Grass Energy from 1 of your Pokémon to another of your Pokémon."", ""type"": ""Ability""}]","[{""name"": ""Jungle Dump"", ""cost"": [""Grass"", ""Grass"", ""Grass"", ""Grass""], ""convertedEnergyCost"": 4, ""damage"": ""240"", ""text"": ""Heal 30 damage from this Pokémon.""}]",Jungle Dump,240,Heal 30 damage from this Pokémon.,Fire:×2,,Colorless__Colorless__Colorless__Colorless,Ivysaur,,,,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,me1-4,Exeggcute,Pokémon,Grass,Mega Evolution,4,Common,https://images.pokemontcg.io/me1/4_hires.png,https://images.pokemontcg.io/me1/4.png,60,,"[{""name"": ""Jam-Packed"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Search your deck for a Basic Grass Energy card and attach it to this Pokémon. Then, shuffle your deck.""}]",Jam-Packed,,"Search your deck for a Basic Grass Energy card and attach it to this Pokémon. Then, shuffle your deck.",Fire:×2,,Colorless,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,me1-5,Exeggutor,Pokémon,Grass,Mega Evolution,5,Uncommon,https://images.pokemontcg.io/me1/5_hires.png,https://images.pokemontcg.io/me1/5.png,140,,"[{""name"": ""Guard Press"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""30"", ""text"": ""During your opponent's next turn, this Pokémon takes 30 less damage from attacks (after applying Weakness and Resistance).""}, {""name"": ""Stomping Wood"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""60+"", ""text"": ""This attack does 30 more damage for each Grass Energy attached to this Pokémon.""}]",Guard Press|Stomping Wood,30|60+,"During your opponent's next turn, this Pokémon takes 30 less damage from attacks (after applying Weakness and Resistance).|This attack does 30 more damage for each Grass Energy attached to this Pokémon.",Fire:×2,,Colorless__Colorless,Exeggcute,,,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,me1-6,Tangela,Pokémon,Grass,Mega Evolution,6,Common,https://images.pokemontcg.io/me1/6_hires.png,https://images.pokemontcg.io/me1/6.png,80,,"[{""name"": ""Poison Powder"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Your opponent's Active Pokémon is now Poisoned.""}, {""name"": ""Hook"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""30"", ""text"": """"}]",Poison Powder|Hook,|30,Your opponent's Active Pokémon is now Poisoned.|,Fire:×2,,Colorless__Colorless,,,,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,me1-7,Tangrowth,Pokémon,Grass,Mega Evolution,7,Uncommon,https://images.pokemontcg.io/me1/7_hires.png,https://images.pokemontcg.io/me1/7.png,150,,"[{""name"": ""Absorb"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": ""Heal 30 damage from this Pokémon.""}, {""name"": ""Pumped-Up Whip"", ""cost"": [""Grass"", ""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""120+"", ""text"": ""If this Pokémon has at least 2 extra Energy attached (in addition to this attack's cost), this attack does 140 more damage.""}]",Absorb|Pumped-Up Whip,30|120+,"Heal 30 damage from this Pokémon.|If this Pokémon has at least 2 extra Energy attached (in addition to this attack's cost), this attack does 140 more damage.",Fire:×2,,Colorless__Colorless__Colorless__Colorless,Tangela,,,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,me1-8,Chikorita,Pokémon,Grass,Mega Evolution,8,Common,https://images.pokemontcg.io/me1/8_hires.png,https://images.pokemontcg.io/me1/8.png,70,,"[{""name"": ""Razor Leaf"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": """"}]",Razor Leaf,20,,Fire:×2,,Colorless,,,,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,me1-9,Bayleef,Pokémon,Grass,Mega Evolution,9,Common,https://images.pokemontcg.io/me1/9_hires.png,https://images.pokemontcg.io/me1/9.png,110,,"[{""name"": ""Push Down"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""50"", ""text"": ""Switch out your opponent's Active Pokémon to the Bench. (Your opponent chooses the new Active Pokémon.)""}]",Push Down,50,Switch out your opponent's Active Pokémon to the Bench. (Your opponent chooses the new Active Pokémon.),Fire:×2,,Colorless__Colorless,Chikorita,,,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,me1-10,Meganium,Pokémon,Grass,Mega Evolution,10,Rare,https://images.pokemontcg.io/me1/10_hires.png,https://images.pokemontcg.io/me1/10.png,160,"[{""name"": ""Wild Growth"", ""text"": ""Each Basic Grass Energy attached to all of your Pokémon provides GrassGrass Energy. The effect of Wild Growth doesn't stack."", ""type"": ""Ability""}]","[{""name"": ""Solar Beam"", ""cost"": [""Grass"", ""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""140"", ""text"": """"}]",Solar Beam,140,,Fire:×2,,Colorless__Colorless,Bayleef,,,,,,,,,,,,,,,,,,,,,,,,,,,
