Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,dp2-1,Aggron,Pokémon,Metal,Mysterious Treasures,1,Rare Holo,https://images.pokemontcg.io/dp2/1_hires.png,https://images.pokemontcg.io/dp2/1.png,130,,"[{""name"": ""Heap Up"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""40+"", ""text"": ""Search your discard pile for all Energy cards and show them to your opponent. If you find any Metal Special Energy cards there this attack does 40 damage plus 30 more damage. Put all of those Energy cards on top of your deck. Shuffle your deck afterward.""}, {""name"": ""Hard Metal"", ""cost"": [""Metal"", ""Metal"", ""Metal"", ""Metal""], ""convertedEnergyCost"": 4, ""damage"": ""60+"", ""text"": ""You may do 60 damage plus 40 more damage. If you do, Aggron does 40 damage to itself.""}]",Heap Up|Hard Metal,40+|60+,"Search your discard pile for all Energy cards and show them to your opponent. If you find any Metal Special Energy cards there this attack does 40 damage plus 30 more damage. Put all of those Energy cards on top of your deck. Shuffle your deck afterward.|You may do 60 damage plus 40 more damage. If you do, Aggron does 40 damage to itself.",Fire:+40,Psychic:-20,Colorless__Colorless__Colorless__Colorless,Lairon,Kouki Saitou,"While seeking iron for food, it digs tunnels by breaking through bedrock with its steel horns.",,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,dp2-2,Alakazam,Pokémon,Psychic,Mysterious Treasures,2,Rare Holo,https://images.pokemontcg.io/dp2/2_hires.png,https://images.pokemontcg.io/dp2/2.png,100,"[{""name"": ""Power Cancel"", ""text"": ""Once during your opponent's turn, when your opponent's Pokémon uses any Poké-Power, you may discard 2 cards from your hand and prevent all effects of that Poké-Power. (This counts as that Pokémon using its Poké-Power.) This power can't be used if Alakazam is affected by a Special Condition."", ""type"": ""Poké-Power""}]","[{""name"": ""Psychic Guard"", ""cost"": [""Psychic"", ""Psychic"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""50"", ""text"": ""During your opponent's next turn, any damage done to Alakazam by attacks from your opponent's Stage 2 Evolved Pokémon is reduced by 30 (after applying Weakness and Resistance).""}]",Psychic Guard,50,"During your opponent's next turn, any damage done to Alakazam by attacks from your opponent's Stage 2 Evolved Pokémon is reduced by 30 (after applying Weakness and Resistance).",Psychic:+30,,Colorless,Kadabra,Kouki Saitou,"Its superb memory lets it recall everything it has experienced from birth. Its IQ exceeds 5,000.",,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,dp2-3,Ambipom,Pokémon,Colorless,Mysterious Treasures,3,Rare Holo,https://images.pokemontcg.io/dp2/3_hires.png,https://images.pokemontcg.io/dp2/3.png,80,,"[{""name"": ""Tail Influence"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": ""Your opponent flips a coin until he or she gets heads. For each tails, remove an Energy card attached to the Defending Pokémon and put it on the bottom of your opponent's deck.""}, {""name"": ""Charity Tail"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""80"", ""text"": ""Before Ambipom does damage, your opponent may discard 2 cards from his or her hand. If he or she does, this attack's base damage is 10 instead of 80.""}]",Tail Influence|Charity Tail,30|80,"Your opponent flips a coin until he or she gets heads. For each tails, remove an Energy card attached to the Defending Pokémon and put it on the bottom of your opponent's deck.|Before Ambipom does damage, your opponent may discard 2 cards from his or her hand. If he or she does, this attack's base damage is 10 instead of 80.",Fighting:+20,,Colorless,Aipom,Kouki Saitou,"To eat, it deftly shucks nuts with its two tails. It rarely uses its arms now.",,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,dp2-4,Azelf,Pokémon,Psychic,Mysterious Treasures,4,Rare Holo,https://images.pokemontcg.io/dp2/4_hires.png,https://images.pokemontcg.io/dp2/4.png,60,"[{""name"": ""Downer Material"", ""text"": ""If you have Uxie and Mesprit in play, the attack cost of each of your opponent's Basic Pokémon's attacks is Colorless more. You can't use more than 1 Downer Material Poké-Body each turn."", ""type"": ""Poké-Body""}]","[{""name"": ""Bind Pulse"", ""cost"": [""Psychic""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": ""During your opponent's next turn, your opponent can't attach any Special Energy cards from his or her hand to any of his or her Pokémon.""}]",Bind Pulse,10,"During your opponent's next turn, your opponent can't attach any Special Energy cards from his or her hand to any of his or her Pokémon.",Psychic:+20,,Colorless,,Ryo Ueda,"Known as ""The Being of Willpower."" It sleeps at the bottom of a lake to keep the world in balance.",,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,dp2-5,Blissey,Pokémon,Colorless,Mysterious Treasures,5,Rare Holo,https://images.pokemontcg.io/dp2/5_hires.png,https://images.pokemontcg.io/dp2/5.png,130,"[{""name"": ""Kind Egg"", ""text"": ""Once during your turn (before your attack), if Happiny is anywhere under Blissey, you may choose a number of cards in your hand up to the amount of Energy attached to Blissey and put those cards on top of your deck. Shuffle your deck afterward. Then, draw that many cards. This power can't be used if Blissey is affected by a Special Condition."", ""type"": ""Poké-Power""}]","[{""name"": ""Happy Chance"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""20+"", ""text"": ""Does 20 damage plus 10 for each Energy attached to Blissey. Before doing damage, you may search your discard pile for a basic Energy card and attach it to Blissey.""}]",Happy Chance,20+,"Does 20 damage plus 10 for each Energy attached to Blissey. Before doing damage, you may search your discard pile for a basic Energy card and attach it to Blissey.",Fighting:+30,,Colorless__Colorless__Colorless,Chansey,Kagemaru Himeno,This kindhearted Pokémon nurses sick Pokémon to health. It senses feelings of sadness.,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,dp2-6,Bronzong,Pokémon,Metal,Mysterious Treasures,6,Rare Holo,https://images.pokemontcg.io/dp2/6_hires.png,https://images.pokemontcg.io/dp2/6.png,90,"[{""name"": ""Miracle Oracle"", ""text"": ""Once during your turn (before your attack), you may draw a card. Then, discard a card from your hand. If you discard an Energy card, draw 1 more card. This power can't be used if Bronzong is affected by a Special Condition."", ""type"": ""Poké-Power""}]","[{""name"": ""Shady Stamp"", ""cost"": [""Metal"", ""Metal"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""50"", ""text"": ""The Defending Pokémon is now Confused.""}]",Shady Stamp,50,The Defending Pokémon is now Confused.,Fire:+30,Psychic:-20,Colorless__Colorless__Colorless,Bronzor,Daisuke Ito,"One caused a news sensation when it was dug up at a construction site after a 2,000-year sleep.",,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,dp2-7,Celebi,Pokémon,Grass,Mysterious Treasures,7,Rare Holo,https://images.pokemontcg.io/dp2/7_hires.png,https://images.pokemontcg.io/dp2/7.png,60,,"[{""name"": ""Sprouting"", ""cost"": [], ""convertedEnergyCost"": 0, ""damage"": """", ""text"": ""Search your deck for a Grass Energy card and attach it to Celebi. Shuffle your deck afterward.""}, {""name"": ""Leaf Tornado"", ""cost"": [""Grass"", ""Grass""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": ""You may move any number of basic Grass Energy cards attached to your Pokémon to your other Pokémon in any way you like.""}]",Sprouting|Leaf Tornado,|30,Search your deck for a Grass Energy card and attach it to Celebi. Shuffle your deck afterward.|You may move any number of basic Grass Energy cards attached to your Pokémon to your other Pokémon in any way you like.,Fire:+20,,Colorless,,Kagemaru Himeno,"It has the power to travel across time, but is is said to appear only in peaceful times.",,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,dp2-8,Feraligatr,Pokémon,Water,Mysterious Treasures,8,Rare Holo,https://images.pokemontcg.io/dp2/8_hires.png,https://images.pokemontcg.io/dp2/8.png,130,,"[{""name"": ""Energy Cyclone"", ""cost"": [""Water"", ""Water""], ""convertedEnergyCost"": 2, ""damage"": ""20×"", ""text"": ""Choose as many Energy cards from your hand as you like and show them to your opponent. This attack does 20 damage times the number of Energy cards you chose. Put those Energy cards on top of your deck. Shuffle your deck afterward.""}, {""name"": ""Breaking Tail"", ""cost"": [""Water"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""60"", ""text"": ""Choose 1 card from your opponent's hand without looking and discard it.""}]",Energy Cyclone|Breaking Tail,20×|60,Choose as many Energy cards from your hand as you like and show them to your opponent. This attack does 20 damage times the number of Energy cards you chose. Put those Energy cards on top of your deck. Shuffle your deck afterward.|Choose 1 card from your opponent's hand without looking and discard it.,Lightning:+30,,Colorless__Colorless,Croconaw,Kazuyuki Kano,"It usually moves slowly, but it goes at blinding speed when it attacks and bites prey.",,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,dp2-9,Garchomp,Pokémon,Colorless,Mysterious Treasures,9,Rare Holo,https://images.pokemontcg.io/dp2/9_hires.png,https://images.pokemontcg.io/dp2/9.png,130,"[{""name"": ""Rainbow Scale"", ""text"": ""If an Active Pokémon has Weakness to any of the types of Energy attached to Garchomp, Garchomp's attacks do 40 more damage to that Pokémon (before applying Weakness and Resistance). Rainbow Scale Poké-Body can't be used if Garchomp has any Special Energy cards attached to it."", ""type"": ""Poké-Body""}]","[{""name"": ""Dragon Fang"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""70"", ""text"": """"}]",Dragon Fang,70,,Colorless:+30,,,Gabite,Kazuyuki Kano,"When it folds up its body and extends its wings, it looks like a jet plane. It flies at sonic speed.",,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,dp2-10,Honchkrow,Pokémon,Darkness,Mysterious Treasures,10,Rare Holo,https://images.pokemontcg.io/dp2/10_hires.png,https://images.pokemontcg.io/dp2/10.png,90,"[{""name"": ""Dark Genes"", ""text"": ""As long as Honchkrow has the Energy necessary to use its attack, each of your Murkrow can use Honchkrow's attack as its own without the Energy necessary to use that attack."", ""type"": ""Poké-Body""}]","[{""name"": ""Dark Wing Flaps"", ""cost"": [""Darkness"", ""Darkness"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""50"", ""text"": ""Choose 1 card from your opponent's hand without looking. Look at the card you chose, then have your opponent shuffle that card into his or her deck.""}]",Dark Wing Flaps,50,"Choose 1 card from your opponent's hand without looking. Look at the card you chose, then have your opponent shuffle that card into his or her deck.",Lightning:+20,Fighting:-20,Colorless,Murkrow,Kazuyuki Kano,"Becoming active at night, it is known to swarm with numerous MURKROW in tow.",,,,,,,,,,,,,,,,,,,,,,,,,
