Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,neo4-1,Dark Ampharos,Pokémon,Lightning,Neo Destiny,1,Rare Holo,https://images.pokemontcg.io/neo4/1_hires.png,https://images.pokemontcg.io/neo4/1.png,70,"[{""name"": ""Conductivity"", ""text"": ""Whenever your opponent attaches an Energy card from his or her hand to a Pokémon, this power does 10 damage to that Pokémon. (Don't apply Weakness and Resistance.) This power stops working if you have more than 1 Dark Ampharos in play or while Dark Ampharos is Asleep, Confused, or Paralyzed."", ""type"": ""Pokémon Power""}]","[{""name"": ""Shock Bolt"", ""cost"": [""Lightning"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""50"", ""text"": ""Discard all Lightning Energy cards attached to Dark Ampharos or this attack does nothing.""}]",Shock Bolt,50,Discard all Lightning Energy cards attached to Dark Ampharos or this attack does nothing.,Fighting:×2,,Colorless__Colorless,Dark Flaaffy,Kagemaru Himeno,"Its brightly lit tail can be seen for miles in the dark, even by ships on the sea.",,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,neo4-2,Dark Crobat,Pokémon,Grass,Neo Destiny,2,Rare Holo,https://images.pokemontcg.io/neo4/2_hires.png,https://images.pokemontcg.io/neo4/2.png,70,"[{""name"": ""Surprise Bite"", ""text"": ""When you play Dark Crobat from your hand, you may choose 1 of your opponent's Pokémon. This power does 20 damage to that Pokémon. (Don't apply Weakness and Resistance.)"", ""type"": ""Pokémon Power""}]","[{""name"": ""Dark Drain"", ""cost"": [""Grass"", ""Grass""], ""convertedEnergyCost"": 2, ""damage"": """", ""text"": ""Flip a coin for each of your opponent's Pokémon. For each heads, this attack does 10 damage to that Pokémon. Don't apply Weakness and Resistance. Remove a number of damage counters from Dark Crobat equal to the damage dealt. If Dark Crobat has fewer damage counters than that, remove all of them.""}]",Dark Drain,,"Flip a coin for each of your opponent's Pokémon. For each heads, this attack does 10 damage to that Pokémon. Don't apply Weakness and Resistance. Remove a number of damage counters from Dark Crobat equal to the damage dealt. If Dark Crobat has fewer damage counters than that, remove all of them.",Psychic:×2,Fighting:-30,,Dark Golbat,"Shin-ichi Yoshikawa, CR CG gangs","Although the wings it has evolved on its feet allow it to fly at high speeds, they unfortunately make it difficult to perch.",,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,neo4-3,Dark Donphan,Pokémon,Fighting,Neo Destiny,3,Rare Holo,https://images.pokemontcg.io/neo4/3_hires.png,https://images.pokemontcg.io/neo4/3.png,60,,"[{""name"": ""Tusk Toss"", ""cost"": [""Fighting"", ""Fighting""], ""convertedEnergyCost"": 2, ""damage"": """", ""text"": ""If your opponent has any Benched Pokémon, flip a coin. If heads, return the Defending Pokémon and all cards attached to it to your opponent's hand. If tails, your opponent chooses 1 of his or her Benched Pokémon and switches it with the Defending Pokémon.""}, {""name"": ""Giant Tusk"", ""cost"": [""Fighting"", ""Fighting"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""50"", ""text"": """"}]",Tusk Toss|Giant Tusk,|50,"If your opponent has any Benched Pokémon, flip a coin. If heads, return the Defending Pokémon and all cards attached to it to your opponent's hand. If tails, your opponent chooses 1 of his or her Benched Pokémon and switches it with the Defending Pokémon.|",Grass:×2,Lightning:-30,Colorless__Colorless__Colorless,Phanpy,Shin-ichi Yoshida,"The larger its tusks, the higher its status in the herd.",,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,neo4-4,Dark Espeon,Pokémon,Psychic,Neo Destiny,4,Rare Holo,https://images.pokemontcg.io/neo4/4_hires.png,https://images.pokemontcg.io/neo4/4.png,60,,"[{""name"": ""Gouge"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10+"", ""text"": ""Flip a coin. If heads, this attack does 10 damage plus 10 more damage; if tails, this attack does 10 damage.""}, {""name"": ""Psysplash"", ""cost"": [""Psychic"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": """", ""text"": ""Does 10 damage to each of your opponent's Pokémon for each Energy card attached to that Pokémon. Don't apply Weakness and Resistance.""}]",Gouge|Psysplash,10+|,"Flip a coin. If heads, this attack does 10 damage plus 10 more damage; if tails, this attack does 10 damage.|Does 10 damage to each of your opponent's Pokémon for each Energy card attached to that Pokémon. Don't apply Weakness and Resistance.",Psychic:×2,,,Eevee,Atsuko Nishida,The tips of its split tail quiver whenever it uses its psychic abilities to read its opponent's next move.,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,neo4-5,Dark Feraligatr,Pokémon,Water,Neo Destiny,5,Rare Holo,https://images.pokemontcg.io/neo4/5_hires.png,https://images.pokemontcg.io/neo4/5.png,80,"[{""name"": ""Scare"", ""text"": ""As long as Dark Feraligatr is your Active Pokémon, all of your opponent's Baby Pokémon Powers stop working and your opponent's Baby Pokémon can't attack. This power stops working while Dark Feraligatr is Asleep, Confused, or Paralyzed."", ""type"": ""Pokémon Power""}]","[{""name"": ""Crushing Blow"", ""cost"": [""Water"", ""Water"", ""Water""], ""convertedEnergyCost"": 3, ""damage"": ""50"", ""text"": ""If the Defending Pokémon has any Energy cards attached to it, flip a coin. If heads, choose 1 of those cards and discard it.""}]",Crushing Blow,50,"If the Defending Pokémon has any Energy cards attached to it, flip a coin. If heads, choose 1 of those cards and discard it.",Grass:×2,,Colorless__Colorless__Colorless,Dark Croconaw,Atsuko Nishida,Its powerful muscles allow it to move at a speed that belies its bulk.,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,neo4-6,Dark Gengar,Pokémon,Psychic,Neo Destiny,6,Rare Holo,https://images.pokemontcg.io/neo4/6_hires.png,https://images.pokemontcg.io/neo4/6.png,70,"[{""name"": ""Deep Sleep"", ""text"": ""As long as any Dark Gengar are in play, a player flips 2 coins for each of his or her Pokémon that is Asleep at the end of each turn. If either of them is tails, that Pokémon is still Asleep. This power stops working if Dark Gengar is Asleep, Confused, or Paralyzed."", ""type"": ""Pokémon Power""}]","[{""name"": ""Pull In"", ""cost"": [""Psychic"", ""Psychic"", ""Psychic""], ""convertedEnergyCost"": 3, ""damage"": ""30"", ""text"": ""If your opponent has any Benched Pokémon, you may choose 1 of them and switch it with the Defending Pokémon (before doing damage or other effects of this attack). Either way, the Defending Pokémon is now Asleep.""}]",Pull In,30,"If your opponent has any Benched Pokémon, you may choose 1 of them and switch it with the Defending Pokémon (before doing damage or other effects of this attack). Either way, the Defending Pokémon is now Asleep.",,Fighting:-30,Colorless__Colorless,Dark Haunter,Aya Kusube,"It absorbs the heat in the air around it. If you suddenly feel cold, it's because a Gengar has appeared.",,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,neo4-7,Dark Houndoom,Pokémon,Fire,Neo Destiny,7,Rare Holo,https://images.pokemontcg.io/neo4/7_hires.png,https://images.pokemontcg.io/neo4/7.png,60,,"[{""name"": ""Eerie Howl"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""If your opponent's Bench isn't full, look at his or her hand. If your opponent has any Baby Pokémon or Basic Pokémon there, choose 1 of them and put it on his or her Bench. Then, switch it with the Defending Pokémon.""}, {""name"": ""Dark Fire"", ""cost"": [""Fire"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30+"", ""text"": ""If there are any Darkness Energy cards attached to Dark Houndoom, discard 1 of them and this attack does 30 damage plus 20 more damage (plus 10 more damage for the Darkness Energy you discarded). If there aren't any, this attack does 30 damage.""}]",Eerie Howl|Dark Fire,|30+,"If your opponent's Bench isn't full, look at his or her hand. If your opponent has any Baby Pokémon or Basic Pokémon there, choose 1 of them and put it on his or her Bench. Then, switch it with the Defending Pokémon.|If there are any Darkness Energy cards attached to Dark Houndoom, discard 1 of them and this attack does 30 damage plus 20 more damage (plus 10 more damage for the Darkness Energy you discarded). If there aren't any, this attack does 30 damage.",Water:×2,,Colorless,Houndour,Kagemaru Himeno,The flame it breathes is actually a volatile poison it produces internally that ignites when exposed to air.,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,neo4-8,Dark Porygon2,Pokémon,Colorless,Neo Destiny,8,Rare Holo,https://images.pokemontcg.io/neo4/8_hires.png,https://images.pokemontcg.io/neo4/8.png,60,"[{""name"": ""Spatial Distortion"", ""text"": ""Once during your turn (before your attack), you may flip a coin. If heads, choose a Stadium card from your discard pile and put it into play. (If there's already a Stadium card in play, discard it.) This power can't be used if Dark Porygon2 is Asleep, Confused, or Paralyzed."", ""type"": ""Pokémon Power""}]","[{""name"": ""Curve Attack"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""20"", ""text"": ""Flip a coin. If heads, prevent all damage done by attacks to Dark Porygon2 during your opponent's next turn. (Any other effects of attacks still happen.)""}]",Curve Attack,20,"Flip a coin. If heads, prevent all damage done by attacks to Dark Porygon2 during your opponent's next turn. (Any other effects of attacks still happen.)",Fighting:×2,Psychic:-30,Colorless,Porygon,"Shin-ichi Yoshikawa, CR CG gangs",Advances in technology have allowed it to evolve. It occasionally displays behavior not found in its programming.,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,neo4-9,Dark Scizor,Pokémon,Metal,Neo Destiny,9,Rare Holo,https://images.pokemontcg.io/neo4/9_hires.png,https://images.pokemontcg.io/neo4/9.png,70,,"[{""name"": ""Threaten"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": """", ""text"": ""Flip a coin. If heads, look at your opponent's hand. If he or she has any Trainer cards there, choose 1 of them. Your opponent shuffles that card into his or her deck.""}, {""name"": ""Slash"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""30"", ""text"": """"}]",Threaten|Slash,|30,"Flip a coin. If heads, look at your opponent's hand. If he or she has any Trainer cards there, choose 1 of them. Your opponent shuffles that card into his or her deck.|",Fire:×2,Grass:-30,Colorless__Colorless,Scyther,Mitsuhiro Arita,Nothing can withstand the pressure of the vise-like grip of this Pokémon's steel claws.,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,neo4-10,Dark Typhlosion,Pokémon,Fire,Neo Destiny,10,Rare Holo,https://images.pokemontcg.io/neo4/10_hires.png,https://images.pokemontcg.io/neo4/10.png,80,,"[{""name"": ""Claw Swipe"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": """"}, {""name"": ""Rushing Flames"", ""cost"": [""Fire""], ""convertedEnergyCost"": 1, ""damage"": ""40×"", ""text"": ""You may discard any number of Fire Energy cards attached to your Pokémon. Flip a coin for each Fire Energy card discarded in this way. This attack does 40 damage times the number of heads.""}]",Claw Swipe|Rushing Flames,20|40×,|You may discard any number of Fire Energy cards attached to your Pokémon. Flip a coin for each Fire Energy card discarded in this way. This attack does 40 damage times the number of heads.,Water:×2,,Colorless,Dark Quilava,Mitsuhiro Arita,"When it's in combat, the air around it shimmers and warps from the intense heat it produces.",,,,,,,,,,,,,,,,,,,,,,,,,
