Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,neo2-1,Espeon,Pokémon,Psychic,Neo Discovery,1,Rare Holo,https://images.pokemontcg.io/neo2/1_hires.png,https://images.pokemontcg.io/neo2/1.png,80,,"[{""name"": ""Bite"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": """"}, {""name"": ""Psychic"", ""cost"": [""Psychic"", ""Psychic"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""30+"", ""text"": ""Does 30 damage plus 10 more damage for each Energy card attached to the Defending Pokémon.""}]",Bite|Psychic,20|30+,|Does 30 damage plus 10 more damage for each Energy card attached to the Defending Pokémon.,Psychic:×2,,,Eevee,Atsuko Nishida,It uses the fine hair that covers its body to sense air currents and predict its enemy's actions.,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,neo2-2,Forretress,Pokémon,Metal,Neo Discovery,2,Rare Holo,https://images.pokemontcg.io/neo2/2_hires.png,https://images.pokemontcg.io/neo2/2.png,80,"[{""name"": ""Spikes"", ""text"": ""During your opponent's turn, whenever 1 of your opponent's Benched Pokémon becomes his or her Active Pokémon, Forretress does 10 damage to it. (Don't apply Weakness and Resistance.) This power stops working if Forretress is Asleep, Confused, or Paralyzed."", ""type"": ""Pokémon Power""}]","[{""name"": ""Rapid Spin"", ""cost"": [""Metal"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""30"", ""text"": ""If your opponent has any Benched Pokémon, he or she chooses 1 of them and switches it with his or her Active Pokémon, then, if you have any Benched Pokémon, you switch 1 of them with your Active Pokémon. (Do the damage before switching the Pokémon.)""}]",Rapid Spin,30,"If your opponent has any Benched Pokémon, he or she chooses 1 of them and switches it with his or her Active Pokémon, then, if you have any Benched Pokémon, you switch 1 of them with your Active Pokémon. (Do the damage before switching the Pokémon.)",Fire:×2,Grass:-30,Colorless__Colorless__Colorless,Pineco,CR CG gangs,Its entire body is shielded by a steel-hard shell. What lurks inside the armor is a total mystery.,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,neo2-3,Hitmontop,Pokémon,Fighting,Neo Discovery,3,Rare Holo,https://images.pokemontcg.io/neo2/3_hires.png,https://images.pokemontcg.io/neo2/3.png,60,,"[{""name"": ""Detect"", ""cost"": [""Fighting""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Flip a coin. If heads, during your opponent's next turn, prevent all effects of attacks, including damage, done to Hitmontop.""}, {""name"": ""Triple Kick"", ""cost"": [""Fighting"", ""Fighting"", ""Fighting""], ""convertedEnergyCost"": 3, ""damage"": ""30×"", ""text"": ""Flip 3 coins. This attack does 30 damage times the number of heads.""}]",Detect|Triple Kick,|30×,"Flip a coin. If heads, during your opponent's next turn, prevent all effects of attacks, including damage, done to Hitmontop.|Flip 3 coins. This attack does 30 damage times the number of heads.",Psychic:×2,,Colorless,,Sumiyoshi Kizuki,"If you become enchanted by its smooth, elegant, dancelike kicks, you may get drilled hard.",,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,neo2-4,Houndoom,Pokémon,Darkness,Neo Discovery,4,Rare Holo,https://images.pokemontcg.io/neo2/4_hires.png,https://images.pokemontcg.io/neo2/4.png,70,,"[{""name"": ""Crunch"", ""cost"": [""Darkness"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""30"", ""text"": ""Until the end of your next turn, if an attack damages the Defending Pokémon (after applying Weakness and Resistance), that attack does 20 more damage to the Defending Pokémon.""}, {""name"": ""Flamethrower"", ""cost"": [""Fire"", ""Fire"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""50"", ""text"": ""Discard 1 Fire Energy card attached to Houndoom or this attack does nothing.""}]",Crunch|Flamethrower,30|50,"Until the end of your next turn, if an attack damages the Defending Pokémon (after applying Weakness and Resistance), that attack does 20 more damage to the Defending Pokémon.|Discard 1 Fire Energy card attached to Houndoom or this attack does nothing.",,Psychic:-30,Colorless,Houndour,Shin-ichi Yoshida,"Upon hearing its eerie howls, other Pokémon get the shivers and head straight back to their nests.",,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,neo2-5,Houndour,Pokémon,Fire,Neo Discovery,5,Rare Holo,https://images.pokemontcg.io/neo2/5_hires.png,https://images.pokemontcg.io/neo2/5.png,50,,"[{""name"": ""Smog"", ""cost"": [""Fire""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": ""Flip a coin. If heads, the Defending Pokémon is now Poisoned.""}, {""name"": ""Collect Fire"", ""cost"": [""Fire"", ""Fire""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": ""If there are any Fire Energy cards in your discard pile, choose 1 of them and attach it to Houndour.""}]",Smog|Collect Fire,10|20,"Flip a coin. If heads, the Defending Pokémon is now Poisoned.|If there are any Fire Energy cards in your discard pile, choose 1 of them and attach it to Houndour.",Water:×2,,Colorless,,Aya Kusube,"To corner prey, they check each other's location using barks that only they can understand.",,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,neo2-6,Kabutops,Pokémon,Water,Neo Discovery,6,Rare Holo,https://images.pokemontcg.io/neo2/6_hires.png,https://images.pokemontcg.io/neo2/6.png,90,,"[{""name"": ""Slash"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": """"}, {""name"": ""Hydrocutter"", ""cost"": [""Fighting""], ""convertedEnergyCost"": 1, ""damage"": ""40×"", ""text"": ""Flip a number of coins equal to the number of Energy cards attached to Kabutops. This attack does 40 damage times the number of heads. You can't flip more than 3 coins in this way.""}]",Slash|Hydrocutter,20|40×,|Flip a number of coins equal to the number of Energy cards attached to Kabutops. This attack does 40 damage times the number of heads. You can't flip more than 3 coins in this way.,Grass:×2,,Colorless__Colorless,Kabuto,Kimiya Masago,"In the water, it tucks its limbs to become more compact, then it wiggles its shell to swim fast.",,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,neo2-7,Magnemite,Pokémon,Metal,Neo Discovery,7,Rare Holo,https://images.pokemontcg.io/neo2/7_hires.png,https://images.pokemontcg.io/neo2/7.png,40,,"[{""name"": ""Lock-on"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""During your next turn, treat any tails flipped when using Magnemite's Electric Bolt attack as if they were heads. (Benching or evolving either Pokémon ends this effect.)""}, {""name"": ""Electric Bolt"", ""cost"": [""Lightning"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""50"", ""text"": ""Flip 2 coins. If both are heads, the Defending Pokémon is now Paralyzed. If either of them is tails, this attack does nothing (not even damage).""}]",Lock-on|Electric Bolt,|50,"During your next turn, treat any tails flipped when using Magnemite's Electric Bolt attack as if they were heads. (Benching or evolving either Pokémon ends this effect.)|Flip 2 coins. If both are heads, the Defending Pokémon is now Paralyzed. If either of them is tails, this attack does nothing (not even damage).",Fire:×2,Grass:-30,Colorless,,"K. Hoshiba, CR CG gangs",These Pokémon are attracted to electrical emissions and will often follow people using PokéGear.,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,neo2-8,Politoed,Pokémon,Water,Neo Discovery,8,Rare Holo,https://images.pokemontcg.io/neo2/8_hires.png,https://images.pokemontcg.io/neo2/8.png,100,"[{""name"": ""Frog Song"", ""text"": ""Whenever Politoed's attack damages the Defending Pokémon (after applying Weakness and Resistance), if there are more than 3 Poliwags, Poliwhirls, Poliwraths, and/or Politoeds in play (including your opponent's), that attack does 40 more damage (no matter how many heads you get). This power stops working while Politoed is Asleep, Confused, or Paralyzed."", ""type"": ""Pokémon Power""}]","[{""name"": ""Doubleslap"", ""cost"": [""Water"", ""Water"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""40×"", ""text"": ""Flip 2 coins. This attack does 40 damage times the number of heads.""}]",Doubleslap,40×,Flip 2 coins. This attack does 40 damage times the number of heads.,Grass:×2,,Colorless__Colorless__Colorless,Poliwhirl,Tomokazu Komiya,"Whenever three or more of these get together, they sing in a loud voice that sounds like bellowing.",,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,neo2-9,Poliwrath,Pokémon,Fighting,Neo Discovery,9,Rare Holo,https://images.pokemontcg.io/neo2/9_hires.png,https://images.pokemontcg.io/neo2/9.png,90,,"[{""name"": ""Corkscrew Punch"", ""cost"": [""Fighting"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": """"}, {""name"": ""Submission"", ""cost"": [""Fighting"", ""Fighting"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""70"", ""text"": ""Poliwrath does 20 damage to itself.""}]",Corkscrew Punch|Submission,30|70,|Poliwrath does 20 damage to itself.,Psychic:×2,,Colorless__Colorless,Poliwhirl,Shin-ichi Yoshida,"Although an energetic, skilled swimmer that uses all of its muscles, it lives on dry land.",,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,neo2-10,Scizor,Pokémon,Metal,Neo Discovery,10,Rare Holo,https://images.pokemontcg.io/neo2/10_hires.png,https://images.pokemontcg.io/neo2/10.png,80,,"[{""name"": ""False Swipe"", ""cost"": [""Metal""], ""convertedEnergyCost"": 1, ""damage"": ""?"", ""text"": ""Does damage equal to half the Defending Pokémon's remaining HP (rounded down to the nearest 10).""}, {""name"": ""Double Claw"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""20+"", ""text"": ""Flip 2 coins. This attack does 20 damage times the number of heads.""}]",False Swipe|Double Claw,?|20+,Does damage equal to half the Defending Pokémon's remaining HP (rounded down to the nearest 10).|Flip 2 coins. This attack does 20 damage times the number of heads.,Fire:×2,Grass:-30,Colorless__Colorless,Scyther,Kimiya Masago,It swings its eye patterned pincers up to scare its foes. This makes it look like it has three heads.,,,,,,,,,,,,,,,,,,,,,,,,,
