Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,neo1-1,Ampharos,Pokémon,Lightning,Neo Genesis,1,Rare Holo,https://images.pokemontcg.io/neo1/1_hires.png,https://images.pokemontcg.io/neo1/1.png,80,,"[{""name"": ""Gigaspark"", ""cost"": [""Lightning"", ""Lightning"", ""Lightning""], ""convertedEnergyCost"": 3, ""damage"": ""40"", ""text"": ""Flip a coin. If heads, the Defending Pokémon is now Paralyzed and this attack does 10 damage to each of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}]",Gigaspark,40,"Flip a coin. If heads, the Defending Pokémon is now Paralyzed and this attack does 10 damage to each of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)",Fighting:×2,,Colorless__Colorless,Flaaffy,Ken Sugimori,The tail's tip shines brightly and can be seen from far away. It acts as a beacon for lost people.,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,neo1-2,Azumarill,Pokémon,Water,Neo Genesis,2,Rare Holo,https://images.pokemontcg.io/neo1/2_hires.png,https://images.pokemontcg.io/neo1/2.png,70,,"[{""name"": ""Tackle"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": """"}, {""name"": ""Bubble Shower"", ""cost"": [""Water"", ""Water"", ""Water""], ""convertedEnergyCost"": 3, ""damage"": ""30"", ""text"": ""Flip a coin. If heads, the Defending Pokémon is now Paralyzed and this attack does 10 damage to each of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}]",Tackle|Bubble Shower,20|30,"|Flip a coin. If heads, the Defending Pokémon is now Paralyzed and this attack does 10 damage to each of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)",Lightning:×2,,Colorless,Marill,Ken Sugimori,"By keeping still and listening intently, it can tell what is in even wild, fast-moving rivers.",,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,neo1-3,Bellossom,Pokémon,Grass,Neo Genesis,3,Rare Holo,https://images.pokemontcg.io/neo1/3_hires.png,https://images.pokemontcg.io/neo1/3.png,70,,"[{""name"": ""Sweet Nectar"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Flip a coin. If heads, remove all damage counters from 1 of your Pokémon.""}, {""name"": ""Flower Dance"", ""cost"": [""Grass"", ""Grass"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""30×"", ""text"": ""Does 30 damage times the number of cards with Bellossom in their names that you have in play (including this one).""}]",Sweet Nectar|Flower Dance,|30×,"Flip a coin. If heads, remove all damage counters from 1 of your Pokémon.|Does 30 damage times the number of cards with Bellossom in their names that you have in play (including this one).",Fire:×2,,Colorless__Colorless,Gloom,Atsuko Nishida,"Plentiful in the tropics. When it dances, its petals rub together and make a pleasant ringing sound.",,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,neo1-4,Feraligatr,Pokémon,Water,Neo Genesis,4,Rare Holo,https://images.pokemontcg.io/neo1/4_hires.png,https://images.pokemontcg.io/neo1/4.png,100,"[{""name"": ""Berserk"", ""text"": ""When you play Feraligatr from your hand, flip a coin. If heads, discard the top 5 cards from your opponent's deck. If tails, discard the top 5 cards from your deck."", ""type"": ""Pokémon Power""}]","[{""name"": ""Chomp"", ""cost"": [""Water"", ""Water"", ""Water"", ""Water""], ""convertedEnergyCost"": 4, ""damage"": ""50+"", ""text"": ""Flip a number of coins equal to the number of damage counters on Feraligatr. This attack does 50 damage plus 10 more damage for each heads.""}]",Chomp,50+,Flip a number of coins equal to the number of damage counters on Feraligatr. This attack does 50 damage plus 10 more damage for each heads.,Grass:×2,,Colorless__Colorless__Colorless,Croconaw,Ken Sugimori,"When it bites with its massive and powerful jaws, it shakes its head and savagely tears its victim up.",,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,neo1-5,Feraligatr,Pokémon,Water,Neo Genesis,5,Rare Holo,https://images.pokemontcg.io/neo1/5_hires.png,https://images.pokemontcg.io/neo1/5.png,120,"[{""name"": ""Downpour"", ""text"": ""As often as you like during your turn (before your attack), you may discard a Water Energy card from your hand. This power can't be used if Feraligatr is Asleep, Confused, or Paralyzed."", ""type"": ""Pokémon Power""}]","[{""name"": ""Riptide"", ""cost"": [""Water"", ""Water"", ""Water""], ""convertedEnergyCost"": 3, ""damage"": ""10+"", ""text"": ""Does 10 damage plus 10 damage times the number of Water Energy cards in your discard pile. Then, shuffle all Water Energy cards from your discard pile into your deck.""}]",Riptide,10+,"Does 10 damage plus 10 damage times the number of Water Energy cards in your discard pile. Then, shuffle all Water Energy cards from your discard pile into your deck.",Grass:×2,,Colorless__Colorless__Colorless,Croconaw,Ken Sugimori,"It is hard for it to support its own weight out of water, so it gets down on all fours. But it moves fast.",,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,neo1-6,Heracross,Pokémon,Grass,Neo Genesis,6,Rare Holo,https://images.pokemontcg.io/neo1/6_hires.png,https://images.pokemontcg.io/neo1/6.png,60,"[{""name"": ""Final Blow"", ""text"": ""If Heracross's remaining HP are 20 or less, you may make its Megahorn attack's base damage 120 instead of 60. This power can't be used if Heracross is Asleep, Confused, or Paralyzed."", ""type"": ""Pokémon Power""}]","[{""name"": ""Megahorn"", ""cost"": [""Grass"", ""Grass"", ""Grass""], ""convertedEnergyCost"": 3, ""damage"": ""60"", ""text"": ""Flip a coin. If tails, this attack does nothing.""}]",Megahorn,60,"Flip a coin. If tails, this attack does nothing.",Fire:×2,,Colorless__Colorless,,Ken Sugimori,"This powerful Pokémon thrusts its prized horn under its enemies' bellies, then lifts and throws them.",,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,neo1-7,Jumpluff,Pokémon,Grass,Neo Genesis,7,Rare Holo,https://images.pokemontcg.io/neo1/7_hires.png,https://images.pokemontcg.io/neo1/7.png,70,,"[{""name"": ""Sleep Powder"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": ""The Defending Pokémon is now Asleep.""}, {""name"": ""Leech Seed"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": ""If this attack damages the Defending Pokémon (after applying Weakness and Resistance), remove 1 damage counter from Jumpluff, if it has any.""}]",Sleep Powder|Leech Seed,20|20,"The Defending Pokémon is now Asleep.|If this attack damages the Defending Pokémon (after applying Weakness and Resistance), remove 1 damage counter from Jumpluff, if it has any.",Fire:×2,Fighting:-30,,Skiploom,Atsuko Nishida,"Once it catches the wind, it deftly controls its cotton-puff spores to float, even around the world.",,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,neo1-8,Kingdra,Pokémon,Water,Neo Genesis,8,Rare Holo,https://images.pokemontcg.io/neo1/8_hires.png,https://images.pokemontcg.io/neo1/8.png,90,,"[{""name"": ""Agility"", ""cost"": [""Water"", ""Water"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""30"", ""text"": ""Flip a coin. If heads, during your opponent's next turn, prevent all effects of attacks, including damage, done to Kingdra.""}, {""name"": ""Dragon Tornado"", ""cost"": [""Water"", ""Water"", ""Water"", ""Water""], ""convertedEnergyCost"": 4, ""damage"": ""50"", ""text"": ""If this attack doesn't Knock Out the Defending Pokémon, and if there are any Pokémon on your opponent's Bench, choose 1 of them and switch it with the Defending Pokémon.""}]",Agility|Dragon Tornado,30|50,"Flip a coin. If heads, during your opponent's next turn, prevent all effects of attacks, including damage, done to Kingdra.|If this attack doesn't Knock Out the Defending Pokémon, and if there are any Pokémon on your opponent's Bench, choose 1 of them and switch it with the Defending Pokémon.",,,Colorless__Colorless,Seadra,Ken Sugimori,It is said that it usually hides in underwater caves. It can create whirlpools by yawning.,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,neo1-9,Lugia,Pokémon,Colorless,Neo Genesis,9,Rare Holo,https://images.pokemontcg.io/neo1/9_hires.png,https://images.pokemontcg.io/neo1/9.png,90,,"[{""name"": ""Elemental Blast"", ""cost"": [""Fire"", ""Water"", ""Lightning""], ""convertedEnergyCost"": 3, ""damage"": ""90"", ""text"": ""Discard a Fire Energy card, a Water Energy card, and a Lightning Energy card attached to Lugia in order to use this attack.""}]",Elemental Blast,90,"Discard a Fire Energy card, a Water Energy card, and a Lightning Energy card attached to Lugia in order to use this attack.",Psychic:×2,Fighting:-30,Colorless__Colorless,,Hironobu Yoshida,"It is said that it quietly spends its time deep at the bottom of the sea, because its powers are too strong.",,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,neo1-10,Meganium,Pokémon,Grass,Neo Genesis,10,Rare Holo,https://images.pokemontcg.io/neo1/10_hires.png,https://images.pokemontcg.io/neo1/10.png,100,"[{""name"": ""Herbal Scent"", ""text"": ""When you play Meganium from your hand, you may flip a coin. If heads, remove all damage counters from all Grass Pokémon in play."", ""type"": ""Pokémon Power""}]","[{""name"": ""Body Slam"", ""cost"": [""Grass"", ""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""40"", ""text"": ""Flip a coin. If heads, the Defending Pokémon is now Paralyzed.""}]",Body Slam,40,"Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",Fire:×2,,Colorless__Colorless__Colorless,Bayleef,Ken Sugimori,Meganium's breath has the power to revive dead grass and plants. It can make them healthy again.,,,,,,,,,,,,,,,,,,,,,,,,,
