Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,neo3-1,Ampharos,Pokémon,Lightning,Neo Revelation,1,Rare Holo,https://images.pokemontcg.io/neo3/1_hires.png,https://images.pokemontcg.io/neo3/1.png,90,,"[{""name"": ""Attract Current"", ""cost"": [""Lightning""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": ""Flip 3 coins. For each heads, you may search your deck for a Lightning Energy card and attach it to 1 of your Lightning Pokémon. Shuffle your deck afterward.""}, {""name"": ""Gigavolt"", ""cost"": [""Lightning"", ""Lightning"", ""Lightning"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""40+"", ""text"": ""Flip a coin. If heads, this attack does 40 damage plus 20 more damage. If tails, this attack does 40 damage and the Defending Pokémon is now Paralyzed.""}]",Attract Current|Gigavolt,20|40+,"Flip 3 coins. For each heads, you may search your deck for a Lightning Energy card and attach it to 1 of your Lightning Pokémon. Shuffle your deck afterward.|Flip a coin. If heads, this attack does 40 damage plus 20 more damage. If tails, this attack does 40 damage and the Defending Pokémon is now Paralyzed.",Fighting:×2,,Colorless__Colorless__Colorless,Flaaffy,Toshinao Aoki,The bright light on its tail can be seen far away. It has been treasured since ancient times as a beacon.,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,neo3-2,Blissey,Pokémon,Colorless,Neo Revelation,2,Rare Holo,https://images.pokemontcg.io/neo3/2_hires.png,https://images.pokemontcg.io/neo3/2.png,120,"[{""name"": ""Softboiled"", ""text"": ""When you play Blissey from your hand, you may flip a coin. If heads, remove 8 damage counters from Blissey. If tails, remove 4 damage counters from Blissey. Either way, if Blissey has fewer damage counters than that, remove all of them."", ""type"": ""Pokémon Power""}]","[{""name"": ""Body Slam"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""30"", ""text"": ""Flip a coin. If heads, the Defending Pokémon is now Paralyzed.""}]",Body Slam,30,"Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",Fighting:×2,Psychic:-30,Colorless__Colorless,Chansey,Yuka Morii,Anyone who takes even one bite of Blissey's egg becomes unfailingly caring and pleasant to everyone.,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,neo3-3,Celebi,Pokémon,Psychic,Neo Revelation,3,Rare Holo,https://images.pokemontcg.io/neo3/3_hires.png,https://images.pokemontcg.io/neo3/3.png,50,"[{""name"": ""Time Travel"", ""text"": ""If an opponent's attack would Knock Out Celebi, flip a coin. If heads, Celebi isn't Knocked Out and you shuffle it and all cards attached to it into your deck. This power doesn't work if Celebi is already Asleep, Confused, or Paralyzed."", ""type"": ""Pokémon Power""}]","[{""name"": ""Psychic Damage"", ""cost"": [""Psychic""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Flip 3 coins. For each heads, put 1 damage counter on the Defending Pokémon.""}]",Psychic Damage,,"Flip 3 coins. For each heads, put 1 damage counter on the Defending Pokémon.",Psychic:×2,,Colorless,,Hironobu Yoshida,This Pokémon wanders across time. Grass and trees flourish in the forests in which it has appeared.,,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,neo3-4,Crobat,Pokémon,Grass,Neo Revelation,4,Rare Holo,https://images.pokemontcg.io/neo3/4_hires.png,https://images.pokemontcg.io/neo3/4.png,90,,"[{""name"": ""Triggered Poison"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": ""If your opponent attaches an Energy card to the Defending Pokémon during his or her next turn, that Pokémon becomes Poisoned.""}, {""name"": ""Cross Attack"", ""cost"": [""Grass"", ""Grass"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""20×"", ""text"": ""Flip 4 coins. This attack does 20 damage times the number of heads. If you get 2 or more heads, the Defending Pokémon is now Confused.""}]",Triggered Poison|Cross Attack,20|20×,"If your opponent attaches an Energy card to the Defending Pokémon during his or her next turn, that Pokémon becomes Poisoned.|Flip 4 coins. This attack does 20 damage times the number of heads. If you get 2 or more heads, the Defending Pokémon is now Confused.",Psychic:×2,Fighting:-30,,Golbat,Shin-ichi Yoshida,It flies so silently through the dark on its four wings that it may not be noticed even when nearby.,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,neo3-5,Delibird,Pokémon,Colorless,Neo Revelation,5,Rare Holo,https://images.pokemontcg.io/neo3/5_hires.png,https://images.pokemontcg.io/neo3/5.png,60,,"[{""name"": ""Present"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": """", ""text"": ""Flip 3 coins. If exactly 1 is heads, this attack does 40 damage. If exactly 2 are heads, remove 3 damage counters from the Defending Pokémon. If the Defending Pokémon has fewer damage counters than that, remove all of them. If all 3 are heads, this attack does 60 damage. If all 3 are tails, remove all damage counters from the Defending Pokémon.""}]",Present,,"Flip 3 coins. If exactly 1 is heads, this attack does 40 damage. If exactly 2 are heads, remove 3 damage counters from the Defending Pokémon. If the Defending Pokémon has fewer damage counters than that, remove all of them. If all 3 are heads, this attack does 60 damage. If all 3 are tails, remove all damage counters from the Defending Pokémon.",Lightning:×2,Fighting:-30,Colorless,,Tomokazu Komiya,It carries food all day long. There are tales about lost people who were saved by the food it had.,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,neo3-6,Entei,Pokémon,Fire,Neo Revelation,6,Rare Holo,https://images.pokemontcg.io/neo3/6_hires.png,https://images.pokemontcg.io/neo3/6.png,80,"[{""name"": ""Howl"", ""text"": ""When you play Entei from your hand, you may discard the top 5 cards of your deck. (If you have fewer cards in your deck than that, discard all of them.) If any of those are Fire Energy cards, attach them to any of your Fire Pokémon of your choice. Using this power ends your turn."", ""type"": ""Pokémon Power""}]","[{""name"": ""Searing Flames"", ""cost"": [""Fire"", ""Fire"", ""Fire""], ""convertedEnergyCost"": 3, ""damage"": ""60"", ""text"": ""Discard 2 Fire Energy cards attached to Entei or this attack does nothing.""}]",Searing Flames,60,Discard 2 Fire Energy cards attached to Entei or this attack does nothing.,Water:×2,,Colorless,,Ken Sugimori,"Volcanoes erupt when it barks. Unable to restrain its extreme power, it races headlong around the land.",,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,neo3-7,Ho-oh,Pokémon,Fire,Neo Revelation,7,Rare Holo,https://images.pokemontcg.io/neo3/7_hires.png,https://images.pokemontcg.io/neo3/7.png,90,,"[{""name"": ""Stoke"", ""cost"": [""Fire""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""You may search your deck for a Fire Energy card and attach it to Ho-Oh. Shuffle your deck afterward.""}, {""name"": ""Sacred Fire"", ""cost"": [""Fire"", ""Fire"", ""Fire""], ""convertedEnergyCost"": 3, ""damage"": """", ""text"": ""Flip a coin. If heads, choose 1 of your opponent's Pokémon. This attack does 40 damage to that Pokémon. Don't apply Weakness and Resistance.""}, {""name"": ""Dive Bomb"", ""cost"": [""Fire"", ""Fire"", ""Fire"", ""Fire"", ""Fire""], ""convertedEnergyCost"": 5, ""damage"": ""90"", ""text"": ""Flip a coin. If tails, this attack does nothing.""}]",Stoke|Sacred Fire|Dive Bomb,||90,"You may search your deck for a Fire Energy card and attach it to Ho-Oh. Shuffle your deck afterward.|Flip a coin. If heads, choose 1 of your opponent's Pokémon. This attack does 40 damage to that Pokémon. Don't apply Weakness and Resistance.|Flip a coin. If tails, this attack does nothing.",Water:×2,Fighting:-30,Colorless__Colorless,,Kimiya Masago,Legends claim this Pokémon flies the world's skies continuously on its magnificent seven colored wings.,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,neo3-8,Houndoom,Pokémon,Darkness,Neo Revelation,8,Rare Holo,https://images.pokemontcg.io/neo3/8_hires.png,https://images.pokemontcg.io/neo3/8.png,70,,"[{""name"": ""Dark Flame"", ""cost"": [""Fire""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": ""Discard 1 Fire Energy card attached to Houndoom or this attack does nothing. If there are any Darkness Energy cards in your discard pile, attach 1 of them to Houndoom.""}, {""name"": ""Black Fang"", ""cost"": [""Darkness"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""30+"", ""text"": ""Flip a number of coins equal to the number of Darkness Energy attached to Houndoom. This attack does 30 damage plus 10 more damage for each heads.""}]",Dark Flame|Black Fang,20|30+,"Discard 1 Fire Energy card attached to Houndoom or this attack does nothing. If there are any Darkness Energy cards in your discard pile, attach 1 of them to Houndoom.|Flip a number of coins equal to the number of Darkness Energy attached to Houndoom. This attack does 30 damage plus 10 more damage for each heads.",,Psychic:-30,Colorless,Houndour,Mitsuhiro Arita,"Upon hearing its eerie howls, other Pokémon get the shivers and head straight back to their nests.",,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,neo3-9,Jumpluff,Pokémon,Grass,Neo Revelation,9,Rare Holo,https://images.pokemontcg.io/neo3/9_hires.png,https://images.pokemontcg.io/neo3/9.png,70,,"[{""name"": ""Evolutionary Spore"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Choose any number of your Hoppips and Skiplooms. Then, for each Pokémon you chose in this way, you may search your deck for a card that evolves from that Pokémon and attach it to that Pokémon. (This counts as evolving those Pokémon.) Shuffle your deck afterward.""}, {""name"": ""Solarbeam"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""30"", ""text"": """"}]",Evolutionary Spore|Solarbeam,|30,"Choose any number of your Hoppips and Skiplooms. Then, for each Pokémon you chose in this way, you may search your deck for a card that evolves from that Pokémon and attach it to that Pokémon. (This counts as evolving those Pokémon.) Shuffle your deck afterward.|",Fire:×2,Fighting:-30,,Skiploom,Kagemaru Himeno,Drifts on seasonal winds and spreads its cotton-like spores all over the world to make more offspring.,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,neo3-10,Magneton,Pokémon,Metal,Neo Revelation,10,Rare Holo,https://images.pokemontcg.io/neo3/10_hires.png,https://images.pokemontcg.io/neo3/10.png,80,"[{""name"": ""Electromagnetic Power"", ""text"": ""As often as you like during your turn (before your attack), you may take 1 Energy card attached to 1 of your Magnemites, Magnetons, or Dark Magnetons and attach it to a different 1 of your Magnemites, Magnetons, and Dark Magnetons. This power can't be used if Magneton is Asleep, Confused, or Paralyzed."", ""type"": ""Pokémon Power""}]","[{""name"": ""Plasma"", ""cost"": [""Lightning"", ""Lightning"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""30"", ""text"": ""If there are any Lightning Energy cards in your discard pile, attach 1 of them to Magneton.""}]",Plasma,30,"If there are any Lightning Energy cards in your discard pile, attach 1 of them to Magneton.",Fire:×2,Grass:-30,Colorless__Colorless,Magnemite,"""Big Mama"" Tagawa, CR CG gangs",Three Magnemites are linked by a strong magnetic force. Earaches will occur if you get too close.,,,,,,,,,,,,,,,,,,,,,,,,,
