Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,bw4-1,Pinsir,Pokémon,Grass,Next Destinies,1,Rare,https://images.pokemontcg.io/bw4/1_hires.png,https://images.pokemontcg.io/bw4/1.png,80,,"[{""name"": ""Power Pinch"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": """", ""text"": ""Flip 2 coins. For each heads, discard an Energy attached to the Defending Pokémon.""}, {""name"": ""Grip and Squeeze"", ""cost"": [""Grass"", ""Grass"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""70"", ""text"": ""The Defending Pokémon can't retreat during your opponent's next turn.""}]",Power Pinch|Grip and Squeeze,|70,"Flip 2 coins. For each heads, discard an Energy attached to the Defending Pokémon.|The Defending Pokémon can't retreat during your opponent's next turn.",Fire:×2,,Colorless__Colorless,,Masakazu Fukuda,"It grips prey with its pincers until the prey is torn in half. What it can't tear, it tosses far.",,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,bw4-2,Seedot,Pokémon,Grass,Next Destinies,2,Common,https://images.pokemontcg.io/bw4/2_hires.png,https://images.pokemontcg.io/bw4/2.png,40,,"[{""name"": ""Trip Over"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10+"", ""text"": ""Flip a coin. If heads, this attack does 10 more damage.""}]",Trip Over,10+,"Flip a coin. If heads, this attack does 10 more damage.",Fire:×2,Water:-20,Colorless,,Kagemaru Himeno,"When it dangles from a tree branch, it looks just like an acorn. It enjoys scaring other Pokémon.",,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,bw4-3,Kricketot,Pokémon,Grass,Next Destinies,3,Common,https://images.pokemontcg.io/bw4/3_hires.png,https://images.pokemontcg.io/bw4/3.png,60,,"[{""name"": ""Beat"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}, {""name"": ""Double Headbutt"", ""cost"": [""Grass"", ""Grass""], ""convertedEnergyCost"": 2, ""damage"": ""10+"", ""text"": ""Flip 2 coins. This attack does 10 more damage for each heads.""}]",Beat|Double Headbutt,10|10+,|Flip 2 coins. This attack does 10 more damage for each heads.,Fire:×2,,Colorless,,MAHOU,"Its legs are short. Whenever it stumbles, its stiff antennae clack with a xylophone-like sound.",,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,bw4-4,Kricketune,Pokémon,Grass,Next Destinies,4,Uncommon,https://images.pokemontcg.io/bw4/4_hires.png,https://images.pokemontcg.io/bw4/4.png,90,,"[{""name"": ""White Noise"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": ""The Defending Pokémon is now Asleep.""}, {""name"": ""Draining Cut"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""40×"", ""text"": ""Flip 2 coins. This attack does 40 damage times the number of heads. Heal from this Pokémon the same amount of damage you did to the Defending Pokémon.""}]",White Noise|Draining Cut,20|40×,The Defending Pokémon is now Asleep.|Flip 2 coins. This attack does 40 damage times the number of heads. Heal from this Pokémon the same amount of damage you did to the Defending Pokémon.,Fire:×2,,Colorless,Kricketot,Naoyo Kimura,There is a village that hosts a contest based on the amazingly variable cries of this Pokémon.,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,bw4-5,Shaymin-EX,Pokémon,Grass,Next Destinies,5,Rare Holo EX,https://images.pokemontcg.io/bw4/5_hires.png,https://images.pokemontcg.io/bw4/5.png,110,,"[{""name"": ""Synthesis"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Search your deck for a Grass Energy card and attach it to 1 of your Pokémon. Shuffle your deck afterward.""}, {""name"": ""Revenge Blast"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30+"", ""text"": ""Does 30 more damage for each Prize card your opponent has taken.""}]",Synthesis|Revenge Blast,|30+,Search your deck for a Grass Energy card and attach it to 1 of your Pokémon. Shuffle your deck afterward.|Does 30 more damage for each Prize card your opponent has taken.,Fire:×2,Fighting:-20,Colorless,,Shizurow,,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,bw4-6,Pansage,Pokémon,Grass,Next Destinies,6,Common,https://images.pokemontcg.io/bw4/6_hires.png,https://images.pokemontcg.io/bw4/6.png,70,,"[{""name"": ""Seed Bomb"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": """"}]",Seed Bomb,30,,Fire:×2,Water:-20,Colorless,,Megumi Mizutani,This Pokémon dwells deep in the forest. Eating a leaf from its head whisks weariness away as if by magic.,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,bw4-7,Simisage,Pokémon,Grass,Next Destinies,7,Rare,https://images.pokemontcg.io/bw4/7_hires.png,https://images.pokemontcg.io/bw4/7.png,90,,"[{""name"": ""Collect"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Draw 3 cards.""}, {""name"": ""Stadium Drain"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30+"", ""text"": ""If there is any Stadium card in play, this attack does 30 more damage and heal 30 damage from this Pokémon.""}]",Collect|Stadium Drain,|30+,"Draw 3 cards.|If there is any Stadium card in play, this attack does 30 more damage and heal 30 damage from this Pokémon.",Fire:×2,Water:-20,Colorless__Colorless,Pansage,kawayoo,"Ill tempered, it fights by swinging its barbed tail around wildly. The leaf growing on its head is very bitter.",,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,bw4-8,Foongus,Pokémon,Grass,Next Destinies,8,Common,https://images.pokemontcg.io/bw4/8_hires.png,https://images.pokemontcg.io/bw4/8.png,40,,"[{""name"": ""Find a Friend"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Flip a coin. If heads, search your deck for a Pokémon, reveal it, and put it into your hand. Shuffle your deck afterward.""}, {""name"": ""Rising Lunge"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""10+"", ""text"": ""Flip a coin. If heads, this attack does 20 more damage.""}]",Find a Friend|Rising Lunge,|10+,"Flip a coin. If heads, search your deck for a Pokémon, reveal it, and put it into your hand. Shuffle your deck afterward.|Flip a coin. If heads, this attack does 20 more damage.",Fire:×2,Water:-20,Colorless,,Masakazu Fukuda,"It lures people in with its Poké Ball pattern, then releases poison spores. Why it resembles a Poké Ball is unknown.",,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,bw4-9,Amoonguss,Pokémon,Grass,Next Destinies,9,Rare,https://images.pokemontcg.io/bw4/9_hires.png,https://images.pokemontcg.io/bw4/9.png,90,"[{""name"": ""Sporprise"", ""text"": ""When you play this Pokémon from your hand to evolve 1 of your Pokémon, you may use this Ability. If you do, your opponent's Active Pokémon is now Confused and Poisoned."", ""type"": ""Ability""}]","[{""name"": ""Rising Lunge"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20+"", ""text"": ""Flip a coin. If heads, this attack does 30 more damage.""}]",Rising Lunge,20+,"Flip a coin. If heads, this attack does 30 more damage.",Fire:×2,Water:-20,Colorless__Colorless,Foongus,Kouki Saitou,"It lures prey close by dancing and waving its arm caps, which resemble Poké Balls, in a swaying motion.",,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,bw4-10,Growlithe,Pokémon,Fire,Next Destinies,10,Common,https://images.pokemontcg.io/bw4/10_hires.png,https://images.pokemontcg.io/bw4/10.png,80,,"[{""name"": ""Stoke"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Flip a coin. If heads, search your deck for a Fire Energy card and attach it to this Pokémon. Shuffle your deck afterward.""}, {""name"": ""Firebreathing"", ""cost"": [""Fire"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""10+"", ""text"": ""Flip a coin. If heads, this attack does 20 more damage.""}]",Stoke|Firebreathing,|10+,"Flip a coin. If heads, search your deck for a Fire Energy card and attach it to this Pokémon. Shuffle your deck afterward.|Flip a coin. If heads, this attack does 20 more damage.",Water:×2,,Colorless__Colorless__Colorless,,Masakazu Fukuda,"A Pokémon with a loyal nature, it will remain motionless until it is given an order by its Trainer.",,,,,,,,,,,,,,,,,,,,,,,,,
