Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,np-1,Kyogre ex,Pokémon,Water,Nintendo Black Star Promos,1,Promo,https://images.pokemontcg.io/np/1_hires.png,https://images.pokemontcg.io/np/1.png,120,,"[{""name"": ""Major Flood"", ""cost"": [""Water"", ""Water"", ""Water"", ""Water""], ""convertedEnergyCost"": 4, ""damage"": ""60"", ""text"": ""Discard a Water Energy card attached to Kyogre ex. Does 10 damage to each Benched Pokémon (both yours and your opponent's). (Don't apply Weakness and Resistance for Benched Pokémon.)""}]",Major Flood,60,Discard a Water Energy card attached to Kyogre ex. Does 10 damage to each Benched Pokémon (both yours and your opponent's). (Don't apply Weakness and Resistance for Benched Pokémon.),Lightning:×2,,Colorless__Colorless__Colorless,,Hiromichi Sugiyama,,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,np-2,Groudon ex,Pokémon,Fighting,Nintendo Black Star Promos,2,Promo,https://images.pokemontcg.io/np/2_hires.png,https://images.pokemontcg.io/np/2.png,120,,"[{""name"": ""Major Earthquake"", ""cost"": [""Fighting"", ""Fighting"", ""Fighting"", ""Fighting""], ""convertedEnergyCost"": 4, ""damage"": ""80"", ""text"": ""Discard a Fighting Energy card attached to Groudon ex. Does 10 damage to your Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}]",Major Earthquake,80,Discard a Fighting Energy card attached to Groudon ex. Does 10 damage to your Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.),Grass:×2,,Colorless__Colorless__Colorless,,Kazuo Yazawa,,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,np-3,Treecko,Pokémon,Grass,Nintendo Black Star Promos,3,Promo,https://images.pokemontcg.io/np/3_hires.png,https://images.pokemontcg.io/np/3.png,40,,"[{""name"": ""Tail Slap"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}, {""name"": ""Razor Leaf"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": """"}]",Tail Slap|Razor Leaf,10|20,|,Fire:×2,Water:-30,Colorless,,Atsuko Nishida,,,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,np-4,Grovyle,Pokémon,Grass,Nintendo Black Star Promos,4,Promo,https://images.pokemontcg.io/np/4_hires.png,https://images.pokemontcg.io/np/4.png,70,,"[{""name"": ""Poison Breath"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": """", ""text"": ""The Defending Pokémon is now Poisoned.""}, {""name"": ""Swift"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""30"", ""text"": ""This attack's damage isn't affected by Weakness, Resistance, Poké-Powers, Poké-Bodies, or any other effects on the Defending Pokémon.""}]",Poison Breath|Swift,|30,"The Defending Pokémon is now Poisoned.|This attack's damage isn't affected by Weakness, Resistance, Poké-Powers, Poké-Bodies, or any other effects on the Defending Pokémon.",Fire:×2,Water:-30,Colorless,Treecko,Midori Harada,,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,np-5,Mudkip,Pokémon,Water,Nintendo Black Star Promos,5,Promo,https://images.pokemontcg.io/np/5_hires.png,https://images.pokemontcg.io/np/5.png,50,,"[{""name"": ""Pound"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}, {""name"": ""Fury Swipes"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""10×"", ""text"": ""Flip 3 coins. This attack does 10 damage times the number of heads.""}]",Pound|Fury Swipes,10|10×,|Flip 3 coins. This attack does 10 damage times the number of heads.,Lightning:×2,,Colorless,,Ken Sugimori,,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,np-6,Torchic,Pokémon,Fire,Nintendo Black Star Promos,6,Promo,https://images.pokemontcg.io/np/6_hires.png,https://images.pokemontcg.io/np/6.png,40,,"[{""name"": ""Peck"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}, {""name"": ""Fireworks"", ""cost"": [""Fire"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": ""Flip a coin. If tails, discard a Fire Energy card attached to Torchic.""}]",Peck|Fireworks,10|30,"|Flip a coin. If tails, discard a Fire Energy card attached to Torchic.",Water:×2,,Colorless,,Ken Sugimori,,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,np-7,Treecko,Pokémon,Grass,Nintendo Black Star Promos,7,Promo,https://images.pokemontcg.io/np/7_hires.png,https://images.pokemontcg.io/np/7.png,40,,"[{""name"": ""Tail Slap"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}, {""name"": ""Razor Leaf"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": """"}]",Tail Slap|Razor Leaf,10|20,|,Fire:×2,Water:-30,Colorless,,Ken Sugimori,,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,np-8,Torchic,Pokémon,Fire,Nintendo Black Star Promos,8,Promo,https://images.pokemontcg.io/np/8_hires.png,https://images.pokemontcg.io/np/8.png,40,,"[{""name"": ""Peck"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}, {""name"": ""Fireworks"", ""cost"": [""Fire"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": ""Flip a coin. If tails, discard a Fire Energy card attached to Torchic.""}]",Peck|Fireworks,10|30,"|Flip a coin. If tails, discard a Fire Energy card attached to Torchic.",Water:×2,,Colorless,,Atsuko Nishida,,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,np-9,Combusken,Pokémon,Fire,Nintendo Black Star Promos,9,Promo,https://images.pokemontcg.io/np/9_hires.png,https://images.pokemontcg.io/np/9.png,70,,"[{""name"": ""Flare"", ""cost"": [""Fire""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": """"}, {""name"": ""Double Kick"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""40×"", ""text"": ""Flip 2 coins. This attack does 40 damage times the number of heads.""}]",Flare|Double Kick,20|40×,|Flip 2 coins. This attack does 40 damage times the number of heads.,Water:×2,,Colorless,Torchic,Kouki Saitou,,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,np-10,Mudkip,Pokémon,Water,Nintendo Black Star Promos,10,Promo,https://images.pokemontcg.io/np/10_hires.png,https://images.pokemontcg.io/np/10.png,50,,"[{""name"": ""Pound"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}, {""name"": ""Fury Swipes"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""10×"", ""text"": ""Flip 3 coins. This attack does 10 damage times the number of heads.""}]",Pound|Fury Swipes,10|10×,|Flip 3 coins. This attack does 10 damage times the number of heads.,Lightning:×2,,Colorless,,Atsuko Nishida,,,,,,,,,,,,,,,,,,,,,,,,,,
