Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,bw3-1,Sewaddle,Pokémon,Grass,Noble Victories,1,Common,https://images.pokemontcg.io/bw3/1_hires.png,https://images.pokemontcg.io/bw3/1.png,50,,"[{""name"": ""Leaf Boomerang"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20×"", ""text"": ""Flip 2 coins. This attack does 20 damage times the number of heads.""}]",Leaf Boomerang,20×,Flip 2 coins. This attack does 20 damage times the number of heads.,Fire:×2,,Colorless,,Mizue,Leavanny dress it in clothes they made for it when it hatched. It hides its head in its hood while it is sleeping.,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,bw3-2,Swadloon,Pokémon,Grass,Noble Victories,2,Uncommon,https://images.pokemontcg.io/bw3/2_hires.png,https://images.pokemontcg.io/bw3/2.png,70,,"[{""name"": ""Tackle"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": """"}, {""name"": ""String Shot"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": ""Flip a coin. If heads, the Defending Pokémon is now Paralyzed.""}]",Tackle|String Shot,20|20,"|Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",Fire:×2,,Colorless,Sewaddle,Midori Harada,Forests where Swadloon live have superb foliage because the nutrients they make from fallen leaves nourish the plant life.,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,bw3-3,Leavanny,Pokémon,Grass,Noble Victories,3,Rare Holo,https://images.pokemontcg.io/bw3/3_hires.png,https://images.pokemontcg.io/bw3/3.png,130,"[{""name"": ""Leaf Tailor"", ""text"": ""Each of your Pokémon that has any Energy attached to it has no Weakness."", ""type"": ""Ability""}]","[{""name"": ""Cutting Arm"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""40+"", ""text"": ""Flip 2 coins. This attack does 20 more damage for each heads.""}]",Cutting Arm,40+,Flip 2 coins. This attack does 20 more damage for each heads.,Fire:×2,,Colorless__Colorless,Swadloon,5ban Graphics,"Upon finding a small Pokémon, it weaves clothing for it from leaves, using cutters on its arms and sticky silk.",,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,bw3-4,Petilil,Pokémon,Grass,Noble Victories,4,Common,https://images.pokemontcg.io/bw3/4_hires.png,https://images.pokemontcg.io/bw3/4.png,60,,"[{""name"": ""Ram"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}, {""name"": ""Absorb"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""10"", ""text"": ""Heal 10 damage from this Pokémon.""}]",Ram|Absorb,10|10,|Heal 10 damage from this Pokémon.,Fire:×2,Water:-20,Colorless,,Shigenori Negishi,"Since they prefer moist, nutrient-rich soil, the areas where Petilil live are known to be good for growing plants.",,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,bw3-5,Lilligant,Pokémon,Grass,Noble Victories,5,Rare,https://images.pokemontcg.io/bw3/5_hires.png,https://images.pokemontcg.io/bw3/5.png,80,,"[{""name"": ""Aromax"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Heal all damage from 1 of your Benched Pokémon.""}, {""name"": ""Windmill"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": ""Switch this Pokémon with 1 of your Benched Pokémon.""}]",Aromax|Windmill,|30,Heal all damage from 1 of your Benched Pokémon.|Switch this Pokémon with 1 of your Benched Pokémon.,Fire:×2,Water:-20,Colorless,Petilil,Akira Komayama,The fragrance of the garland on its head has a relaxing effect. It withers if a Trainer does not take good care of it.,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,bw3-6,Dwebble,Pokémon,Grass,Noble Victories,6,Common,https://images.pokemontcg.io/bw3/6_hires.png,https://images.pokemontcg.io/bw3/6.png,60,,"[{""name"": ""Withdraw"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Flip a coin. If heads, prevent all damage done to this Pokémon by attacks during your opponent's next turn.""}, {""name"": ""Slash"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": """"}]",Withdraw|Slash,|20,"Flip a coin. If heads, prevent all damage done to this Pokémon by attacks during your opponent's next turn.|",Fire:×2,,Colorless__Colorless,,MAHOU,The Pokémon can easily melt holes in hard rocks with a liquid secreted from its mouth.,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,bw3-7,Crustle,Pokémon,Grass,Noble Victories,7,Uncommon,https://images.pokemontcg.io/bw3/7_hires.png,https://images.pokemontcg.io/bw3/7.png,100,,"[{""name"": ""X-Scissor"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20+"", ""text"": ""Flip a coin. If heads, this attack does 50 more damage.""}, {""name"": ""Reckless Charge"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""80"", ""text"": ""This Pokémon does 10 damage to itself.""}]",X-Scissor|Reckless Charge,20+|80,"Flip a coin. If heads, this attack does 50 more damage.|This Pokémon does 10 damage to itself.",Fire:×2,,Colorless__Colorless__Colorless,Dwebble,Naoyo Kimura,"Competing for territory, Crustle fight viciously. The one whose boulder is broken is the loser of the battle.",,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,bw3-8,Karrablast,Pokémon,Grass,Noble Victories,8,Common,https://images.pokemontcg.io/bw3/8_hires.png,https://images.pokemontcg.io/bw3/8.png,60,,"[{""name"": ""Mysterious Evolution"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""If Shelmet is in play, search your deck for a card that evolves from this Pokémon and put it onto this Pokémon. (This counts as evolving this Pokémon.) Shuffle your deck afterward.""}, {""name"": ""Fury Attack"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""10×"", ""text"": ""Flip 3 coins. This attack does 10 damage times the number of heads.""}]",Mysterious Evolution|Fury Attack,|10×,"If Shelmet is in play, search your deck for a card that evolves from this Pokémon and put it onto this Pokémon. (This counts as evolving this Pokémon.) Shuffle your deck afterward.|Flip 3 coins. This attack does 10 damage times the number of heads.",Fire:×2,,Colorless,,sui,"When they feel threatened, they spit acidic liquid to drive attackers away. This Pokémon targets Shelmet.",,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,bw3-9,Foongus,Pokémon,Grass,Noble Victories,9,Common,https://images.pokemontcg.io/bw3/9_hires.png,https://images.pokemontcg.io/bw3/9.png,40,,"[{""name"": ""Rollout"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": """"}]",Rollout,20,,Fire:×2,Water:-20,Colorless,,match,"For some reason, this Pokémon resembles a Poké Ball. They release poison spores to repel those who try to catch them.",,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,bw3-10,Amoonguss,Pokémon,Grass,Noble Victories,10,Uncommon,https://images.pokemontcg.io/bw3/10_hires.png,https://images.pokemontcg.io/bw3/10.png,90,,"[{""name"": ""Toxic"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""The Defending Pokémon is now Poisoned. Put 2 damage counters instead of 1 on that Pokémon between turns.""}, {""name"": ""Body Slam"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": ""Flip a coin. If heads, the Defending Pokémon is now Paralyzed.""}]",Toxic|Body Slam,|30,"The Defending Pokémon is now Poisoned. Put 2 damage counters instead of 1 on that Pokémon between turns.|Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",Fire:×2,Water:-20,Colorless__Colorless,Foongus,Kagemaru Himeno,"They show off their Poké Ball caps to lure prey, but very few Pokémon are fooled by this.",,,,,,,,,,,,,,,,,,,,,,,,,
