Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,sv3-1,Oddish,Pokémon,Grass,Obsidian Flames,1,Common,https://images.pokemontcg.io/sv3/1_hires.png,https://images.pokemontcg.io/sv3/1.png,50,,"[{""name"": ""Feelin' Fine"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Draw a card.""}, {""name"": ""Stampede"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}]",Feelin' Fine|Stampede,|10,Draw a card.|,Fire:×2,,Colorless,,Midori Harada,"During the day, it stays in the cold underground to avoid the sun. It grows by bathing in moonlight.",,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,sv3-2,Gloom,Pokémon,Grass,Obsidian Flames,2,Common,https://images.pokemontcg.io/sv3/2_hires.png,https://images.pokemontcg.io/sv3/2.png,80,,"[{""name"": ""Inviting Scent"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Switch in 1 of your opponent's Benched Pokémon to the Active Spot.""}, {""name"": ""Leaf Step"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": """"}]",Inviting Scent|Leaf Step,|20,Switch in 1 of your opponent's Benched Pokémon to the Active Spot.|,Fire:×2,,Colorless__Colorless,Oddish,Haru Akasaka,What appears to be drool is actually sweet honey. It is very sticky and clings stubbornly if touched.,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,sv3-3,Bellossom,Pokémon,Grass,Obsidian Flames,3,Uncommon,https://images.pokemontcg.io/sv3/3_hires.png,https://images.pokemontcg.io/sv3/3.png,130,,"[{""name"": ""Sleep Powder"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""30"", ""text"": ""Your opponent's Active Pokémon is now Asleep.""}, {""name"": ""Powerful Dance"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""90×"", ""text"": ""Flip a coin for each Energy attached to this Pokémon. This attack does 90 damage for each heads.""}]",Sleep Powder|Powerful Dance,30|90×,Your opponent's Active Pokémon is now Asleep.|Flip a coin for each Energy attached to this Pokémon. This attack does 90 damage for each heads.,Fire:×2,,Colorless,Gloom,sui,Bellossom gather at times and appear to dance. They say that the dance is a ritual to summon the sun.,,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,sv3-4,Scyther,Pokémon,Grass,Obsidian Flames,4,Common,https://images.pokemontcg.io/sv3/4_hires.png,https://images.pokemontcg.io/sv3/4.png,80,,"[{""name"": ""Agility"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": ""Flip a coin. If heads, during your opponent's next turn, prevent all damage from and effects of attacks done to this Pokémon.""}, {""name"": ""Cut"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": """"}]",Agility|Cut,10|20,"Flip a coin. If heads, during your opponent's next turn, prevent all damage from and effects of attacks done to this Pokémon.|",Fire:×2,,Colorless,,Shin Nagasawa,"It slashes through grass with its sharp scythes, moving too fast for the human eye to track.",,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,sv3-5,Shuckle,Pokémon,Grass,Obsidian Flames,5,Common,https://images.pokemontcg.io/sv3/5_hires.png,https://images.pokemontcg.io/sv3/5.png,80,,"[{""name"": ""Berry Scent"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Search your deck for a Basic Pokémon and put it onto your Bench. Then, shuffle your deck.""}, {""name"": ""Guard Press"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": ""During your opponent's next turn, this Pokémon takes 30 less damage from attacks (after applying Weakness and Resistance).""}]",Berry Scent|Guard Press,|30,"Search your deck for a Basic Pokémon and put it onto your Bench. Then, shuffle your deck.|During your opponent's next turn, this Pokémon takes 30 less damage from attacks (after applying Weakness and Resistance).",Fire:×2,,Colorless,,Kurata So,"The berries stored in its vaselike shell eventually become a thick, pulpy juice.",,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,sv3-6,Surskit,Pokémon,Grass,Obsidian Flames,6,Common,https://images.pokemontcg.io/sv3/6_hires.png,https://images.pokemontcg.io/sv3/6.png,60,,"[{""name"": ""Lunge"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": ""Flip a coin. If tails, this attack does nothing.""}]",Lunge,20,"Flip a coin. If tails, this attack does nothing.",Fire:×2,,Colorless,,Saya Tsuruta,"They usually live on ponds, but after an evening shower, they may appear on puddles in towns.",,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,sv3-7,Masquerain,Pokémon,Grass,Obsidian Flames,7,Uncommon,https://images.pokemontcg.io/sv3/7_hires.png,https://images.pokemontcg.io/sv3/7.png,100,,"[{""name"": ""Panic-Prompting Pattern"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Flip a coin until you get tails. For each heads, discard a random card from your opponent's hand.""}, {""name"": ""Bug Buzz"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""70"", ""text"": """"}]",Panic-Prompting Pattern|Bug Buzz,|70,"Flip a coin until you get tails. For each heads, discard a random card from your opponent's hand.|",Fire:×2,,Colorless,Surskit,Haru Akasaka,It flaps its four wings to hover and fly freely in any direction—to and fro and sideways.,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,sv3-8,Combee,Pokémon,Grass,Obsidian Flames,8,Common,https://images.pokemontcg.io/sv3/8_hires.png,https://images.pokemontcg.io/sv3/8.png,50,,"[{""name"": ""Share"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Heal 20 damage from 1 of your Benched Pokémon.""}, {""name"": ""Ram"", ""cost"": [""Grass"", ""Grass""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": """"}]",Share|Ram,|20,Heal 20 damage from 1 of your Benched Pokémon.|,Fire:×2,,Colorless,,HYOGONOSUKE,"At night, Combee sleep in a group of about a hundred, packed closely together in a lump.",,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,sv3-9,Foongus,Pokémon,Grass,Obsidian Flames,9,Common,https://images.pokemontcg.io/sv3/9_hires.png,https://images.pokemontcg.io/sv3/9.png,50,,"[{""name"": ""Enticing Pattern"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Search your deck for a Basic Grass Pokémon and put it onto your Bench. Then, shuffle your deck.""}, {""name"": ""Beat"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": """"}]",Enticing Pattern|Beat,|20,"Search your deck for a Basic Grass Pokémon and put it onto your Bench. Then, shuffle your deck.|",Fire:×2,,Colorless,,You Iribi,"There is a theory that the developer of the modern-day Poké Ball really liked Foongus, but this has not been confirmed.",,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,sv3-10,Amoonguss,Pokémon,Grass,Obsidian Flames,10,Uncommon,https://images.pokemontcg.io/sv3/10_hires.png,https://images.pokemontcg.io/sv3/10.png,110,,"[{""name"": ""Dangerous Spores"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""60"", ""text"": ""Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed and Poisoned.""}]",Dangerous Spores,60,"Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed and Poisoned.",Fire:×2,,Colorless__Colorless,Foongus,Nobuhiro Imagawa,Be wary of the poisonous spores it releases. Mushrooms resembling Amoonguss's caps will grow out of anywhere the spores touch.,,,,,,,,,,,,,,,,,,,,,,,,,
