Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,pop3-1,Blastoise,Pokémon,Water,POP Series 3,1,Rare,https://images.pokemontcg.io/pop3/1_hires.png,https://images.pokemontcg.io/pop3/1.png,120,,"[{""name"": ""Smash Turn"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": ""After your attack, you may switch Blastoise with 1 of your Benched Pokémon.""}, {""name"": ""Rocket Tackle"", ""cost"": [""Water"", ""Water"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""60"", ""text"": ""Blastoise does 10 damage to itself. Flip a coin. If heads, prevent all damage done to Blastoise by attacks during your opponent's next turn.""}]",Smash Turn|Rocket Tackle,30|60,"After your attack, you may switch Blastoise with 1 of your Benched Pokémon.|Blastoise does 10 damage to itself. Flip a coin. If heads, prevent all damage done to Blastoise by attacks during your opponent's next turn.",Lightning:×2,,Colorless__Colorless,Wartortle,Mitsuhiro Arita,,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,pop3-2,Flareon,Pokémon,Fire,POP Series 3,2,Rare,https://images.pokemontcg.io/pop3/2_hires.png,https://images.pokemontcg.io/pop3/2.png,70,,"[{""name"": ""Quick Attack"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""10+"", ""text"": ""Flip a coin. If heads, this attack does 10 damage plus 20 more damage.""}, {""name"": ""Fire Spin"", ""cost"": [""Fire"", ""Fire"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""70"", ""text"": ""Discard 2 basic Energy cards attached to Flareon or this attack does nothing.""}]",Quick Attack|Fire Spin,10+|70,"Flip a coin. If heads, this attack does 10 damage plus 20 more damage.|Discard 2 basic Energy cards attached to Flareon or this attack does nothing.",Water:×2,,Colorless,Eevee,Masakazu Fukuda,,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,pop3-3,Jolteon,Pokémon,Lightning,POP Series 3,3,Rare,https://images.pokemontcg.io/pop3/3_hires.png,https://images.pokemontcg.io/pop3/3.png,70,,"[{""name"": ""Thundershock"", ""cost"": [""Lightning"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": ""Flip a coin. If heads, the Defending Pokémon is now Paralyzed.""}, {""name"": ""Pin Missile"", ""cost"": [""Lightning"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""20×"", ""text"": ""Flip 4 coins. This attack does 20 damage times the number of heads.""}]",Thundershock|Pin Missile,20|20×,"Flip a coin. If heads, the Defending Pokémon is now Paralyzed.|Flip 4 coins. This attack does 20 damage times the number of heads.",Fighting:×2,Metal:-30,,Eevee,Masakazu Fukuda,,,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,pop3-4,Minun,Pokémon,Lightning,POP Series 3,4,Rare,https://images.pokemontcg.io/pop3/4_hires.png,https://images.pokemontcg.io/pop3/4.png,50,,"[{""name"": ""Cheer Up"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Draw a card. If you have Plusle in play, draw 2 cards instead.""}, {""name"": ""Negative Ion"", ""cost"": [""Lightning"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": ""During your opponent's next turn, any damage done by attacks from the Defending Pokémon is reduced by 10 (before applying Weakness and Resistance).""}, {""name"": ""Power Bolt"", ""cost"": [""Lightning"", ""Lightning""], ""convertedEnergyCost"": 2, ""damage"": """", ""text"": ""Choose 1 of your opponent's Pokémon that has any Poké-Powers. This attack does 30 damage to that Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}]",Cheer Up|Negative Ion|Power Bolt,|20|,"Draw a card. If you have Plusle in play, draw 2 cards instead.|During your opponent's next turn, any damage done by attacks from the Defending Pokémon is reduced by 10 (before applying Weakness and Resistance).|Choose 1 of your opponent's Pokémon that has any Poké-Powers. This attack does 30 damage to that Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)",Fighting:×2,Metal:-30,Colorless,,Sumiyoshi Kizuki,,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,pop3-5,Plusle,Pokémon,Lightning,POP Series 3,5,Rare,https://images.pokemontcg.io/pop3/5_hires.png,https://images.pokemontcg.io/pop3/5.png,50,,"[{""name"": ""Cheer Up"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Draw a card. If you have Minun in play, draw 2 cards instead.""}, {""name"": ""Positive Ion"", ""cost"": [""Lightning"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20+"", ""text"": ""Flip a coin. If heads, this attack does 20 damage plus 10 more damage.""}, {""name"": ""Body Bolt"", ""cost"": [""Lightning"", ""Lightning""], ""convertedEnergyCost"": 2, ""damage"": """", ""text"": ""Choose 1 of your opponent's Pokémon that has any Poké-Bodies. This attack does 30 damage to that Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}]",Cheer Up|Positive Ion|Body Bolt,|20+|,"Draw a card. If you have Minun in play, draw 2 cards instead.|Flip a coin. If heads, this attack does 20 damage plus 10 more damage.|Choose 1 of your opponent's Pokémon that has any Poké-Bodies. This attack does 30 damage to that Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)",Fighting:×2,Metal:-30,Colorless,,Sumiyoshi Kizuki,,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,pop3-6,Vaporeon,Pokémon,Water,POP Series 3,6,Rare,https://images.pokemontcg.io/pop3/6_hires.png,https://images.pokemontcg.io/pop3/6.png,70,,"[{""name"": ""Bite"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": """"}, {""name"": ""Water Gun"", ""cost"": [""Water"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30+"", ""text"": ""Does 30 damage plus 20 more damage for each Water Energy attached to Vaporeon but not used to pay for this attack's Energy cost. You can't add more than 40 damage in this way.""}]",Bite|Water Gun,20|30+,|Does 30 damage plus 20 more damage for each Water Energy attached to Vaporeon but not used to pay for this attack's Energy cost. You can't add more than 40 damage in this way.,Lightning:×2,,Colorless,Eevee,Masakazu Fukuda,,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,pop3-7,Combusken,Pokémon,Fire,POP Series 3,7,Uncommon,https://images.pokemontcg.io/pop3/7_hires.png,https://images.pokemontcg.io/pop3/7.png,70,,"[{""name"": ""Scratch"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}, {""name"": ""Flamethrower"", ""cost"": [""Fire"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""50"", ""text"": ""Discard a Fire Energy attached to Combusken.""}]",Scratch|Flamethrower,10|50,|Discard a Fire Energy attached to Combusken.,Water:×2,,Colorless,Torchic,Mitsuhiro Arita,,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,pop3-8,Donphan,Pokémon,Fighting,POP Series 3,8,Uncommon,https://images.pokemontcg.io/pop3/8_hires.png,https://images.pokemontcg.io/pop3/8.png,80,,"[{""name"": ""Sniff Out"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Put any 1 card from your discard pile into your hand.""}, {""name"": ""Fury Attack"", ""cost"": [""Fighting"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""30×"", ""text"": ""Flip 3 coins. This attack does 30 damage times the number of heads.""}]",Sniff Out|Fury Attack,|30×,Put any 1 card from your discard pile into your hand.|Flip 3 coins. This attack does 30 damage times the number of heads.,Grass:×2,,Colorless,Phanpy,Tomoaki Imakuni,,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,pop3-9,Forretress,Pokémon,Grass,POP Series 3,9,Uncommon,https://images.pokemontcg.io/pop3/9_hires.png,https://images.pokemontcg.io/pop3/9.png,70,,"[{""name"": ""Tackle"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": """"}, {""name"": ""Toxic"", ""cost"": [""Grass"", ""Grass"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""20"", ""text"": ""The Defending Pokémon is now Poisoned. Put 2 damage counters instead of 1 on the Defending Pokémon between turns.""}]",Tackle|Toxic,20|20,|The Defending Pokémon is now Poisoned. Put 2 damage counters instead of 1 on the Defending Pokémon between turns.,Fire:×2,,Colorless__Colorless,Pineco,Midori Harada,,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,pop3-10,High Pressure System,Trainer,,POP Series 3,10,Uncommon,https://images.pokemontcg.io/pop3/10_hires.png,https://images.pokemontcg.io/pop3/10.png,,,,,,,,,,,Ken Ikuji,,,,,,,,,,,,,,,,,,,,,,,,,,
