Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,pop4-1,Chimecho δ,Pokémon,Metal,POP Series 4,1,Rare,https://images.pokemontcg.io/pop4/1_hires.png,https://images.pokemontcg.io/pop4/1.png,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,pop4-2,Deoxys δ,Pokémon,Colorless,POP Series 4,2,Rare,https://images.pokemontcg.io/pop4/2_hires.png,https://images.pokemontcg.io/pop4/2.png,7.96,8.38,29.98,29.65,,6.75,7.97,17.99,13.2,,,,,,,,,,,,,,,,
002.jpg,pop4-3,Flygon,Pokémon,Fighting,POP Series 4,3,Rare,https://images.pokemontcg.io/pop4/3_hires.png,https://images.pokemontcg.io/pop4/3.png,7.0,7.89,8.49,8.01,,6.5,7.28,19.65,19.65,,,,,,,,,,,,,,,,
003.jpg,pop4-4,Mew,Pokémon,Psychic,POP Series 4,4,Rare,https://images.pokemontcg.io/pop4/4_hires.png,https://images.pokemontcg.io/pop4/4.png,11.05,12.74,31.99,51.33,,11.1,18.5,47.95,59.16,,,,,,,,,,,,,,,,
004.jpg,pop4-5,Sceptile,Pokémon,Grass,POP Series 4,5,Rare,https://images.pokemontcg.io/pop4/5_hires.png,https://images.pokemontcg.io/pop4/5.png,104.73,127.34,149.95,20.0,,,,,,,,,,,,,,,,,,,,,
005.jpg,pop4-6,Combusken,Pokémon,Fire,POP Series 4,6,Uncommon,https://images.pokemontcg.io/pop4/6_hires.png,https://images.pokemontcg.io/pop4/6.png,3.99,6.0,6.55,3.62,,3.77,4.19,16.98,22.27,,,,,,,,,,,,,,,,
006.jpg,pop4-7,Grovyle,Pokémon,Grass,POP Series 4,7,Uncommon,https://images.pokemontcg.io/pop4/7_hires.png,https://images.pokemontcg.io/pop4/7.png,9.99,14.0,18.0,14.0,,,,,,,,,,,,,,,,,,,,,
007.jpg,pop4-8,Heal Energy,Energy,,POP Series 4,8,Uncommon,https://images.pokemontcg.io/pop4/8_hires.png,https://images.pokemontcg.io/pop4/8.png,11.28,78.95,86.83,2.81,,,,,,,,,,,,,,,,,,,,,
008.jpg,pop4-9,Pokémon Fan Club,Trainer,,POP Series 4,9,Uncommon,https://images.pokemontcg.io/pop4/9_hires.png,https://images.pokemontcg.io/pop4/9.png,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,pop4-10,Scramble Energy,Energy,,POP Series 4,10,Uncommon,https://images.pokemontcg.io/pop4/10_hires.png,https://images.pokemontcg.io/pop4/10.png,11.0,16.73,21.45,6.5,,,,,,,,,,,,,,,,,,,,,
010.jpg,pop4-11,Mudkip,Pokémon,Water,POP Series 4,11,Common,https://images.pokemontcg.io/pop4/11_hires.png,https://images.pokemontcg.io/pop4/11.png,2.34,3.27,3.49,3.55,,4.99,5.55,16.84,11.3,,,,,,,,,,,,,,,,
011.jpg,pop4-12,Pidgey,Pokémon,Colorless,POP Series 4,12,Common,https://images.pokemontcg.io/pop4/12_hires.png,https://images.pokemontcg.io/pop4/12.png,0.64,1.58,2.49,1.2,,,,,,,,,,,,,,,,,,,,,
012.jpg,pop4-13,Pikachu,Pokémon,Lightning,POP Series 4,13,Common,https://images.pokemontcg.io/pop4/13_hires.png,https://images.pokemontcg.io/pop4/13.png,9.0,17.97,24.99,9.77,,8.95,20.0,33.53,18.42,,,,,,,,,,,,,,,,
013.jpg,pop4-14,Squirtle,Pokémon,Water,POP Series 4,14,Common,https://images.pokemontcg.io/pop4/14_hires.png,https://images.pokemontcg.io/pop4/14.png,12.5,13.59,13.75,7.33,,,,,,,,,,,,,,,,,,,,,
014.jpg,pop4-15,Treecko δ,Pokémon,Psychic,POP Series 4,15,Common,https://images.pokemontcg.io/pop4/15_hires.png,https://images.pokemontcg.io/pop4/15.png,1.13,1.56,2.99,1.81,,,,,,,,,,,,,,,,,,,,,
015.jpg,pop4-16,Wobbuffet,Pokémon,Psychic,POP Series 4,16,Common,https://images.pokemontcg.io/pop4/16_hires.png,https://images.pokemontcg.io/pop4/16.png,0.79,1.25,2.73,2.73,,1.49,1.95,12.94,3.93,,,,,,,,,,,,,,,,
016.jpg,pop4-17,Deoxys ex,Pokémon,Psychic,POP Series 4,17,Rare,https://images.pokemontcg.io/pop4/17_hires.png,https://images.pokemontcg.io/pop4/17.png,,,,,,,,,,,,,,,,,,,,,,,,,
