Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,sv2-1,Hoppip,Pokémon,Grass,Paldea Evolved,1,Common,https://images.pokemontcg.io/sv2/1_hires.png,https://images.pokemontcg.io/sv2/1.png,50,,"[{""cost"": [""Grass""], ""name"": ""Splashing Dodge"", ""damage"": ""10"", ""text"": ""Flip a coin. If heads, during your opponent's next turn, prevent all damage from and effects of attacks done to this Pokémon."", ""convertedEnergyCost"": 1}]",Splashing Dodge,10,"Flip a coin. If heads, during your opponent's next turn, prevent all damage from and effects of attacks done to this Pokémon.",Fire:×2,,Colorless,,Yukiko Baba,This Pokémon is blown across vast distances by the wind. It is unclear where the Hoppip of Paldea originally came from.,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,sv2-2,Skiploom,Pokémon,Grass,Paldea Evolved,2,Uncommon,https://images.pokemontcg.io/sv2/2_hires.png,https://images.pokemontcg.io/sv2/2.png,70,"[{""type"": ""Ability"", ""name"": ""Drifting Dodge"", ""text"": ""If any damage is done to this Pokémon by attacks, flip a coin. If heads, prevent that damage.""}]","[{""cost"": [""Grass""], ""name"": ""Flowery Zephyr"", ""damage"": ""30"", ""text"": ""This attack also does 30 damage to 1 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)"", ""convertedEnergyCost"": 1}]",Flowery Zephyr,30,This attack also does 30 damage to 1 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.),Fire:×2,,Colorless,Hoppip,Yoriyuki Ikegami,Skiploom enthusiasts can apparently tell where a Skiploom was born by the scent drifting from the flower on the Pokémon's head.,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,sv2-3,Jumpluff,Pokémon,Grass,Paldea Evolved,3,Rare,https://images.pokemontcg.io/sv2/3_hires.png,https://images.pokemontcg.io/sv2/3.png,90,"[{""type"": ""Ability"", ""name"": ""Drifting Dodge"", ""text"": ""If any damage is done to this Pokémon by attacks, flip a coin. If heads, prevent that damage.""}]","[{""cost"": [""Grass""], ""name"": ""Fluffy Breeze"", ""damage"": ""60"", ""text"": ""This attack also does 30 damage to 1 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)"", ""convertedEnergyCost"": 1}]",Fluffy Breeze,60,This attack also does 30 damage to 1 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.),Fire:×2,,Colorless,Skiploom,Naoyo Kimura,"Jumpluff travels on seasonal winds. Once its cotton spores run out, its journey ends, as does its life.",,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,sv2-4,Pineco,Pokémon,Grass,Paldea Evolved,4,Common,https://images.pokemontcg.io/sv2/4_hires.png,https://images.pokemontcg.io/sv2/4.png,70,,"[{""cost"": [""Grass"", ""Grass""], ""name"": ""Rollout"", ""damage"": ""30"", ""text"": """", ""convertedEnergyCost"": 2}]",Rollout,30,,Fire:×2,,Colorless__Colorless,,Kouki Saitou,It likes to make its shell thicker by adding layers of tree bark. The additional weight doesn't bother it.,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,sv2-5,Forretress ex,Pokémon,Grass,Paldea Evolved,5,Double Rare,https://images.pokemontcg.io/sv2/5_hires.png,https://images.pokemontcg.io/sv2/5.png,270,"[{""type"": ""Ability"", ""name"": ""Exploding Energy"", ""text"": ""Once during your turn, you may search your deck for up to 5 Basic Grass Energy cards and attach them to your Pokémon in any way you like. Then, shuffle your deck. If you searched your deck in this way, this Pokémon is Knocked Out.""}]","[{""cost"": [""Grass"", ""Grass""], ""name"": ""Guard Press"", ""damage"": ""120"", ""text"": ""During your opponent's next turn, this Pokémon takes 30 less damage from attacks (after applying Weakness and Resistance)."", ""convertedEnergyCost"": 2}]",Guard Press,120,"During your opponent's next turn, this Pokémon takes 30 less damage from attacks (after applying Weakness and Resistance).",Fire:×2,,Colorless__Colorless__Colorless,Pineco,5ban Graphics,,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,sv2-6,Heracross,Pokémon,Grass,Paldea Evolved,6,Uncommon,https://images.pokemontcg.io/sv2/6_hires.png,https://images.pokemontcg.io/sv2/6.png,130,,"[{""cost"": [""Grass"", ""Grass""], ""name"": ""Tackle"", ""damage"": ""50"", ""text"": """", ""convertedEnergyCost"": 2}, {""cost"": [""Grass"", ""Grass"", ""Grass""], ""name"": ""Smashing Horn"", ""damage"": ""110"", ""text"": ""This attack's damage isn't affected by Resistance."", ""convertedEnergyCost"": 3}]",Tackle|Smashing Horn,50|110,|This attack's damage isn't affected by Resistance.,Fire:×2,,Colorless__Colorless__Colorless,,GOSSAN,"It loves sweet nectar. To keep all the nectar to itself, it hurls rivals away with its prized horn.",,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,sv2-7,Tropius,Pokémon,Grass,Paldea Evolved,7,Common,https://images.pokemontcg.io/sv2/7_hires.png,https://images.pokemontcg.io/sv2/7.png,110,,"[{""cost"": [""Grass""], ""name"": ""Leaf Drain"", ""damage"": ""20"", ""text"": ""Heal 20 damage from this Pokémon."", ""convertedEnergyCost"": 1}, {""cost"": [""Grass"", ""Grass"", ""Colorless""], ""name"": ""Tropic Breeze"", ""damage"": ""130"", ""text"": ""Move all Energy from this Pokémon to 1 of your Benched Pokémon."", ""convertedEnergyCost"": 3}]",Leaf Drain|Tropic Breeze,20|130,Heal 20 damage from this Pokémon.|Move all Energy from this Pokémon to 1 of your Benched Pokémon.,Fire:×2,,Colorless,,Taira Akitsu,It lives in tropical jungles. The bunch of fruit around its neck is delicious. The fruit grows twice a year.,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,sv2-8,Combee,Pokémon,Grass,Paldea Evolved,8,Common,https://images.pokemontcg.io/sv2/8_hires.png,https://images.pokemontcg.io/sv2/8.png,50,,"[{""cost"": [""Colorless""], ""name"": ""Double Spin"", ""damage"": ""10×"", ""text"": ""Flip 2 coins. This attack does 10 damage for each heads."", ""convertedEnergyCost"": 1}]",Double Spin,10×,Flip 2 coins. This attack does 10 damage for each heads.,Fire:×2,,Colorless,,Yoriyuki Ikegami,"At night, Combee sleep in a group of about a hundred, packed closely together in a lump.",,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,sv2-9,Vespiquen,Pokémon,Grass,Paldea Evolved,9,Uncommon,https://images.pokemontcg.io/sv2/9_hires.png,https://images.pokemontcg.io/sv2/9.png,120,,"[{""cost"": [""Colorless""], ""name"": ""Double Stab"", ""damage"": ""30×"", ""text"": ""Flip 2 coins. This attack does 30 damage for each heads."", ""convertedEnergyCost"": 1}, {""cost"": [""Grass""], ""name"": ""Order a Raid"", ""damage"": ""120"", ""text"": ""Choose 1 of your Benched Combee and shuffle that Pokémon and all attached cards into your deck. If you can't shuffle a Combee into your deck, this attack does nothing."", ""convertedEnergyCost"": 1}]",Double Stab|Order a Raid,30×|120,"Flip 2 coins. This attack does 30 damage for each heads.|Choose 1 of your Benched Combee and shuffle that Pokémon and all attached cards into your deck. If you can't shuffle a Combee into your deck, this attack does nothing.",Fire:×2,,Colorless__Colorless,Combee,Megumi Higuchi,It houses its colony in cells in its body and releases various pheromones to make those grubs do its bidding.,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,sv2-10,Snover,Pokémon,Grass,Paldea Evolved,10,Common,https://images.pokemontcg.io/sv2/10_hires.png,https://images.pokemontcg.io/sv2/10.png,90,,"[{""cost"": [""Grass"", ""Colorless""], ""name"": ""Corkscrew Punch"", ""damage"": ""30"", ""text"": """", ""convertedEnergyCost"": 2}]",Corkscrew Punch,30,,Fire:×2,,Colorless__Colorless__Colorless,,Taira Akitsu,"During cold seasons, it migrates to the mountain's lower reaches. It returns to the snow-covered summit in the spring.",,,,,,,,,,,,,,,,,,,,,,,,,
010.jpg,sv2-11,Abomasnow,Pokémon,Grass,Paldea Evolved,11,Rare,https://images.pokemontcg.io/sv2/11_hires.png,https://images.pokemontcg.io/sv2/11.png,150,"[{""type"": ""Ability"", ""name"": ""Freezing Disaster"", ""text"": ""Pokémon (both yours and your opponent's) can't be healed.""}]","[{""cost"": [""Grass"", ""Grass"", ""Colorless""], ""name"": ""Magnum Punch"", ""damage"": ""110"", ""text"": """", ""convertedEnergyCost"": 3}]",Magnum Punch,110,,Fire:×2,,Colorless__Colorless__Colorless,Snover,Ryuta Fuse,It lives a quiet life on mountains that are perpetually covered in snow. It hides itself by whipping up blizzards.,,,,,,,,,,,,,,,,,,,,,,,,,
011.jpg,sv2-12,Sprigatito,Pokémon,Grass,Paldea Evolved,12,Common,https://images.pokemontcg.io/sv2/12_hires.png,https://images.pokemontcg.io/sv2/12.png,60,,"[{""cost"": [""Grass""], ""name"": ""Gather Sunlight"", ""damage"": """", ""text"": ""Search your deck for up to 2 Basic Energy cards, reveal them, and put them into your hand. Then, shuffle your deck."", ""convertedEnergyCost"": 1}, {""cost"": [""Grass""], ""name"": ""Seed Bomb"", ""damage"": ""10"", ""text"": """", ""convertedEnergyCost"": 1}]",Gather Sunlight|Seed Bomb,|10,"Search your deck for up to 2 Basic Energy cards, reveal them, and put them into your hand. Then, shuffle your deck.|",Fire:×2,,Colorless,,Megumi Mizutani,Its fluffy fur is similar in composition to plants. This Pokémon frequently washes its face to keep it from drying out.,,,,,,,,,,,,,,,,,,,,,,,,,
