Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,sv4pt5-1,Pineco,Pokémon,Grass,Paldean Fates,1,Common,https://images.pokemontcg.io/sv4pt5/1_hires.png,https://images.pokemontcg.io/sv4pt5/1.png,70,,"[{""name"": ""Rollout"", ""cost"": [""Grass"", ""Grass""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": """"}]",Rollout,30,,Fire:×2,,Colorless__Colorless,,Kouki Saitou,It likes to make its shell thicker by adding layers of tree bark. The additional weight doesn't bother it.,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,sv4pt5-2,Forretress ex,Pokémon,Grass,Paldean Fates,2,Double Rare,https://images.pokemontcg.io/sv4pt5/2_hires.png,https://images.pokemontcg.io/sv4pt5/2.png,270,"[{""name"": ""Exploding Energy"", ""text"": ""Once during your turn, you may search your deck for up to 5 Basic Grass Energy cards and attach them to your Pokémon in any way you like. Then, shuffle your deck. If you searched your deck in this way, this Pokémon is Knocked Out."", ""type"": ""Ability""}]","[{""name"": ""Guard Press"", ""cost"": [""Grass"", ""Grass""], ""convertedEnergyCost"": 2, ""damage"": ""120"", ""text"": ""During your opponent's next turn, this Pokémon takes 30 less damage from attacks (after applying Weakness and Resistance).""}]",Guard Press,120,"During your opponent's next turn, this Pokémon takes 30 less damage from attacks (after applying Weakness and Resistance).",Fire:×2,,Colorless__Colorless__Colorless,Pineco,5ban Graphics,,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,sv4pt5-3,Maractus,Pokémon,Grass,Paldean Fates,3,Common,https://images.pokemontcg.io/sv4pt5/3_hires.png,https://images.pokemontcg.io/sv4pt5/3.png,110,,"[{""name"": ""Double Draw"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Draw 2 cards.""}, {""name"": ""Pin Missile"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""30×"", ""text"": ""Flip 4 coins. This attack does 30 damage for each heads.""}]",Double Draw|Pin Missile,|30×,Draw 2 cards.|Flip 4 coins. This attack does 30 damage for each heads.,Fire:×2,,Colorless__Colorless,,Masako Tomii,"Once each year, this Pokémon scatters its seeds. They're jam-packed with nutrients, making them a precious food source out in the desert.",,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,sv4pt5-4,Toedscool,Pokémon,Grass,Paldean Fates,4,Common,https://images.pokemontcg.io/sv4pt5/4_hires.png,https://images.pokemontcg.io/sv4pt5/4.png,50,,"[{""name"": ""Furious Kicks"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""10×"", ""text"": ""Flip 3 coins. This attack does 10 damage for each heads.""}]",Furious Kicks,10×,Flip 3 coins. This attack does 10 damage for each heads.,Fire:×2,,Colorless,,Shin Nagasawa,"Though it looks like Tentacool, Toedscool is a completely different species. Its legs may be thin, but it can run at a speed of 30 mph.",,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,sv4pt5-5,Toedscruel ex,Pokémon,Grass,Paldean Fates,5,Double Rare,https://images.pokemontcg.io/sv4pt5/5_hires.png,https://images.pokemontcg.io/sv4pt5/5.png,270,"[{""name"": ""Protective Mycelium"", ""text"": ""Prevent all effects of attacks used by your opponent's Pokémon done to all of your Pokémon that have Energy attached. (Existing effects are not removed. Damage is not an effect.)"", ""type"": ""Ability""}]","[{""name"": ""Colony Rush"", ""cost"": [""Grass"", ""Grass""], ""convertedEnergyCost"": 2, ""damage"": ""80+"", ""text"": ""This attack does 40 more damage for each of your Benched Pokémon that has any Grass Energy attached.""}]",Colony Rush,80+,This attack does 40 more damage for each of your Benched Pokémon that has any Grass Energy attached.,Fire:×2,,Colorless__Colorless,Toedscool,5ban Graphics,,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,sv4pt5-6,Espathra ex,Pokémon,Grass,Paldean Fates,6,Double Rare,https://images.pokemontcg.io/sv4pt5/6_hires.png,https://images.pokemontcg.io/sv4pt5/6.png,260,"[{""name"": ""Dazzling Gaze"", ""text"": ""As long as this Pokémon is in the Active Spot, attacks used by your opponent's Active Pokémon cost Colorless more."", ""type"": ""Ability""}]","[{""name"": ""Psy Ball"", ""cost"": [""Psychic""], ""convertedEnergyCost"": 1, ""damage"": ""30+"", ""text"": ""This attack does 30 more damage for each Energy attached to both Active Pokémon.""}]",Psy Ball,30+,This attack does 30 more damage for each Energy attached to both Active Pokémon.,Fire:×2,,Colorless,Flittle,takuyoa,,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,sv4pt5-7,Charmander,Pokémon,Fire,Paldean Fates,7,Common,https://images.pokemontcg.io/sv4pt5/7_hires.png,https://images.pokemontcg.io/sv4pt5/7.png,70,,"[{""name"": ""Blazing Destruction"", ""cost"": [""Fire""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Discard a Stadium in play.""}, {""name"": ""Steady Firebreathing"", ""cost"": [""Fire"", ""Fire""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": """"}]",Blazing Destruction|Steady Firebreathing,|30,Discard a Stadium in play.|,Water:×2,,Colorless,,GIDORA,"From the time it is born, a flame burns at the tip of its tail. Its life would end if the flame were to go out.",,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,sv4pt5-8,Charmeleon,Pokémon,Fire,Paldean Fates,8,Uncommon,https://images.pokemontcg.io/sv4pt5/8_hires.png,https://images.pokemontcg.io/sv4pt5/8.png,90,"[{""name"": ""Flare Veil"", ""text"": ""Prevent all effects of attacks used by your opponent's Pokémon done to this Pokémon. (Damage is not an effect.)"", ""type"": ""Ability""}]","[{""name"": ""Combustion"", ""cost"": [""Fire"", ""Fire""], ""convertedEnergyCost"": 2, ""damage"": ""50"", ""text"": """"}]",Combustion,50,,Water:×2,,Colorless__Colorless,Charmander,Tonji Matsuno,"If it becomes agitated during battle, it spouts intense flames, incinerating its surroundings.",,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,sv4pt5-9,Magmar,Pokémon,Fire,Paldean Fates,9,Common,https://images.pokemontcg.io/sv4pt5/9_hires.png,https://images.pokemontcg.io/sv4pt5/9.png,80,,"[{""name"": ""Collect"", ""cost"": [""Fire""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Draw a card.""}, {""name"": ""Steady Firebreathing"", ""cost"": [""Fire"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""40"", ""text"": """"}]",Collect|Steady Firebreathing,|40,Draw a card.|,Water:×2,,Colorless__Colorless,,miki kudo,These Pokémon's bodies are constantly burning. Magmar are feared as one of the causes behind fires.,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,sv4pt5-10,Magmortar,Pokémon,Fire,Paldean Fates,10,Rare,https://images.pokemontcg.io/sv4pt5/10_hires.png,https://images.pokemontcg.io/sv4pt5/10.png,140,,"[{""name"": ""Flare"", ""cost"": [""Fire""], ""convertedEnergyCost"": 1, ""damage"": ""40"", ""text"": """"}, {""name"": ""Volcanic Heat"", ""cost"": [""Fire"", ""Fire"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""170"", ""text"": ""During your next turn, this Pokémon can't attack.""}]",Flare|Volcanic Heat,40|170,"|During your next turn, this Pokémon can't attack.",Water:×2,,Colorless__Colorless__Colorless,Magmar,Hasuno,Living in the crater of a volcano has caused this Pokémon's body to resemble its environment— it has an organ similar to a magma chamber.,,,,,,,,,,,,,,,,,,,,,,,,,
010.jpg,sv4pt5-11,Numel,Pokémon,Fire,Paldean Fates,11,Common,https://images.pokemontcg.io/sv4pt5/11_hires.png,https://images.pokemontcg.io/sv4pt5/11.png,80,,"[{""name"": ""Singe"", ""cost"": [""Fire""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Your opponent's Active Pokémon is now Burned.""}, {""name"": ""Heat Blast"", ""cost"": [""Fire"", ""Fire"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""60"", ""text"": """"}]",Singe|Heat Blast,|60,Your opponent's Active Pokémon is now Burned.|,Water:×2,,Colorless__Colorless__Colorless,,Mina Nakai,"Magma of almost 2,200 degrees Fahrenheit courses through its body. When it grows cold, the magma hardens and slows it.",,,,,,,,,,,,,,,,,,,,,,,,,
011.jpg,sv4pt5-12,Camerupt,Pokémon,Fire,Paldean Fates,12,Uncommon,https://images.pokemontcg.io/sv4pt5/12_hires.png,https://images.pokemontcg.io/sv4pt5/12.png,130,,"[{""name"": ""Super Singe"", ""cost"": [""Fire""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Your opponent's Active Pokémon is now Burned.""}, {""name"": ""Cinder Cannon"", ""cost"": [""Fire"", ""Fire"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""120+"", ""text"": ""You may discard a Fighting Energy from this Pokémon. If you do, this attack does 120 more damage.""}]",Super Singe|Cinder Cannon,|120+,"Your opponent's Active Pokémon is now Burned.|You may discard a Fighting Energy from this Pokémon. If you do, this attack does 120 more damage.",Water:×2,,Colorless__Colorless__Colorless,Numel,satoma,It lives in the crater of a volcano. It is well known that the humps on its back erupt every 10 years.,,,,,,,,,,,,,,,,,,,,,,,,,
012.jpg,sv4pt5-13,Heat Rotom,Pokémon,Fire,Paldean Fates,13,Rare,https://images.pokemontcg.io/sv4pt5/13_hires.png,https://images.pokemontcg.io/sv4pt5/13.png,90,,"[{""name"": ""Heat Tackle"", ""cost"": [""Fire"", ""Fire""], ""convertedEnergyCost"": 2, ""damage"": ""100"", ""text"": ""This Pokémon also does 40 damage to itself.""}]",Heat Tackle,100,This Pokémon also does 40 damage to itself.,Water:×2,,Colorless,,Scav,"If the convection microwave oven is not working properly, then the Rotom inhabiting it will become lethargic.",,,,,,,,,,,,,,,,,,,,,,,,,
013.jpg,sv4pt5-14,Charcadet,Pokémon,Fire,Paldean Fates,14,Common,https://images.pokemontcg.io/sv4pt5/14_hires.png,https://images.pokemontcg.io/sv4pt5/14.png,70,,"[{""name"": ""Heat Blast"", ""cost"": [""Fire"", ""Fire"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""60"", ""text"": """"}]",Heat Blast,60,,Water:×2,,Colorless,,nagimiso,"Burnt charcoal came to life and became a Pokémon. Possessing a fiery fighting spirit, Charcadet will battle even tough opponents.",,,,,,,,,,,,,,,,,,,,,,,,,
014.jpg,sv4pt5-15,Armarouge,Pokémon,Fire,Paldean Fates,15,Rare,https://images.pokemontcg.io/sv4pt5/15_hires.png,https://images.pokemontcg.io/sv4pt5/15.png,130,"[{""name"": ""Fire Off"", ""text"": ""As often as you like during your turn, you may move a Fire Energy from 1 of your Benched Pokémon to your Active Pokémon."", ""type"": ""Ability""}]","[{""name"": ""Flame Cannon"", ""cost"": [""Fire"", ""Fire"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""90"", ""text"": ""Your opponent's Active Pokémon is now Burned.""}]",Flame Cannon,90,Your opponent's Active Pokémon is now Burned.,Water:×2,,Colorless__Colorless,Charcadet,AKIRA EGAWA,Armarouge evolved through the use of a set of armor that belonged to a distinguished warrior. This Pokémon is incredibly loyal.,,,,,,,,,,,,,,,,,,,,,,,,,
015.jpg,sv4pt5-16,Lapras,Pokémon,Water,Paldean Fates,16,Common,https://images.pokemontcg.io/sv4pt5/16_hires.png,https://images.pokemontcg.io/sv4pt5/16.png,110,,"[{""name"": ""Into the Deep"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Put up to 3 Basic Energy cards from your discard pile into your hand.""}, {""name"": ""Freeze-Dry"", ""cost"": [""Water"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""50"", ""text"": ""Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.""}]",Into the Deep|Freeze-Dry,|50,"Put up to 3 Basic Energy cards from your discard pile into your hand.|Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.",Metal:×2,,Colorless,,Gemi,Crossing icy seas is no issue for this cold-resistant Pokémon. Its smooth skin is a little cool to the touch.,,,,,,,,,,,,,,,,,,,,,,,,,
