Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,sv4-1,Surskit,Pokémon,Grass,Paradox Rift,1,Common,https://images.pokemontcg.io/sv4/1_hires.png,https://images.pokemontcg.io/sv4/1.png,50,,"[{""name"": ""Triple Spin"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""10×"", ""text"": ""Flip 3 coins. This attack does 10 damage for each heads.""}]",Triple Spin,10×,Flip 3 coins. This attack does 10 damage for each heads.,Fire:×2,,Colorless,,Yoriyuki Ikegami,"It secretes a thick, sweet-scented syrup from the tip of its head. It lives on weed-choked ponds.",,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,sv4-2,Masquerain,Pokémon,Grass,Paradox Rift,2,Uncommon,https://images.pokemontcg.io/sv4/2_hires.png,https://images.pokemontcg.io/sv4/2.png,100,,"[{""name"": ""Daunting Eyes"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Flip a coin until you get tails. For each heads, shuffle an Energy attached to your opponent's Active Pokémon into their deck.""}, {""name"": ""Cutting Wind"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""70"", ""text"": """"}]",Daunting Eyes|Cutting Wind,|70,"Flip a coin until you get tails. For each heads, shuffle an Energy attached to your opponent's Active Pokémon into their deck.|",Fire:×2,,Colorless,Surskit,kantaro,"The antennae have distinctive patterns that look like eyes. When it rains, they grow heavy, making flight impossible.",,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,sv4-3,Froslass ex,Pokémon,Grass,Paradox Rift,3,Double Rare,https://images.pokemontcg.io/sv4/3_hires.png,https://images.pokemontcg.io/sv4/3.png,250,"[{""name"": ""Evanescent"", ""text"": ""If this Pokémon is in the Active Spot and is Knocked Out, flip a coin. If heads, your opponent takes 1 fewer Prize card."", ""type"": ""Ability""}]","[{""name"": ""Frost Bullet"", ""cost"": [""Water"", ""Water""], ""convertedEnergyCost"": 2, ""damage"": ""140"", ""text"": ""This attack also does 20 damage to 1 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}]",Frost Bullet,140,This attack also does 20 damage to 1 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.),Fire:×2,,Colorless,Snorunt,5ban Graphics,,,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,sv4-4,Pansage,Pokémon,Grass,Paradox Rift,4,Common,https://images.pokemontcg.io/sv4/4_hires.png,https://images.pokemontcg.io/sv4/4.png,70,,"[{""name"": ""Call for Family"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Search your deck for a Basic Pokémon and put it onto your Bench. Then, shuffle your deck.""}, {""name"": ""Leech Seed"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""30"", ""text"": ""Heal 10 damage from this Pokémon.""}]",Call for Family|Leech Seed,|30,"Search your deck for a Basic Pokémon and put it onto your Bench. Then, shuffle your deck.|Heal 10 damage from this Pokémon.",Fire:×2,,Colorless,,Jerky,It's good at finding berries and gathers them from all over. It's kind enough to share them with friends.,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,sv4-5,Simisage,Pokémon,Grass,Paradox Rift,5,Uncommon,https://images.pokemontcg.io/sv4/5_hires.png,https://images.pokemontcg.io/sv4/5.png,100,"[{""name"": ""Monkey Trio"", ""text"": ""If you have Simisage, Simisear, and Simipour in play, ignore all Colorless Energy in the costs of attacks used by this Pokémon."", ""type"": ""Ability""}]","[{""name"": ""Arm Thrust Needle"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""100"", ""text"": ""During your opponent's next turn, prevent all damage done to this Pokémon by attacks from Pokémon that have an Ability, except any Simisage.""}]",Arm Thrust Needle,100,"During your opponent's next turn, prevent all damage done to this Pokémon by attacks from Pokémon that have an Ability, except any Simisage.",Fire:×2,,Colorless,Pansage,Kurata So,"Ill tempered, it fights by swinging its barbed tail around wildly. The leaf growing on its head is very bitter.",,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,sv4-6,Dwebble,Pokémon,Grass,Paradox Rift,6,Common,https://images.pokemontcg.io/sv4/6_hires.png,https://images.pokemontcg.io/sv4/6.png,60,,"[{""name"": ""Beat"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": """"}]",Beat,20,,Fire:×2,,Colorless,,Scav,"It first tries to find a rock to live in, but if there are no suitable rocks to be found, Dwebble may move in to the ports of a Hippowdon.",,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,sv4-7,Crustle,Pokémon,Grass,Paradox Rift,7,Common,https://images.pokemontcg.io/sv4/7_hires.png,https://images.pokemontcg.io/sv4/7.png,130,,"[{""name"": ""Confront"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""50"", ""text"": """"}, {""name"": ""Crag Bash"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""100"", ""text"": ""During your opponent's next turn, this Pokémon takes 100 less damage from attacks from Evolution Pokémon (after applying Weakness and Resistance).""}]",Confront|Crag Bash,50|100,"|During your opponent's next turn, this Pokémon takes 100 less damage from attacks from Evolution Pokémon (after applying Weakness and Resistance).",Fire:×2,,Colorless__Colorless__Colorless,Dwebble,Shin Nagasawa,Its thick claws are its greatest weapons. They're mighty enough to crack Rhyperior's carapace.,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,sv4-8,Bounsweet,Pokémon,Grass,Paradox Rift,8,Common,https://images.pokemontcg.io/sv4/8_hires.png,https://images.pokemontcg.io/sv4/8.png,60,,"[{""name"": ""Quick Blow"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""10+"", ""text"": ""Flip a coin. If heads, this attack does 20 more damage.""}]",Quick Blow,10+,"Flip a coin. If heads, this attack does 20 more damage.",Fire:×2,,Colorless,,Kouki Saitou,"Its sweat is sweet, like syrup made from boiled- down fruit. Because of this, Bounsweet was highly valued in the past, when sweeteners were scarce.",,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,sv4-9,Steenee,Pokémon,Grass,Paradox Rift,9,Uncommon,https://images.pokemontcg.io/sv4/9_hires.png,https://images.pokemontcg.io/sv4/9.png,90,,"[{""name"": ""Spinning Attack"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""30"", ""text"": """"}, {""name"": ""Double Spin"", ""cost"": [""Grass"", ""Grass""], ""convertedEnergyCost"": 2, ""damage"": ""40×"", ""text"": ""Flip 2 coins. This attack does 40 damage for each heads.""}]",Spinning Attack|Double Spin,30|40×,|Flip 2 coins. This attack does 40 damage for each heads.,Fire:×2,,Colorless__Colorless,Bounsweet,Kariya,Steenee spreads a sweet scent that makes others feel invigorated. This same scent is popular for antiperspirants.,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,sv4-10,Blipbug,Pokémon,Grass,Paradox Rift,10,Common,https://images.pokemontcg.io/sv4/10_hires.png,https://images.pokemontcg.io/sv4/10.png,50,,"[{""name"": ""Surprise Attack"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""30"", ""text"": ""Flip a coin. If tails, this attack does nothing.""}]",Surprise Attack,30,"Flip a coin. If tails, this attack does nothing.",Fire:×2,,Colorless,,OKUBO,"Often found in gardens, this Pokémon has hairs on its body that it uses to assess its surroundings.",,,,,,,,,,,,,,,,,,,,,,,,,
010.jpg,sv4-11,Dottler,Pokémon,Grass,Paradox Rift,11,Common,https://images.pokemontcg.io/sv4/11_hires.png,https://images.pokemontcg.io/sv4/11.png,80,,"[{""name"": ""Protect"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Flip a coin. If heads, during your opponent's next turn, prevent all damage from and effects of attacks done to this Pokémon.""}, {""name"": ""Zen Headbutt"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": """"}]",Protect|Zen Headbutt,|20,"Flip a coin. If heads, during your opponent's next turn, prevent all damage from and effects of attacks done to this Pokémon.|",Fire:×2,,Colorless__Colorless,Blipbug,Haru Akasaka,"As it grows inside its shell, it uses its psychic abilities to monitor the outside world and prepare for evolution.",,,,,,,,,,,,,,,,,,,,,,,,,
011.jpg,sv4-12,Orbeetle,Pokémon,Grass,Paradox Rift,12,Uncommon,https://images.pokemontcg.io/sv4/12_hires.png,https://images.pokemontcg.io/sv4/12.png,130,,"[{""name"": ""Satellite Beam"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""30×"", ""text"": ""This attack does 30 damage for each Energy card in your opponent's discard pile.""}, {""name"": ""Brain Shake"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""100"", ""text"": ""Your opponent's Active Pokémon is now Confused.""}]",Satellite Beam|Brain Shake,30×|100,This attack does 30 damage for each Energy card in your opponent's discard pile.|Your opponent's Active Pokémon is now Confused.,Fire:×2,,Colorless,Dottler,Oku,It emits psychic energy to observe and study what's around it—and what's around it can include things over six miles away.,,,,,,,,,,,,,,,,,,,,,,,,,
