Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,me3-1,Spinarak,Pokémon,Grass,Perfect Order,1,Common,https://images.scrydex.com/pokemon/me3-1/large,https://images.scrydex.com/pokemon/me3-1/small,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,me3-2,Ariados,Pokémon,Grass,Perfect Order,2,Common,https://images.scrydex.com/pokemon/me3-2/large,https://images.scrydex.com/pokemon/me3-2/small,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,me3-3,Shaymin,Pokémon,Grass,Perfect Order,3,Uncommon,https://images.scrydex.com/pokemon/me3-3/large,https://images.scrydex.com/pokemon/me3-3/small,,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,me3-4,Snivy,Pokémon,Grass,Perfect Order,4,Common,https://images.scrydex.com/pokemon/me3-4/large,https://images.scrydex.com/pokemon/me3-4/small,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,me3-5,Servine,Pokémon,Grass,Perfect Order,5,Common,https://images.scrydex.com/pokemon/me3-5/large,https://images.scrydex.com/pokemon/me3-5/small,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,me3-6,Serperior,Pokémon,Grass,Perfect Order,6,Rare,https://images.scrydex.com/pokemon/me3-6/large,https://images.scrydex.com/pokemon/me3-6/small,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,me3-7,Scatterbug,Pokémon,Grass,Perfect Order,7,Common,https://images.scrydex.com/pokemon/me3-7/large,https://images.scrydex.com/pokemon/me3-7/small,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,me3-8,Spewpa,Pokémon,Grass,Perfect Order,8,Common,https://images.scrydex.com/pokemon/me3-8/large,https://images.scrydex.com/pokemon/me3-8/small,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,me3-9,Vivillon,Pokémon,Grass,Perfect Order,9,Uncommon,https://images.scrydex.com/pokemon/me3-9/large,https://images.scrydex.com/pokemon/me3-9/small,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,me3-10,Rowlet,Pokémon,Grass,Perfect Order,10,Common,https://images.scrydex.com/pokemon/me3-10/large,https://images.scrydex.com/pokemon/me3-10/small,,,,,,,,,,,,,,,,,,,,,,,,,
010.jpg,me3-11,Dartrix,Pokémon,Grass,Perfect Order,11,Common,https://images.scrydex.com/pokemon/me3-11/large,https://images.scrydex.com/pokemon/me3-11/small,,,,,,,,,,,,,,,,,,,,,,,,,
011.jpg,me3-12,Decidueye ex,Pokémon,Grass,Perfect Order,12,Double Rare,https://images.scrydex.com/pokemon/me3-12/large,https://images.scrydex.com/pokemon/me3-12/small,,,,,,,,,,,,,,,,,,,,,,,,,
012.jpg,me3-13,Fletchinder,Pokémon,Fire,Perfect Order,13,Common,https://images.scrydex.com/pokemon/me3-13/large,https://images.scrydex.com/pokemon/me3-13/small,,,,,,,,,,,,,,,,,,,,,,,,,
013.jpg,me3-14,Talonflame,Pokémon,Fire,Perfect Order,14,Uncommon,https://images.scrydex.com/pokemon/me3-14/large,https://images.scrydex.com/pokemon/me3-14/small,,,,,,,,,,,,,,,,,,,,,,,,,
014.jpg,me3-15,Salandit,Pokémon,Fire,Perfect Order,15,Common,https://images.scrydex.com/pokemon/me3-15/large,https://images.scrydex.com/pokemon/me3-15/small,,,,,,,,,,,,,,,,,,,,,,,,,
015.jpg,me3-16,Salazzle ex,Pokémon,Fire,Perfect Order,16,Double Rare,https://images.scrydex.com/pokemon/me3-16/large,https://images.scrydex.com/pokemon/me3-16/small,,,,,,,,,,,,,,,,,,,,,,,,,
016.jpg,me3-17,Turtonator,Pokémon,Fire,Perfect Order,17,Uncommon,https://images.scrydex.com/pokemon/me3-17/large,https://images.scrydex.com/pokemon/me3-17/small,,,,,,,,,,,,,,,,,,,,,,,,,
017.jpg,me3-18,Seel,Pokémon,Water,Perfect Order,18,Common,https://images.scrydex.com/pokemon/me3-18/large,https://images.scrydex.com/pokemon/me3-18/small,,,,,,,,,,,,,,,,,,,,,,,,,
018.jpg,me3-19,Dewgong,Pokémon,Water,Perfect Order,19,Rare,https://images.scrydex.com/pokemon/me3-19/large,https://images.scrydex.com/pokemon/me3-19/small,,,,,,,,,,,,,,,,,,,,,,,,,
019.jpg,me3-20,Staryu,Pokémon,Water,Perfect Order,20,Common,https://images.scrydex.com/pokemon/me3-20/large,https://images.scrydex.com/pokemon/me3-20/small,,,,,,,,,,,,,,,,,,,,,,,,,
020.jpg,me3-21,Mega Starmie ex,Pokémon,Water,Perfect Order,21,Double Rare,https://images.scrydex.com/pokemon/me3-21/large,https://images.scrydex.com/pokemon/me3-21/small,,,,,,,,,,,,,,,,,,,,,,,,,
021.jpg,me3-22,Lapras ex,Pokémon,Water,Perfect Order,22,Double Rare,https://images.scrydex.com/pokemon/me3-22/large,https://images.scrydex.com/pokemon/me3-22/small,,,,,,,,,,,,,,,,,,,,,,,,,
022.jpg,me3-23,Amaura,Pokémon,Water,Perfect Order,23,Common,https://images.scrydex.com/pokemon/me3-23/large,https://images.scrydex.com/pokemon/me3-23/small,,,,,,,,,,,,,,,,,,,,,,,,,
023.jpg,me3-24,Aurorus,Pokémon,Water,Perfect Order,24,Rare,https://images.scrydex.com/pokemon/me3-24/large,https://images.scrydex.com/pokemon/me3-24/small,,,,,,,,,,,,,,,,,,,,,,,,,
024.jpg,me3-25,Volcanion,Pokémon,Water,Perfect Order,25,Uncommon,https://images.scrydex.com/pokemon/me3-25/large,https://images.scrydex.com/pokemon/me3-25/small,,,,,,,,,,,,,,,,,,,,,,,,,
025.jpg,me3-26,Shinx,Pokémon,Lightning,Perfect Order,26,Common,https://images.scrydex.com/pokemon/me3-26/large,https://images.scrydex.com/pokemon/me3-26/small,,,,,,,,,,,,,,,,,,,,,,,,,
026.jpg,me3-27,Luxio,Pokémon,Lightning,Perfect Order,27,Uncommon,https://images.scrydex.com/pokemon/me3-27/large,https://images.scrydex.com/pokemon/me3-27/small,,,,,,,,,,,,,,,,,,,,,,,,,
