Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,me2-1,Oddish,Pokémon,Grass,Phantasmal Flames,1,Common,https://images.pokemontcg.io/me2/1_hires.png,https://images.pokemontcg.io/me2/1.png,50,,"[{""name"": ""Seed Bomb"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": """"}]",Seed Bomb,20,,Fire:×2,,Colorless,,MINAMINAMI Take,"Its scientific name is Oddium wanderus. It is said to cover distances as far as 1,000 feet when night falls, walking on its two roots.",,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,me2-2,Gloom,Pokémon,Grass,Phantasmal Flames,2,Common,https://images.pokemontcg.io/me2/2_hires.png,https://images.pokemontcg.io/me2/2.png,70,,"[{""name"": ""Disperse Drool"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": ""This attack also does 20 damage to each Benched Pokémon (both yours and your opponent's). (Don't apply Weakness and Resistance for Benched Pokémon.)""}]",Disperse Drool,20,This attack also does 20 damage to each Benched Pokémon (both yours and your opponent's). (Don't apply Weakness and Resistance for Benched Pokémon.),Fire:×2,,Colorless,Oddish,Yoriyuki Ikegami,The fluid that oozes from its mouth isn't drool. It is a nectar that is used to attract prey.,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,me2-3,Vileplume,Pokémon,Grass,Phantasmal Flames,3,Rare,https://images.pokemontcg.io/me2/3_hires.png,https://images.pokemontcg.io/me2/3.png,150,,"[{""name"": ""Pollen Bomb"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""30"", ""text"": ""Your opponent's Active Pokémon is now Asleep and Poisoned.""}, {""name"": ""Lively Flower"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""60+"", ""text"": ""If this Pokémon was healed during this turn, this attack does 120 more damage.""}]",Pollen Bomb|Lively Flower,30|60+,"Your opponent's Active Pokémon is now Asleep and Poisoned.|If this Pokémon was healed during this turn, this attack does 120 more damage.",Fire:×2,,Colorless__Colorless,Gloom,Shibuzoh.,"The bud bursts into bloom with a bang. It then starts scattering allergenic, poisonous pollen.",,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,me2-4,Mega Heracross ex,Pokémon,Grass,Phantasmal Flames,4,Double Rare,https://images.pokemontcg.io/me2/4_hires.png,https://images.pokemontcg.io/me2/4.png,280,,"[{""name"": ""Juggernaut Horn"", ""cost"": [""Grass"", ""Grass""], ""convertedEnergyCost"": 2, ""damage"": ""100+"", ""text"": ""If this Pokémon was damaged by an attack during your opponent's last turn, this attack does that much more damage.""}, {""name"": ""Mountain Ramming"", ""cost"": [""Grass"", ""Grass"", ""Grass""], ""convertedEnergyCost"": 3, ""damage"": ""170"", ""text"": ""Discard the top 2 cards of your opponent's deck.""}]",Juggernaut Horn|Mountain Ramming,100+|170,"If this Pokémon was damaged by an attack during your opponent's last turn, this attack does that much more damage.|Discard the top 2 cards of your opponent's deck.",Fire:×2,,Colorless__Colorless,,5ban Graphics,,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,me2-5,Lotad,Pokémon,Grass,Phantasmal Flames,5,Common,https://images.pokemontcg.io/me2/5_hires.png,https://images.pokemontcg.io/me2/5.png,70,,"[{""name"": ""Headbutt"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": """"}]",Headbutt,30,,Fire:×2,,Colorless,,Wintr Wandr,The leaf on its head is naturally dirt repellent and will stay clean even after transporting Pokémon that are covered in mud.,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,me2-6,Lombre,Pokémon,Grass,Phantasmal Flames,6,Common,https://images.pokemontcg.io/me2/6_hires.png,https://images.pokemontcg.io/me2/6.png,90,,"[{""name"": ""Mega Drain"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": ""Heal 30 damage from this Pokémon.""}]",Mega Drain,30,Heal 30 damage from this Pokémon.,Fire:×2,,Colorless,Lotad,Shigenori Negishi,It prefers waterfronts with plentiful food. It became nocturnal so it wouldn't have to compete for food with bird Pokémon.,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,me2-7,Ludicolo,Pokémon,Grass,Phantasmal Flames,7,Uncommon,https://images.pokemontcg.io/me2/7_hires.png,https://images.pokemontcg.io/me2/7.png,160,"[{""name"": ""Excited Heal"", ""text"": ""Once during your turn, if you have any Grass Mega Evolution Pokémon ex in play, you may use this Ability. Heal 60 damage from 1 of your Pokémon."", ""type"": ""Ability""}]","[{""name"": ""Lunge Out"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""120"", ""text"": """"}]",Lunge Out,120,,Fire:×2,,Colorless__Colorless,Lombre,Anesaki Dynamic,There are structures throughout its whole body that produce energy when hit by sound waves with a cheerful rhythm.,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,me2-8,Genesect,Pokémon,Grass,Phantasmal Flames,8,Rare,https://images.pokemontcg.io/me2/8_hires.png,https://images.pokemontcg.io/me2/8.png,120,,"[{""name"": ""Bug's Cannon"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""This attack does 20 damage to 1 of your opponent's Pokémon for each Grass Energy attached to this Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}, {""name"": ""Speed Attack"", ""cost"": [""Grass"", ""Grass"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""110"", ""text"": """"}]",Bug's Cannon|Speed Attack,|110,This attack does 20 damage to 1 of your opponent's Pokémon for each Grass Energy attached to this Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)|,Fire:×2,,Colorless__Colorless,,Mitsuhiro Arita,This Pokémon existed 300 million years ago. Team Plasma altered it and attached a cannon to its back.,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,me2-9,Nymble,Pokémon,Grass,Phantasmal Flames,9,Common,https://images.pokemontcg.io/me2/9_hires.png,https://images.pokemontcg.io/me2/9.png,50,,"[{""name"": ""Flail Around"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""10×"", ""text"": ""Flip 3 coins. This attack does 10 damage for each heads.""}]",Flail Around,10×,Flip 3 coins. This attack does 10 damage for each heads.,Fire:×2,,Colorless,,Yuka Morii,"It has its third set of legs folded up. When it's in a tough spot, this Pokémon jumps over 30 feet using the strength of its legs.",,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,me2-10,Lokix,Pokémon,Grass,Phantasmal Flames,10,Uncommon,https://images.pokemontcg.io/me2/10_hires.png,https://images.pokemontcg.io/me2/10.png,120,,"[{""name"": ""Low Kick"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""30"", ""text"": """"}, {""name"": ""Jumping Shot"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""150"", ""text"": ""Shuffle this Pokémon and all attached cards into your deck.""}]",Low Kick|Jumping Shot,30|150,|Shuffle this Pokémon and all attached cards into your deck.,Fire:×2,,Colorless,Nymble,Taiga Kasai,"When it decides to fight all out, it stands on its previously folded legs to enter Showdown Mode. It neutralizes its enemies in short order.",,,,,,,,,,,,,,,,,,,,,,,,,
010.jpg,me2-11,Charmander,Pokémon,Fire,Phantasmal Flames,11,Common,https://images.pokemontcg.io/me2/11_hires.png,https://images.pokemontcg.io/me2/11.png,80,"[{""name"": ""Agile"", ""text"": ""If this Pokémon has no Energy attached, it has no Retreat Cost."", ""type"": ""Ability""}]","[{""name"": ""Live Coal"", ""cost"": [""Fire""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": """"}]",Live Coal,20,,Water:×2,,Colorless__Colorless,,HYOGONOSUKE,"The flame on its tail shows the strength of its life-force. If Charmander is weak, the flame also burns weakly.",,,,,,,,,,,,,,,,,,,,,,,,,
011.jpg,me2-12,Charmeleon,Pokémon,Fire,Phantasmal Flames,12,Common,https://images.pokemontcg.io/me2/12_hires.png,https://images.pokemontcg.io/me2/12.png,110,,"[{""name"": ""Steady Firebreathing"", ""cost"": [""Fire""], ""convertedEnergyCost"": 1, ""damage"": ""40"", ""text"": """"}]",Steady Firebreathing,40,,Water:×2,,Colorless__Colorless,Charmander,Uninori,"When it swings its burning tail, the temperature around it rises higher and higher, tormenting its opponents.",,,,,,,,,,,,,,,,,,,,,,,,,
012.jpg,me2-13,Mega Charizard X ex,Pokémon,Fire,Phantasmal Flames,13,Double Rare,https://images.pokemontcg.io/me2/13_hires.png,https://images.pokemontcg.io/me2/13.png,360,,"[{""name"": ""Inferno X"", ""cost"": [""Fire"", ""Fire""], ""convertedEnergyCost"": 2, ""damage"": ""90×"", ""text"": ""Discard any amount of Fire Energy from among your Pokémon, and this attack does 90 damage for each card you discarded in this way.""}]",Inferno X,90×,"Discard any amount of Fire Energy from among your Pokémon, and this attack does 90 damage for each card you discarded in this way.",Water:×2,,Colorless__Colorless,Charmeleon,takuyoa,,,,,,,,,,,,,,,,,,,,,,,,,,
013.jpg,me2-14,Moltres,Pokémon,Fire,Phantasmal Flames,14,Rare,https://images.pokemontcg.io/me2/14_hires.png,https://images.pokemontcg.io/me2/14.png,120,,"[{""name"": ""Fighting Wings"", ""cost"": [""Fire""], ""convertedEnergyCost"": 1, ""damage"": ""20+"", ""text"": ""If your opponent's Active Pokémon is a Pokémon ex, this attack does 90 more damage.""}]",Fighting Wings,20+,"If your opponent's Active Pokémon is a Pokémon ex, this attack does 90 more damage.",Water:×2,,Colorless,,Kazumasa Yasukuni,"There are stories of this Pokémon using its radiant, flame-cloaked wings to light up paths for those lost in the mountains.",,,,,,,,,,,,,,,,,,,,,,,,,
014.jpg,me2-15,Darumaka,Pokémon,Fire,Phantasmal Flames,15,Common,https://images.pokemontcg.io/me2/15_hires.png,https://images.pokemontcg.io/me2/15.png,80,,"[{""name"": ""Blaze Ball"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""10+"", ""text"": ""This attack does 20 more damage for each Fire Energy attached to this Pokémon.""}]",Blaze Ball,10+,This attack does 20 more damage for each Fire Energy attached to this Pokémon.,Water:×2,,Colorless__Colorless,,NC Empire,"This popular symbol of good fortune will never fall over in its sleep, no matter how it's pushed or pulled.",,,,,,,,,,,,,,,,,,,,,,,,,
015.jpg,me2-16,Darmanitan,Pokémon,Fire,Phantasmal Flames,16,Uncommon,https://images.pokemontcg.io/me2/16_hires.png,https://images.pokemontcg.io/me2/16.png,150,,"[{""name"": ""Blaze Ball"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""40+"", ""text"": ""This attack does 40 more damage for each Fire Energy attached to this Pokémon.""}]",Blaze Ball,40+,This attack does 40 more damage for each Fire Energy attached to this Pokémon.,Water:×2,,Colorless__Colorless__Colorless,Darumaka,Uta,"This Pokémon's power level rises along with the temperature of its fire, which can reach 2,500 degrees Fahrenheit.",,,,,,,,,,,,,,,,,,,,,,,,,
