Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,me5-1,Tropius,Pokémon,Grass,Pitch Black,1,Common,https://images.scrydex.com/pokemon/me5-1/large,https://images.scrydex.com/pokemon/me5-1/small,110,,"[{""name"": ""Fruity Aroma"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Look at the top 6 cards of your deck, and you may reveal any number of Pokémon you find there and put them into your hand. Shuffle the other cards back into your deck.""}, {""name"": ""Solar Beam"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""60"", ""text"": """"}]",Fruity Aroma|Solar Beam,|60,"Look at the top 6 cards of your deck, and you may reveal any number of Pokémon you find there and put them into your hand. Shuffle the other cards back into your deck.|",Fire:×2,,Colorless,,Akino Fukuji,Delicious fruits grew out from around its neck because it always ate the same kind of fruit.,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,me5-2,Grubbin,Pokémon,Grass,Pitch Black,2,Common,https://images.scrydex.com/pokemon/me5-2/large,https://images.scrydex.com/pokemon/me5-2/small,70,,"[{""name"": ""String Shot"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": ""Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.""}]",String Shot,10,"Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.",Fire:×2,,Colorless__Colorless,,Mina Nakai,"It spits sticky threads and winds them around branches, then swings nimbly from tree to tree in a pendulum-like motion.",,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,me5-3,Fomantis,Pokémon,Grass,Pitch Black,3,Common,https://images.scrydex.com/pokemon/me5-3/large,https://images.scrydex.com/pokemon/me5-3/small,70,,"[{""name"": ""Reckless Charge"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""30"", ""text"": ""This Pokémon also does 10 damage to itself.""}]",Reckless Charge,30,This Pokémon also does 10 damage to itself.,Fire:×2,,Colorless,,nisimono,Many Trainers give their Fomantis their own flowerpots so they can sunbathe in peace and quiet.,,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,me5-4,Lurantis ex,Pokémon,Grass,Pitch Black,4,Double Rare,https://images.scrydex.com/pokemon/me5-4/large,https://images.scrydex.com/pokemon/me5-4/small,260,,"[{""name"": ""Lively Cutter"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""60+"", ""text"": ""If this Pokémon was healed during this turn, this attack does 200 more damage.""}, {""name"": ""Leaf Guard"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""140"", ""text"": ""During your opponent's next turn, this Pokémon takes 50 less damage from attacks (after applying Weakness and Resistance).""}]",Lively Cutter|Leaf Guard,60+|140,"If this Pokémon was healed during this turn, this attack does 200 more damage.|During your opponent's next turn, this Pokémon takes 50 less damage from attacks (after applying Weakness and Resistance).",Fire:×2,,Colorless,Fomantis,5ban Graphics,,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,me5-5,Poltchageist,Pokémon,Grass,Pitch Black,5,Common,https://images.scrydex.com/pokemon/me5-5/large,https://images.scrydex.com/pokemon/me5-5/small,30,"[{""name"": ""Hide 'n' Sneak"", ""text"": ""Prevent all effects of your opponent's Pokémon's attacks and Abilities done to this Pokémon. (Damage is not an effect.)"", ""type"": ""Ability""}]","[{""name"": ""Furtive Drop"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Place 1 damage counter on your opponent's Active Pokémon.""}]",Furtive Drop,,Place 1 damage counter on your opponent's Active Pokémon.,Fire:×2,,,,Mousho,"Poltchageist looks like a regional form of Sinistea, but it was recently discovered that the two Pokémon are entirely unrelated.",,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,me5-6,Sinistcha,Pokémon,Grass,Pitch Black,6,Uncommon,https://images.scrydex.com/pokemon/me5-6/large,https://images.scrydex.com/pokemon/me5-6/small,60,"[{""name"": ""Hide 'n' Sneak"", ""text"": ""Prevent all effects of your opponent's Pokémon's attacks and Abilities done to this Pokémon. (Damage is not an effect.)"", ""type"": ""Ability""}]","[{""name"": ""Matcha Spin"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""If you have 6 or more Pokémon that have the Hide 'n' Sneak Ability in your discard pile, place 4 damage counters on each of your opponent's Pokémon.""}]",Matcha Spin,,"If you have 6 or more Pokémon that have the Hide 'n' Sneak Ability in your discard pile, place 4 damage counters on each of your opponent's Pokémon.",Fire:×2,,Colorless,Poltchageist,mingo,"It prefers cool, dark places, such as the back of a shelf or the space beneath a home's floorboards. It wanders in search of prey after sunset.",,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,me5-7,Heatran,Pokémon,Fire,Pitch Black,7,Uncommon,https://images.scrydex.com/pokemon/me5-7/large,https://images.scrydex.com/pokemon/me5-7/small,140,,"[{""name"": ""Singe"", ""cost"": [""Fire""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Your opponent's Active Pokémon is now Burned.""}, {""name"": ""Lava Wall"", ""cost"": [""Fire"", ""Fire"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""120"", ""text"": ""During your opponent's next turn, prevent all damage done to this Pokémon by attacks from Burned Pokémon.""}]",Singe|Lava Wall,|120,"Your opponent's Active Pokémon is now Burned.|During your opponent's next turn, prevent all damage done to this Pokémon by attacks from Burned Pokémon.",Water:×2,,Colorless__Colorless__Colorless__Colorless,,Takeshi Nakamura,It dwells in volcanic caves. It digs in with its cross- shaped feet to crawl on ceilings and walls.,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,me5-8,Mega Delphox ex,Pokémon,Fire,Pitch Black,8,Double Rare,https://images.scrydex.com/pokemon/me5-8/large,https://images.scrydex.com/pokemon/me5-8/small,350,,"[{""name"": ""Trick Portal"", ""cost"": [""Fire""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Look at the top 9 cards of your deck, and you may put any number of Pokémon you find there onto your Bench. Shuffle the other cards back into your deck.""}, {""name"": ""Eerie Glow"", ""cost"": [""Fire"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""200"", ""text"": ""Your opponent's Active Pokémon is now Burned and Confused.""}]",Trick Portal|Eerie Glow,|200,"Look at the top 9 cards of your deck, and you may put any number of Pokémon you find there onto your Bench. Shuffle the other cards back into your deck.|Your opponent's Active Pokémon is now Burned and Confused.",Water:×2,,Colorless__Colorless,Braixen,5ban Graphics,,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,me5-9,Sizzlipede,Pokémon,Fire,Pitch Black,9,Common,https://images.scrydex.com/pokemon/me5-9/large,https://images.scrydex.com/pokemon/me5-9/small,80,,"[{""name"": ""Controlled Burn"", ""cost"": [""Fire""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Discard the top card of your opponent's deck.""}, {""name"": ""Bug Out"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""50×"", ""text"": ""Reveal the bottom 7 cards of your deck, and this attack does 50 damage for each Pokémon you find there that has the Bug Out attack. Then, shuffle any revealed Pokémon back into your deck. Discard the other cards.""}]",Controlled Burn|Bug Out,|50×,"Discard the top card of your opponent's deck.|Reveal the bottom 7 cards of your deck, and this attack does 50 damage for each Pokémon you find there that has the Bug Out attack. Then, shuffle any revealed Pokémon back into your deck. Discard the other cards.",Water:×2,,Colorless__Colorless,,Yuya Oka,It stores flammable gas in its body and uses it to generate heat. The yellow sections on its belly get particularly hot.,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,me5-10,Centiskorch,Pokémon,Fire,Pitch Black,10,Common,https://images.scrydex.com/pokemon/me5-10/large,https://images.scrydex.com/pokemon/me5-10/small,140,,"[{""name"": ""Controlled Burn"", ""cost"": [""Fire""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Discard the top 2 cards of your opponent's deck.""}, {""name"": ""Heat Tackle"", ""cost"": [""Fire"", ""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""160"", ""text"": ""This Pokémon also does 30 damage to itself.""}]",Controlled Burn|Heat Tackle,|160,Discard the top 2 cards of your opponent's deck.|This Pokémon also does 30 damage to itself.,Water:×2,,Colorless__Colorless__Colorless,Sizzlipede,Kouki Saitou,"When it heats up, its body temperature reaches about 1,500 degrees Fahrenheit. It lashes its body like a whip and launches itself at enemies.",,,,,,,,,,,,,,,,,,,,,,,,,
