Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,bw10-1,Surskit,Pokémon,Grass,Plasma Blast,1,Common,https://images.pokemontcg.io/bw10/1_hires.png,https://images.pokemontcg.io/bw10/1.png,50,,"[{""name"": ""Sweet Scent"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Heal 20 damage from 1 of your Pokémon.""}]",Sweet Scent,,Heal 20 damage from 1 of your Pokémon.,Fire:×2,,Colorless,,Naoyo Kimura,It appears as if it is skating on water. It draws prey with a sweet scent from the tip of its head.,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,bw10-2,Masquerain,Pokémon,Grass,Plasma Blast,2,Rare,https://images.pokemontcg.io/bw10/2_hires.png,https://images.pokemontcg.io/bw10/2.png,80,"[{""name"": ""Tool Reversal"", ""text"": ""As often as you like during your turn (before your attack), you may put a Pokémon Tool card attached to 1 of your Pokémon into your hand."", ""type"": ""Ability""}]","[{""name"": ""Bug Bite"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""60"", ""text"": """"}]",Bug Bite,60,,Fire:×2,,Colorless,Surskit,5ban Graphics,Its antennae have eye patterns on them. Its four wings enable it to hover and fly in any direction.,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,bw10-3,Lileep,Pokémon,Grass,Plasma Blast,3,Uncommon,https://images.pokemontcg.io/bw10/3_hires.png,https://images.pokemontcg.io/bw10/3.png,80,"[{""name"": ""Prehistoric Call"", ""text"": ""Once during your turn (before your attack), if this Pokémon is in your discard pile, you may put this Pokémon on the bottom of your deck."", ""type"": ""Ability""}]","[{""name"": ""Spiral Drain"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": ""Heal 10 damage from this Pokémon.""}]",Spiral Drain,20,Heal 10 damage from this Pokémon.,Fire:×2,Water:-20,Colorless__Colorless,Root Fossil Lileep,Suwama Chiaki,It lived on the seafloor 100 million years ago and was reanimated scientifically.,,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,bw10-4,Cradily,Pokémon,Grass,Plasma Blast,4,Rare,https://images.pokemontcg.io/bw10/4_hires.png,https://images.pokemontcg.io/bw10/4.png,120,,"[{""name"": ""Lifesplosion"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""For each Energy attached to this Pokémon, search your deck for a Stage 2 Pokémon and put it onto your Bench. Shuffle your deck afterward.""}, {""name"": ""Spiral Drain"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""60"", ""text"": ""Heal 20 damage from this Pokémon.""}]",Lifesplosion|Spiral Drain,|60,"For each Energy attached to this Pokémon, search your deck for a Stage 2 Pokémon and put it onto your Bench. Shuffle your deck afterward.|Heal 20 damage from this Pokémon.",Fire:×2,Water:-20,Colorless__Colorless,Lileep,kawayoo,"It lives in the shallows of warm seas. When the tide goes out, it digs up prey from beaches.",,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,bw10-5,Tropius,Pokémon,Grass,Plasma Blast,5,Uncommon,https://images.pokemontcg.io/bw10/5_hires.png,https://images.pokemontcg.io/bw10/5.png,100,,"[{""name"": ""Return"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": ""Draw cards until you have 6 cards in your hand.""}, {""name"": ""Energy Press"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20+"", ""text"": ""Does 20 more damage for each Energy attached to the Defending Pokémon.""}]",Return|Energy Press,10|20+,Draw cards until you have 6 cards in your hand.|Does 20 more damage for each Energy attached to the Defending Pokémon.,Lightning:×2,Fighting:-20,Colorless,,Shigenori Negishi,"It flies by flapping its broad leaves and gives the sweet, delicious fruit around its neck to children.",,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,bw10-6,Karrablast,Pokémon,Grass,Plasma Blast,6,Common,https://images.pokemontcg.io/bw10/6_hires.png,https://images.pokemontcg.io/bw10/6.png,60,,"[{""name"": ""Peck"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": """"}]",Peck,20,,Fire:×2,,Colorless,,match,For some reason they evolve when they receive electrical energy while they are attacking Shelmet.,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,bw10-7,Shelmet,Pokémon,Grass,Plasma Blast,7,Common,https://images.pokemontcg.io/bw10/7_hires.png,https://images.pokemontcg.io/bw10/7.png,60,,"[{""name"": ""Yawn"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""The Defending Pokémon is now Asleep.""}, {""name"": ""Ram"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": """"}]",Yawn|Ram,|20,The Defending Pokémon is now Asleep.|,Fire:×2,,Colorless__Colorless__Colorless,,Sumiyoshi Kizuki,"When it and Karrablast are together, and both receive electrical stimulation, they both evolve.",,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,bw10-8,Accelgor,Pokémon,Grass,Plasma Blast,8,Rare,https://images.pokemontcg.io/bw10/8_hires.png,https://images.pokemontcg.io/bw10/8.png,80,,"[{""name"": ""Retribution"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": ""If an Escavalier you had in play was Knocked Out by damage from an opponent's attack during his or her last turn, put all Energy attached to the Defending Pokémon into your opponent's hand.""}, {""name"": ""Signal Beam"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": ""The Defending Pokémon is now Confused.""}]",Retribution|Signal Beam,20|30,"If an Escavalier you had in play was Knocked Out by damage from an opponent's attack during his or her last turn, put all Energy attached to the Defending Pokémon into your opponent's hand.|The Defending Pokémon is now Confused.",Fire:×2,,,Shelmet,5ban Graphics,"When its body dries out, it weakens. So it wraps a membrane around itself for protection while it spits poison.",,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,bw10-9,Virizion-EX,Pokémon,Grass,Plasma Blast,9,Rare Holo EX,https://images.pokemontcg.io/bw10/9_hires.png,https://images.pokemontcg.io/bw10/9.png,170,"[{""name"": ""Verdant Wind"", ""text"": ""Each of your Pokémon that has any Grass Energy attached to it can't be affected by any Special Conditions. (Remove any Special Conditions affecting those Pokémon.)"", ""type"": ""Ability""}]","[{""name"": ""Emerald Slash"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""50"", ""text"": ""You may search your deck for 2 Grass Energy cards and attach them to 1 of your Benched Pokémon. Shuffle your deck afterward.""}]",Emerald Slash,50,You may search your deck for 2 Grass Energy cards and attach them to 1 of your Benched Pokémon. Shuffle your deck afterward.,Fire:×2,Water:-20,Colorless,,Ryo Ueda,,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,bw10-10,Genesect,Pokémon,Grass,Plasma Blast,10,Rare,https://images.pokemontcg.io/bw10/10_hires.png,https://images.pokemontcg.io/bw10/10.png,100,,"[{""name"": ""Call for Family"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Search your deck for 2 Grass Basic Pokémon and put them onto your Bench. Shuffle your deck afterward.""}, {""name"": ""Jet Impact"", ""cost"": [""Grass"", ""Grass"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""80+"", ""text"": ""Flip a coin. If heads, this attack does 20 more damage.""}]",Call for Family|Jet Impact,|80+,"Search your deck for 2 Grass Basic Pokémon and put them onto your Bench. Shuffle your deck afterward.|Flip a coin. If heads, this attack does 20 more damage.",Fire:×2,,Colorless,,Masakazu Fukuda,This Pokémon existed 300 million years ago. Team Plasma altered it and attached a cannon to its back.,,,,,,,,,,,,,,,,,,,,,,,,,
