Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,bw9-1,Weedle,Pokémon,Grass,Plasma Freeze,1,Common,https://images.pokemontcg.io/bw9/1_hires.png,https://images.pokemontcg.io/bw9/1.png,50,,"[{""name"": ""Triple Stab"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""10×"", ""text"": ""Flip 3 coins. This attack does 10 damage times the number of heads.""}]",Triple Stab,10×,Flip 3 coins. This attack does 10 damage times the number of heads.,Fire:×2,,Colorless,,Sumiyoshi Kizuki,It eats its weight in leaves every day. It fends off attackers with the needle on its head.,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,bw9-2,Kakuna,Pokémon,Grass,Plasma Freeze,2,Uncommon,https://images.pokemontcg.io/bw9/2_hires.png,https://images.pokemontcg.io/bw9/2.png,80,,"[{""name"": ""Hide"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Flip a coin. If heads, prevent all effects of attacks, including damage, done to this Pokémon during your opponent's next turn.""}]",Hide,,"Flip a coin. If heads, prevent all effects of attacks, including damage, done to this Pokémon during your opponent's next turn.",Fire:×2,,Colorless__Colorless,Weedle,match,"While awaiting evolution, it hides from predators under leaves and in nooks of branches.",,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,bw9-3,Beedrill,Pokémon,Grass,Plasma Freeze,3,Rare,https://images.pokemontcg.io/bw9/3_hires.png,https://images.pokemontcg.io/bw9/3.png,120,,"[{""name"": ""Swift Sting"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""20+"", ""text"": ""If this Pokémon has full HP, this attack does 40 more damage, and the Defending Pokémon is now Confused and Poisoned.""}, {""name"": ""Pierce"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""60"", ""text"": """"}]",Swift Sting|Pierce,20+|60,"If this Pokémon has full HP, this attack does 40 more damage, and the Defending Pokémon is now Confused and Poisoned.|",Fire:×2,,,Kakuna,kawayoo,"Its best attack involves flying around at high speed, striking with poison needles, then flying off.",,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,bw9-4,Exeggcute,Pokémon,Grass,Plasma Freeze,4,Uncommon,https://images.pokemontcg.io/bw9/4_hires.png,https://images.pokemontcg.io/bw9/4.png,30,"[{""name"": ""Propagation"", ""text"": ""Once during your turn (before your attack), if this Pokémon is in your discard pile, you may put this Pokémon into your hand."", ""type"": ""Ability""}]","[{""name"": ""Seed Bomb"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": """"}]",Seed Bomb,20,,Fire:×2,Water:-20,Colorless,,Shigenori Negishi,Its six eggs converse using telepathy. They can quickly gather if they become separated.,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,bw9-5,Exeggutor,Pokémon,Grass,Plasma Freeze,5,Rare,https://images.pokemontcg.io/bw9/5_hires.png,https://images.pokemontcg.io/bw9/5.png,100,,"[{""name"": ""Blockade"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": ""Your opponent can't play any Supporter cards from his or her hand during his or her next turn.""}, {""name"": ""Stomp"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""60+"", ""text"": ""Flip a coin. If heads, this attack does 30 more damage.""}]",Blockade|Stomp,10|60+,"Your opponent can't play any Supporter cards from his or her hand during his or her next turn.|Flip a coin. If heads, this attack does 30 more damage.",Fire:×2,Water:-20,Colorless__Colorless,Exeggcute,match,"It is called ""The Walking Jungle."" If a head grows too big, it falls off and becomes an Exeggcute.",,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,bw9-6,Treecko,Pokémon,Grass,Plasma Freeze,6,Common,https://images.pokemontcg.io/bw9/6_hires.png,https://images.pokemontcg.io/bw9/6.png,60,,"[{""name"": ""Pound"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}, {""name"": ""Reckless Charge"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": ""This Pokémon does 10 damage to itself.""}]",Pound|Reckless Charge,10|30,|This Pokémon does 10 damage to itself.,Fire:×2,Water:-20,Colorless,,Naoki Saito,"The soles of its feet are covered by countless tiny spikes, enabling it to walk on walls and ceilings.",,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,bw9-7,Grovyle,Pokémon,Grass,Plasma Freeze,7,Uncommon,https://images.pokemontcg.io/bw9/7_hires.png,https://images.pokemontcg.io/bw9/7.png,80,,"[{""name"": ""Pound"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": """"}, {""name"": ""Cut"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": """"}]",Pound|Cut,20|30,|,Fire:×2,Water:-20,Colorless,Treecko,Suwama Chiaki,"It lives in dense jungles. While closing in on its prey, it leaps from branch to branch.",,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,bw9-8,Sceptile,Pokémon,Grass,Plasma Freeze,8,Rare Holo,https://images.pokemontcg.io/bw9/8_hires.png,https://images.pokemontcg.io/bw9/8.png,130,,"[{""name"": ""X-Scissor"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30+"", ""text"": ""Flip a coin. If heads, this attack does 40 more damage.""}, {""name"": ""Energy Bloom"", ""cost"": [""Grass"", ""Grass"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""80"", ""text"": ""Heal 20 damage from each of your Pokémon that has any Energy attached to it.""}]",X-Scissor|Energy Bloom,30+|80,"Flip a coin. If heads, this attack does 40 more damage.|Heal 20 damage from each of your Pokémon that has any Energy attached to it.",Fire:×2,Water:-20,Colorless__Colorless,Grovyle,kawayoo,The leaves that grow on its arms can slice down thick trees. It is without peer in jungle combat.,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,bw9-9,Cacnea,Pokémon,Grass,Plasma Freeze,9,Common,https://images.pokemontcg.io/bw9/9_hires.png,https://images.pokemontcg.io/bw9/9.png,70,,"[{""name"": ""Poison Sting"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Flip a coin. If heads, the Defending Pokémon is now Poisoned.""}]",Poison Sting,,"Flip a coin. If heads, the Defending Pokémon is now Poisoned.",Fire:×2,Water:-20,Colorless__Colorless,,Midori Harada,"By storing water in its body, this desert dweller can survive for 30 days without water.",,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,bw9-10,Cacturne,Pokémon,Grass,Plasma Freeze,10,Rare,https://images.pokemontcg.io/bw9/10_hires.png,https://images.pokemontcg.io/bw9/10.png,90,,"[{""name"": ""Rapid-Fire Needles"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""60"", ""text"": ""Does 30 damage to 1 of your Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}, {""name"": ""Payback"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30+"", ""text"": ""If your opponent has only 1 Prize card left, this attack does 60 more damage and discard an Energy attached to the Defending Pokémon.""}]",Rapid-Fire Needles|Payback,60|30+,"Does 30 damage to 1 of your Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)|If your opponent has only 1 Prize card left, this attack does 60 more damage and discard an Energy attached to the Defending Pokémon.",Fire:×2,Water:-20,Colorless,Cacnea,Suwama Chiaki,"It becomes active at night, seeking prey that is exhausted from the day's desert heat.",,,,,,,,,,,,,,,,,,,,,,,,,
