Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,bw8-1,Turtwig,Pokémon,Grass,Plasma Storm,1,Common,https://images.pokemontcg.io/bw8/1_hires.png,https://images.pokemontcg.io/bw8/1.png,70,,"[{""name"": ""Nap"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Heal 20 damage from this Pokémon.""}, {""name"": ""Razor Leaf"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""30"", ""text"": """"}]",Nap|Razor Leaf,|30,Heal 20 damage from this Pokémon.|,Fire:×2,Water:-20,Colorless__Colorless,,Kouki Saitou,"The shell on its back is made of soil. On a very healthy Turtwig, the shell should feel moist.",,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,bw8-2,Grotle,Pokémon,Grass,Plasma Storm,2,Uncommon,https://images.pokemontcg.io/bw8/2_hires.png,https://images.pokemontcg.io/bw8/2.png,100,,"[{""name"": ""Knock Away"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""40+"", ""text"": ""Flip a coin. If heads, this attack does 20 more damage.""}]",Knock Away,40+,"Flip a coin. If heads, this attack does 20 more damage.",Fire:×2,Water:-20,Colorless__Colorless__Colorless,Turtwig,Sumiyoshi Kizuki,It knows where pure water wells up. It carries fellow Pokémon there on its back.,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,bw8-3,Torterra,Pokémon,Grass,Plasma Storm,3,Rare,https://images.pokemontcg.io/bw8/3_hires.png,https://images.pokemontcg.io/bw8/3.png,150,,"[{""name"": ""Guard Press"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""60"", ""text"": ""During your opponent's next turn, any damage to this Pokémon by attacks is reduced by 20 (after applying Weakness and Resistance).""}, {""name"": ""Rumble Stomp"", ""cost"": [""Grass"", ""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""80+"", ""text"": ""Flip a coin until you get tails. This attack does 20 more damage for each heads.""}]",Guard Press|Rumble Stomp,60|80+,"During your opponent's next turn, any damage to this Pokémon by attacks is reduced by 20 (after applying Weakness and Resistance).|Flip a coin until you get tails. This attack does 20 more damage for each heads.",Fire:×2,Water:-20,Colorless__Colorless__Colorless__Colorless,Grotle,5ban Graphics,Some Pokémon are born on a Torterra's back and spend their entire life there.,,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,bw8-4,Combee,Pokémon,Grass,Plasma Storm,4,Common,https://images.pokemontcg.io/bw8/4_hires.png,https://images.pokemontcg.io/bw8/4.png,30,,"[{""name"": ""Sting Missile"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""30"", ""text"": ""Shuffle this Pokémon and all cards attached to it into your deck.""}]",Sting Missile,30,Shuffle this Pokémon and all cards attached to it into your deck.,Fire:×2,,Colorless,,Yukiko Baba,"This Pokémon is a set of three. When they sleep, they gather up and form a giant hive of 100 Combee.",,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,bw8-5,Vespiquen,Pokémon,Grass,Plasma Storm,5,Rare,https://images.pokemontcg.io/bw8/5_hires.png,https://images.pokemontcg.io/bw8/5.png,100,,"[{""name"": ""Gather Order"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Search your deck for as many Combee as you like and put them onto your Bench. Shuffle your deck afterward.""}, {""name"": ""Damage Beat"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20×"", ""text"": ""Does 20 damage times the number of damage counters on the Defending Pokémon.""}]",Gather Order|Damage Beat,|20×,Search your deck for as many Combee as you like and put them onto your Bench. Shuffle your deck afterward.|Does 20 damage times the number of damage counters on the Defending Pokémon.,Fire:×2,,Colorless,Combee,Hajime Kusajima,It houses its colony in cells in its body and releases various pheromones to make those grubs do its bidding.,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,bw8-6,Cherubi,Pokémon,Grass,Plasma Storm,6,Common,https://images.pokemontcg.io/bw8/6_hires.png,https://images.pokemontcg.io/bw8/6.png,40,,"[{""name"": ""Leech Seed"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": ""Heal 10 damage from this Pokémon.""}]",Leech Seed,10,Heal 10 damage from this Pokémon.,Fire:×2,Water:-20,Colorless,,sui,"The small ball is not only filled with nutrients, it is also tasty. Starly try to peck it off.",,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,bw8-7,Cherrim,Pokémon,Grass,Plasma Storm,7,Rare,https://images.pokemontcg.io/bw8/7_hires.png,https://images.pokemontcg.io/bw8/7.png,70,"[{""name"": ""Fair-Weather Heal"", ""text"": ""Once during your turn (before your attack), you may heal 20 damage from 1 of your Pokémon that has any Grass Energy attached to it."", ""type"": ""Ability""}]","[{""name"": ""Random Peck"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20+"", ""text"": ""Flip 2 coins. This attack does 20 more damage for each heads.""}]",Random Peck,20+,Flip 2 coins. This attack does 20 more damage for each heads.,Fire:×2,Water:-20,Colorless,Cherubi,Kagemaru Himeno,"If it senses strong sunlight, it opens its folded petals to absorb the sun's rays with its whole body.",,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,bw8-8,Sewaddle,Pokémon,Grass,Plasma Storm,8,Common,https://images.pokemontcg.io/bw8/8_hires.png,https://images.pokemontcg.io/bw8/8.png,40,,"[{""name"": ""Bug Bite"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": """"}]",Bug Bite,20,,Fire:×2,,Colorless,,Atsuko Nishida,"Since this Pokémon makes its own clothes out of leaves, it is a popular mascot for fashion designers.",,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,bw8-9,Swadloon,Pokémon,Grass,Plasma Storm,9,Uncommon,https://images.pokemontcg.io/bw8/9_hires.png,https://images.pokemontcg.io/bw8/9.png,80,,"[{""name"": ""Swaddle Guard"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""During your opponent's next turn, any damage done to this Pokémon by attacks is reduced by 40 (after applying Weakness and Resistance).""}, {""name"": ""Surprise Attack"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""40"", ""text"": ""Flip a coin. If tails, this attack does nothing.""}]",Swaddle Guard|Surprise Attack,|40,"During your opponent's next turn, any damage done to this Pokémon by attacks is reduced by 40 (after applying Weakness and Resistance).|Flip a coin. If tails, this attack does nothing.",Fire:×2,,Colorless__Colorless,Sewaddle,Kyoko Umemoto,"Preferring dark, damp places, it spends the entire day eating fallen leaves that lie around it.",,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,bw8-10,Leavanny,Pokémon,Grass,Plasma Storm,10,Rare,https://images.pokemontcg.io/bw8/10_hires.png,https://images.pokemontcg.io/bw8/10.png,140,,"[{""name"": ""Cleave"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": ""Flip 2 coins. If both of them are heads, discard all Energy attached to the Defending Pokémon.""}, {""name"": ""Leaf Blade"", ""cost"": [""Grass"", ""Grass"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""70+"", ""text"": ""Flip a coin. If heads, this attack does 20 more damage.""}]",Cleave|Leaf Blade,30|70+,"Flip 2 coins. If both of them are heads, discard all Energy attached to the Defending Pokémon.|Flip a coin. If heads, this attack does 20 more damage.",Fire:×2,,Colorless__Colorless,Swadloon,Mitsuhiro Arita,"Upon finding a small Pokémon, it weaves clothing for it from leaves by using the sticky silk secreted from its mouth.",,,,,,,,,,,,,,,,,,,,,,,,,
