Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,pl1-1,Ampharos,Pokémon,Lightning,Platinum,1,Rare Holo,https://images.pokemontcg.io/pl1/1_hires.png,https://images.pokemontcg.io/pl1/1.png,130,"[{""name"": ""Damage Bind"", ""text"": ""Each Pokémon that has any damage counters on it (both yours and your opponent's) can't use any Poké-Powers."", ""type"": ""Poké-Body""}]","[{""name"": ""Gigavolt"", ""cost"": [""Lightning"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30+"", ""text"": ""Flip a coin. If heads, this attack does 30 damage plus 30 more damage. If tails, the Defending Pokémon is now Paralyzed.""}, {""name"": ""Reflect Energy"", ""cost"": [""Lightning"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""70"", ""text"": ""Move an Energy card attached to Ampharos to 1 of your Benched Pokémon.""}]",Gigavolt|Reflect Energy,30+|70,"Flip a coin. If heads, this attack does 30 damage plus 30 more damage. If tails, the Defending Pokémon is now Paralyzed.|Move an Energy card attached to Ampharos to 1 of your Benched Pokémon.",Fighting:+30,Metal:-20,Colorless__Colorless,Flaaffy,Atsuko Nishida,,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,pl1-2,Blastoise,Pokémon,Water,Platinum,2,Rare Holo,https://images.pokemontcg.io/pl1/2_hires.png,https://images.pokemontcg.io/pl1/2.png,130,"[{""name"": ""Dig Well"", ""text"": ""Once during your turn (before your attack), you may look at the top 3 cards of your deck, choose as many Water Energy cards as you like, and attach them to your Pokémon in any way you like. Discard the other cards. This power can't be used if Blastoise is affected by a Special Condition."", ""type"": ""Poké-Power""}]","[{""name"": ""Aqua Press"", ""cost"": [""Water"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20+"", ""text"": ""Does 20 damage plus 10 more damage for each Energy attached to all Pokémon (both yours and your opponent's).""}, {""name"": ""Double Launcher"", ""cost"": [""Water"", ""Water"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": """", ""text"": ""Discard 2 Energy attached to Blastoise. Choose 2 of your opponent's Benched Pokémon. This attack does 60 damage to each of them. (Don't apply Weakness and Resistance for Benched Pokémon.) Blastoise can't use Double Launcher during your next turn.""}]",Aqua Press|Double Launcher,20+|,Does 20 damage plus 10 more damage for each Energy attached to all Pokémon (both yours and your opponent's).|Discard 2 Energy attached to Blastoise. Choose 2 of your opponent's Benched Pokémon. This attack does 60 damage to each of them. (Don't apply Weakness and Resistance for Benched Pokémon.) Blastoise can't use Double Launcher during your next turn.,Lightning:+30,,Colorless__Colorless,Wartortle,Kagemaru Himeno,,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,pl1-3,Blaziken,Pokémon,Fire,Platinum,3,Rare Holo,https://images.pokemontcg.io/pl1/3_hires.png,https://images.pokemontcg.io/pl1/3.png,130,"[{""name"": ""Fire Breath"", ""text"": ""Once during your turn (before your attack), you may choose 1 of the Defending Pokémon. That Pokémon is now Burned. This power can't be used if Blaziken is affected by a Special Condition."", ""type"": ""Poké-Power""}]","[{""name"": ""Clutch"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""40"", ""text"": ""The Defending Pokémon can't retreat during your opponent's next turn.""}, {""name"": ""Fire Spin"", ""cost"": [""Fire"", ""Fire"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""100"", ""text"": ""Discard 2 Energy attached to Blaziken.""}]",Clutch|Fire Spin,40|100,The Defending Pokémon can't retreat during your opponent's next turn.|Discard 2 Energy attached to Blaziken.,Water:+30,,Colorless,Combusken,Hajime Kusajima,,,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,pl1-4,Delcatty,Pokémon,Colorless,Platinum,4,Rare Holo,https://images.pokemontcg.io/pl1/4_hires.png,https://images.pokemontcg.io/pl1/4.png,90,"[{""name"": ""Power Circulation"", ""text"": ""Once during your turn (before your attack), you may search your discard pile for up to 2 basic Energy cards, show them to your opponent, and put those cards on top of your deck in any order. If you do, put 2 damage counters on Delcatty. This power can't be used if Delcatty is affected by a Special Condition."", ""type"": ""Poké-Power""}]","[{""name"": ""Power Heal"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10+"", ""text"": ""Does 10 damage plus 10 more damage for each damage counter on Delcatty. Then, remove 2 damage counters from Delcatty.""}, {""name"": ""Rear Kick"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""60"", ""text"": """"}]",Power Heal|Rear Kick,10+|60,"Does 10 damage plus 10 more damage for each damage counter on Delcatty. Then, remove 2 damage counters from Delcatty.|",Fighting:+20,,Colorless,Skitty,Mitsuhiro Arita,,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,pl1-5,Dialga,Pokémon,Metal,Platinum,5,Rare Holo,https://images.pokemontcg.io/pl1/5_hires.png,https://images.pokemontcg.io/pl1/5.png,100,"[{""name"": ""Reverse Time"", ""text"": ""Once during your turn, when you put Dialga from your hand onto your Bench, you may search your discard pile for up to 3 in any combination of Pokémon (excluding Pokémon LV.X) and basic Energy cards. Show them to your opponent and put them on top of your deck in any order."", ""type"": ""Poké-Power""}]","[{""name"": ""Time-Space Traveling"", ""cost"": [""Metal"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""50"", ""text"": ""Draw cards until you have 7 cards in your hand.""}]",Time-Space Traveling,50,Draw cards until you have 7 cards in your hand.,Fire:×2,Psychic:-20,Colorless__Colorless__Colorless,,Mitsuhiro Arita,It has the power to control time. It appears in Sinnoh-region myths as an ancient deity.,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,pl1-6,Dialga,Pokémon,Metal,Platinum,6,Rare Holo,https://images.pokemontcg.io/pl1/6_hires.png,https://images.pokemontcg.io/pl1/6.png,100,"[{""name"": ""Time Aura"", ""text"": ""As long as Dialga is your Active Pokémon, your opponent can't play any Pokémon from his or her hand to evolve his or her Active Pokémon."", ""type"": ""Poké-Body""}]","[{""name"": ""Metal Burn"", ""cost"": [""Metal"", ""Metal"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""100"", ""text"": ""Discard all Metal Energy attached to Dialga.""}]",Metal Burn,100,Discard all Metal Energy attached to Dialga.,Fire:+20,Psychic:-20,Colorless__Colorless,,Kouki Saitou,It has the power to control time. It appears in Sinnoh-region myths as an ancient deity.,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,pl1-7,Dialga G,Pokémon,Metal,Platinum,7,Rare Holo,https://images.pokemontcg.io/pl1/7_hires.png,https://images.pokemontcg.io/pl1/7.png,100,,"[{""name"": ""Deafen"", ""cost"": [""Metal"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""10"", ""text"": ""Your opponent can't play any Trainer cards or Stadium cards from his or her hand during your opponent's next turn.""}, {""name"": ""Second Strike"", ""cost"": [""Metal"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""50+"", ""text"": ""If the Defending Pokémon already has 2 or more damage counters on it, this attack does 50 damage plus 20 more damage.""}]",Deafen|Second Strike,10|50+,"Your opponent can't play any Trainer cards or Stadium cards from his or her hand during your opponent's next turn.|If the Defending Pokémon already has 2 or more damage counters on it, this attack does 50 damage plus 20 more damage.",Fire:×2,Psychic:-20,Colorless__Colorless,,Yusuke Ishikawa,,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,pl1-8,Gardevoir,Pokémon,Psychic,Platinum,8,Rare Holo,https://images.pokemontcg.io/pl1/8_hires.png,https://images.pokemontcg.io/pl1/8.png,120,"[{""name"": ""Psychic Connect"", ""text"": ""As often as you like during your turn (before your attack), you may move a Psychic Energy attached to 1 of your Benched Pokémon to your Active Pokémon. This power can't be used if Gardevoir is affected by a Special Condition."", ""type"": ""Poké-Power""}]","[{""name"": ""Energy Burst"", ""cost"": [""Psychic""], ""convertedEnergyCost"": 1, ""damage"": ""20+"", ""text"": ""Does 20 damage plus 10 more damage for each Energy attached to Gardevoir and the Defending Pokémon.""}, {""name"": ""Psychic Protection"", ""cost"": [""Psychic"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""60"", ""text"": ""Gardevoir has no Weakness during your opponent's next turn.""}]",Energy Burst|Psychic Protection,20+|60,Does 20 damage plus 10 more damage for each Energy attached to Gardevoir and the Defending Pokémon.|Gardevoir has no Weakness during your opponent's next turn.,Psychic:+30,,Colorless,Kirlia,Kouki Saitou,,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,pl1-9,Giratina,Pokémon,Psychic,Platinum,9,Rare Holo,https://images.pokemontcg.io/pl1/9_hires.png,https://images.pokemontcg.io/pl1/9.png,100,"[{""name"": ""Let Loose"", ""text"": ""Once during your turn, when you put Giratina from your hand onto your Bench, you may use this power. Each player shuffles his or her hand into his or her deck and draws up to 4 cards. (You draw your cards first.)"", ""type"": ""Poké-Power""}]","[{""name"": ""Earth Power"", ""cost"": [""Psychic"", ""Psychic"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""60"", ""text"": ""Flip 2 coins. This attack does 10 damage times the number of heads to each of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}]",Earth Power,60,Flip 2 coins. This attack does 10 damage times the number of heads to each of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.),Darkness:×2,Colorless:-20,Colorless__Colorless__Colorless,,Kouki Saitou,,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,pl1-10,Giratina,Pokémon,Psychic,Platinum,10,Rare Holo,https://images.pokemontcg.io/pl1/10_hires.png,https://images.pokemontcg.io/pl1/10.png,100,,"[{""name"": ""Over Slash"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": """", ""text"": ""This attack does 10 damage to each of your opponent's Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon).""}, {""name"": ""Dark Wing Flaps"", ""cost"": [""Psychic"", ""Psychic""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": ""Choose 1 card from your opponent's hand without looking. Look at the card you chose, then have your opponent shuffle that card into his or her deck.""}, {""name"": ""Wrack Down"", ""cost"": [""Psychic"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""60"", ""text"": """"}]",Over Slash|Dark Wing Flaps|Wrack Down,|20|60,"This attack does 10 damage to each of your opponent's Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon).|Choose 1 card from your opponent's hand without looking. Look at the card you chose, then have your opponent shuffle that card into his or her deck.|",Darkness:×2,Colorless:-20,Colorless__Colorless__Colorless,,Hajime Kusajima,,,,,,,,,,,,,,,,,,,,,,,,,,
010.jpg,pl1-11,Manectric,Pokémon,Lightning,Platinum,11,Rare Holo,https://images.pokemontcg.io/pl1/11_hires.png,https://images.pokemontcg.io/pl1/11.png,90,"[{""name"": ""Electric Barrier"", ""text"": ""Prevent all damage done to your Benched Pokémon (excluding any Manectric) by attacks."", ""type"": ""Poké-Body""}]","[{""name"": ""Power Wave"", ""cost"": [""Lightning""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""This attack does 30 damage to each Pokémon that has any Poké-Powers (both yours and your opponent's). (Don't apply Weakness and Resistance for Benched Pokémon.)""}, {""name"": ""Attract Current"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""40"", ""text"": ""Search your deck for a Lightning Energy card and attach it to 1 of your Pokémon. Shuffle your deck afterward.""}]",Power Wave|Attract Current,|40,This attack does 30 damage to each Pokémon that has any Poké-Powers (both yours and your opponent's). (Don't apply Weakness and Resistance for Benched Pokémon.)|Search your deck for a Lightning Energy card and attach it to 1 of your Pokémon. Shuffle your deck afterward.,Fighting:+20,Metal:-20,,Electrike,Kouki Saitou,,,,,,,,,,,,,,,,,,,,,,,,,,
011.jpg,pl1-12,Palkia G,Pokémon,Water,Platinum,12,Rare Holo,https://images.pokemontcg.io/pl1/12_hires.png,https://images.pokemontcg.io/pl1/12.png,100,,"[{""name"": ""Splashing Turn"", ""cost"": [""Water"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": ""You may switch Palkia G with 1 of your Benched Pokémon.""}, {""name"": ""Pearl Breath"", ""cost"": [""Water"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""50"", ""text"": ""Does 10 damage to each of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}]",Splashing Turn|Pearl Breath,20|50,You may switch Palkia G with 1 of your Benched Pokémon.|Does 10 damage to each of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.),Lightning:×2,,Colorless__Colorless,,Yusuke Ishikawa,,,,,,,,,,,,,,,,,,,,,,,,,,
012.jpg,pl1-13,Rampardos,Pokémon,Fighting,Platinum,13,Rare Holo,https://images.pokemontcg.io/pl1/13_hires.png,https://images.pokemontcg.io/pl1/13.png,130,"[{""name"": ""Iron Skull"", ""text"": ""Rampardos's attack's damage isn't affected by Resistance, Poké-Powers, Poké-Bodies, or any other effects on the Defending Pokémon."", ""type"": ""Poké-Body""}]","[{""name"": ""Head Smash"", ""cost"": [""Fighting""], ""convertedEnergyCost"": 1, ""damage"": ""80"", ""text"": ""If the Defending Pokémon would be Knocked Out by this attack, Rampardos does 40 damage to itself.""}, {""name"": ""Mold Breaker"", ""cost"": [""Fighting"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""40"", ""text"": ""Any damage done to Rampardos by attacks is reduced by 20 (after applying Weakness and Resistance) until the end of your next turn.""}]",Head Smash|Mold Breaker,80|40,"If the Defending Pokémon would be Knocked Out by this attack, Rampardos does 40 damage to itself.|Any damage done to Rampardos by attacks is reduced by 20 (after applying Weakness and Resistance) until the end of your next turn.",Grass:+30,,Colorless,Cranidos,Masakazu Fukuda,,,,,,,,,,,,,,,,,,,,,,,,,,
013.jpg,pl1-14,Shaymin,Pokémon,Grass,Platinum,14,Rare Holo,https://images.pokemontcg.io/pl1/14_hires.png,https://images.pokemontcg.io/pl1/14.png,70,,"[{""name"": ""Flower Aroma"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": ""Remove 2 damage counters from Shaymin. The Defending Pokémon is now Asleep.""}, {""name"": ""Damage Aid"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30+"", ""text"": ""If the Defending Pokémon is affected by a Special Condition, this attack does 30 damage plus 50 more damage. Then, remove all Special Conditions from the Defending Pokémon.""}]",Flower Aroma|Damage Aid,10|30+,"Remove 2 damage counters from Shaymin. The Defending Pokémon is now Asleep.|If the Defending Pokémon is affected by a Special Condition, this attack does 30 damage plus 50 more damage. Then, remove all Special Conditions from the Defending Pokémon.",Fire:+20,Water:-20,Colorless,,Kagemaru Himeno,It lives in flower patches and avoids detection by curling up to look like a flowering plant.,,,,,,,,,,,,,,,,,,,,,,,,,
014.jpg,pl1-15,Shaymin,Pokémon,Grass,Platinum,15,Rare Holo,https://images.pokemontcg.io/pl1/15_hires.png,https://images.pokemontcg.io/pl1/15.png,80,,"[{""name"": ""Growth"", ""cost"": [], ""convertedEnergyCost"": 0, ""damage"": """", ""text"": ""Attach a Grass Energy card from your hand to Shaymin.""}, {""name"": ""Air Slash"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""40"", ""text"": ""Flip a coin. If tails, discard an Energy attached to Shaymin.""}]",Growth|Air Slash,|40,"Attach a Grass Energy card from your hand to Shaymin.|Flip a coin. If tails, discard an Energy attached to Shaymin.",Fire:+20,Fighting:-20,Colorless,,Atsuko Nishida,The flowers all over its body burst into bloom if it is lovingly hugged and senses gratitude.,,,,,,,,,,,,,,,,,,,,,,,,,
