Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,pgo-1,Bulbasaur,Pokémon,Grass,Pokémon GO,1,Common,https://images.pokemontcg.io/pgo/1_hires.png,https://images.pokemontcg.io/pgo/1.png,70,,"[{""name"": ""Vine Whip"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}, {""name"": ""Razor Leaf"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": """"}]",Vine Whip|Razor Leaf,10|20,|,Fire:×2,,Colorless__Colorless,,sowsow,There is a plant seed on its back right from the day this Pokémon is born. The seed slowly grows larger.,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,pgo-2,Ivysaur,Pokémon,Grass,Pokémon GO,2,Uncommon,https://images.pokemontcg.io/pgo/2_hires.png,https://images.pokemontcg.io/pgo/2.png,100,,"[{""name"": ""Summoning Aroma"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Search your deck for up to 2 Pokémon, reveal them, and put them into your hand. Then, shuffle your deck.""}, {""name"": ""Razor Leaf"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""60"", ""text"": """"}]",Summoning Aroma|Razor Leaf,|60,"Search your deck for up to 2 Pokémon, reveal them, and put them into your hand. Then, shuffle your deck.|",Fire:×2,,Colorless__Colorless__Colorless,Bulbasaur,zig,"When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs.",,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,pgo-3,Venusaur,Pokémon,Grass,Pokémon GO,3,Rare Holo,https://images.pokemontcg.io/pgo/3_hires.png,https://images.pokemontcg.io/pgo/3.png,180,"[{""name"": ""Loopy Lasso"", ""text"": ""Once during your turn, you may flip a coin. If heads, switch 1 of your opponent's Benched Pokémon with their Active Pokémon, and the new Active Pokémon is now Asleep and Poisoned."", ""type"": ""Ability""}]","[{""name"": ""Solar Beam"", ""cost"": [""Grass"", ""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""130"", ""text"": """"}]",Solar Beam,130,,Fire:×2,,Colorless__Colorless__Colorless__Colorless,Ivysaur,KEIICHIRO ITO,Its plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.,,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,pgo-4,Radiant Venusaur,Pokémon,Grass,Pokémon GO,4,Radiant Rare,https://images.pokemontcg.io/pgo/4_hires.png,https://images.pokemontcg.io/pgo/4.png,150,"[{""name"": ""Sunny Bloom"", ""text"": ""Once at the end of your turn (after your attack), you may use this Ability. Draw cards until you have 4 cards in your hand."", ""type"": ""Ability""}]","[{""name"": ""Pollen Hazard"", ""cost"": [""Grass"", ""Grass"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""90"", ""text"": ""Your opponent's Active Pokémon is now Burned, Confused, and Poisoned.""}]",Pollen Hazard,90,"Your opponent's Active Pokémon is now Burned, Confused, and Poisoned.",Fire:×2,,Colorless__Colorless__Colorless,,Misa Tsutsui,Its plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,pgo-5,Alolan Exeggutor V,Pokémon,Grass,Pokémon GO,5,Rare Holo V,https://images.pokemontcg.io/pgo/5_hires.png,https://images.pokemontcg.io/pgo/5.png,240,,"[{""name"": ""Growing Tall"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Flip a coin. If heads, search your deck for up to 5 Grass Energy cards and attach them to your Pokémon in any way you like. Then, shuffle your deck.""}, {""name"": ""Head Swing"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": """", ""text"": ""This attack does 30 damage to 1 of your opponent's Pokémon for each Grass Energy attached to this Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}]",Growing Tall|Head Swing,|,"Flip a coin. If heads, search your deck for up to 5 Grass Energy cards and attach them to your Pokémon in any way you like. Then, shuffle your deck.|This attack does 30 damage to 1 of your opponent's Pokémon for each Grass Energy attached to this Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)",Fire:×2,,Colorless__Colorless__Colorless,,MUGENUP,,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,pgo-6,Spinarak,Pokémon,Grass,Pokémon GO,6,Common,https://images.pokemontcg.io/pgo/6_hires.png,https://images.pokemontcg.io/pgo/6.png,60,,"[{""name"": ""Poison Sting"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": ""Flip a coin. If heads, your opponent's Active Pokémon is now Poisoned.""}]",Poison Sting,10,"Flip a coin. If heads, your opponent's Active Pokémon is now Poisoned.",Fire:×2,,Colorless,,Yuka Morii,"Although the poison from its fangs isn't that strong, it's potent enough to weaken prey that gets caught in its web.",,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,pgo-7,Ariados,Pokémon,Grass,Pokémon GO,7,Uncommon,https://images.pokemontcg.io/pgo/7_hires.png,https://images.pokemontcg.io/pgo/7.png,110,,"[{""name"": ""Poison String-Up"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": ""Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed and Poisoned.""}, {""name"": ""Absorb"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""50"", ""text"": ""Heal 50 damage from this Pokémon.""}]",Poison String-Up|Absorb,20|50,"Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed and Poisoned.|Heal 50 damage from this Pokémon.",Fire:×2,,Colorless,Spinarak,Misa Tsutsui,"It spews threads from its mouth to catch its prey. When night falls, it leaves its web to go hunt aggressively.",,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,pgo-8,Charmander,Pokémon,Fire,Pokémon GO,8,Common,https://images.pokemontcg.io/pgo/8_hires.png,https://images.pokemontcg.io/pgo/8.png,60,,"[{""name"": ""Tail on Fire"", ""cost"": [""Fire""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": ""Search your deck for a Fire Energy card and attach it to this Pokémon. Then, shuffle your deck.""}]",Tail on Fire,10,"Search your deck for a Fire Energy card and attach it to this Pokémon. Then, shuffle your deck.",Water:×2,,Colorless,,saino misaki,"It has a preference for hot things. When it rains, steam is said to spout from the tip of its tail.",,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,pgo-9,Charmeleon,Pokémon,Fire,Pokémon GO,9,Uncommon,https://images.pokemontcg.io/pgo/9_hires.png,https://images.pokemontcg.io/pgo/9.png,90,,"[{""name"": ""Scratch"", ""cost"": [""Fire"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": """"}, {""name"": ""Flamethrower"", ""cost"": [""Fire"", ""Fire"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""100"", ""text"": ""Discard a Fire Energy from this Pokémon.""}]",Scratch|Flamethrower,30|100,|Discard a Fire Energy from this Pokémon.,Water:×2,,Colorless__Colorless,Charmander,Shiburingaru,"It has a barbaric nature. In battle, it whips its fiery tail around and slashes away with sharp claws.",,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,pgo-10,Charizard,Pokémon,Fire,Pokémon GO,10,Rare Holo,https://images.pokemontcg.io/pgo/10_hires.png,https://images.pokemontcg.io/pgo/10.png,170,"[{""name"": ""Burn Brightly"", ""text"": ""Each basic Fire Energy attached to your Pokémon provides FireFire Energy. You can't apply more than 1 Burn Brightly Ability at a time."", ""type"": ""Ability""}]","[{""name"": ""Flare Blitz"", ""cost"": [""Fire"", ""Fire"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""170"", ""text"": ""Discard all Fire Energy from this Pokémon.""}]",Flare Blitz,170,Discard all Fire Energy from this Pokémon.,Water:×2,,Colorless__Colorless__Colorless,Charmeleon,N-DESIGN Inc.,It spits fire that is hot enough to melt boulders. It may cause forest fires by blowing flames.,,,,,,,,,,,,,,,,,,,,,,,,,
010.jpg,pgo-11,Radiant Charizard,Pokémon,Fire,Pokémon GO,11,Radiant Rare,https://images.pokemontcg.io/pgo/11_hires.png,https://images.pokemontcg.io/pgo/11.png,160,"[{""name"": ""Excited Heart"", ""text"": ""This Pokémon's attacks cost Colorless less for each Prize card your opponent has taken."", ""type"": ""Ability""}]","[{""name"": ""Combustion Blast"", ""cost"": [""Fire"", ""Colorless"", ""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 5, ""damage"": ""250"", ""text"": ""During your next turn, this Pokémon can't use Combustion Blast.""}]",Combustion Blast,250,"During your next turn, this Pokémon can't use Combustion Blast.",Water:×2,,Colorless__Colorless__Colorless,,Shigenori Negishi,It spits fire that is hot enough to melt boulders. It may cause forest fires by blowing flames.,,,,,,,,,,,,,,,,,,,,,,,,,
011.jpg,pgo-12,Moltres,Pokémon,Fire,Pokémon GO,12,Rare Holo,https://images.pokemontcg.io/pgo/12_hires.png,https://images.pokemontcg.io/pgo/12.png,120,"[{""name"": ""Flare Symbol"", ""text"": ""Your Basic Fire Pokémon's attacks, except any Moltres, do 10 more damage to your opponent's Active Pokémon (before applying Weakness and Resistance)."", ""type"": ""Ability""}]","[{""name"": ""Fire Wing"", ""cost"": [""Fire"", ""Fire"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""110"", ""text"": """"}]",Fire Wing,110,,Water:×2,,Colorless__Colorless,,Pani Kobayashi,"It's one of the legendary bird Pokémon. When Moltres flaps its flaming wings, they glimmer with a dazzling red glow.",,,,,,,,,,,,,,,,,,,,,,,,,
012.jpg,pgo-13,Numel,Pokémon,Fire,Pokémon GO,13,Common,https://images.pokemontcg.io/pgo/13_hires.png,https://images.pokemontcg.io/pgo/13.png,80,,"[{""name"": ""Tackle"", ""cost"": [""Fire"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": """"}, {""name"": ""Stomp"", ""cost"": [""Fire"", ""Fire"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""50+"", ""text"": ""Flip a coin. If heads, this attack does 50 more damage.""}]",Tackle|Stomp,20|50+,"|Flip a coin. If heads, this attack does 50 more damage.",Water:×2,,Colorless__Colorless__Colorless,,Shibuzoh.,"The magma in its body reaches 2,200 degrees Fahrenheit. Its hump gets smaller when it uses Fire-type moves.",,,,,,,,,,,,,,,,,,,,,,,,,
