Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,ex16-1,Aggron,Pokémon,Metal,Power Keepers,1,Rare Holo,https://images.pokemontcg.io/ex16/1_hires.png,https://images.pokemontcg.io/ex16/1.png,110,"[{""name"": ""Terraforming"", ""text"": ""Once during your turn (before your attack), you may look at the top 5 cards from your deck and put them back on top of your deck in any order. This power can't be used if Aggron is affected by a Special Condition."", ""type"": ""Poké-Power""}]","[{""name"": ""Metal Claw"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""50"", ""text"": """"}, {""name"": ""Mix-Up"", ""cost"": [""Metal"", ""Metal"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""70"", ""text"": ""Your opponent discards the top card of his or her deck.""}]",Metal Claw|Mix-Up,50|70,|Your opponent discards the top card of his or her deck.,Fire:×2,Grass:-30,Colorless__Colorless__Colorless__Colorless,Lairon,Ken Sugimori,,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,ex16-2,Altaria,Pokémon,Colorless,Power Keepers,2,Rare Holo,https://images.pokemontcg.io/ex16/2_hires.png,https://images.pokemontcg.io/ex16/2.png,80,"[{""name"": ""Synergy Effect"", ""text"": ""If Drake's Stadium is in play, remove 1 damage counter from Altaria between turns."", ""type"": ""Poké-Body""}]","[{""name"": ""Surprise"", ""cost"": [""Water"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": ""Choose 1 card from your opponent's hand without looking. Look at the card you chose, then have your opponent shuffle that card into his or her deck.""}, {""name"": ""Gust"", ""cost"": [""Lightning"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""50"", ""text"": """"}]",Surprise|Gust,30|50,"Choose 1 card from your opponent's hand without looking. Look at the card you chose, then have your opponent shuffle that card into his or her deck.|",Colorless:×2,Grass:-30|Fighting:-30,Colorless,Swablu,Ken Sugimori,,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,ex16-3,Armaldo,Pokémon,Fighting,Power Keepers,3,Rare Holo,https://images.pokemontcg.io/ex16/3_hires.png,https://images.pokemontcg.io/ex16/3.png,120,,"[{""name"": ""Rock Blast"", ""cost"": [""Fighting""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Discard up to 5 Fighting Energy cards attached to Armaldo. For each Energy card you discarded, choose an opponent's Pokémon in play and this attack does 20 damage to those Pokémon. (You may choose the same Pokémon more than once.) This attack's damage isn't affected by Weakness or Resistance.""}, {""name"": ""Mach Claw"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""60"", ""text"": ""This attack's damage isn't affected by Resistance.""}]",Rock Blast|Mach Claw,|60,"Discard up to 5 Fighting Energy cards attached to Armaldo. For each Energy card you discarded, choose an opponent's Pokémon in play and this attack does 20 damage to those Pokémon. (You may choose the same Pokémon more than once.) This attack's damage isn't affected by Weakness or Resistance.|This attack's damage isn't affected by Resistance.",Grass:×2,,Colorless__Colorless__Colorless,Anorith,Ken Sugimori,,,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,ex16-4,Banette,Pokémon,Psychic,Power Keepers,4,Rare Holo,https://images.pokemontcg.io/ex16/4_hires.png,https://images.pokemontcg.io/ex16/4.png,70,,"[{""name"": ""Grudge"", ""cost"": [""Psychic"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20+"", ""text"": ""Does 20 damage plus 10 more damage for each Prize card your opponent has taken.""}, {""name"": ""Bench Manipulation"", ""cost"": [""Psychic"", ""Psychic"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""40×"", ""text"": ""Your opponent flips a number of coins equal to the number of his or her Benched Pokémon. This attack does 40 damage times the number of tails. This attack's damage isn't affected by Weakness or Resistance.""}]",Grudge|Bench Manipulation,20+|40×,Does 20 damage plus 10 more damage for each Prize card your opponent has taken.|Your opponent flips a number of coins equal to the number of his or her Benched Pokémon. This attack does 40 damage times the number of tails. This attack's damage isn't affected by Weakness or Resistance.,Darkness:×2,Fighting:-30,Colorless,Shuppet,Ken Sugimori,,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,ex16-5,Blaziken,Pokémon,Fire,Power Keepers,5,Rare Holo,https://images.pokemontcg.io/ex16/5_hires.png,https://images.pokemontcg.io/ex16/5.png,100,"[{""name"": ""Firestarter"", ""text"": ""Once during your turn (before your attack), you may attach a Fire Energy card from your discard pile to 1 of your Benched Pokémon. This power can't be used if Blaziken is affected by a Special Condition."", ""type"": ""Poké-Power""}]","[{""name"": ""Fire Stream"", ""cost"": [""Fire"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""50"", ""text"": ""Discard a Fire Energy card attached to Blaziken. This attack does 10 damage to each of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}]",Fire Stream,50,Discard a Fire Energy card attached to Blaziken. This attack does 10 damage to each of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.),Water:×2,,Colorless__Colorless,Combusken,Masakazu Fukuda,,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,ex16-6,Charizard,Pokémon,Fire,Power Keepers,6,Rare Holo,https://images.pokemontcg.io/ex16/6_hires.png,https://images.pokemontcg.io/ex16/6.png,120,,"[{""name"": ""Combustion"", ""cost"": [""Fire""], ""convertedEnergyCost"": 1, ""damage"": ""30"", ""text"": """"}, {""name"": ""Bursting Inferno"", ""cost"": [""Fire"", ""Fire"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""50"", ""text"": ""Each Defending Pokémon is now Burned.""}]",Combustion|Bursting Inferno,30|50,|Each Defending Pokémon is now Burned.,Water:×2,,Colorless__Colorless,Charmeleon,Ken Sugimori,,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,ex16-7,Cradily,Pokémon,Grass,Power Keepers,7,Rare Holo,https://images.pokemontcg.io/ex16/7_hires.png,https://images.pokemontcg.io/ex16/7.png,110,"[{""name"": ""Evolutionary Call"", ""text"": ""Once during your turn, when you play Cradily from your hand to evolve 1 of your Pokémon, you may search your deck for up to 3 in any combination of Basic Pokémon or Evolution cards. Show them to your opponent and put them into your hand. Shuffle your deck afterward."", ""type"": ""Poké-Power""}]","[{""name"": ""Poison Ring"", ""cost"": [""Grass"", ""Grass"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""50"", ""text"": ""The Defending Pokémon is now Poisoned. The Defending Pokémon can't retreat during your opponent's next turn.""}]",Poison Ring,50,The Defending Pokémon is now Poisoned. The Defending Pokémon can't retreat during your opponent's next turn.,Fire:×2,,Colorless__Colorless,Lileep,Ken Sugimori,,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,ex16-8,Delcatty,Pokémon,Colorless,Power Keepers,8,Rare Holo,https://images.pokemontcg.io/ex16/8_hires.png,https://images.pokemontcg.io/ex16/8.png,70,"[{""name"": ""Energy Draw"", ""text"": ""Once during your turn (before your attack), you may discard 1 Energy card from your hand. Then draw up to 3 cards from your deck. This power can't be used if Delcatty is affected by a Special Condition."", ""type"": ""Poké-Power""}]","[{""name"": ""Max Energy Source"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10×"", ""text"": ""Does 10 damage times the amount of Energy attached to all of your Active Pokémon.""}]",Max Energy Source,10×,Does 10 damage times the amount of Energy attached to all of your Active Pokémon.,Fighting:×2,,Colorless,Skitty,Masakazu Fukuda,,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,ex16-9,Gardevoir,Pokémon,Psychic,Power Keepers,9,Rare Holo,https://images.pokemontcg.io/ex16/9_hires.png,https://images.pokemontcg.io/ex16/9.png,100,"[{""name"": ""Psy Shadow"", ""text"": ""Once during your turn (before your attack), you may search your deck for a Psychic Energy card and attach it to 1 of your Pokémon. Put 2 damage counters on that Pokémon. Shuffle your deck afterward. This power can't be used if Gardevoir is affected by a Special Condition."", ""type"": ""Poké-Power""}]","[{""name"": ""Energy Burst"", ""cost"": [""Psychic""], ""convertedEnergyCost"": 1, ""damage"": ""10×"", ""text"": ""Does 10 damage times the total amount of Energy attached to Gardevoir and the Defending Pokémon.""}]",Energy Burst,10×,Does 10 damage times the total amount of Energy attached to Gardevoir and the Defending Pokémon.,Psychic:×2,,Colorless__Colorless,Kirlia,Midori Harada,,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,ex16-10,Kabutops,Pokémon,Fighting,Power Keepers,10,Rare Holo,https://images.pokemontcg.io/ex16/10_hires.png,https://images.pokemontcg.io/ex16/10.png,110,"[{""name"": ""Primal Stare"", ""text"": ""As long as Kabutops is your Active Pokémon, your opponent can't play any Basic Pokémon or Evolution cards from his or her hand to evolve his or her Active Pokémon."", ""type"": ""Poké-Body""}]","[{""name"": ""Luring Antenna"", ""cost"": [""Fighting"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": ""Before doing damage, you may choose 1 of your opponent's Benched Pokémon and switch it with 1 of the Defending Pokémon. If you do, this attack does 20 damage to the new Defending Pokémon. Your opponent chooses the Defending Pokémon to switch.""}, {""name"": ""Blinding Scythe"", ""cost"": [""Fighting"", ""Fighting"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""60"", ""text"": """"}]",Luring Antenna|Blinding Scythe,20|60,"Before doing damage, you may choose 1 of your opponent's Benched Pokémon and switch it with 1 of the Defending Pokémon. If you do, this attack does 20 damage to the new Defending Pokémon. Your opponent chooses the Defending Pokémon to switch.|",Grass:×2,,Colorless__Colorless,Kabuto,Ken Sugimori,,,,,,,,,,,,,,,,,,,,,,,,,,
