Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,xy5-1,Weedle,Pokémon,Grass,Primal Clash,1,Common,https://images.pokemontcg.io/xy5/1_hires.png,https://images.pokemontcg.io/xy5/1.png,50,,"[{""name"": ""Multiply"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Search your deck for Weedle and put it onto your Bench. Shuffle your deck afterward.""}]",Multiply,,Search your deck for Weedle and put it onto your Bench. Shuffle your deck afterward.,Fire:×2,,Colorless,,Midori Harada,Its poison stinger is very powerful. Its bright-colored body is intended to warn off its enemies.,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,xy5-2,Kakuna,Pokémon,Grass,Primal Clash,2,Uncommon,https://images.pokemontcg.io/xy5/2_hires.png,https://images.pokemontcg.io/xy5/2.png,80,,"[{""name"": ""Bug Bite"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": """"}]",Bug Bite,20,,Fire:×2,,Colorless__Colorless__Colorless,Weedle,Kagemaru Himeno,"While awaiting evolution, it hides from predators under leaves and in nooks of branches.",,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,xy5-3,Beedrill,Pokémon,Grass,Primal Clash,3,Rare,https://images.pokemontcg.io/xy5/3_hires.png,https://images.pokemontcg.io/xy5/3.png,120,,"[{""name"": ""Allergic Shock"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""During your next turn, if the Defending Pokémon is damaged by an attack, it is Knocked Out.""}, {""name"": ""Twineedle"", ""cost"": [""Grass"", ""Grass""], ""convertedEnergyCost"": 2, ""damage"": ""50×"", ""text"": ""Flip 2 coins. This attack does 50 damage times the number of heads.""}]",Allergic Shock|Twineedle,|50×,"During your next turn, if the Defending Pokémon is damaged by an attack, it is Knocked Out.|Flip 2 coins. This attack does 50 damage times the number of heads.",Fire:×2,,,Kakuna,Kouki Saitou,"May appear in a swarm. Flies at violent speeds, all the while stabbing with the toxic stinger on its rear.",,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,xy5-4,Tangela,Pokémon,Grass,Primal Clash,4,Common,https://images.pokemontcg.io/xy5/4_hires.png,https://images.pokemontcg.io/xy5/4.png,80,,"[{""name"": ""Absorb"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": ""Heal 20 damage from this Pokémon.""}, {""name"": ""Vine Whip"", ""cost"": [""Grass"", ""Grass"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""30"", ""text"": """"}]",Absorb|Vine Whip,20|30,Heal 20 damage from this Pokémon.|,Fire:×2,,Colorless__Colorless,,match,It tangles any moving thing with its vines. Their subtle shaking is ticklish if you get ensnared.,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,xy5-5,Tangrowth,Pokémon,Grass,Primal Clash,5,Rare,https://images.pokemontcg.io/xy5/5_hires.png,https://images.pokemontcg.io/xy5/5.png,130,,"[{""name"": ""Mega Drain"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""50"", ""text"": ""Heal 20 damage from this Pokémon.""}, {""name"": ""Grass Knot"", ""cost"": [""Grass"", ""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""80+"", ""text"": ""This attack does 10 more damage for each Colorless in your opponent's Active Pokémon's Retreat Cost.""}]",Mega Drain|Grass Knot,50|80+,Heal 20 damage from this Pokémon.|This attack does 10 more damage for each Colorless in your opponent's Active Pokémon's Retreat Cost.,Fire:×2,,Colorless__Colorless__Colorless__Colorless,Tangela,MAHOU,"Its vines grow so profusely that, in the warm season, you can't even see its eyes.",,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,xy5-6,Treecko,Pokémon,Grass,Primal Clash,6,Common,https://images.pokemontcg.io/xy5/6_hires.png,https://images.pokemontcg.io/xy5/6.png,60,,"[{""name"": ""Quick Attack"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""10+"", ""text"": ""Flip a coin. If heads, this attack does 10 more damage.""}]",Quick Attack,10+,"Flip a coin. If heads, this attack does 10 more damage.",Fire:×2,,Colorless,,Akira Komayama,Small hooks on the bottom of its feet catch on walls and ceilings. That is how it can hang from above.,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,xy5-7,Grovyle,Pokémon,Grass,Primal Clash,7,Uncommon,https://images.pokemontcg.io/xy5/7_hires.png,https://images.pokemontcg.io/xy5/7.png,80,,"[{""name"": ""Pound"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": """"}, {""name"": ""Agility"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""40"", ""text"": ""Flip a coin. If heads, prevent all effects of attacks, including damage, done to this Pokémon during your opponent's next turn.""}]",Pound|Agility,20|40,"|Flip a coin. If heads, prevent all effects of attacks, including damage, done to this Pokémon during your opponent's next turn.",Fire:×2,,Colorless,Treecko,match,"It lives in dense jungles. While closing in on its prey, it leaps from branch to branch.",,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,xy5-8,Sceptile,Pokémon,Grass,Primal Clash,8,Rare,https://images.pokemontcg.io/xy5/8_hires.png,https://images.pokemontcg.io/xy5/8.png,130,"[{""name"": ""Nurture and Heal"", ""text"": ""Once during your turn (before your attack), you may attach a Grass Energy card from your hand to 1 of your Pokémon. If you do, heal 30 damage from that Pokémon."", ""type"": ""Ability""}]","[{""name"": ""Jungle Edge"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""70"", ""text"": """"}]",Jungle Edge,70,,Fire:×2,,Colorless__Colorless,Grovyle,Hajime Kusajima,It agilely leaps about the jungle and uses the sharp leaves on its arms to strike its prey.,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,xy5-9,Sceptile,Pokémon,Grass,Primal Clash,9,Rare Holo,https://images.pokemontcg.io/xy5/9_hires.png,https://images.pokemontcg.io/xy5/9.png,140,,"[{""name"": ""Leaf Blade"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""30+"", ""text"": ""Flip a coin. If heads, this attack does 30 more damage.""}, {""name"": ""Power Poison"", ""cost"": [""Grass"", ""Grass"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""120"", ""text"": ""Discard 1 Energy attached to this Pokémon. Your opponent's Active Pokémon is now Poisoned.""}]",Leaf Blade|Power Poison,30+|120,"Flip a coin. If heads, this attack does 30 more damage.|Discard 1 Energy attached to this Pokémon. Your opponent's Active Pokémon is now Poisoned.",Fire:×2,,Colorless__Colorless,Grovyle,hatachu,It agilely leaps about the jungle and uses the sharp leaves on its arms to strike its prey.,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,xy5-10,Lotad,Pokémon,Grass,Primal Clash,10,Common,https://images.pokemontcg.io/xy5/10_hires.png,https://images.pokemontcg.io/xy5/10.png,60,,"[{""name"": ""Beat"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": """"}]",Beat,20,,Fire:×2,,Colorless,,Kanako Eo,"It searches about for clean water. If it does not drink water for too long, the leaf on its head wilts.",,,,,,,,,,,,,,,,,,,,,,,,,
