Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,sv8pt5-1,Exeggcute,Pokémon,Grass,Prismatic Evolutions,1,Common,https://images.pokemontcg.io/sv8pt5/1_hires.png,https://images.pokemontcg.io/sv8pt5/1.png,60,,"[{""name"": ""Ram"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": """"}]",Ram,30,,Fire:×2,,Colorless,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,sv8pt5-2,Exeggutor,Pokémon,Grass,Prismatic Evolutions,2,Uncommon,https://images.pokemontcg.io/sv8pt5/2_hires.png,https://images.pokemontcg.io/sv8pt5/2.png,140,,"[{""name"": ""Mega Drain"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""50"", ""text"": ""Heal 30 damage from this Pokémon.""}, {""name"": ""Solar Beam"", ""cost"": [""Grass"", ""Grass"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""130"", ""text"": """"}]",Mega Drain|Solar Beam,50|130,Heal 30 damage from this Pokémon.|,Fire:×2,,Colorless__Colorless__Colorless,Exeggcute,,,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,sv8pt5-3,Pinsir,Pokémon,Grass,Prismatic Evolutions,3,Common,https://images.pokemontcg.io/sv8pt5/3_hires.png,https://images.pokemontcg.io/sv8pt5/3.png,120,,"[{""name"": ""Slash"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""60"", ""text"": """"}]",Slash,60,,Fire:×2,,Colorless__Colorless,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,sv8pt5-4,Budew,Pokémon,Grass,Prismatic Evolutions,4,Common,https://images.pokemontcg.io/sv8pt5/4_hires.png,https://images.pokemontcg.io/sv8pt5/4.png,30,,"[{""name"": ""Itchy Pollen"", ""cost"": [""Free""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": ""During your opponent's next turn, they can't play any Item cards from their hand.""}]",Itchy Pollen,10,"During your opponent's next turn, they can't play any Item cards from their hand.",Fire:×2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,sv8pt5-5,Leafeon,Pokémon,Grass,Prismatic Evolutions,5,Rare,https://images.pokemontcg.io/sv8pt5/5_hires.png,https://images.pokemontcg.io/sv8pt5/5.png,120,,"[{""name"": ""Leaflet Blessings"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Attach a Basic Grass Energy card from your hand to 1 of your Benched Pokémon. If you do, heal all damage from that Pokémon.""}, {""name"": ""Solar Beam"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""70"", ""text"": """"}]",Leaflet Blessings|Solar Beam,|70,"Attach a Basic Grass Energy card from your hand to 1 of your Benched Pokémon. If you do, heal all damage from that Pokémon.|",Fire:×2,,Colorless,Eevee,,,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,sv8pt5-6,Leafeon ex,Pokémon,Grass,Prismatic Evolutions,6,Double Rare,https://images.pokemontcg.io/sv8pt5/6_hires.png,https://images.pokemontcg.io/sv8pt5/6.png,270,,"[{""name"": ""Verdant Storm"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""60×"", ""text"": ""This attack does 60 damage for each Energy attached to all of your opponent's Pokémon.""}, {""name"": ""Moss Agate"", ""cost"": [""Grass"", ""Fire"", ""Water""], ""convertedEnergyCost"": 3, ""damage"": ""230"", ""text"": ""Heal 100 damage from each of your Benched Pokémon.""}]",Verdant Storm|Moss Agate,60×|230,This attack does 60 damage for each Energy attached to all of your opponent's Pokémon.|Heal 100 damage from each of your Benched Pokémon.,Fire:×2,,Colorless__Colorless,Eevee,,,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,sv8pt5-7,Cottonee,Pokémon,Grass,Prismatic Evolutions,7,Common,https://images.pokemontcg.io/sv8pt5/7_hires.png,https://images.pokemontcg.io/sv8pt5/7.png,60,,"[{""name"": ""Triple Spin"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""10×"", ""text"": ""Flip 3 coins. This attack does 10 damage for each heads.""}]",Triple Spin,10×,Flip 3 coins. This attack does 10 damage for each heads.,Fire:×2,,Colorless,,,,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,sv8pt5-8,Whimsicott,Pokémon,Grass,Prismatic Evolutions,8,Rare,https://images.pokemontcg.io/sv8pt5/8_hires.png,https://images.pokemontcg.io/sv8pt5/8.png,100,"[{""name"": ""Wafting Heal"", ""text"": ""When you play this Pokémon from your hand to evolve 1 of your Pokémon during your turn, you may heal all damage from your Active Grass Pokémon. If you healed any damage in this way, discard all Energy from that Pokémon."", ""type"": ""Ability""}]","[{""name"": ""Seed Bomb"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""40"", ""text"": """"}]",Seed Bomb,40,,Fire:×2,,Colorless,Cottonee,,,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,sv8pt5-9,Applin,Pokémon,Grass,Prismatic Evolutions,9,Common,https://images.pokemontcg.io/sv8pt5/9_hires.png,https://images.pokemontcg.io/sv8pt5/9.png,40,,"[{""name"": ""Spray Fluid"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": """"}]",Spray Fluid,20,,Fire:×2,,Colorless,,,,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,sv8pt5-10,Dipplin,Pokémon,Grass,Prismatic Evolutions,10,Uncommon,https://images.pokemontcg.io/sv8pt5/10_hires.png,https://images.pokemontcg.io/sv8pt5/10.png,80,"[{""name"": ""Festival Lead"", ""text"": ""If Festival Grounds is in play, this Pokémon may use an attack it has twice. If the first attack Knocks Out your opponent's Active Pokémon, you may attack again after your opponent chooses a new Active Pokémon."", ""type"": ""Ability""}]","[{""name"": ""Do the Wave"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""20×"", ""text"": ""This attack does 20 damage for each of your Benched Pokémon.""}]",Do the Wave,20×,This attack does 20 damage for each of your Benched Pokémon.,Fire:×2,,Colorless__Colorless,Applin,,,,,,,,,,,,,,,,,,,,,,,,,,,
010.jpg,sv8pt5-11,Hydrapple ex,Pokémon,Grass,Prismatic Evolutions,11,Double Rare,https://images.pokemontcg.io/sv8pt5/11_hires.png,https://images.pokemontcg.io/sv8pt5/11.png,330,"[{""name"": ""Ripening Charge"", ""text"": ""Once during your turn, you may attach a Basic Grass Energy card from your hand to 1 of your Pokémon. If you attached Energy to a Pokémon in this way, heal 30 damage from that Pokémon."", ""type"": ""Ability""}]","[{""name"": ""Syrup Storm"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30+"", ""text"": ""This attack does 30 more damage for each Grass Energy attached to all of your Pokémon.""}]",Syrup Storm,30+,This attack does 30 more damage for each Grass Energy attached to all of your Pokémon.,Fire:×2,,Colorless__Colorless__Colorless,Dipplin,,,,,,,,,,,,,,,,,,,,,,,,,,,
011.jpg,sv8pt5-12,Teal Mask Ogerpon ex,Pokémon,Grass,Prismatic Evolutions,12,Double Rare,https://images.pokemontcg.io/sv8pt5/12_hires.png,https://images.pokemontcg.io/sv8pt5/12.png,210,"[{""name"": ""Teal Dance"", ""text"": ""Once during your turn, you may attach a Basic Grass Energy card from your hand to this Pokémon. If you attached Energy to a Pokémon in this way, draw a card."", ""type"": ""Ability""}]","[{""name"": ""Myriad Leaf Shower"", ""cost"": [""Grass"", ""Grass"", ""Grass""], ""convertedEnergyCost"": 3, ""damage"": ""30+"", ""text"": ""This attack does 30 more damage for each Energy attached to both Active Pokémon.""}]",Myriad Leaf Shower,30+,This attack does 30 more damage for each Energy attached to both Active Pokémon.,Fire:×2,,Colorless,,,,,,,,,,,,,,,,,,,,,,,,,,,,
012.jpg,sv8pt5-13,Flareon,Pokémon,Fire,Prismatic Evolutions,13,Rare,https://images.pokemontcg.io/sv8pt5/13_hires.png,https://images.pokemontcg.io/sv8pt5/13.png,130,,"[{""name"": ""Destructive Flame"", ""cost"": [""Fire""], ""convertedEnergyCost"": 1, ""damage"": ""30"", ""text"": ""Flip a coin. If heads, discard an Energy from your opponent's Active Pokémon.""}, {""name"": ""Fighting Blaze"", ""cost"": [""Fire"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""90+"", ""text"": ""If your opponent's Active Pokémon is a Pokémon ex or Pokémon V, this attack does 90 more damage.""}]",Destructive Flame|Fighting Blaze,30|90+,"Flip a coin. If heads, discard an Energy from your opponent's Active Pokémon.|If your opponent's Active Pokémon is a Pokémon ex or Pokémon V, this attack does 90 more damage.",Water:×2,,Colorless__Colorless,Eevee,,,,,,,,,,,,,,,,,,,,,,,,,,,
013.jpg,sv8pt5-14,Flareon ex,Pokémon,Fire,Prismatic Evolutions,14,Double Rare,https://images.pokemontcg.io/sv8pt5/14_hires.png,https://images.pokemontcg.io/sv8pt5/14.png,270,,"[{""name"": ""Burning Charge"", ""cost"": [""Fire"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""130"", ""text"": ""Search your deck for up to 2 Basic Energy cards and attach them to 1 of your Pokémon. Then, shuffle your deck.""}, {""name"": ""Carnelian"", ""cost"": [""Fire"", ""Water"", ""Lightning""], ""convertedEnergyCost"": 3, ""damage"": ""280"", ""text"": ""During your next turn, this Pokémon can't attack.""}]",Burning Charge|Carnelian,130|280,"Search your deck for up to 2 Basic Energy cards and attach them to 1 of your Pokémon. Then, shuffle your deck.|During your next turn, this Pokémon can't attack.",Water:×2,,Colorless__Colorless,Eevee,,,,,,,,,,,,,,,,,,,,,,,,,,,
