Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,swsh2-1,Caterpie,Pokémon,Grass,Rebel Clash,1,Common,https://images.pokemontcg.io/swsh2/1_hires.png,https://images.pokemontcg.io/swsh2/1.png,50,"[{""name"": ""Adaptive Evolution"", ""text"": ""This Pokémon can evolve during your first turn or the turn you play it."", ""type"": ""Ability""}]","[{""name"": ""Gnaw"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}]",Gnaw,10,,Fire:×2,,Colorless,,Uta,"For protection, it releases a horrible stench from the antenna on its head to drive away enemies.",,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,swsh2-2,Metapod,Pokémon,Grass,Rebel Clash,2,Uncommon,https://images.pokemontcg.io/swsh2/2_hires.png,https://images.pokemontcg.io/swsh2/2.png,80,"[{""name"": ""Adaptive Evolution"", ""text"": ""This Pokémon can evolve during your first turn or the turn you play it."", ""type"": ""Ability""}]","[{""name"": ""Ram"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": """"}]",Ram,20,,Fire:×2,,Colorless__Colorless__Colorless,Caterpie,Asako Ito,"It is waiting for the moment to evolve. At this stage, it can only harden, so it remains motionless to avoid attack.",,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,swsh2-3,Butterfree,Pokémon,Grass,Rebel Clash,3,Rare,https://images.pokemontcg.io/swsh2/3_hires.png,https://images.pokemontcg.io/swsh2/3.png,140,,"[{""name"": ""Panic Poison"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""30"", ""text"": ""Your opponent's Active Pokémon is now Burned, Confused, and Poisoned.""}, {""name"": ""Cutting Wind"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""80"", ""text"": """"}]",Panic Poison|Cutting Wind,30|80,"Your opponent's Active Pokémon is now Burned, Confused, and Poisoned.|",Fire:×2,,Colorless,Metapod,Taira Akitsu,"In battle, it flaps its wings at great speed to release highly toxic dust into the air.",,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,swsh2-4,Scyther,Pokémon,Grass,Rebel Clash,4,Common,https://images.pokemontcg.io/swsh2/4_hires.png,https://images.pokemontcg.io/swsh2/4.png,80,,"[{""name"": ""Swords Dance"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""During your next turn, this Pokémon's Blinding Scythe attack does 70 more damage (before applying Weakness and Resistance).""}, {""name"": ""Blinding Scythe"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": """"}]",Swords Dance|Blinding Scythe,|20,"During your next turn, this Pokémon's Blinding Scythe attack does 70 more damage (before applying Weakness and Resistance).|",Fire:×2,,Colorless,,KEIICHIRO ITO,Its two sharp scythes are more than just weapons. It uses them with dexterity to dress its prey before eating.,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,swsh2-5,Shuckle,Pokémon,Grass,Rebel Clash,5,Uncommon,https://images.pokemontcg.io/swsh2/5_hires.png,https://images.pokemontcg.io/swsh2/5.png,80,,"[{""name"": ""Berry Picking"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Shuffle up to 5 basic Energy cards from your discard pile into your deck.""}, {""name"": ""Bind"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""50"", ""text"": ""Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.""}]",Berry Picking|Bind,|50,"Shuffle up to 5 basic Energy cards from your discard pile into your deck.|Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.",Fire:×2,,Colorless,,HYOGONOSUKE,"It stores berries inside its shell. To avoid attacks, it hides beneath rocks and remains completely still.",,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,swsh2-6,Heracross,Pokémon,Grass,Rebel Clash,6,Uncommon,https://images.pokemontcg.io/swsh2/6_hires.png,https://images.pokemontcg.io/swsh2/6.png,130,,"[{""name"": ""Push Down"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": ""Your opponent switches their Active Pokémon with 1 of their Benched Pokémon.""}, {""name"": ""Superpowered Horns"", ""cost"": [""Grass"", ""Grass"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""110"", ""text"": """"}]",Push Down|Superpowered Horns,30|110,Your opponent switches their Active Pokémon with 1 of their Benched Pokémon.|,Fire:×2,,Colorless__Colorless,,otumami,"It roams through forests searching for sweet nectar. Although it boasts fantastic physical strength, it's not that good at flying.",,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,swsh2-7,Lotad,Pokémon,Grass,Rebel Clash,7,Common,https://images.pokemontcg.io/swsh2/7_hires.png,https://images.pokemontcg.io/swsh2/7.png,60,,"[{""name"": ""Mini Drain"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": ""Heal 10 damage from this Pokémon.""}, {""name"": ""Ram"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": """"}]",Mini Drain|Ram,10|20,Heal 10 damage from this Pokémon.|,Fire:×2,,Colorless,,Sumiyoshi Kizuki,"It searches about for clean water. If it does not drink water for too long, the leaf on its head wilts.",,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,swsh2-8,Lombre,Pokémon,Grass,Rebel Clash,8,Uncommon,https://images.pokemontcg.io/swsh2/8_hires.png,https://images.pokemontcg.io/swsh2/8.png,90,"[{""name"": ""Top Entry"", ""text"": ""Once during your turn, if you drew this Pokémon from your deck at the beginning of your turn and your Bench isn't full, before you put it into your hand, you may put it onto your Bench."", ""type"": ""Ability""}]","[{""name"": ""Fury Swipes"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""40×"", ""text"": ""Flip 3 coins. This attack does 40 damage for each heads.""}]",Fury Swipes,40×,Flip 3 coins. This attack does 40 damage for each heads.,Fire:×2,,Colorless,Lotad,Miki Tanaka,It is nocturnal and becomes active at nightfall. It feeds on aquatic mosses that grow in the riverbed.,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,swsh2-9,Ludicolo,Pokémon,Grass,Rebel Clash,9,Rare,https://images.pokemontcg.io/swsh2/9_hires.png,https://images.pokemontcg.io/swsh2/9.png,160,,"[{""name"": ""Spirited Rushdown"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""60×"", ""text"": ""This attack does 60 damage for each Prize card you have taken.""}, {""name"": ""Mega Drain"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""120"", ""text"": ""Heal 30 damage from this Pokémon.""}]",Spirited Rushdown|Mega Drain,60×|120,This attack does 60 damage for each Prize card you have taken.|Heal 30 damage from this Pokémon.,Fire:×2,,Colorless__Colorless,Lombre,Masakazu Fukuda,"The rhythm of bright, festive music activates Ludicolo's cells, making it more powerful.",,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,swsh2-10,Surskit,Pokémon,Grass,Rebel Clash,10,Common,https://images.pokemontcg.io/swsh2/10_hires.png,https://images.pokemontcg.io/swsh2/10.png,50,,"[{""name"": ""Agility"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": ""Flip a coin. If heads, during your opponent's next turn, prevent all effects of attacks, including damage, done to this Pokémon.""}]",Agility,10,"Flip a coin. If heads, during your opponent's next turn, prevent all effects of attacks, including damage, done to this Pokémon.",Fire:×2,,Colorless,,Masakazu Fukuda,"It lives in ponds and marshes that feature lots of plant life. It often fights with Dewpider, whose habitat and diet are similar.",,,,,,,,,,,,,,,,,,,,,,,,,
