Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,pl2-1,Arcanine,Pokémon,Fire,Rising Rivals,1,Rare Holo,https://images.pokemontcg.io/pl2/1_hires.png,https://images.pokemontcg.io/pl2/1.png,100,"[{""name"": ""Flare Condition"", ""text"": ""As long as Arcanine has any Fire Energy attached to it, Arcanine has no Weakness."", ""type"": ""Poké-Body""}]","[{""name"": ""Burn Out"", ""cost"": [""Fire"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30+"", ""text"": ""You may do 30 damage plus 30 more damage. If you do, Arcanine is now Burned.""}, {""name"": ""Flames of Rage"", ""cost"": [""Fire"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""60+"", ""text"": ""Discard a Fire Energy attached to Arcanine. This attack does 60 damage plus 10 more damage for each damage counter on Arcanine.""}]",Burn Out|Flames of Rage,30+|60+,"You may do 30 damage plus 30 more damage. If you do, Arcanine is now Burned.|Discard a Fire Energy attached to Arcanine. This attack does 60 damage plus 10 more damage for each damage counter on Arcanine.",Water:+20,,Colorless__Colorless,Growlithe,Masakazu Fukuda,,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,pl2-2,Bastiodon GL,Pokémon,Metal,Rising Rivals,2,Rare Holo,https://images.pokemontcg.io/pl2/2_hires.png,https://images.pokemontcg.io/pl2/2.png,90,,"[{""name"": ""Bounce Back"", ""cost"": [""Metal"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""30"", ""text"": ""Your opponent switches the Defending Pokémon with 1 of his or her Benched Pokémon.""}, {""name"": ""Smack Attack"", ""cost"": [""Metal"", ""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""60"", ""text"": ""Remove 1 damage counter from Bastiodon GL.""}]",Bounce Back|Smack Attack,30|60,Your opponent switches the Defending Pokémon with 1 of his or her Benched Pokémon.|Remove 1 damage counter from Bastiodon GL.,Fire:×2,Psychic:-20,Colorless__Colorless__Colorless,,Hajime Kusajima,,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,pl2-3,Darkrai G,Pokémon,Darkness,Rising Rivals,3,Rare Holo,https://images.pokemontcg.io/pl2/3_hires.png,https://images.pokemontcg.io/pl2/3.png,90,"[{""name"": ""Eerie Aura"", ""text"": ""Put 1 damage counter on each of your opponent's Pokémon that remains Asleep between turns."", ""type"": ""Poké-Body""}]","[{""name"": ""Darkness Sleep"", ""cost"": [""Darkness"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""50"", ""text"": ""If the Defending Pokémon already has any damage counters on it, that Pokémon is now Asleep.""}]",Darkness Sleep,50,"If the Defending Pokémon already has any damage counters on it, that Pokémon is now Asleep.",Fighting:×2,Psychic:-20,Colorless__Colorless,,Makoto Imai,,,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,pl2-4,Floatzel GL,Pokémon,Water,Rising Rivals,4,Rare Holo,https://images.pokemontcg.io/pl2/4_hires.png,https://images.pokemontcg.io/pl2/4.png,80,,"[{""name"": ""Incite"", ""cost"": [], ""convertedEnergyCost"": 0, ""damage"": """", ""text"": ""Search your discard pile for up to 2 Supporter cards, show them to your opponent, and put them into your hand.""}, {""name"": ""Giant Wave"", ""cost"": [""Water"", ""Water""], ""convertedEnergyCost"": 2, ""damage"": ""50"", ""text"": ""Floatzel GL can't use Giant Wave during your next turn.""}]",Incite|Giant Wave,|50,"Search your discard pile for up to 2 Supporter cards, show them to your opponent, and put them into your hand.|Floatzel GL can't use Giant Wave during your next turn.",Lightning:×2,,Colorless,,Midori Harada,,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,pl2-5,Flygon,Pokémon,Colorless,Rising Rivals,5,Rare Holo,https://images.pokemontcg.io/pl2/5_hires.png,https://images.pokemontcg.io/pl2/5.png,120,"[{""name"": ""Rainbow Float"", ""text"": ""If any basic Energy card attached to Flygon is the same type as any of your Pokémon, the Retreat Cost for those Pokémon is 0."", ""type"": ""Poké-Body""}]","[{""name"": ""Sand Wall"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""40"", ""text"": ""Discard a Stadium card your opponent has in play. If you do, prevent all effects of an attack, including damage, done to Flygon during your opponent's next turn.""}, {""name"": ""Power Swing"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""60+"", ""text"": ""Does 60 damage plus 10 more damage for each Evolved Pokémon on your Bench.""}]",Sand Wall|Power Swing,40|60+,"Discard a Stadium card your opponent has in play. If you do, prevent all effects of an attack, including damage, done to Flygon during your opponent's next turn.|Does 60 damage plus 10 more damage for each Evolved Pokémon on your Bench.",Colorless:+30,Lightning:-20,,Vibrava,Kouki Saitou,,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,pl2-6,Froslass GL,Pokémon,Water,Rising Rivals,6,Rare Holo,https://images.pokemontcg.io/pl2/6_hires.png,https://images.pokemontcg.io/pl2/6.png,70,,"[{""name"": ""Sleep Inducer"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Switch the Defending Pokémon with 1 of your opponent's Benched Pokémon. The new Defending Pokémon is now Asleep.""}, {""name"": ""Wake-Up Slap"", ""cost"": [""Psychic"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30+"", ""text"": ""If the Defending Pokémon is affected by any Special Conditions, this attack does 30 damage plus 20 more damage. Then, remove all Special Conditions from the Defending Pokémon.""}]",Sleep Inducer|Wake-Up Slap,|30+,"Switch the Defending Pokémon with 1 of your opponent's Benched Pokémon. The new Defending Pokémon is now Asleep.|If the Defending Pokémon is affected by any Special Conditions, this attack does 30 damage plus 20 more damage. Then, remove all Special Conditions from the Defending Pokémon.",Metal:×2,,Colorless,,Atsuko Nishida,,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,pl2-7,Jirachi,Pokémon,Metal,Rising Rivals,7,Rare Holo,https://images.pokemontcg.io/pl2/7_hires.png,https://images.pokemontcg.io/pl2/7.png,60,"[{""name"": ""Final Wish"", ""text"": ""Once during your opponent's turn, if Jirachi would be Knocked Out by damage from an attack, you may search your deck for any 1 card and put it into your hand. Shuffle your deck afterward."", ""type"": ""Poké-Power""}]","[{""name"": ""Detour"", ""cost"": [], ""convertedEnergyCost"": 0, ""damage"": """", ""text"": ""If you have a Supporter card in play, use the effect of that card as the effect of this attack.""}, {""name"": ""Swift"", ""cost"": [""Metal""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": ""This attack's damage isn't affected by Weakness, Resistance, Poké-Powers, Poké-Bodies, or any other effects on the Defending Pokémon.""}]",Detour|Swift,|20,"If you have a Supporter card in play, use the effect of that card as the effect of this attack.|This attack's damage isn't affected by Weakness, Resistance, Poké-Powers, Poké-Bodies, or any other effects on the Defending Pokémon.",Fire:+20,Psychic:-20,,,Kenkichi Toyama,,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,pl2-8,Lucario GL,Pokémon,Fighting,Rising Rivals,8,Rare Holo,https://images.pokemontcg.io/pl2/8_hires.png,https://images.pokemontcg.io/pl2/8.png,80,"[{""name"": ""Boundary Aura"", ""text"": ""Apply Weakness for each Pokémon (both yours and your opponent's) as ×2 instead."", ""type"": ""Poké-Body""}]","[{""name"": ""Combo Throw"", ""cost"": [""Metal"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""30+"", ""text"": ""Does 30 damage plus 10 more damage for each Energy attached to the Defending Pokémon.""}]",Combo Throw,30+,Does 30 damage plus 10 more damage for each Energy attached to the Defending Pokémon.,Psychic:×2,,Colorless,,Kagemaru Himeno,,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,pl2-9,Luxray GL,Pokémon,Lightning,Rising Rivals,9,Rare Holo,https://images.pokemontcg.io/pl2/9_hires.png,https://images.pokemontcg.io/pl2/9.png,80,,"[{""name"": ""Bite"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": """"}, {""name"": ""Trash Bolt"", ""cost"": [""Lightning"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""70"", ""text"": ""Discard an Energy card from your hand. (If you can't discard a card from your hand, this attack does nothing.)""}]",Bite|Trash Bolt,30|70,"|Discard an Energy card from your hand. (If you can't discard a card from your hand, this attack does nothing.)",Fighting:×2,Metal:-20,Colorless,,Kouki Saitou,,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,pl2-10,Mismagius GL,Pokémon,Psychic,Rising Rivals,10,Rare Holo,https://images.pokemontcg.io/pl2/10_hires.png,https://images.pokemontcg.io/pl2/10.png,80,,"[{""name"": ""Psychic Removal"", ""cost"": [""Psychic""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": ""Flip 2 coins. If both of them are heads, discard all Energy attached to the Defending Pokémon.""}, {""name"": ""Grudge"", ""cost"": [""Psychic"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20+"", ""text"": ""Does 20 damage plus 10 more damage for each Prize card your opponent has taken.""}]",Psychic Removal|Grudge,10|20+,"Flip 2 coins. If both of them are heads, discard all Energy attached to the Defending Pokémon.|Does 20 damage plus 10 more damage for each Prize card your opponent has taken.",Darkness:×2,Colorless:-20,Colorless,,Naoyo Kimura,,,,,,,,,,,,,,,,,,,,,,,,,,
