Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,xy6-1,Exeggcute,Pokémon,Grass,Roaring Skies,1,Common,https://images.pokemontcg.io/xy6/1_hires.png,https://images.pokemontcg.io/xy6/1.png,40,,"[{""name"": ""Loathe"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Flip a coin. If heads, switch this Pokémon with 1 of your Benched Pokémon.""}, {""name"": ""Ram"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}]",Loathe|Ram,|10,"Flip a coin. If heads, switch this Pokémon with 1 of your Benched Pokémon.|",Fire:×2,,Colorless,,Tomokazu Komiya,"Even though it appears to be eggs of some sort, it was discovered to be a life-form more like plant seeds.",,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,xy6-2,Exeggutor,Pokémon,Grass,Roaring Skies,2,Uncommon,https://images.pokemontcg.io/xy6/2_hires.png,https://images.pokemontcg.io/xy6/2.png,120,,"[{""name"": ""Shake It Off"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""20×"", ""text"": ""This attack does 20 damage times the number of Colorless Pokémon your opponent has in play.""}, {""name"": ""Seed Bomb"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""80"", ""text"": """"}]",Shake It Off|Seed Bomb,20×|80,This attack does 20 damage times the number of Colorless Pokémon your opponent has in play.|,Fire:×2,,Colorless__Colorless__Colorless,Exeggcute,Shin Nagasawa,"It is called ""The Walking Jungle."" If a head grows too big, it falls off and becomes an Exeggcute.",,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,xy6-3,Wurmple,Pokémon,Grass,Roaring Skies,3,Common,https://images.pokemontcg.io/xy6/3_hires.png,https://images.pokemontcg.io/xy6/3.png,60,,"[{""name"": ""Flock"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Search your deck for Wurmple and put it onto your Bench. Shuffle your deck afterward.""}, {""name"": ""Tackle"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": """"}]",Flock|Tackle,|20,Search your deck for Wurmple and put it onto your Bench. Shuffle your deck afterward.|,Fire:×2,,Colorless,,Naoyo Kimura,It lives among the tall grass and in forests. It repels attacks by raising up the spikes on its rear.,,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,xy6-4,Silcoon,Pokémon,Grass,Roaring Skies,4,Uncommon,https://images.pokemontcg.io/xy6/4_hires.png,https://images.pokemontcg.io/xy6/4.png,80,,"[{""name"": ""String Shot"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": ""Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.""}]",String Shot,10,"Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.",Fire:×2,,Colorless__Colorless__Colorless,Wurmple,Shigenori Negishi,It drinks dew that collects on its silk and waits for evolution. Its hard cocoon repels attacks.,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,xy6-5,Beautifly,Pokémon,Grass,Roaring Skies,5,Rare Holo,https://images.pokemontcg.io/xy6/5_hires.png,https://images.pokemontcg.io/xy6/5.png,130,"[{""name"": ""Miraculous Scales"", ""text"": ""Prevent all damage done to this Pokémon by attacks from your opponent's Pokémon-EX."", ""type"": ""Ability""}]","[{""name"": ""Whirlwind"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""80"", ""text"": ""You may have your opponent switch his or her Active Pokémon with 1 of his or her Benched Pokémon.""}]",Whirlwind,80,You may have your opponent switch his or her Active Pokémon with 1 of his or her Benched Pokémon.,Fire:×2,,,Silcoon,Midori Harada,"It has an aggressive nature. It stabs prey with its long, narrow mouth to drain the prey's fluids.",,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,xy6-6,Cascoon,Pokémon,Grass,Roaring Skies,6,Common,https://images.pokemontcg.io/xy6/6_hires.png,https://images.pokemontcg.io/xy6/6.png,80,,"[{""name"": ""Poison Sting"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Your opponent's Active Pokémon is now Poisoned.""}, {""name"": ""Iron Defense"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": """", ""text"": ""Flip a coin. If heads, prevent all damage done to this Pokémon by attacks during your opponent's next turn.""}]",Poison Sting|Iron Defense,|,"Your opponent's Active Pokémon is now Poisoned.|Flip a coin. If heads, prevent all damage done to this Pokémon by attacks during your opponent's next turn.",Fire:×2,,Colorless__Colorless__Colorless,Wurmple,MAHOU,"It never forgets any attack it endured while in the cocoon. After evolution, it seeks payback.",,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,xy6-7,Dustox,Pokémon,Grass,Roaring Skies,7,Uncommon,https://images.pokemontcg.io/xy6/7_hires.png,https://images.pokemontcg.io/xy6/7.png,140,,"[{""name"": ""Psybeam"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": ""Your opponent's Active Pokémon is now Confused.""}, {""name"": ""Twilight Poison"", ""cost"": [""Grass"", ""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""80"", ""text"": ""Your opponent's Active Pokémon is now Asleep and Poisoned.""}]",Psybeam|Twilight Poison,30|80,Your opponent's Active Pokémon is now Confused.|Your opponent's Active Pokémon is now Asleep and Poisoned.,Fire:×2,,Colorless__Colorless,Cascoon,Akira Komayama,It violently flutters its wings to scatter toxic dust when attacked. It becomes active after sunset.,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,xy6-8,Dustox,Pokémon,Grass,Roaring Skies,8,Rare,https://images.pokemontcg.io/xy6/8_hires.png,https://images.pokemontcg.io/xy6/8.png,130,,"[{""name"": ""Flap"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": """"}, {""name"": ""Wind Shard"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": """", ""text"": ""This attack does 50 damage to 1 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}]",Flap|Wind Shard,20|,|This attack does 50 damage to 1 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.),Fire:×2,,Colorless,Cascoon,match,It violently flutters its wings to scatter toxic dust when attacked. It becomes active after sunset.,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,xy6-9,Nincada,Pokémon,Grass,Roaring Skies,9,Common,https://images.pokemontcg.io/xy6/9_hires.png,https://images.pokemontcg.io/xy6/9.png,40,,"[{""name"": ""Slight Intrusion"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": ""This Pokémon does 10 damage to itself.""}]",Slight Intrusion,20,This Pokémon does 10 damage to itself.,Fire:×2,,Colorless,,Kyoko Umemoto,It can sometimes live underground for more than 10 years. It absorbs nutrients from the roots of trees.,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,xy6-10,Ninjask,Pokémon,Grass,Roaring Skies,10,Uncommon,https://images.pokemontcg.io/xy6/10_hires.png,https://images.pokemontcg.io/xy6/10.png,70,"[{""name"": ""Wing Buzz"", ""text"": ""Once during your turn (before your attack), if this Pokémon is your Active Pokémon, you may discard a card from your hand. If you do, discard the top card of your opponent's deck."", ""type"": ""Ability""}]","[{""name"": ""Afterimage Assault"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": ""Search your deck for up to 2 Ninjask and put them onto your Bench. Shuffle your deck afterward.""}]",Afterimage Assault,30,Search your deck for up to 2 Ninjask and put them onto your Bench. Shuffle your deck afterward.,Fire:×2,,,Nincada,Sumiyoshi Kizuki,"Because it moves so quickly, it sometimes becomes unseeable. It congregates around tree sap.",,,,,,,,,,,,,,,,,,,,,,,,,
010.jpg,xy6-11,Shedinja,Pokémon,Grass,Roaring Skies,11,Rare,https://images.pokemontcg.io/xy6/11_hires.png,https://images.pokemontcg.io/xy6/11.png,30,,"[{""name"": ""Cursed Rain"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Put 1 damage counter on each of your opponent's Pokémon. Switch this Pokémon with 1 of your Benched Pokémon.""}, {""name"": ""Hopeless Scream"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""50×"", ""text"": ""This attack does 50 damage times the number of damage counters on this Pokémon.""}]",Cursed Rain|Hopeless Scream,|50×,Put 1 damage counter on each of your opponent's Pokémon. Switch this Pokémon with 1 of your Benched Pokémon.|This attack does 50 damage times the number of damage counters on this Pokémon.,,,Colorless,Nincada,Aya Kusube,A most peculiar Pokémon that somehow appears in a Poké Ball when a Nincada evolves.,,,,,,,,,,,,,,,,,,,,,,,,,
011.jpg,xy6-12,Tropius,Pokémon,Grass,Roaring Skies,12,Uncommon,https://images.pokemontcg.io/xy6/12_hires.png,https://images.pokemontcg.io/xy6/12.png,110,,"[{""name"": ""Stomp"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""50+"", ""text"": ""Flip a coin. If heads, this attack does 20 more damage.""}, {""name"": ""Solar Beam"", ""cost"": [""Grass"", ""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""80"", ""text"": """"}]",Stomp|Solar Beam,50+|80,"Flip a coin. If heads, this attack does 20 more damage.|",Fire:×2,,Colorless__Colorless,,Kyoko Umemoto,The bunch of fruit around its neck ripens twice a year and is delicious. It's a highly favored tropical snack.,,,,,,,,,,,,,,,,,,,,,,,,,
012.jpg,xy6-13,Victini,Pokémon,Fire,Roaring Skies,13,Rare,https://images.pokemontcg.io/xy6/13_hires.png,https://images.pokemontcg.io/xy6/13.png,70,,"[{""name"": ""Me First"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Draw a card.""}, {""name"": ""Psy Bolt"", ""cost"": [""Fire"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": ""Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.""}]",Me First|Psy Bolt,|20,"Draw a card.|Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.",Water:×2,,Colorless,,Kouki Saitou,"When it shares the infinite energy it creates, that being's entire body will be overflowing with power.",,,,,,,,,,,,,,,,,,,,,,,,,
013.jpg,xy6-14,Fletchinder,Pokémon,Fire,Roaring Skies,14,Uncommon,https://images.pokemontcg.io/xy6/14_hires.png,https://images.pokemontcg.io/xy6/14.png,70,,"[{""name"": ""Peck Off"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": ""Before doing damage, discard all Pokémon Tool cards attached to your opponent's Active Pokémon.""}]",Peck Off,10,"Before doing damage, discard all Pokémon Tool cards attached to your opponent's Active Pokémon.",Water:×2,,,Fletchling,Naoyo Kimura,"The hotter the flame sac on its belly, the faster it can fly, but it takes some time to get the fire going.",,,,,,,,,,,,,,,,,,,,,,,,,
014.jpg,xy6-15,Talonflame,Pokémon,Fire,Roaring Skies,15,Rare,https://images.pokemontcg.io/xy6/15_hires.png,https://images.pokemontcg.io/xy6/15.png,130,,"[{""name"": ""Grand Loop"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Draw 3 cards. You may switch this Pokémon with 1 of your Benched Pokémon.""}, {""name"": ""Brave Bird"", ""cost"": [""Fire"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""90"", ""text"": ""This Pokémon does 20 damage to itself.""}]",Grand Loop|Brave Bird,|90,Draw 3 cards. You may switch this Pokémon with 1 of your Benched Pokémon.|This Pokémon does 20 damage to itself.,Water:×2,,,Fletchinder,Masakazu Fukuda,"When attacking prey, it can reach speeds of up to 310 mph. It finishes its prey off with a colossal kick.",,,,,,,,,,,,,,,,,,,,,,,,,
015.jpg,xy6-16,Articuno,Pokémon,Water,Roaring Skies,16,Rare,https://images.pokemontcg.io/xy6/16_hires.png,https://images.pokemontcg.io/xy6/16.png,120,,"[{""name"": ""Find Ice"", ""cost"": [""Water""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Search your deck for up to 3 Water Energy cards, reveal them, and put them into your hand. Shuffle your deck afterward.""}, {""name"": ""Freezing Wind"", ""cost"": [""Water"", ""Water"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""100"", ""text"": """"}]",Find Ice|Freezing Wind,|100,"Search your deck for up to 3 Water Energy cards, reveal them, and put them into your hand. Shuffle your deck afterward.|",Metal:×2,Fighting:-20,Colorless,,Naoki Saito,A legendary bird Pokémon that is said to appear to doomed people who are lost in icy mountains.,,,,,,,,,,,,,,,,,,,,,,,,,
016.jpg,xy6-17,Articuno,Pokémon,Water,Roaring Skies,17,Rare,https://images.pokemontcg.io/xy6/17_hires.png,https://images.pokemontcg.io/xy6/17.png,120,,"[{""name"": ""Chilling Sigh"", ""cost"": [""Water""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Your opponent's Active Pokémon is now Asleep.""}, {""name"": ""Tri Edge"", ""cost"": [""Water"", ""Water"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""20+"", ""text"": ""Flip 3 coins. This attack does 40 more damage for each heads.""}]",Chilling Sigh|Tri Edge,|20+,Your opponent's Active Pokémon is now Asleep.|Flip 3 coins. This attack does 40 more damage for each heads.,Metal:×2,Fighting:-20,Colorless__Colorless,,5ban Graphics,A legendary bird Pokémon that is said to appear to doomed people who are lost in icy mountains.,,,,,,,,,,,,,,,,,,,,,,,,,
017.jpg,xy6-18,Wingull,Pokémon,Water,Roaring Skies,18,Common,https://images.pokemontcg.io/xy6/18_hires.png,https://images.pokemontcg.io/xy6/18.png,60,,"[{""name"": ""Water Gun"", ""cost"": [""Water""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}]",Water Gun,10,,Lightning:×2,Fighting:-20,Colorless,,MAHOU,"It makes its nest on steep sea cliffs. Riding updrafts, it soars to great heights.",,,,,,,,,,,,,,,,,,,,,,,,,
018.jpg,xy6-19,Pelipper,Pokémon,Water,Roaring Skies,19,Uncommon,https://images.pokemontcg.io/xy6/19_hires.png,https://images.pokemontcg.io/xy6/19.png,100,,"[{""name"": ""Swallow"", ""cost"": [""Water"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": ""Heal from this Pokémon the same amount of damage you did to your opponent's Active Pokémon.""}, {""name"": ""Water Pulse"", ""cost"": [""Water"", ""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""70"", ""text"": ""Your opponent's Active Pokémon is now Asleep.""}]",Swallow|Water Pulse,30|70,Heal from this Pokémon the same amount of damage you did to your opponent's Active Pokémon.|Your opponent's Active Pokémon is now Asleep.,Lightning:×2,Fighting:-20,Colorless__Colorless,Wingull,Midori Harada,"It is a messenger of the skies, carrying small Pokémon and eggs to safety in its bill.",,,,,,,,,,,,,,,,,,,,,,,,,
