Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,ex1-1,Aggron,Pokémon,Metal,Ruby & Sapphire,1,Rare Holo,https://images.pokemontcg.io/ex1/1_hires.png,https://images.pokemontcg.io/ex1/1.png,110,,"[{""name"": ""Retaliate"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10×"", ""text"": ""Flip a coin. If heads, this attack does 10 damage times the number of damage counters on Aggron.""}, {""name"": ""Mega Punch"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""40"", ""text"": """"}, {""name"": ""Double Lariat"", ""cost"": [""Metal"", ""Metal"", ""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 5, ""damage"": ""70×"", ""text"": ""Flip 2 coins. This attack does 70 damage times the number of heads.""}]",Retaliate|Mega Punch|Double Lariat,10×|40|70×,"Flip a coin. If heads, this attack does 10 damage times the number of damage counters on Aggron.||Flip 2 coins. This attack does 70 damage times the number of heads.",Fire:×2,Grass:-30,Colorless__Colorless__Colorless__Colorless,Lairon,Mitsuhiro Arita,,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,ex1-2,Beautifly,Pokémon,Grass,Ruby & Sapphire,2,Rare Holo,https://images.pokemontcg.io/ex1/2_hires.png,https://images.pokemontcg.io/ex1/2.png,80,"[{""name"": ""Withering Dust"", ""text"": ""As long as Beautifly is in play, do not apply Resistance for all Active Pokémon."", ""type"": ""Poké-Body""}]","[{""name"": ""Stun Spore"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": ""Flip a coin. If heads, the Defending Pokémon is now Paralyzed.""}, {""name"": ""Parallel Gain"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""50"", ""text"": ""Remove 1 damage counter from each of your Pokémon, including Beautifly.""}]",Stun Spore|Parallel Gain,20|50,"Flip a coin. If heads, the Defending Pokémon is now Paralyzed.|Remove 1 damage counter from each of your Pokémon, including Beautifly.",Fire:×2,,,Silcoon,Hajime Kusajima,,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,ex1-3,Blaziken,Pokémon,Fire,Ruby & Sapphire,3,Rare Holo,https://images.pokemontcg.io/ex1/3_hires.png,https://images.pokemontcg.io/ex1/3.png,100,"[{""name"": ""Firestarter"", ""text"": ""Once during your turn (before your attack), you may attach a Fire Energy card from your discard pile to 1 of your Benched Pokémon. This power can't be used if Blaziken is affected by a Special Condition."", ""type"": ""Poké-Power""}]","[{""name"": ""Fire Stream"", ""cost"": [""Fire"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""50"", ""text"": ""Discard a Fire Energy card attached to Blaziken. If you do, this attack does 10 damage to each of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}]",Fire Stream,50,"Discard a Fire Energy card attached to Blaziken. If you do, this attack does 10 damage to each of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)",Water:×2,,Colorless__Colorless,Combusken,Kouki Saitou,,,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,ex1-4,Camerupt,Pokémon,Fire,Ruby & Sapphire,4,Rare Holo,https://images.pokemontcg.io/ex1/4_hires.png,https://images.pokemontcg.io/ex1/4.png,90,,"[{""name"": ""Lava Burn"", ""cost"": [""Fire"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": ""Choose 1 of your opponent's Benched Pokémon. This attack does 10 damage to that Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}, {""name"": ""Fire Spin"", ""cost"": [""Fire"", ""Fire"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""100"", ""text"": ""Discard 2 basic Energy cards attached to Camerupt or this attack does nothing.""}]",Lava Burn|Fire Spin,20|100,Choose 1 of your opponent's Benched Pokémon. This attack does 10 damage to that Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)|Discard 2 basic Energy cards attached to Camerupt or this attack does nothing.,Water:×2,,Colorless__Colorless__Colorless,Numel,Ken Sugimori,,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,ex1-5,Delcatty,Pokémon,Colorless,Ruby & Sapphire,5,Rare Holo,https://images.pokemontcg.io/ex1/5_hires.png,https://images.pokemontcg.io/ex1/5.png,70,"[{""name"": ""Energy Draw"", ""text"": ""Once during your turn (before your attack), you may discard 1 Energy card from your hand. Then draw up to 3 cards from your deck. This power can't be used if Delcatty is affected by a Special Condition."", ""type"": ""Poké-Power""}]","[{""name"": ""Max Energy Source"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10×"", ""text"": ""Does 10 damage times the amount of Energy attached to all of your Active Pokémon.""}]",Max Energy Source,10×,Does 10 damage times the amount of Energy attached to all of your Active Pokémon.,Fighting:×2,,Colorless,Skitty,Atsuko Nishida,,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,ex1-6,Dustox,Pokémon,Grass,Ruby & Sapphire,6,Rare Holo,https://images.pokemontcg.io/ex1/6_hires.png,https://images.pokemontcg.io/ex1/6.png,90,"[{""name"": ""Protective Dust"", ""text"": ""Prevent all effects of attacks, except damage, done to Dustox by the Attacking Pokémon."", ""type"": ""Poké-Body""}]","[{""name"": ""Toxic"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": """", ""text"": ""The Defending Pokémon is now Poisoned. Put 2 damage counters instead of 1 on the Defending Pokémon between turns.""}, {""name"": ""Gust"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""50"", ""text"": """"}]",Toxic|Gust,|50,The Defending Pokémon is now Poisoned. Put 2 damage counters instead of 1 on the Defending Pokémon between turns.|,Psychic:×2,,,Cascoon,Midori Harada,,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,ex1-7,Gardevoir,Pokémon,Psychic,Ruby & Sapphire,7,Rare Holo,https://images.pokemontcg.io/ex1/7_hires.png,https://images.pokemontcg.io/ex1/7.png,100,"[{""name"": ""Psy Shadow"", ""text"": ""Once during your turn (before your attack), you may search your deck for a Psychic Energy card and attach it to 1 of your Pokémon. Put 2 damage counters on that Pokémon. Shuffle your deck afterward. This power can't be used if Gardevoir is affected by a Special Condition."", ""type"": ""Poké-Power""}]","[{""name"": ""Energy Burst"", ""cost"": [""Psychic""], ""convertedEnergyCost"": 1, ""damage"": ""10×"", ""text"": ""Does 10 damage times the total amount of Energy attached to Gardevoir and the Defending Pokémon.""}]",Energy Burst,10×,Does 10 damage times the total amount of Energy attached to Gardevoir and the Defending Pokémon.,Psychic:×2,,Colorless__Colorless,Kirlia,Ken Sugimori,,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,ex1-8,Hariyama,Pokémon,Fighting,Ruby & Sapphire,8,Rare Holo,https://images.pokemontcg.io/ex1/8_hires.png,https://images.pokemontcg.io/ex1/8.png,90,,"[{""name"": ""Super Slap Push"", ""cost"": [""Fighting""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Does 20 damage to each Defending Pokémon.""}, {""name"": ""Mega Throw"", ""cost"": [""Fighting"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""40+"", ""text"": ""If the Defending Pokémon is a Pokémon-ex, this attack does 40 damage plus 40 more damage.""}]",Super Slap Push|Mega Throw,|40+,"Does 20 damage to each Defending Pokémon.|If the Defending Pokémon is a Pokémon-ex, this attack does 40 damage plus 40 more damage.",Psychic:×2,,Colorless__Colorless,Makuhita,Naoyo Kimura,,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,ex1-9,Manectric,Pokémon,Lightning,Ruby & Sapphire,9,Rare Holo,https://images.pokemontcg.io/ex1/9_hires.png,https://images.pokemontcg.io/ex1/9.png,70,,"[{""name"": ""Attract Current"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": ""Search your deck for a Lightning Energy card and attach it to 1 of your Pokémon. Shuffle your deck afterward.""}, {""name"": ""Thunder Jolt"", ""cost"": [""Lightning"", ""Lightning"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""50"", ""text"": ""Flip a coin. If tails, Manectric does 10 damage to itself.""}]",Attract Current|Thunder Jolt,10|50,"Search your deck for a Lightning Energy card and attach it to 1 of your Pokémon. Shuffle your deck afterward.|Flip a coin. If tails, Manectric does 10 damage to itself.",Fighting:×2,Metal:-30,Colorless,Electrike,Mitsuhiro Arita,,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,ex1-10,Mightyena,Pokémon,Darkness,Ruby & Sapphire,10,Rare Holo,https://images.pokemontcg.io/ex1/10_hires.png,https://images.pokemontcg.io/ex1/10.png,70,"[{""name"": ""Intimidating Fang"", ""text"": ""As long as Mightyena is your Active Pokémon, any damage done to your Pokémon by an opponent's attack is reduced by 10 (before applying Weakness and Resistance)."", ""type"": ""Poké-Body""}]","[{""name"": ""Shakedown"", ""cost"": [""Darkness"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""40"", ""text"": ""Flip a coin. If heads, choose 1 card from your opponent's hand without looking and discard it.""}]",Shakedown,40,"Flip a coin. If heads, choose 1 card from your opponent's hand without looking and discard it.",Fighting:×2,Psychic:-30,Colorless,Poochyena,Atsuko Nishida,,,,,,,,,,,,,,,,,,,,,,,,,,
