Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,smp-SM01,Rowlet,Pokémon,Grass,SM Black Star Promos,SM01,Promo,https://images.pokemontcg.io/smp/SM01_hires.png,https://images.pokemontcg.io/smp/SM01.png,50,,"[{""name"": ""Fury Attack"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""10×"", ""text"": ""Flip 3 coins. This attack does 10 damage for each heads.""}]",Fury Attack,10×,Flip 3 coins. This attack does 10 damage for each heads.,Fire:×2,,Colorless,,Mitsuhiro Arita,"This wary Pokémon uses photosynthesis to store up energy during the day, while becoming active at night.",,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,smp-SM02,Litten,Pokémon,Fire,SM Black Star Promos,SM02,Promo,https://images.pokemontcg.io/smp/SM02_hires.png,https://images.pokemontcg.io/smp/SM02.png,60,,"[{""name"": ""Combustion"", ""cost"": [""Fire"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": """"}]",Combustion,30,,Water:×2,,Colorless,,Megumi Mizutani,"While grooming itself, it builds up fur inside its stomach. It sets the fur alight and spews fiery attacks, which change based on how it coughs.",,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,smp-SM03,Popplio,Pokémon,Water,SM Black Star Promos,SM03,Promo,https://images.pokemontcg.io/smp/SM03_hires.png,https://images.pokemontcg.io/smp/SM03.png,60,,"[{""name"": ""Sing"", ""cost"": [""Water""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Your opponent's Active Pokémon is now Asleep.""}]",Sing,,Your opponent's Active Pokémon is now Asleep.,Grass:×2,,Colorless,,match,"This Pokémon snorts body fluids from its nose, blowing balloons to smash into its foes. It's famous for being a hard worker.",,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,smp-SM04,Pikachu,Pokémon,Lightning,SM Black Star Promos,SM04,Promo,https://images.pokemontcg.io/smp/SM04_hires.png,https://images.pokemontcg.io/smp/SM04.png,70,,"[{""name"": ""Thunder Wave"", ""cost"": [""Lightning""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.""}, {""name"": ""Electro Ball"", ""cost"": [""Lightning"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""50"", ""text"": """"}]",Thunder Wave|Electro Ball,|50,"Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.|",Fighting:×2,Metal:-20,Colorless,,kirisAki,A plan was recently announced to gather many Pikachu and make an electric power plant.,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,smp-SM05,Snorlax-GX,Pokémon,Colorless,SM Black Star Promos,SM05,Promo,https://images.pokemontcg.io/smp/SM05_hires.png,https://images.pokemontcg.io/smp/SM05.png,190,,"[{""name"": ""Collapse"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""80"", ""text"": ""This Pokémon is now Asleep.""}, {""name"": ""Thunderous Snore"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 5, ""damage"": ""180"", ""text"": ""This attack can be used if this Pokémon is Asleep. If it is not Asleep, this attack does nothing.""}, {""name"": ""Pulverizing Pancake-GX"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 5, ""damage"": ""210"", ""text"": ""This Pokémon is now Asleep. (You can't use more than 1 GX attack in a game.)""}]",Collapse|Thunderous Snore|Pulverizing Pancake-GX,80|180|210,"This Pokémon is now Asleep.|This attack can be used if this Pokémon is Asleep. If it is not Asleep, this attack does nothing.|This Pokémon is now Asleep. (You can't use more than 1 GX attack in a game.)",Fighting:×2,,Colorless__Colorless__Colorless__Colorless,,5ban Graphics,,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,smp-SM06,Rockruff,Pokémon,Fighting,SM Black Star Promos,SM06,Promo,https://images.pokemontcg.io/smp/SM06_hires.png,https://images.pokemontcg.io/smp/SM06.png,60,,"[{""name"": ""Tackle"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}, {""name"": ""Rock Throw"", ""cost"": [""Fighting"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": """"}]",Tackle|Rock Throw,10|20,|,Grass:×2,,Colorless,,match,"It's considered to be a good Pokémon for beginners because of its friendliness, but its disposition grows rougher as it grows up.",,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,smp-SM07,Pikipek,Pokémon,Colorless,SM Black Star Promos,SM07,Promo,https://images.pokemontcg.io/smp/SM07_hires.png,https://images.pokemontcg.io/smp/SM07.png,60,,"[{""name"": ""Nosedive"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""40"", ""text"": ""This Pokémon does 20 damage to itself.""}]",Nosedive,40,This Pokémon does 20 damage to itself.,Lightning:×2,Fighting:-20,Colorless,,match,It can peck at a rate of 16 times a second to drill holes in trees. It uses holes for food storage and for nesting.,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,smp-SM08,Litten,Pokémon,Fire,SM Black Star Promos,SM08,Promo,https://images.pokemontcg.io/smp/SM08_hires.png,https://images.pokemontcg.io/smp/SM08.png,60,,"[{""name"": ""Collect"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Draw a card.""}, {""name"": ""Scratch"", ""cost"": [""Fire"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": """"}]",Collect|Scratch,|20,Draw a card.|,Water:×2,,Colorless,,Kouki Saitou,"While grooming itself, it builds up fur inside its stomach. It sets the fur alight and spews fiery attacks, which change based on how it coughs.",,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,smp-SM09,Togedemaru,Pokémon,Lightning,SM Black Star Promos,SM09,Promo,https://images.pokemontcg.io/smp/SM09_hires.png,https://images.pokemontcg.io/smp/SM09.png,70,,"[{""name"": ""Defense Curl"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Flip a coin. If heads, prevent all damage done to this Pokémon by attacks during your opponent's next turn.""}, {""name"": ""Discharge"", ""cost"": [""Lightning""], ""convertedEnergyCost"": 1, ""damage"": ""30×"", ""text"": ""Discard all Lightning Energy from this Pokémon. This attack does 30 damage for each card you discarded in this way.""}]",Defense Curl|Discharge,|30×,"Flip a coin. If heads, prevent all damage done to this Pokémon by attacks during your opponent's next turn.|Discard all Lightning Energy from this Pokémon. This attack does 30 damage for each card you discarded in this way.",Fighting:×2,Metal:-20,Colorless,,match,The long hairs on its back act as lightning rods. The bolts of lightning it attracts are stored as energy in its electric sac.,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,smp-SM10,Shiinotic,Pokémon,Grass,SM Black Star Promos,SM10,Promo,https://images.pokemontcg.io/smp/SM10_hires.png,https://images.pokemontcg.io/smp/SM10.png,100,"[{""name"": ""Illuminate"", ""text"": ""Once during your turn (before your attack), you may search your deck for a Grass Pokémon, reveal it, and put it into your hand. Then, shuffle your deck."", ""type"": ""Ability""}]","[{""name"": ""Flickering Spores"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": ""Your opponent's Active Pokémon is now Asleep.""}]",Flickering Spores,30,Your opponent's Active Pokémon is now Asleep.,Fire:×2,,Colorless__Colorless,Morelull,Mizue,"It emits flickering spores that cause drowsiness. When its prey succumb to sleep, this Pokémon feeds on them by sucking in their energy.",,,,,,,,,,,,,,,,,,,,,,,,,
