Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,swshp-SWSH001,Grookey,Pokémon,Grass,SWSH Black Star Promos,SWSH001,Promo,https://images.pokemontcg.io/swshp/SWSH001_hires.png,https://images.pokemontcg.io/swshp/SWSH001.png,60,,"[{""name"": ""Branch Poke"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": """"}]",Branch Poke,30,,Fire:×2,,Colorless,,kirisAki,"When it uses its special stick to strike up a beat, the sound waves produced carry revitalizing energy to the plants and flowers in the area.",,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,swshp-SWSH002,Scorbunny,Pokémon,Fire,SWSH Black Star Promos,SWSH002,Promo,https://images.pokemontcg.io/swshp/SWSH002_hires.png,https://images.pokemontcg.io/swshp/SWSH002.png,60,,"[{""name"": ""Super Singe"", ""cost"": [""Fire""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": ""Flip a coin. If heads, your opponent's Active Pokémon is now Burned.""}]",Super Singe,10,"Flip a coin. If heads, your opponent's Active Pokémon is now Burned.",Water:×2,,Colorless,,Hitoshi Ariga,"A warm-up of running around gets fire energy coursing through this Pokémon's body. Once that happens, it's ready to fight at full power.",,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,swshp-SWSH003,Sobble,Pokémon,Water,SWSH Black Star Promos,SWSH003,Promo,https://images.pokemontcg.io/swshp/SWSH003_hires.png,https://images.pokemontcg.io/swshp/SWSH003.png,60,,"[{""name"": ""Bind"", ""cost"": [""Water"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": ""Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.""}]",Bind,20,"Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.",Lightning:×2,,Colorless,,Mizue,"When scared, this Pokémon cries. Its tears pack the chemical punch of 100 onions, and attackers won't be able to resist weeping.",,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,swshp-SWSH004,Meowth V,Pokémon,Colorless,SWSH Black Star Promos,SWSH004,Promo,https://images.pokemontcg.io/swshp/SWSH004_hires.png,https://images.pokemontcg.io/swshp/SWSH004.png,180,,"[{""name"": ""Pay Day"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""30"", ""text"": ""Draw a card.""}, {""name"": ""Slashing Claw"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""130"", ""text"": """"}]",Pay Day|Slashing Claw,30|130,Draw a card.|,Fighting:×2,,Colorless__Colorless,,aky CG Works,,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,swshp-SWSH005,Meowth VMAX,Pokémon,Colorless,SWSH Black Star Promos,SWSH005,Promo,https://images.pokemontcg.io/swshp/SWSH005_hires.png,https://images.pokemontcg.io/swshp/SWSH005.png,300,,"[{""name"": ""G-Max Gold Rush"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""200"", ""text"": ""Draw 3 cards.""}]",G-Max Gold Rush,200,Draw 3 cards.,Fighting:×2,,Colorless__Colorless,Meowth V,aky CG Works,,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,swshp-SWSH006,Rillaboom,Pokémon,Grass,SWSH Black Star Promos,SWSH006,Promo,https://images.pokemontcg.io/swshp/SWSH006_hires.png,https://images.pokemontcg.io/swshp/SWSH006.png,170,"[{""name"": ""Voltage Beat"", ""text"": ""Once during your turn, you may search your deck for up to 2 Grass Energy cards and attach them to 1 of your Pokémon. Then, shuffle your deck."", ""type"": ""Ability""}]","[{""name"": ""Hammer In"", ""cost"": [""Grass"", ""Grass"", ""Grass"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""140"", ""text"": """"}]",Hammer In,140,,Fire:×2,,Colorless__Colorless__Colorless,Thwackey,Kouki Saitou,"By drumming, it taps into the power of its special tree stump. The roots of the stump follow its direction in battle.",,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,swshp-SWSH007,Frosmoth,Pokémon,Water,SWSH Black Star Promos,SWSH007,Promo,https://images.pokemontcg.io/swshp/SWSH007_hires.png,https://images.pokemontcg.io/swshp/SWSH007.png,90,"[{""name"": ""Ice Dance"", ""text"": ""As often as you like during your turn, you may attach a Water Energy card from your hand to 1 of your Benched Water Pokémon."", ""type"": ""Ability""}]","[{""name"": ""Aurora Beam"", ""cost"": [""Water"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": """"}]",Aurora Beam,30,,Metal:×2,,Colorless__Colorless,Snom,kirisAki,"It shows no mercy to any who desecrate fields and mountains. It will fly around on its icy wings, causing a blizzard to chase offenders away.",,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,swshp-SWSH008,Galarian Perrserker,Pokémon,Metal,SWSH Black Star Promos,SWSH008,Promo,https://images.pokemontcg.io/swshp/SWSH008_hires.png,https://images.pokemontcg.io/swshp/SWSH008.png,120,"[{""name"": ""Steely Spirit"", ""text"": ""Your Metal Pokémon's attacks do 20 more damage to your opponent's Active Pokémon (before applying Weakness and Resistance)."", ""type"": ""Ability""}]","[{""name"": ""Metal Claw"", ""cost"": [""Metal"", ""Metal"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""70"", ""text"": """"}]",Metal Claw,70,,Fire:×2,Grass:-30,Colorless__Colorless,Galarian Meowth,Akira Komayama,What appears to be an iron helmet is actually hardened hair. This Pokémon lives for the thrill of battle.,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,swshp-SWSH009,Cinccino,Pokémon,Colorless,SWSH Black Star Promos,SWSH009,Promo,https://images.pokemontcg.io/swshp/SWSH009_hires.png,https://images.pokemontcg.io/swshp/SWSH009.png,90,"[{""name"": ""Make Do"", ""text"": ""You must discard a card from your hand in order to use this Ability. Once during your turn, you may draw 2 cards."", ""type"": ""Ability""}]","[{""name"": ""Energy Assist"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""40"", ""text"": ""Attach a basic Energy card from your discard pile to 1 of your Benched Pokémon.""}]",Energy Assist,40,Attach a basic Energy card from your discard pile to 1 of your Benched Pokémon.,Fighting:×2,,Colorless,Minccino,Shibuzoh.,Its body secrets oil that this Pokémon spreads over its nest as a coating to protect it from dust. Cinccino won't tolerate even a speck of the stuff.,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,swshp-SWSH010,Gossifleur,Pokémon,Grass,SWSH Black Star Promos,SWSH010,Promo,https://images.pokemontcg.io/swshp/SWSH010_hires.png,https://images.pokemontcg.io/swshp/SWSH010.png,50,,"[{""name"": ""Sing"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Your opponent's Active Pokémon is now Asleep.""}]",Sing,,Your opponent's Active Pokémon is now Asleep.,Fire:×2,,Colorless,,Naoki Saito,"It anchors itself in the ground with its single leg, then basks in the sun. After absorbing enough sunlight, its petals spread as it blooms brilliantly.",,,,,,,,,,,,,,,,,,,,,,,,,
