Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,ex2-1,Armaldo,Pokémon,Fighting,Sandstorm,1,Rare Holo,https://images.pokemontcg.io/ex2/1_hires.png,https://images.pokemontcg.io/ex2/1.png,120,"[{""name"": ""Primal Veil"", ""text"": ""As long as Armaldo is your Active Pokémon, each player can't play any Supporter Cards."", ""type"": ""Poké-Body""}]","[{""name"": ""Blade Arms"", ""cost"": [""Fighting"", ""Fighting"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""60"", ""text"": """"}]",Blade Arms,60,,Grass:×2,,Colorless__Colorless__Colorless,Anorith,Mitsuhiro Arita,,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,ex2-2,Cacturne,Pokémon,Grass,Sandstorm,2,Rare Holo,https://images.pokemontcg.io/ex2/2_hires.png,https://images.pokemontcg.io/ex2/2.png,80,"[{""name"": ""Poison Payback"", ""text"": ""If Cacturne is your Active Pokémon and is damaged by an opponent's attack (even if Cacturne is Knocked Out), the Attacking Pokémon is now Poisoned."", ""type"": ""Poké-Body""}]","[{""name"": ""Feint Attack"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": """", ""text"": ""Choose 1 of your opponent's Pokémon. This attack does 40 damage to that Pokémon. This attack's damage isn't affected by Weakness, Resistance, Poké-Powers, Poké-Bodies or any other effects on that Pokémon.""}]",Feint Attack,,"Choose 1 of your opponent's Pokémon. This attack does 40 damage to that Pokémon. This attack's damage isn't affected by Weakness, Resistance, Poké-Powers, Poké-Bodies or any other effects on that Pokémon.",Fire:×2,,Colorless,Cacnea,Atsuko Nishida,,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,ex2-3,Cradily,Pokémon,Grass,Sandstorm,3,Rare Holo,https://images.pokemontcg.io/ex2/3_hires.png,https://images.pokemontcg.io/ex2/3.png,100,"[{""name"": ""Super Suction Cups"", ""text"": ""As long as Cradily is your Active Pokémon, your opponent's Pokémon can't retreat."", ""type"": ""Poké-Body""}]","[{""name"": ""Lure Poison"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Before using this effect, you may switch the Defending Pokémon with 1 of your opponent's Benched Pokémon, if any. The Defending Pokémon is now Poisoned.""}, {""name"": ""Spiral Drain"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""50"", ""text"": ""Remove 2 damage counters from Cradily (remove 1 if there is only 1).""}]",Lure Poison|Spiral Drain,|50,"Before using this effect, you may switch the Defending Pokémon with 1 of your opponent's Benched Pokémon, if any. The Defending Pokémon is now Poisoned.|Remove 2 damage counters from Cradily (remove 1 if there is only 1).",Fire:×2,,Colorless__Colorless,Lileep,Midori Harada,,,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,ex2-4,Dusclops,Pokémon,Psychic,Sandstorm,4,Rare Holo,https://images.pokemontcg.io/ex2/4_hires.png,https://images.pokemontcg.io/ex2/4.png,70,,"[{""name"": ""Judgement"", ""cost"": [""Psychic"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": """", ""text"": ""Flip 2 coins. If both of them are heads, the Defending Pokémon is Knocked Out.""}, {""name"": ""Random Curse"", ""cost"": [""Psychic"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": """", ""text"": ""Put a total of 5 damage counters on all Defending Pokémon in any way you like.""}]",Judgement|Random Curse,|,"Flip 2 coins. If both of them are heads, the Defending Pokémon is Knocked Out.|Put a total of 5 damage counters on all Defending Pokémon in any way you like.",Darkness:×2,Fighting:-30,Colorless,Duskull,Midori Harada,,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,ex2-5,Flareon,Pokémon,Fire,Sandstorm,5,Rare Holo,https://images.pokemontcg.io/ex2/5_hires.png,https://images.pokemontcg.io/ex2/5.png,80,,"[{""name"": ""Super Singe"", ""cost"": [""Fire"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": ""Flip a coin. If heads, the Defending Pokémon is now Burned.""}, {""name"": ""Flamethrower"", ""cost"": [""Fire"", ""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""70"", ""text"": ""Discard a Fire Energy card attached to Flareon.""}]",Super Singe|Flamethrower,20|70,"Flip a coin. If heads, the Defending Pokémon is now Burned.|Discard a Fire Energy card attached to Flareon.",Water:×2,,Colorless__Colorless,Eevee,Midori Harada,,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,ex2-6,Jolteon,Pokémon,Lightning,Sandstorm,6,Rare Holo,https://images.pokemontcg.io/ex2/6_hires.png,https://images.pokemontcg.io/ex2/6.png,70,,"[{""name"": ""Double Kick"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20×"", ""text"": ""Flip 2 coins. This attack does 20 damage times the number of heads.""}, {""name"": ""Lightning Strike"", ""cost"": [""Lightning"", ""Lightning"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""40"", ""text"": ""You may discard all Lightning Energy cards attached to Jolteon. If you do, this attack's base damage is 70 instead of 40.""}]",Double Kick|Lightning Strike,20×|40,"Flip 2 coins. This attack does 20 damage times the number of heads.|You may discard all Lightning Energy cards attached to Jolteon. If you do, this attack's base damage is 70 instead of 40.",Fighting:×2,Metal:-30,Colorless,Eevee,Atsuko Nishida,,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,ex2-7,Ludicolo,Pokémon,Water,Sandstorm,7,Rare Holo,https://images.pokemontcg.io/ex2/7_hires.png,https://images.pokemontcg.io/ex2/7.png,90,"[{""name"": ""Rain Dish"", ""text"": ""At any time between turns, remove 1 damage counter from Ludicolo."", ""type"": ""Poké-Body""}]","[{""name"": ""Hydro Punch"", ""cost"": [""Water"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""50+"", ""text"": ""Does 50 damage plus 10 more damage for each Water Energy attached to Ludicolo but not used to pay for this attack's Energy cost. You can't add more than 20 damage in this way.""}]",Hydro Punch,50+,Does 50 damage plus 10 more damage for each Water Energy attached to Ludicolo but not used to pay for this attack's Energy cost. You can't add more than 20 damage in this way.,Lightning:×2,,Colorless__Colorless,Lombre,Tomokazu Komiya,,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,ex2-8,Lunatone,Pokémon,Psychic,Sandstorm,8,Rare Holo,https://images.pokemontcg.io/ex2/8_hires.png,https://images.pokemontcg.io/ex2/8.png,60,"[{""name"": ""Lunar Eclipse"", ""text"": ""Once during your turn (before your attack), if Solrock is in play, you may use this power. Until the end of your turn, Lunatone's type is Darkness. This power can't be used if Lunatone is affected by a Special Condition."", ""type"": ""Poké-Power""}]","[{""name"": ""Cosmic Draw"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""If your opponent has any Evolved Pokémon in play, draw 3 cards.""}, {""name"": ""Lunar Blast"", ""cost"": [""Psychic"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": """"}]",Cosmic Draw|Lunar Blast,|30,"If your opponent has any Evolved Pokémon in play, draw 3 cards.|",Psychic:×2,,Colorless,,Hajime Kusajima,,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,ex2-9,Mawile,Pokémon,Metal,Sandstorm,9,Rare Holo,https://images.pokemontcg.io/ex2/9_hires.png,https://images.pokemontcg.io/ex2/9.png,60,,"[{""name"": ""Scam"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Look at your opponent's hand. You may have your opponent shuffle a Supporter card you find there into his or her deck. If you do, your opponent draws a card.""}, {""name"": ""Metal Hook"", ""cost"": [""Metal"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": ""Before doing damage, you may switch 1 of your opponent's Benched Pokémon with 1 of the Defending Pokémon. If you do, this attack does 20 damage to the new Defending Pokémon.""}]",Scam|Metal Hook,|20,"Look at your opponent's hand. You may have your opponent shuffle a Supporter card you find there into his or her deck. If you do, your opponent draws a card.|Before doing damage, you may switch 1 of your opponent's Benched Pokémon with 1 of the Defending Pokémon. If you do, this attack does 20 damage to the new Defending Pokémon.",Fire:×2,,Colorless,,Mitsuhiro Arita,,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,ex2-10,Sableye,Pokémon,Darkness,Sandstorm,10,Rare Holo,https://images.pokemontcg.io/ex2/10_hires.png,https://images.pokemontcg.io/ex2/10.png,60,,"[{""name"": ""Supernatural"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Look at your opponent's hand. You may use the effect of a Supporter card you find there as the effect of this attack. (The Supporter card remains in your opponent's hand.)""}, {""name"": ""Dark Bind"", ""cost"": [""Darkness"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": ""You may discard a Darkness Energy card attached to Sableye. If you do, the Defending Pokémon is now Paralyzed.""}]",Supernatural|Dark Bind,|20,"Look at your opponent's hand. You may use the effect of a Supporter card you find there as the effect of this attack. (The Supporter card remains in your opponent's hand.)|You may discard a Darkness Energy card attached to Sableye. If you do, the Defending Pokémon is now Paralyzed.",Fighting:×2,,Colorless,,Hajime Kusajima,,,,,,,,,,,,,,,,,,,,,,,,,,
