Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,svp-1,Sprigatito,Pokémon,Grass,Scarlet & Violet Black Star Promos,1,Promo,https://images.pokemontcg.io/svp/1_hires.png,https://images.pokemontcg.io/svp/1.png,70,,"[{""name"": ""Mini Drain"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": ""Heal 10 damage from this Pokémon.""}]",Mini Drain,10,Heal 10 damage from this Pokémon.,Fire:×2,,Colorless,,Yuu Nishida,Its fluffy fur is similar in composition to plants. This Pokémon frequently washes its face to keep it from drying out.,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,svp-2,Fuecoco,Pokémon,Fire,Scarlet & Violet Black Star Promos,2,Promo,https://images.pokemontcg.io/svp/2_hires.png,https://images.pokemontcg.io/svp/2.png,80,,"[{""name"": ""Super Singe"", ""cost"": [""Fire"", ""Fire"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""30"", ""text"": ""Your opponent's Active Pokémon is now Burned.""}]",Super Singe,30,Your opponent's Active Pokémon is now Burned.,Water:×2,,Colorless__Colorless,,Ryuta Fuse,It lies on warm rocks and uses the heat absorbed by its square-shaped scales to create fire energy.,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,svp-3,Quaxly,Pokémon,Water,Scarlet & Violet Black Star Promos,3,Promo,https://images.pokemontcg.io/svp/3_hires.png,https://images.pokemontcg.io/svp/3.png,70,,"[{""name"": ""Water Splash"", ""cost"": [""Water"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20+"", ""text"": ""Flip a coin. If heads, this attack does 20 more damage.""}]",Water Splash,20+,"Flip a coin. If heads, this attack does 20 more damage.",Lightning:×2,,Colorless,,Narumi Sato,This Pokémon migrated to Paldea from distant lands long ago. The gel secreted by its feathers repels water and grime.,,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,svp-4,Mimikyu ex,Pokémon,Psychic,Scarlet & Violet Black Star Promos,4,Promo,https://images.pokemontcg.io/svp/4_hires.png,https://images.pokemontcg.io/svp/4.png,190,,"[{""name"": ""Void Return"", ""cost"": [""Psychic""], ""convertedEnergyCost"": 1, ""damage"": ""30"", ""text"": ""You may switch this Pokémon with 1 of your Benched Pokémon.""}, {""name"": ""Energy Burst"", ""cost"": [""Psychic"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""30×"", ""text"": ""This attack does 30 damage for each Energy attached to both Active Pokémon.""}]",Void Return|Energy Burst,30|30×,You may switch this Pokémon with 1 of your Benched Pokémon.|This attack does 30 damage for each Energy attached to both Active Pokémon.,Metal:×2,,Colorless,,PLANETA Yamashita,,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,svp-5,Quaquaval,Pokémon,Water,Scarlet & Violet Black Star Promos,5,Promo,https://images.pokemontcg.io/svp/5_hires.png,https://images.pokemontcg.io/svp/5.png,170,"[{""name"": ""Energy Carnival"", ""text"": ""Once during your turn, you may attach a Basic Energy card from your hand to 1 of your Pokémon."", ""type"": ""Ability""}]","[{""name"": ""Hydro Kick"", ""cost"": [""Water"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""140"", ""text"": """"}]",Hydro Kick,140,,Lightning:×2,,Colorless__Colorless,Quaxwell,kodama,A single kick from a Quaquaval can send a truck rolling. This Pokémon uses its powerful legs to perform striking dances from far-off lands.,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,svp-6,Pawmot,Pokémon,Lightning,Scarlet & Violet Black Star Promos,6,Promo,https://images.pokemontcg.io/svp/6_hires.png,https://images.pokemontcg.io/svp/6.png,130,"[{""name"": ""Electrogenesis"", ""text"": ""Once during your turn, you may search your deck for a Basic Lightning Energy card and attach it to this Pokémon. Then, shuffle your deck."", ""type"": ""Ability""}]","[{""name"": ""Electro Paws"", ""cost"": [""Lightning"", ""Lightning"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""230"", ""text"": ""Discard all Energy from this Pokémon.""}]",Electro Paws,230,Discard all Energy from this Pokémon.,Fighting:×2,,,Pawmo,GIDORA,Pawmot's fluffy fur acts as a battery. It can store the same amount of electricity as an electric car.,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,svp-7,Hawlucha,Pokémon,Fighting,Scarlet & Violet Black Star Promos,7,Promo,https://images.pokemontcg.io/svp/7_hires.png,https://images.pokemontcg.io/svp/7.png,70,"[{""name"": ""Flying Entry"", ""text"": ""When you play this Pokémon from your hand onto your Bench during your turn, you may choose 2 of your opponent's Benched Pokémon and put 1 damage counter on each of them."", ""type"": ""Ability""}]","[{""name"": ""Wing Attack"", ""cost"": [""Fighting"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""70"", ""text"": """"}]",Wing Attack,70,,Psychic:×2,,Colorless,,Yuya Oka,Its elegant finishing moves—performed by nimbly leaping around using its wings—are polished in the forest where it was born and raised.,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,svp-8,Revavroom,Pokémon,Metal,Scarlet & Violet Black Star Promos,8,Promo,https://images.pokemontcg.io/svp/8_hires.png,https://images.pokemontcg.io/svp/8.png,140,"[{""name"": ""Rumbling Engine"", ""text"": ""You must discard an Energy card from your hand in order to use this Ability. Once during your turn, you may draw cards until you have 6 cards in your hand."", ""type"": ""Ability""}]","[{""name"": ""Knock Away"", ""cost"": [""Metal"", ""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""90+"", ""text"": ""Flip a coin. If heads, this attack does 90 more damage.""}]",Knock Away,90+,"Flip a coin. If heads, this attack does 90 more damage.",Fire:×2,Grass:-30,Colorless__Colorless,Varoom,DOM,It creates a gas out of poison and minerals from rocks. It then detonates the gas in its cylinders— now numbering eight—to generate energy.,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,svp-9,Spidops,Pokémon,Grass,Scarlet & Violet Black Star Promos,9,Promo,https://images.pokemontcg.io/svp/9_hires.png,https://images.pokemontcg.io/svp/9.png,120,,"[{""name"": ""String Truss"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""30"", ""text"": ""Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.""}, {""name"": ""Jet Headbutt"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""100"", ""text"": """"}]",String Truss|Jet Headbutt,30|100,"Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.|",Fire:×2,,Colorless__Colorless,Tarountula,Anesaki Dynamic,It clings to branches and ceilings using its threads and moves without a sound. It takes out its prey before the prey even notices it.,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,svp-10,Espathra,Pokémon,Psychic,Scarlet & Violet Black Star Promos,10,Promo,https://images.pokemontcg.io/svp/10_hires.png,https://images.pokemontcg.io/svp/10.png,110,,"[{""name"": ""Aurora Gain"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""30"", ""text"": ""Heal 30 damage from this Pokémon.""}, {""name"": ""Super Psy Bolt"", ""cost"": [""Psychic"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""60"", ""text"": """"}]",Aurora Gain|Super Psy Bolt,30|60,Heal 30 damage from this Pokémon.|,Darkness:×2,Fighting:-30,,Flittle,Sanosuke Sakuma,"It immobilizes opponents by bathing them in psychic power from its large eyes. Despite its appearance, it has a vicious temperament.",,,,,,,,,,,,,,,,,,,,,,,,,
