Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,sv1-1,Pineco,Pokémon,Grass,Scarlet & Violet,1,Common,https://images.pokemontcg.io/sv1/1_hires.png,https://images.pokemontcg.io/sv1/1.png,60,,"[{""cost"": [""Colorless"", ""Colorless""], ""name"": ""Guard Press"", ""damage"": ""10"", ""text"": ""During your opponent's next turn, this Pokémon takes 30 less damage from attacks (after applying Weakness and Resistance)."", ""convertedEnergyCost"": 2}]",Guard Press,10,"During your opponent's next turn, this Pokémon takes 30 less damage from attacks (after applying Weakness and Resistance).",Fire:×2,,Colorless__Colorless,,Shigenori Negishi,It spits out a fluid that it uses to glue tree bark to its body. The fluid hardens when it touches air.,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,sv1-2,Heracross,Pokémon,Grass,Scarlet & Violet,2,Uncommon,https://images.pokemontcg.io/sv1/2_hires.png,https://images.pokemontcg.io/sv1/2.png,120,,"[{""cost"": [""Grass"", ""Colorless""], ""name"": ""Superpowered Throw"", ""damage"": ""10+"", ""text"": ""This attack does 30 more damage for each Colorless in your opponent's Active Pokémon's Retreat Cost."", ""convertedEnergyCost"": 2}, {""cost"": [""Grass"", ""Grass"", ""Colorless""], ""name"": ""Horn Attack"", ""damage"": ""90"", ""text"": """", ""convertedEnergyCost"": 3}]",Superpowered Throw|Horn Attack,10+|90,This attack does 30 more damage for each Colorless in your opponent's Active Pokémon's Retreat Cost.|,Fire:×2,,Colorless__Colorless,,Taira Akitsu,"With its herculean powers, it can easily throw around an object that is 100 times its own weight.",,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,sv1-3,Shroomish,Pokémon,Grass,Scarlet & Violet,3,Common,https://images.pokemontcg.io/sv1/3_hires.png,https://images.pokemontcg.io/sv1/3.png,60,,"[{""cost"": [""Grass""], ""name"": ""Absorb"", ""damage"": ""10"", ""text"": ""Heal 10 damage from this Pokémon."", ""convertedEnergyCost"": 1}]",Absorb,10,Heal 10 damage from this Pokémon.,Fire:×2,,Colorless,,kurumitsu,It prefers damp places. By day it remains still in the forest shade. It releases toxic powder from its head.,,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,sv1-4,Breloom,Pokémon,Grass,Scarlet & Violet,4,Uncommon,https://images.pokemontcg.io/sv1/4_hires.png,https://images.pokemontcg.io/sv1/4.png,110,,"[{""cost"": [""Grass""], ""name"": ""Mach Cross"", ""damage"": ""60"", ""text"": """", ""convertedEnergyCost"": 1}]",Mach Cross,60,,Fire:×2,,Colorless,Shroomish,Ryuta Fuse,It scatters poisonous spores and throws powerful punches while its foe is hampered by inhaled spores.,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,sv1-5,Cacnea,Pokémon,Grass,Scarlet & Violet,5,Common,https://images.pokemontcg.io/sv1/5_hires.png,https://images.pokemontcg.io/sv1/5.png,60,"[{""type"": ""Ability"", ""name"": ""Counterattack Quills"", ""text"": ""If this Pokémon is in the Active Spot and is damaged by an attack from your opponent's Pokémon (even if this Pokémon is Knocked Out), put 3 damage counters on the Attacking Pokémon.""}]","[{""cost"": [""Colorless"", ""Colorless""], ""name"": ""Light Punch"", ""damage"": ""30"", ""text"": """", ""convertedEnergyCost"": 2}]",Light Punch,30,,Fire:×2,,Colorless,,Tika Matsuno,"It prefers harsh environments, such as deserts. It can survive for 30 days on water stored in its body.",,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,sv1-6,Cacturne,Pokémon,Grass,Scarlet & Violet,6,Uncommon,https://images.pokemontcg.io/sv1/6_hires.png,https://images.pokemontcg.io/sv1/6.png,130,"[{""type"": ""Ability"", ""name"": ""Counterattack Quills"", ""text"": ""If this Pokémon is in the Active Spot and is damaged by an attack from your opponent's Pokémon (even if this Pokémon is Knocked Out), put 3 damage counters on the Attacking Pokémon.""}]","[{""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""name"": ""Spike Shot"", ""damage"": ""110"", ""text"": """", ""convertedEnergyCost"": 3}]",Spike Shot,110,,Fire:×2,,Colorless__Colorless,Cacnea,DOM,Packs of them follow travelers through the desert until the travelers can no longer move.,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,sv1-7,Tropius,Pokémon,Grass,Scarlet & Violet,7,Common,https://images.pokemontcg.io/sv1/7_hires.png,https://images.pokemontcg.io/sv1/7.png,100,,"[{""cost"": [""Grass""], ""name"": ""Fresh-Picked Fruit"", ""damage"": """", ""text"": ""Heal 60 damage from 1 of your Benched Pokémon."", ""convertedEnergyCost"": 1}, {""cost"": [""Grass"", ""Colorless""], ""name"": ""Razor Leaf"", ""damage"": ""50"", ""text"": """", ""convertedEnergyCost"": 2}]",Fresh-Picked Fruit|Razor Leaf,|50,Heal 60 damage from 1 of your Benched Pokémon.|,Fire:×2,,Colorless,,aoki,It lives in tropical jungles. The bunch of fruit around its neck is delicious. The fruit grows twice a year.,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,sv1-8,Scatterbug,Pokémon,Grass,Scarlet & Violet,8,Common,https://images.pokemontcg.io/sv1/8_hires.png,https://images.pokemontcg.io/sv1/8.png,30,"[{""type"": ""Ability"", ""name"": ""Adaptive Evolution"", ""text"": ""This Pokémon can evolve during your first turn or the turn you play it.""}]","[{""cost"": [""Grass"", ""Colorless""], ""name"": ""Tackle"", ""damage"": ""20"", ""text"": """", ""convertedEnergyCost"": 2}]",Tackle,20,,Fire:×2,,Colorless,,sowsow,This Pokémon scatters poisonous powder to repel enemies. It will eat different plants depending on where it lives.,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,sv1-9,Spewpa,Pokémon,Grass,Scarlet & Violet,9,Common,https://images.pokemontcg.io/sv1/9_hires.png,https://images.pokemontcg.io/sv1/9.png,70,"[{""type"": ""Ability"", ""name"": ""Adaptive Evolution"", ""text"": ""This Pokémon can evolve during your first turn or the turn you play it.""}]","[{""cost"": [""Grass"", ""Colorless""], ""name"": ""Bug Bite"", ""damage"": ""30"", ""text"": """", ""convertedEnergyCost"": 2}]",Bug Bite,30,,Fire:×2,,Colorless__Colorless__Colorless,Scatterbug,Kagemaru Himeno,"Spewpa doesn't live in a fixed location. It roams where it pleases across the fields and mountains, building up the energy it needs to evolve.",,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,sv1-10,Vivillon,Pokémon,Grass,Scarlet & Violet,10,Uncommon,https://images.pokemontcg.io/sv1/10_hires.png,https://images.pokemontcg.io/sv1/10.png,120,,"[{""cost"": [""Grass""], ""name"": ""Miracle Powder"", ""damage"": ""50"", ""text"": ""Flip a coin. If heads, choose a Special Condition. Your opponent's Active Pokémon is now affected by that Special Condition."", ""convertedEnergyCost"": 1}, {""cost"": [""Grass"", ""Colorless""], ""name"": ""Bug Buzz"", ""damage"": ""110"", ""text"": """", ""convertedEnergyCost"": 2}]",Miracle Powder|Bug Buzz,50|110,"Flip a coin. If heads, choose a Special Condition. Your opponent's Active Pokémon is now affected by that Special Condition.|",Fire:×2,,Colorless,Spewpa,Atsuko Nishida,"This Pokémon was born in a land where flowers bloom. It scatters colorful, toxic scales from its wings during battle.",,,,,,,,,,,,,,,,,,,,,,,,,
