Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,dp3-1,Ampharos,Pokémon,Lightning,Secret Wonders,1,Rare Holo,https://images.pokemontcg.io/dp3/1_hires.png,https://images.pokemontcg.io/dp3/1.png,130,"[{""name"": ""Jamming"", ""text"": ""After your opponent plays a Supporter card from his or her hand, put 1 damage counter on each of your opponent's Pokémon. You can't use more than 1 Jamming Poké-Body each turn."", ""type"": ""Poké-Body""}]","[{""name"": ""Cluster Bolt"", ""cost"": [""Lightning"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""70"", ""text"": ""You may discard all Lightning Energy attached to Ampharos. If you do, this attack does 20 damage to each of your opponent's Benched Pokémon that has any Energy cards attached to it. (Don't apply Weakness and Resistance for Benched Pokémon.)""}]",Cluster Bolt,70,"You may discard all Lightning Energy attached to Ampharos. If you do, this attack does 20 damage to each of your opponent's Benched Pokémon that has any Energy cards attached to it. (Don't apply Weakness and Resistance for Benched Pokémon.)",Fighting:+30,Metal:-20,Colorless__Colorless__Colorless,Flaaffy,Kouki Saitou,"The tip of its tail shines brightly. In the olden days, people sent signals using the tail's light.",,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,dp3-2,Blastoise,Pokémon,Water,Secret Wonders,2,Rare Holo,https://images.pokemontcg.io/dp3/2_hires.png,https://images.pokemontcg.io/dp3/2.png,120,"[{""name"": ""Waterlog"", ""text"": ""Once during your turn (before your attack), you may attach as many basic Water Energy cards from your hand to any of your Pokémon in any way you like. If you do, your turn ends. This power can't be used if Blastoise is affected by a Special Condition."", ""type"": ""Poké-Power""}]","[{""name"": ""Hydro Pump"", ""cost"": [""Water"", ""Water"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""50+"", ""text"": ""Does 50 damage plus 20 more damage for each Water Energy attached to Blastoise but not used to pay for this attack's Energy cost. You can't add more than 40 damage in this way.""}]",Hydro Pump,50+,Does 50 damage plus 20 more damage for each Water Energy attached to Blastoise but not used to pay for this attack's Energy cost. You can't add more than 40 damage in this way.,Lightning:+30,,Colorless__Colorless,Wartortle,Daisuke Ito,The jets of water it spouts from the rocket cannons on its shell can punch through thick steel.,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,dp3-3,Charizard,Pokémon,Fire,Secret Wonders,3,Rare Holo,https://images.pokemontcg.io/dp3/3_hires.png,https://images.pokemontcg.io/dp3/3.png,130,"[{""name"": ""Fury Blaze"", ""text"": ""If your opponent has 3 or less Prize cards left, each of Charizard's attacks does 50 more damage to the Active Pokémon (before applying Weakness and Resistance)."", ""type"": ""Poké-Body""}]","[{""name"": ""Blast Burn"", ""cost"": [""Fire"", ""Fire"", ""Fire"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""120"", ""text"": ""Flip a coin. If heads, discard 2 Energy cards attached to Charizard. If tails, discard 4 Energy cards attached to Charizard. (If you can't, this attack does nothing.)""}]",Blast Burn,120,"Flip a coin. If heads, discard 2 Energy cards attached to Charizard. If tails, discard 4 Energy cards attached to Charizard. (If you can't, this attack does nothing.)",Water:+40,Fighting:-20,Colorless__Colorless__Colorless,Charmeleon,Daisuke Ito,It is said that CHARIZARD's fire burns hotter if it has experienced harsh battles.,,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,dp3-4,Entei,Pokémon,Fire,Secret Wonders,4,Rare Holo,https://images.pokemontcg.io/dp3/4_hires.png,https://images.pokemontcg.io/dp3/4.png,80,"[{""name"": ""Burning Coat"", ""text"": ""Whenever 1 of your opponent's Pokémon is Knocked Out by damage from Entei's attacks, discard the top 3 cards from your opponent's deck."", ""type"": ""Poké-Body""}]","[{""name"": ""Blaze Roar"", ""cost"": [""Fire"", ""Fire"", ""Fire""], ""convertedEnergyCost"": 3, ""damage"": ""60"", ""text"": ""Does 20 damage to 1 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.) Flip a coin. If tails, discard 2 Fire Energy attached to Entei.""}]",Blaze Roar,60,"Does 20 damage to 1 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.) Flip a coin. If tails, discard 2 Fire Energy attached to Entei.",Water:+20,,Colorless__Colorless,,Ryo Ueda,"It is said that when it roars, a volcano erupts somewhere around the globe.",,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,dp3-5,Flygon,Pokémon,Fighting,Secret Wonders,5,Rare Holo,https://images.pokemontcg.io/dp3/5_hires.png,https://images.pokemontcg.io/dp3/5.png,120,"[{""name"": ""Irritating Buzz"", ""text"": ""As long as Flygon is your Active Pokémon, put 1 damage counter on each of your opponent's Active Pokémon between turns, excluding Fighting Pokémon."", ""type"": ""Poké-Body""}]","[{""name"": ""Sand Sonic"", ""cost"": [""Fighting"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""60+"", ""text"": ""If you attach a Fighting Energy card from your hand to Flygon during this turn, this attack does 60 damage plus 20 more damage.""}]",Sand Sonic,60+,"If you attach a Fighting Energy card from your hand to Flygon during this turn, this attack does 60 damage plus 20 more damage.",Water:+30,Lightning:-20,Colorless,Vibrava,Daisuke Ito,"It whips up sandstorms with powerful flaps of its wings. It is known as ""The Desert Spirit.""",,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,dp3-6,Gallade,Pokémon,Fighting,Secret Wonders,6,Rare Holo,https://images.pokemontcg.io/dp3/6_hires.png,https://images.pokemontcg.io/dp3/6.png,130,,"[{""name"": ""Sonic Blade"", ""cost"": [""Fighting"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": """", ""text"": ""Put damage counters on the Defending Pokémon until it is 50 HP away from being Knocked Out. If you do, your opponent switches the Defending Pokémon with 1 of his or her Benched Pokémon.""}, {""name"": ""Psychic Cut"", ""cost"": [""Psychic"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""60+"", ""text"": ""You may choose as many of your face-down Prize cards as you like and put them face up. If you do, this attack does 60 damage plus 20 more damage for each Prize card you chose. (These cards remain face up for the rest of the game.)""}]",Sonic Blade|Psychic Cut,|60+,"Put damage counters on the Defending Pokémon until it is 50 HP away from being Knocked Out. If you do, your opponent switches the Defending Pokémon with 1 of his or her Benched Pokémon.|You may choose as many of your face-down Prize cards as you like and put them face up. If you do, this attack does 60 damage plus 20 more damage for each Prize card you chose. (These cards remain face up for the rest of the game.)",Psychic:+30,,Colorless__Colorless,Kirlia,Daisuke Ito,"A master of courtesy and swordsmanship, it fights using extending swords on its elbows.",,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,dp3-7,Gardevoir,Pokémon,Psychic,Secret Wonders,7,Rare Holo,https://images.pokemontcg.io/dp3/7_hires.png,https://images.pokemontcg.io/dp3/7.png,110,"[{""name"": ""Telepass"", ""text"": ""Once during your turn (before your attack), you may search your opponent's discard pile for a Supporter card and use the effect of that card as the effect of this power. (The Supporter card remains in your opponent's discard pile.) You can't use more than 1 Telepass Poké-Power each turn. This power can't be used if Gardevoir is affected by a Special Condition."", ""type"": ""Poké-Power""}]","[{""name"": ""Psychic Lock"", ""cost"": [""Psychic"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""60"", ""text"": ""During your opponent's next turn, your opponent can't use any Poké-Powers on his or her Pokémon.""}]",Psychic Lock,60,"During your opponent's next turn, your opponent can't use any Poké-Powers on his or her Pokémon.",Psychic:+30,,Colorless__Colorless,Kirlia,Atsuko Nishida,It will try to guard its trusted Trainer with its life. It has the ability to see the future.,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,dp3-8,Gastrodon East Sea,Pokémon,Water,Secret Wonders,8,Rare Holo,https://images.pokemontcg.io/dp3/8_hires.png,https://images.pokemontcg.io/dp3/8.png,100,"[{""name"": ""Osmotic Pressure"", ""text"": ""Once during your turn (before your attack), if you have Gastrodon West Sea in play, you may move up to 3 damage counters from Gastrodon East Sea to 1 of your Gastrodon West Sea."", ""type"": ""Poké-Power""}]","[{""name"": ""Dwindling Wave"", ""cost"": [""Water"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""80-"", ""text"": ""Does 80 damage minus 10 damage for each damage counter on Gastrodon East Sea.""}]",Dwindling Wave,80-,Does 80 damage minus 10 damage for each damage counter on Gastrodon East Sea.,Grass:+30,Lightning:-20,Colorless__Colorless__Colorless__Colorless,Shellos East Sea,Kazuyuki Kano,"It has a pliable body without any bones. If any part of its body is torn off, it grows right back.",,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,dp3-9,Gastrodon West Sea,Pokémon,Fighting,Secret Wonders,9,Rare Holo,https://images.pokemontcg.io/dp3/9_hires.png,https://images.pokemontcg.io/dp3/9.png,100,,"[{""name"": ""Raging Flood"", ""cost"": [""Fighting"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20+"", ""text"": ""Does 20 damage plus 10 more damage for each damage counter on Gastrodon West Sea. Then, remove 2 damage counters from Gastrodon West Sea.""}, {""name"": ""Wild Waves"", ""cost"": [""Fighting"", ""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""80"", ""text"": ""Put 1 damage counter on each Benched Pokémon (both yours and your opponent's).""}]",Raging Flood|Wild Waves,20+|80,"Does 20 damage plus 10 more damage for each damage counter on Gastrodon West Sea. Then, remove 2 damage counters from Gastrodon West Sea.|Put 1 damage counter on each Benched Pokémon (both yours and your opponent's).",Grass:+30,Lightning:-20,Colorless__Colorless__Colorless__Colorless,Shellos West Sea,Kazuyuki Kano,"It has a pliable body without any bones. If any part of its body is torn off, it grows right back.",,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,dp3-10,Ho-Oh,Pokémon,Fire,Secret Wonders,10,Rare Holo,https://images.pokemontcg.io/dp3/10_hires.png,https://images.pokemontcg.io/dp3/10.png,90,"[{""name"": ""Phoenix Turn"", ""text"": ""Once during your opponent's turn, if Ho-Oh would be Knocked Out by damage from an attack, you may flip a coin. If heads, Ho-Oh isn't discarded. Instead, remove all damage counters, Special Conditions, and other effects from Ho-Oh. Then, discard all cards attached to Ho-Oh (except for Energy cards). This counts as Ho-Oh being Knocked Out and your opponent takes a Prize card."", ""type"": ""Poké-Power""}]","[{""name"": ""Rainbow Wing"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""20×"", ""text"": ""This attack does 20 damage times the number of different types of basic Energy cards attached to Ho-Oh.""}]",Rainbow Wing,20×,This attack does 20 damage times the number of different types of basic Energy cards attached to Ho-Oh.,Water:×2,Fighting:-20,Colorless__Colorless,,Kazuyuki Kano,Its feathers are in seven colors. It is said that anyone seeing it is promised eternal happiness.,,,,,,,,,,,,,,,,,,,,,,,,,
