Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,swsh45sv-SV001,Rowlet,Pokémon,Grass,Shining Fates Shiny Vault,SV001,Rare Shiny,https://images.pokemontcg.io/swsh45sv/SV001_hires.png,https://images.pokemontcg.io/swsh45sv/SV001.png,50,"[{""name"": ""Sky Circus"", ""text"": ""If you played Bird Keeper from your hand during this turn, ignore all Energy in this Pokémon's attack costs."", ""type"": ""Ability""}]","[{""name"": ""Wind Shard"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": """", ""text"": ""This attack does 60 damage to 1 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}]",Wind Shard,,This attack does 60 damage to 1 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.),Fire:×2,,Colorless,,Akira Komayama,"At a distance, it launches its sharp feathers while flying about. If the enemy gets too close, Rowlet switches tactics and delivers vicious kicks.",,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,swsh45sv-SV002,Dartrix,Pokémon,Grass,Shining Fates Shiny Vault,SV002,Rare Shiny,https://images.pokemontcg.io/swsh45sv/SV002_hires.png,https://images.pokemontcg.io/swsh45sv/SV002.png,80,,"[{""name"": ""Razor Leaf"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""40"", ""text"": """"}]",Razor Leaf,40,,Fire:×2,,Colorless,Rowlet,Masakazu Fukuda,"It throws one knifelike feather after another at its enemies, and each one precisely strikes a weak point. These feathers are known as blade quills.",,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,swsh45sv-SV003,Decidueye,Pokémon,Grass,Shining Fates Shiny Vault,SV003,Rare Shiny,https://images.pokemontcg.io/swsh45sv/SV003_hires.png,https://images.pokemontcg.io/swsh45sv/SV003.png,140,"[{""name"": ""Deep Forest Camo"", ""text"": ""Prevent all damage done to this Pokémon by attacks from your opponent's Pokémon V and Pokémon-GX."", ""type"": ""Ability""}]","[{""name"": ""Splitting Arrow"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""90"", ""text"": ""This attack also does 20 damage to 2 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}]",Splitting Arrow,90,This attack also does 20 damage to 2 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.),Fire:×2,,Colorless__Colorless,Dartrix,nagimiso,"As if wielding a bow, it launches the arrow quills hidden among the feathers of its wings. Decidueye's shots never miss.",,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,swsh45sv-SV004,Grookey,Pokémon,Grass,Shining Fates Shiny Vault,SV004,Rare Shiny,https://images.pokemontcg.io/swsh45sv/SV004_hires.png,https://images.pokemontcg.io/swsh45sv/SV004.png,60,,"[{""name"": ""Fury Swipes"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10×"", ""text"": ""Flip 3 coins. This attack does 10 damage for each heads.""}]",Fury Swipes,10×,Flip 3 coins. This attack does 10 damage for each heads.,Fire:×2,,Colorless,,Sanosuke Sakuma,"When it uses its special stick to strike up a beat, the sound waves produced carry revitalizing energy to the plants and flowers in the area.",,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,swsh45sv-SV005,Thwackey,Pokémon,Grass,Shining Fates Shiny Vault,SV005,Rare Shiny,https://images.pokemontcg.io/swsh45sv/SV005_hires.png,https://images.pokemontcg.io/swsh45sv/SV005.png,90,"[{""name"": ""Lay of the Land"", ""text"": ""If you have a Stadium in play, this Pokémon has no Retreat Cost."", ""type"": ""Ability""}]","[{""name"": ""Branch Poke"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": """"}]",Branch Poke,20,,Fire:×2,,Colorless__Colorless,Grookey,tetsuya koizumi,"The faster a Thwackey can beat out a rhythm with its two sticks, the more respect it wins from its peers.",,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,swsh45sv-SV006,Rillaboom,Pokémon,Grass,Shining Fates Shiny Vault,SV006,Rare Shiny,https://images.pokemontcg.io/swsh45sv/SV006_hires.png,https://images.pokemontcg.io/swsh45sv/SV006.png,170,"[{""name"": ""Voltage Beat"", ""text"": ""Once during your turn, you may search your deck for up to 2 Grass Energy cards and attach them to 1 of your Pokémon. Then, shuffle your deck."", ""type"": ""Ability""}]","[{""name"": ""Hammer In"", ""cost"": [""Grass"", ""Grass"", ""Grass"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""140"", ""text"": """"}]",Hammer In,140,,Fire:×2,,Colorless__Colorless__Colorless,Thwackey,Ryuta Fuse,"By drumming, it taps into the power of its special tree stump. The roots of the stump follow its direction in battle.",,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,swsh45sv-SV007,Blipbug,Pokémon,Grass,Shining Fates Shiny Vault,SV007,Rare Shiny,https://images.pokemontcg.io/swsh45sv/SV007_hires.png,https://images.pokemontcg.io/swsh45sv/SV007.png,50,,"[{""name"": ""Gnaw"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": """"}]",Gnaw,20,,Fire:×2,,Colorless,,Kyoko Umemoto,"Often found in gardens, this Pokémon has hairs on its body that it uses to assess its surroundings.",,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,swsh45sv-SV008,Dottler,Pokémon,Grass,Shining Fates Shiny Vault,SV008,Rare Shiny,https://images.pokemontcg.io/swsh45sv/SV008_hires.png,https://images.pokemontcg.io/swsh45sv/SV008.png,70,,"[{""name"": ""Reflect"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""During your opponent's next turn, this Pokémon takes 40 less damage from attacks (after applying Weakness and Resistance).""}, {""name"": ""Ram"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": """"}]",Reflect|Ram,|30,"During your opponent's next turn, this Pokémon takes 40 less damage from attacks (after applying Weakness and Resistance).|",Fire:×2,,Colorless__Colorless,Blipbug,tetsuya koizumi,"As it grows inside its shell, it uses its psychic abilities to monitor the outside world and prepare for evolution.",,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,swsh45sv-SV009,Orbeetle,Pokémon,Grass,Shining Fates Shiny Vault,SV009,Rare Shiny,https://images.pokemontcg.io/swsh45sv/SV009_hires.png,https://images.pokemontcg.io/swsh45sv/SV009.png,130,"[{""name"": ""Bug's Radar"", ""text"": ""Once during your turn, you may look at the top 3 cards of your opponent's deck and put them back in any order."", ""type"": ""Ability""}]","[{""name"": ""Brainwave"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""90+"", ""text"": ""This attack does 30 more damage for each Psychic Energy attached to this Pokémon.""}]",Brainwave,90+,This attack does 30 more damage for each Psychic Energy attached to this Pokémon.,Fire:×2,,Colorless,Dottler,SATOSHI NAKAI,It emits psychic energy to observe and study what's around it—and what's around it can include things over six miles away.,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,swsh45sv-SV010,Gossifleur,Pokémon,Grass,Shining Fates Shiny Vault,SV010,Rare Shiny,https://images.pokemontcg.io/swsh45sv/SV010_hires.png,https://images.pokemontcg.io/swsh45sv/SV010.png,50,,"[{""name"": ""Call for Family"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Search your deck for up to 3 Basic Pokémon and put them onto your Bench. Then, shuffle your deck.""}, {""name"": ""Razor Leaf"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}]",Call for Family|Razor Leaf,|10,"Search your deck for up to 3 Basic Pokémon and put them onto your Bench. Then, shuffle your deck.|",Fire:×2,,Colorless,,Kyoko Umemoto,It whirls around in the wind while singing a joyous song. This delightful display has charmed many into raising this Pokémon.,,,,,,,,,,,,,,,,,,,,,,,,,
