Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,swsh45-1,Yanma,Pokémon,Grass,Shining Fates,1,Common,https://images.pokemontcg.io/swsh45/1_hires.png,https://images.pokemontcg.io/swsh45/1.png,80,,"[{""name"": ""Tackle"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}, {""name"": ""Wing Attack"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": """"}]",Tackle|Wing Attack,10|30,|,Fire:×2,,Colorless,,Kouki Saitou,"If it flaps its wings really fast, it can generate shock waves that will shatter windows in the area.",,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,swsh45-2,Yanmega,Pokémon,Grass,Shining Fates,2,Rare,https://images.pokemontcg.io/swsh45/2_hires.png,https://images.pokemontcg.io/swsh45/2.png,120,,"[{""name"": ""Bug Bite"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""30"", ""text"": """"}, {""name"": ""Nosedive"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""120"", ""text"": ""This Pokémon also does 30 damage to itself.""}]",Bug Bite|Nosedive,30|120,|This Pokémon also does 30 damage to itself.,Fire:×2,,,Yanma,Souichirou Gunjima,This six-legged Pokémon is easily capable of transporting an adult in flight. The wings on its tail help it stay balanced.,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,swsh45-3,Celebi,Pokémon,Grass,Shining Fates,3,Rare,https://images.pokemontcg.io/swsh45/3_hires.png,https://images.pokemontcg.io/swsh45/3.png,70,"[{""name"": ""Woodland Stroll"", ""text"": ""Once during your turn, if this Pokémon is in the Active Spot, you may look at the top 6 cards of your deck, reveal an Energy card you find there, and put it into your hand. Shuffle the other cards back into your deck."", ""type"": ""Ability""}]","[{""name"": ""Leaf Step"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""40"", ""text"": """"}]",Leaf Step,40,,Fire:×2,,Colorless,,Yuu Nishida,"It has the power to travel across time, but it is said to appear only in peaceful times.",,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,swsh45-4,Cacnea,Pokémon,Grass,Shining Fates,4,Common,https://images.pokemontcg.io/swsh45/4_hires.png,https://images.pokemontcg.io/swsh45/4.png,70,,"[{""name"": ""Pierce"", ""cost"": [""Grass"", ""Grass""], ""convertedEnergyCost"": 2, ""damage"": ""50"", ""text"": """"}]",Pierce,50,,Fire:×2,,Colorless__Colorless,,Uta,It prefers harsh environments such as deserts. It can survive for 30 days on water stored in its body.,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,swsh45-5,Tropius,Pokémon,Grass,Shining Fates,5,Uncommon,https://images.pokemontcg.io/swsh45/5_hires.png,https://images.pokemontcg.io/swsh45/5.png,110,,"[{""name"": ""Attach Leaves"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Attach up to 2 Grass Energy cards from your discard pile to your Benched Pokémon in any way you like.""}, {""name"": ""Gust"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": """"}]",Attach Leaves|Gust,|30,Attach up to 2 Grass Energy cards from your discard pile to your Benched Pokémon in any way you like.|,Fire:×2,,Colorless,,Akira Komayama,"Bunches of delicious fruit grow around its neck. In warm areas, many ranches raise Tropius.",,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,swsh45-6,Rowlet,Pokémon,Grass,Shining Fates,6,Common,https://images.pokemontcg.io/swsh45/6_hires.png,https://images.pokemontcg.io/swsh45/6.png,50,"[{""name"": ""Sky Circus"", ""text"": ""If you played Bird Keeper from your hand during this turn, ignore all Energy in this Pokémon's attack costs."", ""type"": ""Ability""}]","[{""name"": ""Wind Shard"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": """", ""text"": ""This attack does 60 damage to 1 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}]",Wind Shard,,This attack does 60 damage to 1 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.),Fire:×2,,Colorless,,HYOGONOSUKE,"At a distance, it launches its sharp feathers while flying about. If the enemy gets too close, Rowlet switches tactics and delivers vicious kicks.",,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,swsh45-7,Dartrix,Pokémon,Grass,Shining Fates,7,Uncommon,https://images.pokemontcg.io/swsh45/7_hires.png,https://images.pokemontcg.io/swsh45/7.png,80,,"[{""name"": ""Razor Leaf"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""40"", ""text"": """"}]",Razor Leaf,40,,Fire:×2,,Colorless,Rowlet,AKIRA EGAWA,"It throws one knifelike feather after another at its enemies, and each one precisely strikes a weak point. These feathers are known as blade quills.",,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,swsh45-8,Decidueye,Pokémon,Grass,Shining Fates,8,Rare Holo,https://images.pokemontcg.io/swsh45/8_hires.png,https://images.pokemontcg.io/swsh45/8.png,140,"[{""name"": ""Deep Forest Camo"", ""text"": ""Prevent all damage done to this Pokémon by attacks from your opponent's Pokémon V and Pokémon-GX."", ""type"": ""Ability""}]","[{""name"": ""Splitting Arrow"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""90"", ""text"": ""This attack also does 20 damage to 2 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}]",Splitting Arrow,90,This attack also does 20 damage to 2 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.),Fire:×2,,Colorless__Colorless,Dartrix,Ryota Murayama,"As if wielding a bow, it launches the arrow quills hidden among the feathers of its wings. Decidueye's shots never miss.",,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,swsh45-9,Dhelmise V,Pokémon,Grass,Shining Fates,9,Rare Holo V,https://images.pokemontcg.io/swsh45/9_hires.png,https://images.pokemontcg.io/swsh45/9.png,220,,"[{""name"": ""Anchor Anger"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""30+"", ""text"": ""If any of your Grass Pokémon were Knocked Out by damage from an opponent's attack during their last turn, this attack does 90 more damage.""}, {""name"": ""Giga Hammer"", ""cost"": [""Grass"", ""Grass"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""200"", ""text"": ""During your next turn, this Pokémon can't use Giga Hammer.""}]",Anchor Anger|Giga Hammer,30+|200,"If any of your Grass Pokémon were Knocked Out by damage from an opponent's attack during their last turn, this attack does 90 more damage.|During your next turn, this Pokémon can't use Giga Hammer.",Fire:×2,,Colorless__Colorless,,Eske Yoshinob,,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,swsh45-10,Dhelmise VMAX,Pokémon,Grass,Shining Fates,10,Rare Holo VMAX,https://images.pokemontcg.io/swsh45/10_hires.png,https://images.pokemontcg.io/swsh45/10.png,330,,"[{""name"": ""Swinging Chain"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""This attack does 30 damage to 1 of your opponent's Pokémon for each Grass Energy attached to this Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}, {""name"": ""Max Anchor"", ""cost"": [""Grass"", ""Grass"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""240"", ""text"": ""During your next turn, this Pokémon can't use Max Anchor.""}]",Swinging Chain|Max Anchor,|240,"This attack does 30 damage to 1 of your opponent's Pokémon for each Grass Energy attached to this Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)|During your next turn, this Pokémon can't use Max Anchor.",Fire:×2,,Colorless__Colorless__Colorless,Dhelmise V,PLANETA Mochizuki,,,,,,,,,,,,,,,,,,,,,,,,,,
010.jpg,swsh45-11,Grookey,Pokémon,Grass,Shining Fates,11,Common,https://images.pokemontcg.io/swsh45/11_hires.png,https://images.pokemontcg.io/swsh45/11.png,60,,"[{""name"": ""Fury Swipes"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10×"", ""text"": ""Flip 3 coins. This attack does 10 damage for each heads.""}]",Fury Swipes,10×,Flip 3 coins. This attack does 10 damage for each heads.,Fire:×2,,Colorless,,Naoki Saito,"When it uses its special stick to strike up a beat, the sound waves produced carry revitalizing energy to the plants and flowers in the area.",,,,,,,,,,,,,,,,,,,,,,,,,
011.jpg,swsh45-12,Thwackey,Pokémon,Grass,Shining Fates,12,Uncommon,https://images.pokemontcg.io/swsh45/12_hires.png,https://images.pokemontcg.io/swsh45/12.png,90,"[{""name"": ""Lay of the Land"", ""text"": ""If you have a Stadium in play, this Pokémon has no Retreat Cost."", ""type"": ""Ability""}]","[{""name"": ""Branch Poke"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": """"}]",Branch Poke,20,,Fire:×2,,Colorless__Colorless,Grookey,0313,"The faster a Thwackey can beat out a rhythm with its two sticks, the more respect it wins from its peers.",,,,,,,,,,,,,,,,,,,,,,,,,
012.jpg,swsh45-13,Rillaboom,Pokémon,Grass,Shining Fates,13,Rare Holo,https://images.pokemontcg.io/swsh45/13_hires.png,https://images.pokemontcg.io/swsh45/13.png,170,"[{""name"": ""Voltage Beat"", ""text"": ""Once during your turn, you may search your deck for up to 2 Grass Energy cards and attach them to 1 of your Pokémon. Then, shuffle your deck."", ""type"": ""Ability""}]","[{""name"": ""Hammer In"", ""cost"": [""Grass"", ""Grass"", ""Grass"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""140"", ""text"": """"}]",Hammer In,140,,Fire:×2,,Colorless__Colorless__Colorless,Thwackey,Anesaki Dynamic,"By drumming, it taps into the power of its special tree stump. The roots of the stump follow its direction in battle.",,,,,,,,,,,,,,,,,,,,,,,,,
013.jpg,swsh45-14,Gossifleur,Pokémon,Grass,Shining Fates,14,Common,https://images.pokemontcg.io/swsh45/14_hires.png,https://images.pokemontcg.io/swsh45/14.png,60,,"[{""name"": ""Leafage"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}]",Leafage,10,,Fire:×2,,Colorless,,Yukiko Baba,It whirls around in the wind while singing a joyous song. This delightful display has charmed many into raising this Pokémon.,,,,,,,,,,,,,,,,,,,,,,,,,
014.jpg,swsh45-15,Eldegoss,Pokémon,Grass,Shining Fates,15,Uncommon,https://images.pokemontcg.io/swsh45/15_hires.png,https://images.pokemontcg.io/swsh45/15.png,90,,"[{""name"": ""Enriching Seeds"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Heal all damage from 1 of your Benched Pokémon.""}, {""name"": ""Surprise Attack"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""50"", ""text"": ""Flip a coin. If tails, this attack does nothing.""}]",Enriching Seeds|Surprise Attack,|50,"Heal all damage from 1 of your Benched Pokémon.|Flip a coin. If tails, this attack does nothing.",Fire:×2,,Colorless,Gossifleur,kodama,"The cotton on the head of this Pokémon can be spun into a glossy, gorgeous yarn—a Galar regional specialty.",,,,,,,,,,,,,,,,,,,,,,,,,
015.jpg,swsh45-16,Zarude,Pokémon,Grass,Shining Fates,16,Rare,https://images.pokemontcg.io/swsh45/16_hires.png,https://images.pokemontcg.io/swsh45/16.png,120,,"[{""name"": ""Suctioning Vines"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": ""Heal 30 damage from this Pokémon.""}, {""name"": ""Jungle Blast"", ""cost"": [""Grass"", ""Grass"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""110"", ""text"": """"}]",Suctioning Vines|Jungle Blast,30|110,Heal 30 damage from this Pokémon.|,Fire:×2,,Colorless__Colorless,,Kouki Saitou,"Once the vines on Zarude's body tear off, they become nutrients in the soil. This helps the plants of the forest grow.",,,,,,,,,,,,,,,,,,,,,,,,,
016.jpg,swsh45-17,Reshiram,Pokémon,Fire,Shining Fates,17,Amazing Rare,https://images.pokemontcg.io/swsh45/17_hires.png,https://images.pokemontcg.io/swsh45/17.png,120,,"[{""name"": ""Amazing Blaze"", ""cost"": [""Fire"", ""Lightning"", ""Darkness""], ""convertedEnergyCost"": 3, ""damage"": ""270"", ""text"": ""This Pokémon also does 60 damage to itself.""}]",Amazing Blaze,270,This Pokémon also does 60 damage to itself.,Water:×2,,Colorless__Colorless__Colorless,,PLANETA Tsuji,"When Reshiram's tail flares, the heat energy moves the atmosphere and changes the world's weather.",,,,,,,,,,,,,,,,,,,,,,,,,
017.jpg,swsh45-18,Cinderace V,Pokémon,Fire,Shining Fates,18,Rare Holo V,https://images.pokemontcg.io/swsh45/18_hires.png,https://images.pokemontcg.io/swsh45/18.png,210,"[{""name"": ""Field Runner"", ""text"": ""If a Stadium is in play, this Pokémon has no Retreat Cost."", ""type"": ""Ability""}]","[{""name"": ""Crimson Legs"", ""cost"": [""Fire"", ""Fire"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""140"", ""text"": """"}]",Crimson Legs,140,,Water:×2,,Colorless__Colorless,,5ban Graphics,,,,,,,,,,,,,,,,,,,,,,,,,,
018.jpg,swsh45-19,Cinderace VMAX,Pokémon,Fire,Shining Fates,19,Rare Holo VMAX,https://images.pokemontcg.io/swsh45/19_hires.png,https://images.pokemontcg.io/swsh45/19.png,320,,"[{""name"": ""Counter"", ""cost"": [""Fire"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30+"", ""text"": ""If this Pokémon was damaged by an attack during your opponent's last turn, this attack does that much more damage.""}, {""name"": ""Max Pyro Ball"", ""cost"": [""Fire"", ""Fire"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""170"", ""text"": ""Your opponent's Active Pokémon is now Burned.""}]",Counter|Max Pyro Ball,30+|170,"If this Pokémon was damaged by an attack during your opponent's last turn, this attack does that much more damage.|Your opponent's Active Pokémon is now Burned.",Water:×2,,Colorless__Colorless,Cinderace V,PLANETA Mochizuki,,,,,,,,,,,,,,,,,,,,,,,,,,
019.jpg,swsh45-20,Horsea,Pokémon,Water,Shining Fates,20,Common,https://images.pokemontcg.io/swsh45/20_hires.png,https://images.pokemontcg.io/swsh45/20.png,40,,"[{""name"": ""Water Gun"", ""cost"": [""Water""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}]",Water Gun,10,,Lightning:×2,,,,Taira Akitsu,"It makes its nest in the shade of corals. If it senses danger, it spits murky ink and flees.",,,,,,,,,,,,,,,,,,,,,,,,,
020.jpg,swsh45-21,Kyogre,Pokémon,Water,Shining Fates,21,Amazing Rare,https://images.pokemontcg.io/swsh45/21_hires.png,https://images.pokemontcg.io/swsh45/21.png,120,,"[{""name"": ""Amazing Surge"", ""cost"": [""Water"", ""Lightning"", ""Metal"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": """", ""text"": ""This attack does 80 damage to each of your opponent's Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}]",Amazing Surge,,This attack does 80 damage to each of your opponent's Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.),Lightning:×2,,Colorless__Colorless__Colorless,,Anesaki Dynamic,It is said to have widened the seas by causing downpours. It had been asleep in a marine trench.,,,,,,,,,,,,,,,,,,,,,,,,,
021.jpg,swsh45-22,Buizel,Pokémon,Water,Shining Fates,22,Common,https://images.pokemontcg.io/swsh45/22_hires.png,https://images.pokemontcg.io/swsh45/22.png,70,,"[{""name"": ""Rain Splash"", ""cost"": [""Water""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": """"}]",Rain Splash,20,,Lightning:×2,,Colorless,,ryoma uratsuka,It inflates the flotation sac around its neck and pokes its head out of the water to see what is going on.,,,,,,,,,,,,,,,,,,,,,,,,,
022.jpg,swsh45-23,Floatzel,Pokémon,Water,Shining Fates,23,Uncommon,https://images.pokemontcg.io/swsh45/23_hires.png,https://images.pokemontcg.io/swsh45/23.png,110,,"[{""name"": ""Surf"", ""cost"": [""Water""], ""convertedEnergyCost"": 1, ""damage"": ""50"", ""text"": """"}]",Surf,50,,Lightning:×2,,Colorless,Buizel,AKIRA EGAWA,Its flotation sac developed as a result of pursuing aquatic prey. It can double as a rubber raft.,,,,,,,,,,,,,,,,,,,,,,,,,
023.jpg,swsh45-24,Manaphy,Pokémon,Water,Shining Fates,24,Rare,https://images.pokemontcg.io/swsh45/24_hires.png,https://images.pokemontcg.io/swsh45/24.png,70,"[{""name"": ""Ocean Search"", ""text"": ""Once during your turn, if this Pokémon is in the Active Spot, you may look at the top 6 cards of your deck, reveal a Pokémon you find there, and put it into your hand. Shuffle the other cards back into your deck."", ""type"": ""Ability""}]","[{""name"": ""Wave Splash"", ""cost"": [""Water"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": """"}]",Wave Splash,30,,Lightning:×2,,Colorless,,Narumi Sato,It starts its life with a wondrous power that permits it to bond with any kind of Pokémon.,,,,,,,,,,,,,,,,,,,,,,,,,
