Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,sm35-1,Bulbasaur,Pokémon,Grass,Shining Legends,1,Common,https://images.pokemontcg.io/sm35/1_hires.png,https://images.pokemontcg.io/sm35/1.png,70,,"[{""name"": ""Razor Leaf"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": """"}]",Razor Leaf,30,,Fire:×2,,Colorless__Colorless,,Mizue,A strange seed was planted on its back at birth. The plant sprouts and grows with this Pokémon.,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,sm35-2,Ivysaur,Pokémon,Grass,Shining Legends,2,Common,https://images.pokemontcg.io/sm35/2_hires.png,https://images.pokemontcg.io/sm35/2.png,100,,"[{""name"": ""Razor Leaf"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": """"}, {""name"": ""Toxic Whip"", ""cost"": [""Grass"", ""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""50"", ""text"": ""Your opponent's Active Pokémon is now Confused and Poisoned.""}]",Razor Leaf|Toxic Whip,30|50,|Your opponent's Active Pokémon is now Confused and Poisoned.,Fire:×2,,Colorless__Colorless__Colorless__Colorless,Bulbasaur,Kouki Saitou,"There is a plant bulb on its back. When it absorbs nutrients, the bulb is said to blossom into a large flower.",,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,sm35-3,Venusaur,Pokémon,Grass,Shining Legends,3,Uncommon,https://images.pokemontcg.io/sm35/3_hires.png,https://images.pokemontcg.io/sm35/3.png,160,"[{""name"": ""Jungle Totem"", ""text"": ""Each basic Grass Energy attached to your Pokémon provides GrassGrass Energy. You can't apply more than 1 Jungle Totem Ability at a time."", ""type"": ""Ability""}]","[{""name"": ""Solar Beam"", ""cost"": [""Grass"", ""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""90"", ""text"": """"}]",Solar Beam,90,,Fire:×2,,Colorless__Colorless__Colorless__Colorless,Ivysaur,Eske Yoshinob,"By spreading the broad petals of its flower and catching the sun's rays, it fills its body with power.",,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,sm35-4,Shroomish,Pokémon,Grass,Shining Legends,4,Common,https://images.pokemontcg.io/sm35/4_hires.png,https://images.pokemontcg.io/sm35/4.png,60,,"[{""name"": ""Absorb"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": ""Heal 20 damage from this Pokémon.""}]",Absorb,20,Heal 20 damage from this Pokémon.,Fire:×2,,Colorless,,kawayoo,It prefers damp places. By day it remains still in the forest shade. It releases toxic powder from its head.,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,sm35-5,Breloom,Pokémon,Grass,Shining Legends,5,Common,https://images.pokemontcg.io/sm35/5_hires.png,https://images.pokemontcg.io/sm35/5.png,110,,"[{""name"": ""Hibernation Spore"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Your opponent's Active Pokémon is now Asleep. Your opponent flips 2 coins instead of 1 between turns. If either of them is tails, that Pokémon is still Asleep.""}, {""name"": ""Magnum Punch"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""80"", ""text"": """"}]",Hibernation Spore|Magnum Punch,|80,"Your opponent's Active Pokémon is now Asleep. Your opponent flips 2 coins instead of 1 between turns. If either of them is tails, that Pokémon is still Asleep.|",Fire:×2,,Colorless__Colorless,Shroomish,Mizue,Its short arms stretch when it throws punches. Its technique is equal to that of pro boxers.,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,sm35-6,Carnivine,Pokémon,Grass,Shining Legends,6,Uncommon,https://images.pokemontcg.io/sm35/6_hires.png,https://images.pokemontcg.io/sm35/6.png,100,,"[{""name"": ""Flick Poison"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Switch 1 of your opponent's Benched Pokémon with their Active Pokémon. The new Active Pokémon is now Poisoned.""}, {""name"": ""Crunch"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": ""Discard an Energy from your opponent's Active Pokémon.""}]",Flick Poison|Crunch,|30,Switch 1 of your opponent's Benched Pokémon with their Active Pokémon. The new Active Pokémon is now Poisoned.|Discard an Energy from your opponent's Active Pokémon.,Fire:×2,,Colorless__Colorless,,Tomokazu Komiya,"It attracts prey with its sweet-smelling saliva, then chomps down. It takes a whole day to eat prey.",,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,sm35-7,Shaymin,Pokémon,Grass,Shining Legends,7,Rare Holo,https://images.pokemontcg.io/sm35/7_hires.png,https://images.pokemontcg.io/sm35/7.png,70,,"[{""name"": ""Flippity Flap"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Shuffle your hand into your deck. Then, draw 6 cards.""}, {""name"": ""Rally Back"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30+"", ""text"": ""If any of your Pokémon were Knocked Out by damage from an opponent's attack during their last turn, this attack does 90 more damage.""}]",Flippity Flap|Rally Back,|30+,"Shuffle your hand into your deck. Then, draw 6 cards.|If any of your Pokémon were Knocked Out by damage from an opponent's attack during their last turn, this attack does 90 more damage.",Fire:×2,,Colorless,,Mizue,It can dissolve toxins in the air to instantly transform ruined land into a lush field of flowers.,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,sm35-8,Virizion,Pokémon,Grass,Shining Legends,8,Rare Holo,https://images.pokemontcg.io/sm35/8_hires.png,https://images.pokemontcg.io/sm35/8.png,110,,"[{""name"": ""Wrapped in Wind"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""30"", ""text"": ""You may attach a basic Energy card from your hand to this Pokémon.""}, {""name"": ""Pike"", ""cost"": [""Grass"", ""Grass"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""90"", ""text"": ""This attack does 30 damage to 1 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}]",Wrapped in Wind|Pike,30|90,You may attach a basic Energy card from your hand to this Pokémon.|This attack does 30 damage to 1 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.),Fire:×2,,Colorless,,kawayoo,"Its head sprouts horns as sharp as blades. Using whirlwind-like movements, it confounds and swiftly cuts opponents.",,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,sm35-9,Shining Genesect,Pokémon,Grass,Shining Legends,9,Rare Shining,https://images.pokemontcg.io/sm35/9_hires.png,https://images.pokemontcg.io/sm35/9.png,130,"[{""name"": ""Energy Reload"", ""text"": ""Once during your turn (before your attack), you may move a Grass Energy from 1 of your other Pokémon to this Pokémon."", ""type"": ""Ability""}]","[{""name"": ""Gaia Blaster"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""50+"", ""text"": ""This attack does 20 more damage times the amount of Grass Energy attached to this Pokémon.""}]",Gaia Blaster,50+,This attack does 20 more damage times the amount of Grass Energy attached to this Pokémon.,Fire:×2,,Colorless__Colorless,,Hitoshi Ariga,This ancient bug Pokémon was altered by Team Plasma. They upgraded the cannon on its back.,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,sm35-10,Entei-GX,Pokémon,Fire,Shining Legends,10,Rare Holo GX,https://images.pokemontcg.io/sm35/10_hires.png,https://images.pokemontcg.io/sm35/10.png,180,,"[{""name"": ""Combustion"", ""cost"": [""Fire"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""50"", ""text"": """"}, {""name"": ""Fire Fang"", ""cost"": [""Fire"", ""Fire"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""100"", ""text"": ""Your opponent's Active Pokémon is now Burned.""}, {""name"": ""Brave Burn-GX"", ""cost"": [""Fire"", ""Fire"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": """", ""text"": ""This attack does 150 damage to 1 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.) (You can't use more than 1 GX attack in a game.)""}]",Combustion|Fire Fang|Brave Burn-GX,50|100|,|Your opponent's Active Pokémon is now Burned.|This attack does 150 damage to 1 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.) (You can't use more than 1 GX attack in a game.),Water:×2,,Colorless__Colorless,,5ban Graphics,,,,,,,,,,,,,,,,,,,,,,,,,,
