Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,sv6pt5-1,Joltik,Pokémon,Grass,Shrouded Fable,1,Common,https://images.pokemontcg.io/sv6pt5/1_hires.png,https://images.pokemontcg.io/sv6pt5/1.png,40,,"[{""name"": ""Splashing Dodge"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": ""Flip a coin. If heads, during your opponent's next turn, prevent all damage from and effects of attacks done to this Pokémon.""}]",Splashing Dodge,10,"Flip a coin. If heads, during your opponent's next turn, prevent all damage from and effects of attacks done to this Pokémon.",Fire:×2,,Colorless,,Naoyo Kimura,,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,sv6pt5-2,Galvantula,Pokémon,Grass,Shrouded Fable,2,Uncommon,https://images.pokemontcg.io/sv6pt5/2_hires.png,https://images.pokemontcg.io/sv6pt5/2.png,100,"[{""name"": ""Compound Eyes"", ""text"": ""Attacks used by this Pokémon do 50 more damage to your opponent's Active Pokémon that has an Ability (before applying Weakness and Resistance)."", ""type"": ""Ability""}]","[{""name"": ""Shocking Web"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""50+"", ""text"": ""If this Pokémon has any Lightning Energy attached, this attack does 80 more damage.""}]",Shocking Web,50+,"If this Pokémon has any Lightning Energy attached, this attack does 80 more damage.",Fire:×2,,Colorless,Joltik,mashu,,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,sv6pt5-3,Rowlet,Pokémon,Grass,Shrouded Fable,3,Common,https://images.pokemontcg.io/sv6pt5/3_hires.png,https://images.pokemontcg.io/sv6pt5/3.png,70,,"[{""name"": ""Add On"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Draw a card.""}, {""name"": ""Leafage"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}]",Add On|Leafage,|10,Draw a card.|,Fire:×2,,Colorless,,Yoshimi Miyoshi,,,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,sv6pt5-4,Dartrix,Pokémon,Grass,Shrouded Fable,4,Common,https://images.pokemontcg.io/sv6pt5/4_hires.png,https://images.pokemontcg.io/sv6pt5/4.png,90,,"[{""name"": ""United Wings"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""20×"", ""text"": ""This attack does 20 damage for each Pokémon in your discard pile that has the United Wings attack.""}, {""name"": ""Cutting Wind"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""30"", ""text"": """"}]",United Wings|Cutting Wind,20×|30,This attack does 20 damage for each Pokémon in your discard pile that has the United Wings attack.|,Fire:×2,,Colorless,Rowlet,Tetsu Kayama,,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,sv6pt5-5,Decidueye,Pokémon,Grass,Shrouded Fable,5,Uncommon,https://images.pokemontcg.io/sv6pt5/5_hires.png,https://images.pokemontcg.io/sv6pt5/5.png,150,,"[{""name"": ""Stock Up on Feathers"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Draw cards until you have 7 cards in your hand.""}, {""name"": ""Power Shot"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""170"", ""text"": ""Discard a Basic Grass Energy card from your hand. If you can't, this attack does nothing.""}]",Stock Up on Feathers|Power Shot,|170,"Draw cards until you have 7 cards in your hand.|Discard a Basic Grass Energy card from your hand. If you can't, this attack does nothing.",Fire:×2,,Colorless__Colorless,Dartrix,DOM,,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,sv6pt5-6,Tapu Bulu,Pokémon,Grass,Shrouded Fable,6,Rare,https://images.pokemontcg.io/sv6pt5/6_hires.png,https://images.pokemontcg.io/sv6pt5/6.png,140,,"[{""name"": ""Wood Hammer"", ""cost"": [""Grass"", ""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""220"", ""text"": ""This Pokémon also does 30 damage to itself.""}]",Wood Hammer,220,This Pokémon also does 30 damage to itself.,Fire:×2,,Colorless__Colorless__Colorless,,GOSSAN,,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,sv6pt5-7,Houndour,Pokémon,Fire,Shrouded Fable,7,Common,https://images.pokemontcg.io/sv6pt5/7_hires.png,https://images.pokemontcg.io/sv6pt5/7.png,70,,"[{""name"": ""Gnaw"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": """"}, {""name"": ""Rear Kick"", ""cost"": [""Fire"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""50"", ""text"": """"}]",Gnaw|Rear Kick,20|50,|,Water:×2,,Colorless,,REND,,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,sv6pt5-8,Houndoom,Pokémon,Fire,Shrouded Fable,8,Common,https://images.pokemontcg.io/sv6pt5/8_hires.png,https://images.pokemontcg.io/sv6pt5/8.png,120,,"[{""name"": ""Bite"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""50"", ""text"": """"}, {""name"": ""Snarl"", ""cost"": [""Fire"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""100"", ""text"": ""During your opponent's next turn, attacks used by the Defending Pokémon do 100 less damage (before applying Weakness and Resistance).""}]",Bite|Snarl,50|100,"|During your opponent's next turn, attacks used by the Defending Pokémon do 100 less damage (before applying Weakness and Resistance).",Water:×2,,Colorless__Colorless,Houndour,burari,,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,sv6pt5-9,Iron Moth,Pokémon,Fire,Shrouded Fable,9,Uncommon,https://images.pokemontcg.io/sv6pt5/9_hires.png,https://images.pokemontcg.io/sv6pt5/9.png,120,,"[{""name"": ""Suction"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": ""Heal from this Pokémon the same amount of damage you did to your opponent's Active Pokémon.""}, {""name"": ""Anachronism Repulsor"", ""cost"": [""Fire"", ""Fire"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""120"", ""text"": ""During your opponent's next turn, prevent all damage done to this Pokémon by attacks from Ancient Pokémon.""}]",Suction|Anachronism Repulsor,30|120,"Heal from this Pokémon the same amount of damage you did to your opponent's Active Pokémon.|During your opponent's next turn, prevent all damage done to this Pokémon by attacks from Ancient Pokémon.",Water:×2,,Colorless__Colorless,,Shinji Kanda,,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,sv6pt5-10,Horsea,Pokémon,Water,Shrouded Fable,10,Common,https://images.pokemontcg.io/sv6pt5/10_hires.png,https://images.pokemontcg.io/sv6pt5/10.png,60,,"[{""name"": ""Hold Still"", ""cost"": [""Water""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Heal 30 damage from this Pokémon.""}, {""name"": ""Razor Fin"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": """"}]",Hold Still|Razor Fin,|20,Heal 30 damage from this Pokémon.|,Lightning:×2,,Colorless,,Shimaris Yukichi,,,,,,,,,,,,,,,,,,,,,,,,,,
