Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,swsh12tg-TG01,Braixen,Pokémon,Fire,Silver Tempest Trainer Gallery,TG01,Trainer Gallery Rare Holo,https://images.pokemontcg.io/swsh12tg/TG01_hires.png,https://images.pokemontcg.io/swsh12tg/TG01.png,90,,"[{""name"": ""Combustion"", ""cost"": [""Fire""], ""convertedEnergyCost"": 1, ""damage"": ""30"", ""text"": """"}, {""name"": ""Flare Parade"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""60×"", ""text"": ""This attack does 60 damage for each Serena card in your discard pile.""}]",Combustion|Flare Parade,30|60×,|This attack does 60 damage for each Serena card in your discard pile.,Water:×2,,Colorless,Fennekin,Naoki Saito,"When the twig is plucked from its tail, friction sets the twig alight. The flame is used to send signals to its allies.",,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,swsh12tg-TG02,Milotic,Pokémon,Water,Silver Tempest Trainer Gallery,TG02,Trainer Gallery Rare Holo,https://images.pokemontcg.io/swsh12tg/TG02_hires.png,https://images.pokemontcg.io/swsh12tg/TG02.png,130,,"[{""name"": ""Water Arrow"", ""cost"": [""Water""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""This attack does 50 damage to 1 of your opponent's Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}, {""name"": ""Mellow Wave"", ""cost"": [""Water"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""60"", ""text"": ""Your opponent's Active Pokémon is now Asleep.""}]",Water Arrow|Mellow Wave,|60,This attack does 50 damage to 1 of your opponent's Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)|Your opponent's Active Pokémon is now Asleep.,Lightning:×2,,Colorless__Colorless,Feebas,chibi,Milotic has provided inspiration to many artists. It has even been referred to as the most beautiful Pokémon of all.,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,swsh12tg-TG03,Flaaffy,Pokémon,Lightning,Silver Tempest Trainer Gallery,TG03,Trainer Gallery Rare Holo,https://images.pokemontcg.io/swsh12tg/TG03_hires.png,https://images.pokemontcg.io/swsh12tg/TG03.png,90,"[{""name"": ""Dynamotor"", ""text"": ""Once during your turn (before your attack), you may attach a Lightning Energy card from your discard pile to 1 of your Benched Pokémon."", ""type"": ""Ability""}]","[{""name"": ""Electro Ball"", ""cost"": [""Lightning"", ""Lightning"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""50"", ""text"": """"}]",Electro Ball,50,,Fighting:×2,,Colorless__Colorless,Mareep,saino misaki,"It stores electricity in its fluffy fleece. If it stores up too much, it will start to go bald in those patches.",,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,swsh12tg-TG04,Jynx,Pokémon,Psychic,Silver Tempest Trainer Gallery,TG04,Trainer Gallery Rare Holo,https://images.pokemontcg.io/swsh12tg/TG04_hires.png,https://images.pokemontcg.io/swsh12tg/TG04.png,100,"[{""name"": ""Selfish Lips"", ""text"": ""If this Pokémon is Knocked Out by damage from an attack from your opponent's Pokémon V, your opponent can't take any Prize cards for it."", ""type"": ""Ability""}]","[{""name"": ""Psychic Assault"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""10+"", ""text"": ""This attack does 10 more damage for each damage counter on your opponent's Active Pokémon.""}]",Psychic Assault,10+,This attack does 10 more damage for each damage counter on your opponent's Active Pokémon.,Darkness:×2,Fighting:-30,Colorless__Colorless,,HYOGONOSUKE,"In certain parts of Galar, Jynx was once feared and worshiped as the Queen of Ice.",,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,swsh12tg-TG05,Gardevoir,Pokémon,Psychic,Silver Tempest Trainer Gallery,TG05,Trainer Gallery Rare Holo,https://images.pokemontcg.io/swsh12tg/TG05_hires.png,https://images.pokemontcg.io/swsh12tg/TG05.png,150,"[{""name"": ""Refinement"", ""text"": ""You must discard a card from your hand in order to use this Ability. Once during your turn, you may draw 2 cards."", ""type"": ""Ability""}]","[{""name"": ""Magical Shot"", ""cost"": [""Psychic"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""120"", ""text"": """"}]",Magical Shot,120,,Metal:×2,,Colorless__Colorless,Kirlia,AKIRA EGAWA,It has the power to predict the future. Its power peaks when it is protecting its Trainer.,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,swsh12tg-TG06,Malamar,Pokémon,Psychic,Silver Tempest Trainer Gallery,TG06,Trainer Gallery Rare Holo,https://images.pokemontcg.io/swsh12tg/TG06_hires.png,https://images.pokemontcg.io/swsh12tg/TG06.png,120,,"[{""name"": ""Rapid Strike Tentacles"", ""cost"": [""Psychic""], ""convertedEnergyCost"": 1, ""damage"": ""40×"", ""text"": ""Reveal any number of Rapid Strike cards from your hand. This attack does 40 damage for each card you revealed in this way. Then, shuffle those cards into your deck.""}]",Rapid Strike Tentacles,40×,"Reveal any number of Rapid Strike cards from your hand. This attack does 40 damage for each card you revealed in this way. Then, shuffle those cards into your deck.",Darkness:×2,Fighting:-30,Colorless__Colorless__Colorless,Inkay,Fumie Kittaka,It's said that Malamar's hypnotic powers played a role in certain history-changing events.,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,swsh12tg-TG07,Rockruff,Pokémon,Fighting,Silver Tempest Trainer Gallery,TG07,Trainer Gallery Rare Holo,https://images.pokemontcg.io/swsh12tg/TG07_hires.png,https://images.pokemontcg.io/swsh12tg/TG07.png,70,,"[{""name"": ""Crunch"", ""cost"": [""Fighting"", ""Fighting""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": ""Flip a coin. If heads, discard an Energy from your opponent's Active Pokémon.""}]",Crunch,30,"Flip a coin. If heads, discard an Energy from your opponent's Active Pokémon.",Grass:×2,,Colorless,,Hideki Ishikawa,"When it rubs the rocks on its neck against you, that's proof of its love for you. However, the rocks are sharp, so the gesture is quite painful!",,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,swsh12tg-TG08,Passimian,Pokémon,Fighting,Silver Tempest Trainer Gallery,TG08,Trainer Gallery Rare Holo,https://images.pokemontcg.io/swsh12tg/TG08_hires.png,https://images.pokemontcg.io/swsh12tg/TG08.png,110,"[{""name"": ""Throwing Coach"", ""text"": ""Your Rapid Strike Pokémon's attacks do 30 more damage to your opponent's Benched Pokémon V and Benched Pokémon-GX (before applying Weakness and Resistance). You can't apply more than 1 Throwing Coach Ability at a time."", ""type"": ""Ability""}]","[{""name"": ""Fling"", ""cost"": [""Fighting""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""This attack does 20 damage to 1 of your opponent's Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}]",Fling,,This attack does 20 damage to 1 of your opponent's Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.),Psychic:×2,,Colorless,,nagimiso,"Passimian live in groups of about 20, with each member performing an assigned role. Through cooperation, the group survives.",,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,swsh12tg-TG09,Druddigon,Pokémon,Dragon,Silver Tempest Trainer Gallery,TG09,Trainer Gallery Rare Holo,https://images.pokemontcg.io/swsh12tg/TG09_hires.png,https://images.pokemontcg.io/swsh12tg/TG09.png,120,,"[{""name"": ""Revenge"", ""cost"": [""Fire"", ""Water""], ""convertedEnergyCost"": 2, ""damage"": ""40+"", ""text"": ""If any of your Pokémon were Knocked Out by damage from an attack from your opponent's Pokémon during their last turn, this attack does 120 more damage.""}, {""name"": ""Dragon Claw"", ""cost"": [""Fire"", ""Water"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""120"", ""text"": """"}]",Revenge|Dragon Claw,40+|120,"If any of your Pokémon were Knocked Out by damage from an attack from your opponent's Pokémon during their last turn, this attack does 120 more damage.|",,,Colorless__Colorless,,Teeziro,"Druddigon are vicious and cunning. They take up residence in nests dug out by other Pokémon, treating the stolen nests as their own lairs.",,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,swsh12tg-TG10,Smeargle,Pokémon,Colorless,Silver Tempest Trainer Gallery,TG10,Trainer Gallery Rare Holo,https://images.pokemontcg.io/swsh12tg/TG10_hires.png,https://images.pokemontcg.io/swsh12tg/TG10.png,70,,"[{""name"": ""Colorful Palette"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Look at the top 5 cards of your deck. You may attach any number of basic Energy cards you find there to 1 of your Pokémon. Shuffle the other cards back into your deck.""}, {""name"": ""Ram"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": """"}]",Colorful Palette|Ram,|30,Look at the top 5 cards of your deck. You may attach any number of basic Energy cards you find there to 1 of your Pokémon. Shuffle the other cards back into your deck.|,Fighting:×2,,Colorless,,KIYOTAKA OSHIYAMA,"It draws symbols with the fluid that oozes from the tip of its tail. Depending on the symbol, Smeargle fanatics will pay big money for them.",,,,,,,,,,,,,,,,,,,,,,,,,
