Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,swsh12-1,Venonat,Pokémon,Grass,Silver Tempest,1,Common,https://images.pokemontcg.io/swsh12/1_hires.png,https://images.pokemontcg.io/swsh12/1.png,60,,"[{""name"": ""Tackle"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": """"}]",Tackle,20,,Fire:×2,,Colorless,,Sekio,Lives in the shadows of tall trees where it eats bugs. It is attracted by light at night.,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,swsh12-2,Venomoth,Pokémon,Grass,Silver Tempest,2,Uncommon,https://images.pokemontcg.io/swsh12/2_hires.png,https://images.pokemontcg.io/swsh12/2.png,90,,"[{""name"": ""Miracle Powder"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""30"", ""text"": ""Flip a coin. If heads, choose a Special Condition. Your opponent's Active Pokémon is now affected by that Special Condition.""}, {""name"": ""Gust"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""70"", ""text"": """"}]",Miracle Powder|Gust,30|70,"Flip a coin. If heads, choose a Special Condition. Your opponent's Active Pokémon is now affected by that Special Condition.|",Fire:×2,,,Venonat,Kagemaru Himeno,"The wings are covered with dustlike scales. Every time it flaps its wings, it looses highly toxic dust.",,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,swsh12-3,Spinarak,Pokémon,Grass,Silver Tempest,3,Common,https://images.pokemontcg.io/swsh12/3_hires.png,https://images.pokemontcg.io/swsh12/3.png,60,,"[{""name"": ""Bug Bite"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": """"}]",Bug Bite,30,,Fire:×2,,Colorless,,Pani Kobayashi,"Although the poison from its fangs isn't that strong, it's potent enough to weaken prey that gets caught in its web.",,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,swsh12-4,Ariados,Pokémon,Grass,Silver Tempest,4,Rare Holo,https://images.pokemontcg.io/swsh12/4_hires.png,https://images.pokemontcg.io/swsh12/4.png,90,"[{""name"": ""Hidden Threads"", ""text"": ""Your opponent's Pokémon VSTAR's attacks cost Colorless more. You can't apply more than 1 Hidden Threads Ability at a time."", ""type"": ""Ability""}]","[{""name"": ""Pierce"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""50"", ""text"": """"}]",Pierce,50,,Fire:×2,,Colorless,Spinarak,Tika Matsuno,"It spews threads from its mouth to catch its prey. When night falls, it leaves its web to go hunt aggressively.",,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,swsh12-5,Sunkern,Pokémon,Grass,Silver Tempest,5,Common,https://images.pokemontcg.io/swsh12/5_hires.png,https://images.pokemontcg.io/swsh12/5.png,40,,"[{""name"": ""Seed Bomb"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": """"}]",Seed Bomb,20,,Fire:×2,,Colorless,,Saya Tsuruta,It lives by drinking only dewdrops from under the leaves of plants. It is said that it eats nothing else.,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,swsh12-6,Sunflora,Pokémon,Grass,Silver Tempest,6,Uncommon,https://images.pokemontcg.io/swsh12/6_hires.png,https://images.pokemontcg.io/swsh12/6.png,90,,"[{""name"": ""Bright Beam"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""10+"", ""text"": ""You may discard up to 3 Energy cards from your hand. This attack does 70 more damage for each card you discarded in this way.""}]",Bright Beam,10+,You may discard up to 3 Energy cards from your hand. This attack does 70 more damage for each card you discarded in this way.,Fire:×2,,Colorless__Colorless,Sunkern,zig,It gets energy from warm sunlight and is known for its habit of moving in pursuit of it.,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,swsh12-7,Serperior V,Pokémon,Grass,Silver Tempest,7,Rare Holo V,https://images.pokemontcg.io/swsh12/7_hires.png,https://images.pokemontcg.io/swsh12/7.png,210,,"[{""name"": ""Noble Light"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Heal 30 damage from each Pokémon (both yours and your opponent's).""}, {""name"": ""Solar Beam"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""120"", ""text"": """"}]",Noble Light|Solar Beam,|120,Heal 30 damage from each Pokémon (both yours and your opponent's).|,Fire:×2,,Colorless,,Ayaka Yoshida,,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,swsh12-8,Serperior VSTAR,Pokémon,Grass,Silver Tempest,8,Rare Holo VSTAR,https://images.pokemontcg.io/swsh12/8_hires.png,https://images.pokemontcg.io/swsh12/8.png,270,,"[{""name"": ""Regal Blender"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""190"", ""text"": ""You may move any amount of Energy from your Pokémon to your other Pokémon in any way you like.""}, {""name"": ""Star Winder"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""60×"", ""text"": ""This attack does 60 damage for each Energy attached to this Pokémon. Switch this Pokémon with 1 of your Benched Pokémon. (You can't use more than 1 VSTAR Power in a game.)""}]",Regal Blender|Star Winder,190|60×,You may move any amount of Energy from your Pokémon to your other Pokémon in any way you like.|This attack does 60 damage for each Energy attached to this Pokémon. Switch this Pokémon with 1 of your Benched Pokémon. (You can't use more than 1 VSTAR Power in a game.),Fire:×2,,,Serperior V,PLANETA Mochizuki,,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,swsh12-9,Petilil,Pokémon,Grass,Silver Tempest,9,Common,https://images.pokemontcg.io/swsh12/9_hires.png,https://images.pokemontcg.io/swsh12/9.png,50,,"[{""name"": ""Ram"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}, {""name"": ""Flop"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": """"}]",Ram|Flop,10|20,|,Fire:×2,,Colorless,,HYOGONOSUKE,"The leaves on its head are highly valued for medicinal purposes. Dry the leaves in the sun, boil them, and then drink the bitter decoction for remarkably effective relief from fatigue.",,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,swsh12-10,Hisuian Lilligant,Pokémon,Grass,Silver Tempest,10,Rare,https://images.pokemontcg.io/swsh12/10_hires.png,https://images.pokemontcg.io/swsh12/10.png,120,,"[{""name"": ""Swelling Scent"", ""cost"": [], ""convertedEnergyCost"": 0, ""damage"": """", ""text"": ""Search your deck for up to 2 Grass Energy cards and attach them to your Benched Pokémon in any way you like. Then, shuffle your deck.""}, {""name"": ""Spiral Kick"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""50"", ""text"": """"}]",Swelling Scent|Spiral Kick,|50,"Search your deck for up to 2 Grass Energy cards and attach them to your Benched Pokémon in any way you like. Then, shuffle your deck.|",Fire:×2,,Colorless,Petilil,Mitsuhiro Arita,I suspect that its well-developed legs are the result of a life spent on mountains covered in deep snow. The scent it exudes from its flower crown heartens those in proximity.,,,,,,,,,,,,,,,,,,,,,,,,,
