Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,ecard3-1,Aerodactyl,Pokémon,Fighting,Skyridge,1,Rare,https://images.pokemontcg.io/ecard3/1_hires.png,https://images.pokemontcg.io/ecard3/1.png,70,"[{""name"": ""Ancient Wind"", ""text"": ""Once during your turn (before your attack), if Aerodactyl is your Active Pokémon, you may ignore all Poké-Bodies until the end of your turn. This power can't be used if Aerodactyl is affected by a Special Condition."", ""type"": ""Poké-Power""}]","[{""name"": ""Rising Lunge"", ""cost"": [""Fighting"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20+"", ""text"": ""Flip a coin. If heads, this attack does 20 damage plus 20 more damage.""}]",Rising Lunge,20+,"Flip a coin. If heads, this attack does 20 damage plus 20 more damage.",Water:×2,,Colorless,Mysterious Fossil,Toshinao Aoki,,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,ecard3-2,Alakazam,Pokémon,Psychic,Skyridge,2,Rare,https://images.pokemontcg.io/ecard3/2_hires.png,https://images.pokemontcg.io/ecard3/2.png,100,"[{""name"": ""Energy Jump"", ""text"": ""Once during your turn (before your attack), you may move an Energy card from 1 of your Pokémon to another of your Pokémon. This power can't be used if Alakazam is affected by a Special Condition."", ""type"": ""Poké-Power""}]","[{""name"": ""Psychic"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""30+"", ""text"": ""This attack does 30 damage plus 10 more damage for each Energy card attached to the Defending Pokémon.""}]",Psychic,30+,This attack does 30 damage plus 10 more damage for each Energy card attached to the Defending Pokémon.,Psychic:×2,,Colorless__Colorless,Kadabra,Kimiya Masago,,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,ecard3-3,Arcanine,Pokémon,Fire,Skyridge,3,Rare,https://images.pokemontcg.io/ecard3/3_hires.png,https://images.pokemontcg.io/ecard3/3.png,80,"[{""name"": ""Energy Recharge"", ""text"": ""When you play Arcanine from your hand to evolve your Active Pokémon, you may flip 3 coins. For each heads, choose a basic Energy card from your discard pile and attach it to Arcanine."", ""type"": ""Poké-Power""}]","[{""name"": ""Shake"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": ""Your opponent switches the Defending Pokémon with 1 of his or her Benched Pokémon, if any.""}, {""name"": ""White Flames"", ""cost"": [""Fire"", ""Fire"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""70"", ""text"": ""Discard all Fire Energy cards attached to Arcanine.""}]",Shake|White Flames,10|70,"Your opponent switches the Defending Pokémon with 1 of his or her Benched Pokémon, if any.|Discard all Fire Energy cards attached to Arcanine.",Water:×2,,Colorless__Colorless,Growlithe,Aya Kusube,,,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,ecard3-4,Articuno,Pokémon,Water,Skyridge,4,Rare,https://images.pokemontcg.io/ecard3/4_hires.png,https://images.pokemontcg.io/ecard3/4.png,80,"[{""name"": ""Water Immunity"", ""text"": ""You can't attach Water Energy cards from your hand to Articuno."", ""type"": ""Poké-Body""}]","[{""name"": ""Freeze Solid"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": ""If there are any Water Energy cards in your discard pile, flip a coin. If heads, attach 1 of them to Articuno.""}, {""name"": ""Ice Cyclone"", ""cost"": [""Water"", ""Water"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""50"", ""text"": ""Flip a coin. If heads, this attack does 10 damage to each of your opponent's Benched Pokémon. If tails, this attack does 10 damage to each of your Pokémon in play. (Don't apply Weakness and Resistance for Benched Pokémon.)""}]",Freeze Solid|Ice Cyclone,10|50,"If there are any Water Energy cards in your discard pile, flip a coin. If heads, attach 1 of them to Articuno.|Flip a coin. If heads, this attack does 10 damage to each of your opponent's Benched Pokémon. If tails, this attack does 10 damage to each of your Pokémon in play. (Don't apply Weakness and Resistance for Benched Pokémon.)",Metal:×2,Fighting:-30,Colorless__Colorless,,Hajime Kusajima,,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,ecard3-5,Beedrill,Pokémon,Grass,Skyridge,5,Rare,https://images.pokemontcg.io/ecard3/5_hires.png,https://images.pokemontcg.io/ecard3/5.png,80,"[{""name"": ""Venom Spray"", ""text"": ""When you play Beedrill from your hand to evolve your Active Pokémon, the Defending Pokémon is now Paralyzed and Poisoned."", ""type"": ""Poké-Power""}]","[{""name"": ""Needle Rush"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""10+"", ""text"": ""Flip 4 coins. If you get 1 heads, this attack does 10 damage plus 10 more damage. If you get 2 heads, this attack does 10 damage plus 20 more damage. If you get 3 heads, this attack does 10 damage plus 50 more damage. If you get 4 heads, this attack does 10 damage plus 90 more damage.""}]",Needle Rush,10+,"Flip 4 coins. If you get 1 heads, this attack does 10 damage plus 10 more damage. If you get 2 heads, this attack does 10 damage plus 20 more damage. If you get 3 heads, this attack does 10 damage plus 50 more damage. If you get 4 heads, this attack does 10 damage plus 90 more damage.",Fire:×2,,,Kakuna,Hikaru Koike,,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,ecard3-6,Crobat,Pokémon,Grass,Skyridge,6,Rare,https://images.pokemontcg.io/ecard3/6_hires.png,https://images.pokemontcg.io/ecard3/6.png,90,"[{""name"": ""Carry Off"", ""text"": ""Once during your turn (before your attack), you may flip a coin. If heads, look at your opponent's hand. If your opponent has any Baby Pokémon, Basic Pokémon, or Evolution cards there, choose 1 of them. Your opponent shuffles that card into his or her deck. This power can't be used if Crobat is affected by a Special Condition."", ""type"": ""Poké-Power""}]","[{""name"": ""Double Cross"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""40×"", ""text"": ""Flip 2 coins. This attack does 40 damage times the number of heads. If both of them are tails, the Defending Pokémon is now Confused and Poisoned.""}]",Double Cross,40×,"Flip 2 coins. This attack does 40 damage times the number of heads. If both of them are tails, the Defending Pokémon is now Confused and Poisoned.",Psychic:×2,,,Golbat,Kimiya Masago,,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,ecard3-7,Dewgong,Pokémon,Water,Skyridge,7,Rare,https://images.pokemontcg.io/ecard3/7_hires.png,https://images.pokemontcg.io/ecard3/7.png,80,,"[{""name"": ""Freeze Lock"", ""cost"": [""Water"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": ""Flip a coin. If heads, your opponent can't attach Energy cards from his or her hand to his or her Active Pokémon during his or her next turn.""}, {""name"": ""Crushing Ice"", ""cost"": [""Water"", ""Water"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""40+"", ""text"": ""This attack does 40 damage plus 10 more damage for each Colorless Energy in the Defending Pokémon's Retreat Cost. Damage is calculated using the Defending Pokémon's Retreat Cost after applying effects to the Retreat Cost.""}]",Freeze Lock|Crushing Ice,20|40+,"Flip a coin. If heads, your opponent can't attach Energy cards from his or her hand to his or her Active Pokémon during his or her next turn.|This attack does 40 damage plus 10 more damage for each Colorless Energy in the Defending Pokémon's Retreat Cost. Damage is calculated using the Defending Pokémon's Retreat Cost after applying effects to the Retreat Cost.",Metal:×2,,Colorless__Colorless,Seel,Kouki Saitou,,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,ecard3-8,Flareon,Pokémon,Fire,Skyridge,8,Rare,https://images.pokemontcg.io/ecard3/8_hires.png,https://images.pokemontcg.io/ecard3/8.png,70,"[{""name"": ""Self-healing"", ""text"": ""Whenever you attach a Fire Energy card from your hand to Flareon, remove all Special Conditions affecting Flareon."", ""type"": ""Poké-Body""}]","[{""name"": ""Singe"", ""cost"": [""Fire""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""The Defending Pokémon is now Burned.""}, {""name"": ""Burn Booster"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""40+"", ""text"": ""Discard an Energy card attached to Flareon in order to use this attack. If the discarded card is a Fire Energy card, this attack does 40 damage plus 10 more damage.""}]",Singe|Burn Booster,|40+,"The Defending Pokémon is now Burned.|Discard an Energy card attached to Flareon in order to use this attack. If the discarded card is a Fire Energy card, this attack does 40 damage plus 10 more damage.",Water:×2,,Colorless,Eevee,Kyoko Umemoto,,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,ecard3-9,Forretress,Pokémon,Metal,Skyridge,9,Rare,https://images.pokemontcg.io/ecard3/9_hires.png,https://images.pokemontcg.io/ecard3/9.png,70,,"[{""name"": ""Spinning Blow"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20×"", ""text"": ""Flip 2 coins. This attack does 20 damage times the number of heads. If both coins are heads, switch Forretress with 1 of your Benched Pokémon.""}, {""name"": ""Scatterbomb"", ""cost"": [""Metal"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""40"", ""text"": ""Flip 2 coins. For each heads, do 10 damage to each of your opponent's Benched Pokémon. For each tails, do 10 damage to each of your own Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}]",Spinning Blow|Scatterbomb,20×|40,"Flip 2 coins. This attack does 20 damage times the number of heads. If both coins are heads, switch Forretress with 1 of your Benched Pokémon.|Flip 2 coins. For each heads, do 10 damage to each of your opponent's Benched Pokémon. For each tails, do 10 damage to each of your own Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)",Fire:×2,Grass:-30,Colorless__Colorless,Pineco,Midori Harada,,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,ecard3-10,Gengar,Pokémon,Psychic,Skyridge,10,Rare,https://images.pokemontcg.io/ecard3/10_hires.png,https://images.pokemontcg.io/ecard3/10.png,100,"[{""name"": ""Manipulate"", ""text"": ""When you play Gengar from your hand to evolve your Active Pokémon, you may put a Basic Pokémon (excluding Baby Pokémon) from your discard pile onto your Bench. Then, flip 3 coins. For each heads, choose a basic Energy card from your discard pile and attach it to that Pokémon."", ""type"": ""Poké-Power""}]","[{""name"": ""Hydrokinesis"", ""cost"": [""Psychic"", ""Psychic"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""40"", ""text"": ""Flip a coin. If heads, the Defending Pokémon is now Burned. If tails, the Defending Pokémon is now Confused.""}]",Hydrokinesis,40,"Flip a coin. If heads, the Defending Pokémon is now Burned. If tails, the Defending Pokémon is now Confused.",Darkness:×2,Fighting:-30,Colorless__Colorless,Haunter,Kyoko Umemoto,,,,,,,,,,,,,,,,,,,,,,,,,,
