Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,si1-1,Mew,Pokémon,Psychic,Southern Islands,1,,https://images.pokemontcg.io/si1/1_hires.png,https://images.pokemontcg.io/si1/1.png,30,,"[{""name"": ""Rainbow Wave"", ""cost"": [""Psychic""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Choose a type of Energy other than Colorless attached to Mew. This attack does 20 damage to each of your opponent's Pokémon of that type (including Benched Pokémon). Don't apply Weakness and Resistance.""}]",Rainbow Wave,,Choose a type of Energy other than Colorless attached to Mew. This attack does 20 damage to each of your opponent's Pokémon of that type (including Benched Pokémon). Don't apply Weakness and Resistance.,Psychic:×2,,,,Keiko Fukuyama,This Pokémon's body is covered by fine hairs that can be seen only under a microscope.,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,si1-2,Pidgeot,Pokémon,Colorless,Southern Islands,2,,https://images.pokemontcg.io/si1/2_hires.png,https://images.pokemontcg.io/si1/2.png,70,,"[{""name"": ""Supersonic Flight"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""40"", ""text"": ""Flip a coin. If tails, this attack does nothing.""}, {""name"": ""Slicing Wind"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""50"", ""text"": """"}]",Supersonic Flight|Slicing Wind,40|50,"Flip a coin. If tails, this attack does nothing.|",Lightning:×2,Fighting:-30,,Pidgeotto,Keiko Fukuyama,This Pokémon searches for food while flying at Mach 2. Its large claws make fearsome weapons.,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,si1-3,Onix,Pokémon,Fighting,Southern Islands,3,,https://images.pokemontcg.io/si1/3_hires.png,https://images.pokemontcg.io/si1/3.png,90,,"[{""name"": ""Slam"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20×"", ""text"": ""Flip 2 coins. This attack does 20 damage times the number of heads.""}, {""name"": ""Body Slam"", ""cost"": [""Fighting"", ""Fighting"", ""Fighting"", ""Fighting""], ""convertedEnergyCost"": 4, ""damage"": ""40"", ""text"": ""Flip a coin. If heads, the Defending Pokémon is now Paralyzed.""}]",Slam|Body Slam,20×|40,"Flip 2 coins. This attack does 20 damage times the number of heads.|Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",Grass:×2,,Colorless__Colorless__Colorless,,Keiko Fukuyama,"This Pokémon burrows through the earth at high speed, looking for food. The tunnels it digs are used by Diglett as nests.",,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,si1-4,Togepi,Pokémon,Colorless,Southern Islands,4,,https://images.pokemontcg.io/si1/4_hires.png,https://images.pokemontcg.io/si1/4.png,40,,"[{""name"": ""Bawl"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": ""Flip a coin. If heads, the Defending Pokémon is now Confused.""}]",Bawl,10,"Flip a coin. If heads, the Defending Pokémon is now Confused.",,Psychic:-30,Colorless,,Keiko Fukuyama,"This Pokémon is still immature. When threatened, it releases poison from its head and tries to drive its enemies away.",,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,si1-5,Ivysaur,Pokémon,Grass,Southern Islands,5,,https://images.pokemontcg.io/si1/5_hires.png,https://images.pokemontcg.io/si1/5.png,60,,"[{""name"": ""Strange Scent"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Each player flips a coin. Each player who gets heads chooses a total of 3 damage counters from among his or her Pokémon and removes them. (If the player's Pokémon have fewer total damage counters than that, he or she removes all of them.)""}, {""name"": ""Razor Leaf"", ""cost"": [""Grass"", ""Grass""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": """"}]",Strange Scent|Razor Leaf,|30,"Each player flips a coin. Each player who gets heads chooses a total of 3 damage counters from among his or her Pokémon and removes them. (If the player's Pokémon have fewer total damage counters than that, he or she removes all of them.)|",Fire:×2,,Colorless,Bulbasaur,Keiko Fukuyama,A sure sign spring is on its way is when the seed on this Pokémon's back flowers.,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,si1-6,Raticate,Pokémon,Colorless,Southern Islands,6,,https://images.pokemontcg.io/si1/6_hires.png,https://images.pokemontcg.io/si1/6.png,60,,"[{""name"": ""Sharp Teeth"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""10+"", ""text"": ""Flip a coin. If heads, this attack does 10 damage plus 30 more damage; if tails, this attack does 10 damage.""}]",Sharp Teeth,10+,"Flip a coin. If heads, this attack does 10 damage plus 30 more damage; if tails, this attack does 10 damage.",Fighting:×2,Psychic:-30,,Rattata,Keiko Fukuyama,"This Pokémon sometimes hunts for food in rivers, swimming using the small webs between the toes on its rear legs.",,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,si1-7,Ledyba,Pokémon,Grass,Southern Islands,7,,https://images.pokemontcg.io/si1/7_hires.png,https://images.pokemontcg.io/si1/7.png,40,,"[{""name"": ""Gnaw"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}, {""name"": ""Agility"", ""cost"": [""Grass"", ""Grass""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": ""Flip a coin. If heads, during your opponent's next turn, prevent all effects of attacks, including damage, done to Ledyba.""}]",Gnaw|Agility,10|20,"|Flip a coin. If heads, during your opponent's next turn, prevent all effects of attacks, including damage, done to Ledyba.",Fire:×2,Fighting:-30,Colorless,,Keiko Fukuyama,"When it senses enemies approaching, this Pokémon releases an orange fluid from the joints in its legs and flees.",,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,si1-8,Jigglypuff,Pokémon,Colorless,Southern Islands,8,,https://images.pokemontcg.io/si1/8_hires.png,https://images.pokemontcg.io/si1/8.png,50,,"[{""name"": ""Tempting Eyes"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Choose 1 of your opponent's Benched Pokémon and switch it with the Defending Pokémon.""}, {""name"": ""Sing"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Flip a coin. If heads, the Defending Pokémon is now Asleep.""}]",Tempting Eyes|Sing,|,"Choose 1 of your opponent's Benched Pokémon and switch it with the Defending Pokémon.|Flip a coin. If heads, the Defending Pokémon is now Asleep.",Fighting:×2,Psychic:-30,Colorless,,Keiko Fukuyama,"After lulling its enemies with its large eyes, this Pokémon sings them to sleep with a relaxing melody.",,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,si1-9,Butterfree,Pokémon,Grass,Southern Islands,9,,https://images.pokemontcg.io/si1/9_hires.png,https://images.pokemontcg.io/si1/9.png,80,,"[{""name"": ""Fly"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""30"", ""text"": ""Flip a coin. If heads, during your opponent's next turn, prevent all effects of attacks, including damage, done to Butterfree. If tails, this attack does nothing (not even damage).""}, {""name"": ""Rainbow Powder"", ""cost"": [""Grass"", ""Grass"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""20"", ""text"": ""Flip a coin. If heads, the Defending Pokémon is now Paralyzed. If tails, the Defending Pokémon is now Poisoned.""}]",Fly|Rainbow Powder,30|20,"Flip a coin. If heads, during your opponent's next turn, prevent all effects of attacks, including damage, done to Butterfree. If tails, this attack does nothing (not even damage).|Flip a coin. If heads, the Defending Pokémon is now Paralyzed. If tails, the Defending Pokémon is now Poisoned.",Fire:×2,Fighting:-30,Colorless,Metapod,Keiko Fukuyama,"The poison scales on its wings are waterproof, allowing this Pokémon to be active even on rainy days.",,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,si1-10,Tentacruel,Pokémon,Water,Southern Islands,10,,https://images.pokemontcg.io/si1/10_hires.png,https://images.pokemontcg.io/si1/10.png,60,,"[{""name"": ""Tentacle Grip"", ""cost"": [""Water""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Flip a number of coins equal to the number of Water Energy attached to Tentacruel. For each heads, draw 2 cards.""}, {""name"": ""Poison Sting"", ""cost"": [""Water"", ""Water""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": ""Flip a coin. If heads, the Defending Pokémon is now Paralyzed.""}]",Tentacle Grip|Poison Sting,|20,"Flip a number of coins equal to the number of Water Energy attached to Tentacruel. For each heads, draw 2 cards.|Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",Lightning:×2,,Colorless,Tentacool,Naoyo Kimura,This Pokémon attacks its prey with its eighty toxin-producing tentacles.,,,,,,,,,,,,,,,,,,,,,,,,,
