Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,xy11-1,Tangela,Pokémon,Grass,Steam Siege,1,Common,https://images.pokemontcg.io/xy11/1_hires.png,https://images.pokemontcg.io/xy11/1.png,80,,"[{""name"": ""Slam"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30×"", ""text"": ""Flip 2 coins. This attack does 30 damage times the number of heads.""}, {""name"": ""Mega Drain"", ""cost"": [""Grass"", ""Grass"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""40"", ""text"": ""Heal 20 damage from this Pokémon.""}]",Slam|Mega Drain,30×|40,Flip 2 coins. This attack does 30 damage times the number of heads.|Heal 20 damage from this Pokémon.,Fire:×2,,Colorless__Colorless__Colorless,,OOYAMA,It tangles any moving thing with its vines. Their subtle shaking is ticklish if you get ensnared.,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,xy11-2,Tangrowth,Pokémon,Grass,Steam Siege,2,Uncommon,https://images.pokemontcg.io/xy11/2_hires.png,https://images.pokemontcg.io/xy11/2.png,130,,"[{""name"": ""Leaf Storm"", ""cost"": [""Grass"", ""Grass"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""80"", ""text"": ""Heal 40 damage from each of your Grass Pokémon.""}, {""name"": ""Flog"", ""cost"": [""Grass"", ""Grass"", ""Grass"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""110+"", ""text"": ""Flip a coin. If heads, this attack does 30 more damage.""}]",Leaf Storm|Flog,80|110+,"Heal 40 damage from each of your Grass Pokémon.|Flip a coin. If heads, this attack does 30 more damage.",Fire:×2,,Colorless__Colorless__Colorless__Colorless,Tangela,kirisAki,"Its vines grow so profusely that, in the warm season, you can't even see its eyes.",,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,xy11-3,Hoppip,Pokémon,Grass,Steam Siege,3,Common,https://images.pokemontcg.io/xy11/3_hires.png,https://images.pokemontcg.io/xy11/3.png,40,,"[{""name"": ""Splash"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}]",Splash,10,,Fire:×2,,Colorless,,Mina Nakai,"It drifts on winds. It is said that when Hoppip gather in fields and mountains, spring is on the way.",,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,xy11-4,Skiploom,Pokémon,Grass,Steam Siege,4,Uncommon,https://images.pokemontcg.io/xy11/4_hires.png,https://images.pokemontcg.io/xy11/4.png,70,,"[{""name"": ""Splash"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": """"}]",Splash,20,,Fire:×2,,Colorless,Hoppip,Eri Yamaki,It spreads its petals to absorb sunlight. It also floats in the air to get closer to the sun.,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,xy11-5,Jumpluff,Pokémon,Grass,Steam Siege,5,Rare,https://images.pokemontcg.io/xy11/5_hires.png,https://images.pokemontcg.io/xy11/5.png,90,,"[{""name"": ""Fluffy Transport"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Switch 1 of your opponent's Benched Pokémon with his or her Active Pokémon.""}, {""name"": ""Solar Step"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""20×"", ""text"": ""This attack does 20 damage times the number of your remaining Prize cards.""}]",Fluffy Transport|Solar Step,|20×,Switch 1 of your opponent's Benched Pokémon with his or her Active Pokémon.|This attack does 20 damage times the number of your remaining Prize cards.,Fire:×2,,Colorless,Skiploom,Suwama Chiaki,"Even in the fiercest wind, it can control its fluff to make its way to any place in the world it wants.",,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,xy11-6,Yanma,Pokémon,Grass,Steam Siege,6,Common,https://images.pokemontcg.io/xy11/6_hires.png,https://images.pokemontcg.io/xy11/6.png,70,,"[{""name"": ""Scout"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Your opponent reveals his or her hand.""}, {""name"": ""Speed Dive"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""40"", ""text"": """"}]",Scout|Speed Dive,|40,Your opponent reveals his or her hand.|,Lightning:×2,Fighting:-20,Colorless,,match,"If it flaps its wings really fast, it can generate shock waves that will shatter windows in the area.",,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,xy11-7,Yanmega,Pokémon,Grass,Steam Siege,7,Rare,https://images.pokemontcg.io/xy11/7_hires.png,https://images.pokemontcg.io/xy11/7.png,110,"[{""name"": ""Sonic Vision"", ""text"": ""If you have exactly 4 cards in your hand, ignore all Energy in the attack cost of each of this Pokémon's attacks."", ""type"": ""Ability""}]","[{""name"": ""Assault Boom"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""50+"", ""text"": ""If your opponent's Active Pokémon has a Pokémon Tool card attached to it, this attack does 70 more damage.""}]",Assault Boom,50+,"If your opponent's Active Pokémon has a Pokémon Tool card attached to it, this attack does 70 more damage.",Lightning:×2,Fighting:-20,,Yanma,Midori Harada,This six-legged Pokémon is easily capable of transporting an adult in flight. The wings on its tail help it stay balanced.,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,xy11-8,Yanmega BREAK,Pokémon,Grass,Steam Siege,8,Rare BREAK,https://images.pokemontcg.io/xy11/8_hires.png,https://images.pokemontcg.io/xy11/8.png,140,,"[{""name"": ""Barrier Break"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""100"", ""text"": ""This attack's damage isn't affected by Weakness, Resistance, or any other effects on your opponent's Active Pokémon.""}]",Barrier Break,100,"This attack's damage isn't affected by Weakness, Resistance, or any other effects on your opponent's Active Pokémon.",,,,Yanmega,5ban Graphics,,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,xy11-9,Seedot,Pokémon,Grass,Steam Siege,9,Common,https://images.pokemontcg.io/xy11/9_hires.png,https://images.pokemontcg.io/xy11/9.png,50,,"[{""name"": ""Bide"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Flip a coin. If heads, if this Pokémon would be Knocked Out by damage from an attack during your opponent's next turn, it is not Knocked Out and its remaining HP becomes 10 instead.""}]",Bide,,"Flip a coin. If heads, if this Pokémon would be Knocked Out by damage from an attack during your opponent's next turn, it is not Knocked Out and its remaining HP becomes 10 instead.",Fire:×2,,Colorless,,sui,"When it dangles from a tree branch, it looks just like an acorn. It enjoys scaring other Pokémon.",,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,xy11-10,Nuzleaf,Pokémon,Grass,Steam Siege,10,Uncommon,https://images.pokemontcg.io/xy11/10_hires.png,https://images.pokemontcg.io/xy11/10.png,70,,"[{""name"": ""Harden"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""During your opponent's next turn, if this Pokémon would be damaged by an attack, prevent that attack's damage done to this Pokémon if that damage is 60 or less.""}, {""name"": ""Razor Leaf"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": """"}]",Harden|Razor Leaf,|20,"During your opponent's next turn, if this Pokémon would be damaged by an attack, prevent that attack's damage done to this Pokémon if that damage is 60 or less.|",Fire:×2,,Colorless,Seedot,Ayaka Yoshida,"It lives deep in forests. With the leaf on its head, it makes a flute whose song makes listeners uneasy.",,,,,,,,,,,,,,,,,,,,,,,,,
