Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,sv7-1,Venusaur ex,Pokémon,Grass,Stellar Crown,1,Double Rare,https://images.pokemontcg.io/sv7/1_hires.png,https://images.pokemontcg.io/sv7/1.png,340,"[{""name"": ""Tranquil Flower"", ""text"": ""Once during your turn, if this Pokémon is in the Active Spot, you may heal 60 damage from 1 of your Pokémon."", ""type"": ""Ability""}]","[{""name"": ""Dangerous Toxwhip"", ""cost"": [""Grass"", ""Grass"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""150"", ""text"": ""Your opponent's Active Pokémon is now Confused and Poisoned.""}]",Dangerous Toxwhip,150,Your opponent's Active Pokémon is now Confused and Poisoned.,Fire:×2,,Colorless__Colorless__Colorless__Colorless,Ivysaur,,,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,sv7-2,Ledyba,Pokémon,Grass,Stellar Crown,2,Common,https://images.pokemontcg.io/sv7/2_hires.png,https://images.pokemontcg.io/sv7/2.png,60,,"[{""name"": ""Headbutt Bounce"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": """"}]",Headbutt Bounce,30,,Fire:×2,,Colorless,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,sv7-3,Ledian,Pokémon,Grass,Stellar Crown,3,Rare,https://images.pokemontcg.io/sv7/3_hires.png,https://images.pokemontcg.io/sv7/3.png,90,"[{""name"": ""Glittering Star Pattern"", ""text"": ""When you play this Pokémon from your hand to evolve 1 of your Pokémon during your turn, you may switch in 1 of your opponent's Benched Pokémon that has 90 HP or less remaining to the Active Spot."", ""type"": ""Ability""}]","[{""name"": ""Swift"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""70"", ""text"": ""This attack's damage isn't affected by Weakness or Resistance, or by any effects on your opponent's Active Pokémon.""}]",Swift,70,"This attack's damage isn't affected by Weakness or Resistance, or by any effects on your opponent's Active Pokémon.",Fire:×2,,,Ledyba,,,,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,sv7-4,Celebi,Pokémon,Grass,Stellar Crown,4,Uncommon,https://images.pokemontcg.io/sv7/4_hires.png,https://images.pokemontcg.io/sv7/4.png,80,,"[{""name"": ""Collect"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Draw a card.""}, {""name"": ""Leaf Step"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""30"", ""text"": """"}]",Collect|Leaf Step,|30,Draw a card.|,Fire:×2,,Colorless,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,sv7-5,Lileep,Pokémon,Grass,Stellar Crown,5,Common,https://images.pokemontcg.io/sv7/5_hires.png,https://images.pokemontcg.io/sv7/5.png,100,,"[{""name"": ""Bind Down"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""50"", ""text"": ""During your opponent's next turn, the Defending Pokémon can't retreat.""}]",Bind Down,50,"During your opponent's next turn, the Defending Pokémon can't retreat.",Fire:×2,,Colorless__Colorless,Antique Root Fossil,,,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,sv7-6,Cradily,Pokémon,Grass,Stellar Crown,6,Rare,https://images.pokemontcg.io/sv7/6_hires.png,https://images.pokemontcg.io/sv7/6.png,150,"[{""name"": ""Selective Slime"", ""text"": ""Once during your turn, you may flip a coin. If heads, choose Burned, Confused, or Poisoned. Your opponent's Active Pokémon is now affected by that Special Condition."", ""type"": ""Ability""}]","[{""name"": ""Miasma Wind"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""100×"", ""text"": ""This attack does 100 damage for each Special Condition affecting your opponent's Active Pokémon.""}]",Miasma Wind,100×,This attack does 100 damage for each Special Condition affecting your opponent's Active Pokémon.,Fire:×2,,Colorless__Colorless__Colorless,Lileep,,,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,sv7-7,Carnivine,Pokémon,Grass,Stellar Crown,7,Common,https://images.pokemontcg.io/sv7/7_hires.png,https://images.pokemontcg.io/sv7/7.png,110,,"[{""name"": ""Nosh"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Heal 40 damage from this Pokémon.""}, {""name"": ""Loom Over"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""130-"", ""text"": ""This attack does 10 less damage for each damage counter on this Pokémon.""}]",Nosh|Loom Over,|130-,Heal 40 damage from this Pokémon.|This attack does 10 less damage for each damage counter on this Pokémon.,Fire:×2,,Colorless__Colorless,,,,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,sv7-8,Mow Rotom,Pokémon,Grass,Stellar Crown,8,Common,https://images.pokemontcg.io/sv7/8_hires.png,https://images.pokemontcg.io/sv7/8.png,90,,"[{""name"": ""Reaping Dash"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""30"", ""text"": ""Before doing damage, discard all Pokémon Tools and Special Energy from your opponent's Active Pokémon.""}]",Reaping Dash,30,"Before doing damage, discard all Pokémon Tools and Special Energy from your opponent's Active Pokémon.",Fire:×2,,Colorless,,,,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,sv7-9,Grubbin,Pokémon,Grass,Stellar Crown,9,Common,https://images.pokemontcg.io/sv7/9_hires.png,https://images.pokemontcg.io/sv7/9.png,70,,"[{""name"": ""Ambush"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""10+"", ""text"": ""Flip a coin. If heads, this attack does 30 more damage.""}]",Ambush,10+,"Flip a coin. If heads, this attack does 30 more damage.",Fire:×2,,Colorless__Colorless,,,,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,sv7-10,Gossifleur,Pokémon,Grass,Stellar Crown,10,Common,https://images.pokemontcg.io/sv7/10_hires.png,https://images.pokemontcg.io/sv7/10.png,60,,"[{""name"": ""Double Spin"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10×"", ""text"": ""Flip 2 coins. This attack does 10 damage for each heads.""}]",Double Spin,10×,Flip 2 coins. This attack does 10 damage for each heads.,Fire:×2,,Colorless,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010.jpg,sv7-11,Eldegoss,Pokémon,Grass,Stellar Crown,11,Uncommon,https://images.pokemontcg.io/sv7/11_hires.png,https://images.pokemontcg.io/sv7/11.png,90,,"[{""name"": ""Breezy Gift"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Put this Pokémon and all attached cards into your deck. If you do, search your deck for up to 3 cards and put them into your hand. Then, shuffle your deck.""}, {""name"": ""Leafage"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""50"", ""text"": """"}]",Breezy Gift|Leafage,|50,"Put this Pokémon and all attached cards into your deck. If you do, search your deck for up to 3 cards and put them into your hand. Then, shuffle your deck.|",Fire:×2,,Colorless,Gossifleur,,,,,,,,,,,,,,,,,,,,,,,,,,,
011.jpg,sv7-12,Applin,Pokémon,Grass,Stellar Crown,12,Common,https://images.pokemontcg.io/sv7/12_hires.png,https://images.pokemontcg.io/sv7/12.png,40,,"[{""name"": ""Spray Fluid"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""20"", ""text"": """"}]",Spray Fluid,20,,Fire:×2,,Colorless,,,,,,,,,,,,,,,,,,,,,,,,,,,,
