Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,dp7-1,Dusknoir,Pokémon,Psychic,Stormfront,1,Rare Holo,https://images.pokemontcg.io/dp7/1_hires.png,https://images.pokemontcg.io/dp7/1.png,120,"[{""name"": ""Shadow Command"", ""text"": ""Once during your turn (before your attack), you may draw 2 cards. If you have 7 or more cards in your hand, discard a number of cards until you have 6 cards in your hand. Then, put 2 damage counters on Dusknoir. This power can't be used if Dusknoir is affected by a Special Condition."", ""type"": ""Poké-Power""}]","[{""name"": ""Damage Even"", ""cost"": [""Psychic"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": """", ""text"": ""Count the number of damage counters on Dusknoir. Put that many damage counters on 1 of your opponent's Pokémon.""}, {""name"": ""Night Spin"", ""cost"": [""Psychic"", ""Psychic"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""50"", ""text"": ""Prevent all effects of an attack, including damage, done to Dusknoir by your opponent's Pokémon that has 2 or less Energy attached to it during your opponent's next turn.""}]",Damage Even|Night Spin,|50,"Count the number of damage counters on Dusknoir. Put that many damage counters on 1 of your opponent's Pokémon.|Prevent all effects of an attack, including damage, done to Dusknoir by your opponent's Pokémon that has 2 or less Energy attached to it during your opponent's next turn.",Darkness:+30,Colorless:-20,Colorless__Colorless__Colorless,Dusclops,Mitsuhiro Arita,,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,dp7-2,Empoleon,Pokémon,Metal,Stormfront,2,Rare Holo,https://images.pokemontcg.io/dp7/2_hires.png,https://images.pokemontcg.io/dp7/2.png,130,"[{""name"": ""Emperor Aura"", ""text"": ""Once during your turn (before your attack), when you play Empoleon from your hand to evolve 1 of your Active Pokémon, you may use this power. Your opponent can't attach any Energy cards from his or her hand to his or her Pokémon during your opponent's next turn."", ""type"": ""Poké-Power""}]","[{""name"": ""Steel Wing"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""40"", ""text"": ""During your opponent's next turn, any damage done to Empoleon by attacks is reduced by 20 (after applying Weakness and Resistance).""}, {""name"": ""Whirlpool"", ""cost"": [""Water"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""60"", ""text"": ""Flip a coin. If heads, discard an Energy card attached to the Defending Pokémon.""}]",Steel Wing|Whirlpool,40|60,"During your opponent's next turn, any damage done to Empoleon by attacks is reduced by 20 (after applying Weakness and Resistance).|Flip a coin. If heads, discard an Energy card attached to the Defending Pokémon.",Lightning:+30,,Colorless__Colorless,Prinplup,Kouki Saitou,,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,dp7-3,Infernape,Pokémon,Fighting,Stormfront,3,Rare Holo,https://images.pokemontcg.io/dp7/3_hires.png,https://images.pokemontcg.io/dp7/3.png,120,"[{""name"": ""Blaze Dance"", ""text"": ""Once during your turn (before your attack), when you play Infernape from your hand to evolve 1 of your Pokémon, you may flip a coin. If heads, search your deck for up to 4 Fire Energy cards and attach them to your Pokémon in any way you like. Shuffle your deck afterward."", ""type"": ""Poké-Power""}]","[{""name"": ""Close Combat"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""60"", ""text"": ""During your opponent's next turn, any damage done to Infernape by attacks is increased by 30 (after applying Weakness and Resistance).""}, {""name"": ""Spreading Fire"", ""cost"": [""Fire"", ""Fire"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""80"", ""text"": ""Discard 2 Fire Energy attached to Infernape and this attack does 20 damage to each of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}]",Close Combat|Spreading Fire,60|80,"During your opponent's next turn, any damage done to Infernape by attacks is increased by 30 (after applying Weakness and Resistance).|Discard 2 Fire Energy attached to Infernape and this attack does 20 damage to each of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)",Psychic:+30,,,Monferno,Mitsuhiro Arita,,,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,dp7-4,Lumineon,Pokémon,Water,Stormfront,4,Rare Holo,https://images.pokemontcg.io/dp7/4_hires.png,https://images.pokemontcg.io/dp7/4.png,80,"[{""name"": ""Fin Luster"", ""text"": ""Once during your turn (before your attack), if Lumineon is your Active Pokémon, you may look at your opponent's hand. If your opponent's Bench isn't full, choose 1 Basic Pokémon from your opponent's hand, and put it onto his or her Bench. Then, switch it with the Defending Pokémon. This power can't be used if Lumineon is affected by a Special Condition."", ""type"": ""Poké-Power""}]","[{""name"": ""Quick Swim"", ""cost"": [], ""convertedEnergyCost"": 0, ""damage"": """", ""text"": ""Choose 1 of your opponent's Pokémon. This attack does 20 damage to that Pokémon. This attack's damage isn't affected by Weakness or Resistance.""}, {""name"": ""Elegant Swim"", ""cost"": [""Water""], ""convertedEnergyCost"": 1, ""damage"": ""30"", ""text"": ""Flip a coin. If heads, prevent all effects of an attack, including damage, done to Lumineon during your opponent's next turn.""}]",Quick Swim|Elegant Swim,|30,"Choose 1 of your opponent's Pokémon. This attack does 20 damage to that Pokémon. This attack's damage isn't affected by Weakness or Resistance.|Flip a coin. If heads, prevent all effects of an attack, including damage, done to Lumineon during your opponent's next turn.",Lightning:+20,,,Finneon,Kent Kanetsuna,,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,dp7-5,Magnezone,Pokémon,Metal,Stormfront,5,Rare Holo,https://images.pokemontcg.io/dp7/5_hires.png,https://images.pokemontcg.io/dp7/5.png,120,"[{""name"": ""Magnetic Search"", ""text"": ""Once during your turn (before your attack), you may search your deck for a Lightning or Metal Pokémon, show it to your opponent, and put it into your hand. Shuffle your deck afterward. This power can't be used if Magnezone is affected by a Special Condition."", ""type"": ""Poké-Power""}]","[{""name"": ""Speed Shot"", ""cost"": [""Lightning"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": """", ""text"": ""Choose 1 of your opponent's Pokémon. This attack does 30 damage to that Pokémon. This attack's damage isn't affected by Weakness, Resistance, Poké-Powers, Poké-Bodies, or any other effects on that Pokémon.""}, {""name"": ""Crush Volt"", ""cost"": [""Lightning"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""80"", ""text"": ""Discard an Energy attached to Magnezone.""}]",Speed Shot|Crush Volt,|80,"Choose 1 of your opponent's Pokémon. This attack does 30 damage to that Pokémon. This attack's damage isn't affected by Weakness, Resistance, Poké-Powers, Poké-Bodies, or any other effects on that Pokémon.|Discard an Energy attached to Magnezone.",Fire:+30,Psychic:-20,Colorless__Colorless,Magneton,Masakazu Fukuda,,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,dp7-6,Magnezone,Pokémon,Lightning,Stormfront,6,Rare Holo,https://images.pokemontcg.io/dp7/6_hires.png,https://images.pokemontcg.io/dp7/6.png,120,"[{""name"": ""Super Connectivity"", ""text"": ""Once during your turn (before your attack), you may search your discard pile for a Lightning or Metal Energy card and attach it to your Active Pokémon. Then, put 1 damage counter on that Pokémon. This power can't be used if Magnezone is affected by a Special Condition."", ""type"": ""Poké-Power""}]","[{""name"": ""Gyro Ball"", ""cost"": [""Lightning"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""60"", ""text"": ""You may switch Magnezone with 1 of your Benched Pokémon. If you do, your opponent switches the Defending Pokémon with 1 of his or her Benched Pokémon.""}]",Gyro Ball,60,"You may switch Magnezone with 1 of your Benched Pokémon. If you do, your opponent switches the Defending Pokémon with 1 of his or her Benched Pokémon.",Fighting:+30,Metal:-20,Colorless__Colorless__Colorless,Magneton,Tomoaki Imakuni,It evolved from exposure to a special magnetic field. Three units generate magnetism.,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,dp7-7,Mismagius,Pokémon,Psychic,Stormfront,7,Rare Holo,https://images.pokemontcg.io/dp7/7_hires.png,https://images.pokemontcg.io/dp7/7.png,80,,"[{""name"": ""Crash Chant"", ""cost"": [], ""convertedEnergyCost"": 0, ""damage"": ""20×"", ""text"": ""Choose up to 4 in any combination of Pokémon Tool cards and Technical Machine cards in play (both yours and your opponent's) and discard them. This attack does 20 damage times the number of cards discarded in this way.""}, {""name"": ""Horror Chant"", ""cost"": [""Psychic"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""40"", ""text"": ""If your opponent has 4 or more Benched Pokémon, choose 1 of them and return that Pokémon and all cards attached to it to your opponent's hand.""}]",Crash Chant|Horror Chant,20×|40,"Choose up to 4 in any combination of Pokémon Tool cards and Technical Machine cards in play (both yours and your opponent's) and discard them. This attack does 20 damage times the number of cards discarded in this way.|If your opponent has 4 or more Benched Pokémon, choose 1 of them and return that Pokémon and all cards attached to it to your opponent's hand.",Darkness:+20,Colorless:-20,Colorless,Misdreavus,Midori Harada,,,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,dp7-8,Raichu,Pokémon,Lightning,Stormfront,8,Rare Holo,https://images.pokemontcg.io/dp7/8_hires.png,https://images.pokemontcg.io/dp7/8.png,90,,"[{""name"": ""Slice"", ""cost"": [], ""convertedEnergyCost"": 0, ""damage"": ""30"", ""text"": ""Raichu can't use Slice during your next turn.""}, {""name"": ""Split Ball"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""50"", ""text"": ""Move an Energy card attached to Raichu to 1 of your Benched Pokémon.""}, {""name"": ""Burst Ball"", ""cost"": [""Lightning"", ""Lightning"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""100"", ""text"": ""Discard 3 Energy attached to any of your Pokémon in any way you like.""}]",Slice|Split Ball|Burst Ball,30|50|100,Raichu can't use Slice during your next turn.|Move an Energy card attached to Raichu to 1 of your Benched Pokémon.|Discard 3 Energy attached to any of your Pokémon in any way you like.,Fighting:+20,Metal:-20,,Pikachu,Kagemaru Himeno,,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,dp7-9,Regigigas,Pokémon,Colorless,Stormfront,9,Rare Holo,https://images.pokemontcg.io/dp7/9_hires.png,https://images.pokemontcg.io/dp7/9.png,100,"[{""name"": ""Regi Form"", ""text"": ""If you have Regirock, Regice, and Registeel in play, the attack cost of Regigigas's attacks is Colorless less."", ""type"": ""Poké-Body""}]","[{""name"": ""Mega Punch"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": """"}, {""name"": ""Giga Power"", ""cost"": [""Water"", ""Fighting"", ""Metal"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""60+"", ""text"": ""You may do 60 damage plus 40 more damage. If you do, Regigigas does 40 damage to itself.""}]",Mega Punch|Giga Power,30|60+,"|You may do 60 damage plus 40 more damage. If you do, Regigigas does 40 damage to itself.",Fighting:×2,,Colorless__Colorless__Colorless__Colorless,,Masakazu Fukuda,,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,dp7-10,Sceptile,Pokémon,Grass,Stormfront,10,Rare Holo,https://images.pokemontcg.io/dp7/10_hires.png,https://images.pokemontcg.io/dp7/10.png,110,"[{""name"": ""Energy Trans"", ""text"": ""As often as you like during your turn (before your attack), move a Grass Energy card attached to 1 of your Pokémon to another of your Pokémon. This power can't be used if Sceptile is affected by a Special Condition."", ""type"": ""Poké-Power""}]","[{""name"": ""Poison Leaf"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""40"", ""text"": ""The Defending Pokémon is now Poisoned.""}, {""name"": ""Slice Drain"", ""cost"": [""Grass"", ""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""60"", ""text"": ""Remove 2 damage counters from Sceptile.""}]",Poison Leaf|Slice Drain,40|60,The Defending Pokémon is now Poisoned.|Remove 2 damage counters from Sceptile.,Fire:+30,Water:-20,Colorless,Grovyle,Suwama Chiaki,,,,,,,,,,,,,,,,,,,,,,,,,,
