Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,sm1-1,Caterpie,Pokémon,Grass,Sun & Moon,1,Common,https://images.pokemontcg.io/sm1/1_hires.png,https://images.pokemontcg.io/sm1/1.png,50,,"[{""name"": ""Nap"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Heal 20 damage from this Pokémon.""}, {""name"": ""Gnaw"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": """"}]",Nap|Gnaw,|20,Heal 20 damage from this Pokémon.|,Fire:×2,,Colorless,,Kanako Eo,"When attacked by bird Pokémon, it resists by releasing a terrifically strong odor from its antennae, but it often becomes their prey.",,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,sm1-2,Metapod,Pokémon,Grass,Sun & Moon,2,Uncommon,https://images.pokemontcg.io/sm1/2_hires.png,https://images.pokemontcg.io/sm1/2.png,80,,"[{""name"": ""Iron Defense"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Flip a coin. If heads, prevent all damage done to this Pokémon by attacks during your opponent's next turn.""}, {""name"": ""Bug Bite"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""40"", ""text"": """"}]",Iron Defense|Bug Bite,|40,"Flip a coin. If heads, prevent all damage done to this Pokémon by attacks during your opponent's next turn.|",Fire:×2,,Colorless__Colorless__Colorless,Caterpie,Yuka Morii,Its shell is filled with its soft innards. It doesn't move much because of the risk it might carelessly spill its innards out.,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,sm1-3,Butterfree,Pokémon,Grass,Sun & Moon,3,Rare,https://images.pokemontcg.io/sm1/3_hires.png,https://images.pokemontcg.io/sm1/3.png,130,,"[{""name"": ""Psy Bolt"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""30"", ""text"": ""Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.""}, {""name"": ""Whirlwind"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""80"", ""text"": ""Your opponent switches their Active Pokémon with 1 of their Benched Pokémon.""}]",Psy Bolt|Whirlwind,30|80,"Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.|Your opponent switches their Active Pokémon with 1 of their Benched Pokémon.",Fire:×2,,Colorless,Metapod,chibi,Close examination of its large eyes reveals that each eye is composed of a myriad of tiny eyes.,,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,sm1-4,Paras,Pokémon,Grass,Sun & Moon,4,Common,https://images.pokemontcg.io/sm1/4_hires.png,https://images.pokemontcg.io/sm1/4.png,60,,"[{""name"": ""Scratch"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": """"}]",Scratch,30,,Fire:×2,,Colorless,,Ayaka Yoshida,"No matter how much it eats, the mushrooms growing on its back steal away most of the nutrients it consumes.",,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,sm1-5,Parasect,Pokémon,Grass,Sun & Moon,5,Rare,https://images.pokemontcg.io/sm1/5_hires.png,https://images.pokemontcg.io/sm1/5.png,110,,"[{""name"": ""Fury Cutter"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""10+"", ""text"": ""Flip 3 coins. If 1 of them is heads, this attack does 20 more damage. If 2 of them are heads, this attack does 60 more damage. If all of them are heads, this attack does 120 damage.""}, {""name"": ""Mushroom Drain"", ""cost"": [""Grass"", ""Grass"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""70"", ""text"": ""Heal 30 damage from this Pokémon.""}]",Fury Cutter|Mushroom Drain,10+|70,"Flip 3 coins. If 1 of them is heads, this attack does 20 more damage. If 2 of them are heads, this attack does 60 more damage. If all of them are heads, this attack does 120 damage.|Heal 30 damage from this Pokémon.",Fire:×2,,Colorless__Colorless__Colorless,Paras,Eri Yamaki,The large mushroom on its back controls it. It often fights over territory with Shiinotic.,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,sm1-6,Pinsir,Pokémon,Grass,Sun & Moon,6,Uncommon,https://images.pokemontcg.io/sm1/6_hires.png,https://images.pokemontcg.io/sm1/6.png,110,,"[{""name"": ""Roof Fling"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": """", ""text"": ""Flip a coin. If heads, put your opponent's Active Pokémon and all cards attached to it into your opponent's hand.""}, {""name"": ""Guillotine"", ""cost"": [""Grass"", ""Grass""], ""convertedEnergyCost"": 2, ""damage"": ""50"", ""text"": """"}]",Roof Fling|Guillotine,|50,"Flip a coin. If heads, put your opponent's Active Pokémon and all cards attached to it into your opponent's hand.|",Fire:×2,,Colorless__Colorless,,DemizuPosuka,One solid blow from its horns is enough to split apart a large tree. Its greatest rival in Alola is Vikavolt.,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,sm1-7,Surskit,Pokémon,Grass,Sun & Moon,7,Common,https://images.pokemontcg.io/sm1/7_hires.png,https://images.pokemontcg.io/sm1/7.png,50,,"[{""name"": ""Quick Attack"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10+"", ""text"": ""Flip a coin. If heads, this attack does 10 more damage.""}]",Quick Attack,10+,"Flip a coin. If heads, this attack does 10 more damage.",Fire:×2,,Colorless,,Kyoko Umemoto,"When this Pokémon senses danger, a sweet fluid oozes from the tip of its heads. The taste of it disgusts bird Pokémon.",,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,sm1-8,Masquerain,Pokémon,Grass,Sun & Moon,8,Rare,https://images.pokemontcg.io/sm1/8_hires.png,https://images.pokemontcg.io/sm1/8.png,90,,"[{""name"": ""Struggle Bug"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""30"", ""text"": ""Move an Energy from your opponent's Active Pokémon to 1 of their Benched Pokémon.""}]",Struggle Bug,30,Move an Energy from your opponent's Active Pokémon to 1 of their Benched Pokémon.,Fire:×2,,,Surskit,miki kudo,"Its wings and antennae don't cope well with moisture. After a rain, it faces sunward to dry off.",,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,sm1-9,Rowlet,Pokémon,Grass,Sun & Moon,9,Common,https://images.pokemontcg.io/sm1/9_hires.png,https://images.pokemontcg.io/sm1/9.png,60,,"[{""name"": ""Tackle"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}, {""name"": ""Leafage"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": """"}]",Tackle|Leafage,10|20,|,Fire:×2,,Colorless,,Megumi Mizutani,"This wary Pokémon uses photosynthesis to store up energy during the day, while becoming active at night.",,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,sm1-10,Dartrix,Pokémon,Grass,Sun & Moon,10,Uncommon,https://images.pokemontcg.io/sm1/10_hires.png,https://images.pokemontcg.io/sm1/10.png,80,,"[{""name"": ""Sharp Blade Quill"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""This attack does 20 damage to 1 of your opponent's Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}, {""name"": ""Leaf Blade"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""50+"", ""text"": ""Flip a coin. If heads, this attack does 20 more damage.""}]",Sharp Blade Quill|Leaf Blade,|50+,"This attack does 20 damage to 1 of your opponent's Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)|Flip a coin. If heads, this attack does 20 more damage.",Fire:×2,,Colorless,Rowlet,Mizue,"A bit of a dandy, it spends its free time preening its wings. Its preoccupation with any dirt on its plumage can leave it unable to battle.",,,,,,,,,,,,,,,,,,,,,,,,,
010.jpg,sm1-11,Decidueye,Pokémon,Grass,Sun & Moon,11,Rare,https://images.pokemontcg.io/sm1/11_hires.png,https://images.pokemontcg.io/sm1/11.png,140,,"[{""name"": ""Leaf Blade"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""30+"", ""text"": ""Flip a coin. If heads, this attack does 30 more damage.""}, {""name"": ""Brave Bird"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""120"", ""text"": ""This Pokémon does 20 damage to itself.""}]",Leaf Blade|Brave Bird,30+|120,"Flip a coin. If heads, this attack does 30 more damage.|This Pokémon does 20 damage to itself.",Fire:×2,,Colorless,Dartrix,Kouki Saitou,"It fires arrow quills from its wings with such precision, they can pierce a pebble at distances over a hundred yards.",,,,,,,,,,,,,,,,,,,,,,,,,
011.jpg,sm1-12,Decidueye-GX,Pokémon,Grass,Sun & Moon,12,Rare Holo GX,https://images.pokemontcg.io/sm1/12_hires.png,https://images.pokemontcg.io/sm1/12.png,240,"[{""name"": ""Feather Arrow"", ""text"": ""Once during your turn (before your attack), you may put 2 damage counters on 1 of your opponent's Pokémon."", ""type"": ""Ability""}]","[{""name"": ""Razor Leaf"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""90"", ""text"": """"}, {""name"": ""Hollow Hunt-GX"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Put 3 cards from your discard pile into your hand. (You can't use more than 1 GX attack in a game.)""}]",Razor Leaf|Hollow Hunt-GX,90|,|Put 3 cards from your discard pile into your hand. (You can't use more than 1 GX attack in a game.),Fire:×2,,Colorless__Colorless,Dartrix,5ban Graphics,,,,,,,,,,,,,,,,,,,,,,,,,,
012.jpg,sm1-13,Grubbin,Pokémon,Grass,Sun & Moon,13,Common,https://images.pokemontcg.io/sm1/13_hires.png,https://images.pokemontcg.io/sm1/13.png,70,,"[{""name"": ""Vice Grip"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": """"}]",Vice Grip,20,,Fire:×2,,Colorless__Colorless,,Akira Komayama,They often gather near places frequented by electric Pokémon in order to avoid being attacked by bird Pokémon.,,,,,,,,,,,,,,,,,,,,,,,,,
013.jpg,sm1-14,Fomantis,Pokémon,Grass,Sun & Moon,14,Common,https://images.pokemontcg.io/sm1/14_hires.png,https://images.pokemontcg.io/sm1/14.png,60,,"[{""name"": ""Synthesis"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Search your deck for a Grass Energy card and attach it to 1 of your Pokémon. Then, shuffle your deck.""}, {""name"": ""Leafage"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20"", ""text"": """"}]",Synthesis|Leafage,|20,"Search your deck for a Grass Energy card and attach it to 1 of your Pokémon. Then, shuffle your deck.|",Fire:×2,,Colorless,,Kagemaru Himeno,They give off a sweet and refreshing scent. Cutiefly often gather near the tall grass where Fomantis are hiding.,,,,,,,,,,,,,,,,,,,,,,,,,
014.jpg,sm1-15,Lurantis-GX,Pokémon,Grass,Sun & Moon,15,Rare Holo GX,https://images.pokemontcg.io/sm1/15_hires.png,https://images.pokemontcg.io/sm1/15.png,210,,"[{""name"": ""Flower Supply"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""40"", ""text"": ""Attach 2 basic Energy cards from your discard pile to your Pokémon in any way you like.""}, {""name"": ""Solar Blade"", ""cost"": [""Grass"", ""Grass"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""120"", ""text"": ""Heal 30 damage from this Pokémon.""}, {""name"": ""Chloroscythe-GX"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""50×"", ""text"": ""This attack does 50 damage times the amount of Grass Energy attached to this Pokémon. (You can't use more than 1 GX attack in a game.)""}]",Flower Supply|Solar Blade|Chloroscythe-GX,40|120|50×,Attach 2 basic Energy cards from your discard pile to your Pokémon in any way you like.|Heal 30 damage from this Pokémon.|This attack does 50 damage times the amount of Grass Energy attached to this Pokémon. (You can't use more than 1 GX attack in a game.),Fire:×2,,Colorless__Colorless,Fomantis,5ban Graphics,,,,,,,,,,,,,,,,,,,,,,,,,,
015.jpg,sm1-16,Morelull,Pokémon,Grass,Sun & Moon,16,Common,https://images.pokemontcg.io/sm1/16_hires.png,https://images.pokemontcg.io/sm1/16.png,60,,"[{""name"": ""Flickering Spores"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Your opponent's Active Pokémon is now Asleep.""}, {""name"": ""Ram"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}]",Flickering Spores|Ram,|10,Your opponent's Active Pokémon is now Asleep.|,Fire:×2,,Colorless,,Saya Tsuruta,"As it drowses the day away, it nourishes itself by sucking from tree roots. It wakens at the fall of night, wandering off in search of a new tree.",,,,,,,,,,,,,,,,,,,,,,,,,
016.jpg,sm1-17,Shiinotic,Pokémon,Grass,Sun & Moon,17,Rare Holo,https://images.pokemontcg.io/sm1/17_hires.png,https://images.pokemontcg.io/sm1/17.png,100,"[{""name"": ""Illuminate"", ""text"": ""Once during your turn (before your attack), you may search your deck for a Grass Pokémon, reveal it, and put it into your hand. Then, shuffle your deck."", ""type"": ""Ability""}]","[{""name"": ""Flickering Spores"", ""cost"": [""Grass"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30"", ""text"": ""Your opponent's Active Pokémon is now Asleep.""}]",Flickering Spores,30,Your opponent's Active Pokémon is now Asleep.,Fire:×2,,Colorless__Colorless,Morelull,Mizue,"It emits flickering spores that cause drowsiness. When its prey succumb to sleep, this Pokémon feeds on them by sucking in their energy.",,,,,,,,,,,,,,,,,,,,,,,,,
017.jpg,sm1-18,Bounsweet,Pokémon,Grass,Sun & Moon,18,Common,https://images.pokemontcg.io/sm1/18_hires.png,https://images.pokemontcg.io/sm1/18.png,60,,"[{""name"": ""Sweet Scent"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Heal 30 damage from 1 of your Pokémon.""}, {""name"": ""Splash"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10"", ""text"": """"}]",Sweet Scent|Splash,|10,Heal 30 damage from 1 of your Pokémon.|,Fire:×2,,Colorless,,Akira Komayama,A delectable aroma pours from its body. They are often swallowed whole by Toucannon lured by that wafting deliciousness.,,,,,,,,,,,,,,,,,,,,,,,,,
018.jpg,sm1-19,Steenee,Pokémon,Grass,Sun & Moon,19,Uncommon,https://images.pokemontcg.io/sm1/19_hires.png,https://images.pokemontcg.io/sm1/19.png,90,,"[{""name"": ""Sweet Scent"", ""cost"": [""Grass""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Heal 30 damage from 1 of your Pokémon.""}, {""name"": ""Stomp"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""20+"", ""text"": ""Flip a coin. If heads, this attack does 20 more damage.""}]",Sweet Scent|Stomp,|20+,"Heal 30 damage from 1 of your Pokémon.|Flip a coin. If heads, this attack does 20 more damage.",Fire:×2,,Colorless__Colorless,Bounsweet,Mizue,"The sepals on its head developed to protect its body. These are quite hard, so even if pecked by bird Pokémon, this Pokémon is totally fine.",,,,,,,,,,,,,,,,,,,,,,,,,
019.jpg,sm1-20,Tsareena,Pokémon,Grass,Sun & Moon,20,Rare Holo,https://images.pokemontcg.io/sm1/20_hires.png,https://images.pokemontcg.io/sm1/20.png,140,"[{""name"": ""Queenly Majesty"", ""text"": ""When you play this Pokémon from your hand to evolve 1 of your Pokémon during your turn, you may have your opponent reveal their hand. Then, discard a card from it."", ""type"": ""Ability""}]","[{""name"": ""Trop Kick"", ""cost"": [""Grass"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""80"", ""text"": ""Heal 20 damage and remove all Special Conditions from this Pokémon.""}]",Trop Kick,80,Heal 20 damage and remove all Special Conditions from this Pokémon.,Fire:×2,,Colorless__Colorless,Steenee,Shin Nagasawa,"Its long, striking legs aren't just for show but to be used to kick with skill. In victory, it shows off by kicking the defeated, laughing boisterously.",,,,,,,,,,,,,,,,,,,,,,,,,
020.jpg,sm1-21,Growlithe,Pokémon,Fire,Sun & Moon,21,Common,https://images.pokemontcg.io/sm1/21_hires.png,https://images.pokemontcg.io/sm1/21.png,80,,"[{""name"": ""Take Down"", ""cost"": [""Fire"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""60"", ""text"": ""This Pokémon does 20 damage to itself.""}]",Take Down,60,This Pokémon does 20 damage to itself.,Water:×2,,Colorless__Colorless,,MAHOU,"It's both clever and loyal, but if a stranger tries to invade its territory, it barks threateningly.",,,,,,,,,,,,,,,,,,,,,,,,,
021.jpg,sm1-22,Arcanine,Pokémon,Fire,Sun & Moon,22,Rare Holo,https://images.pokemontcg.io/sm1/22_hires.png,https://images.pokemontcg.io/sm1/22.png,130,,"[{""name"": ""Searing Flame"", ""cost"": [""Fire"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""60"", ""text"": ""Your opponent's Active Pokémon is now Burned.""}, {""name"": ""Firestorm"", ""cost"": [""Fire"", ""Fire"", ""Fire"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""190"", ""text"": ""Discard 3 Fire Energy from this Pokémon.""}]",Searing Flame|Firestorm,60|190,Your opponent's Active Pokémon is now Burned.|Discard 3 Fire Energy from this Pokémon.,Water:×2,,Colorless__Colorless,Growlithe,kodama,"Overflowing with beauty and majesty, this strong Pokémon appears in ancient Eastern folklore.",,,,,,,,,,,,,,,,,,,,,,,,,
