Image_Names,Card_ID,Card_Name,Super_Type,Types,Set_Name,Number,Rarity,Large_Image_URL,Small_Image_URL,HP,Abilities,Attacks_JSON,Attack_Names,Attack_Damages,Attack_Texts,Weaknesses,Resistances,Retreat_Cost,Evolves_From,Artist,FlavorText,Normal_low,Normal_mid,Normal_high,Normal_market,Normal_directLow,Holofoil_low,Holofoil_mid,Holofoil_high,Holofoil_market,Holofoil_directLow,ReverseHolofoil_low,ReverseHolofoil_mid,ReverseHolofoil_high,ReverseHolofoil_market,ReverseHolofoil_directLow,FirstEditionHolofoil_low,FirstEditionHolofoil_mid,FirstEditionHolofoil_high,FirstEditionHolofoil_market,FirstEditionHolofoil_directLow,FirstEditionNormal_low,FirstEditionNormal_mid,FirstEditionNormal_high,FirstEditionNormal_market,FirstEditionNormal_directLow
000.jpg,pl3-1,Absol G,Pokémon,Darkness,Supreme Victors,1,Rare Holo,https://images.pokemontcg.io/pl3/1_hires.png,https://images.pokemontcg.io/pl3/1.png,70,,"[{""name"": ""Feint Attack"", ""cost"": [""Darkness""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Choose 1 of your opponent's Pokémon. This attack does 20 damage to that Pokémon. This attack's damage isn't affected by Weakness, Resistance, Poké-Powers, Poké-Bodies, or any other effects on that Pokémon.""}, {""name"": ""Doom News"", ""cost"": [""Darkness"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": """", ""text"": ""Return all Energy cards attached to Absol G to your hand. The Defending Pokémon is Knocked Out at the end of your opponent's next turn.""}]",Feint Attack|Doom News,|,"Choose 1 of your opponent's Pokémon. This attack does 20 damage to that Pokémon. This attack's damage isn't affected by Weakness, Resistance, Poké-Powers, Poké-Bodies, or any other effects on that Pokémon.|Return all Energy cards attached to Absol G to your hand. The Defending Pokémon is Knocked Out at the end of your opponent's next turn.",Fighting:×2,Psychic:-20,Colorless,,Yusuke Ishikawa,,,,,,,,,,,,,,,,,,,,,,,,,,
001.jpg,pl3-2,Blaziken FB,Pokémon,Fire,Supreme Victors,2,Rare Holo,https://images.pokemontcg.io/pl3/2_hires.png,https://images.pokemontcg.io/pl3/2.png,80,,"[{""name"": ""Luring Flame"", ""cost"": [""Fire""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Switch the Defending Pokémon with 1 of your opponent's Benched Pokémon. The new Defending Pokémon is now Burned.""}, {""name"": ""Vapor Kick"", ""cost"": [""Fire"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30+"", ""text"": ""If your opponent has any Water Pokémon in play, this attack does 30 damage plus 30 more damage.""}]",Luring Flame|Vapor Kick,|30+,"Switch the Defending Pokémon with 1 of your opponent's Benched Pokémon. The new Defending Pokémon is now Burned.|If your opponent has any Water Pokémon in play, this attack does 30 damage plus 30 more damage.",Water:×2,,Colorless,,Motofumi Fujiwara,,,,,,,,,,,,,,,,,,,,,,,,,,
002.jpg,pl3-3,Drifblim FB,Pokémon,Psychic,Supreme Victors,3,Rare Holo,https://images.pokemontcg.io/pl3/3_hires.png,https://images.pokemontcg.io/pl3/3.png,80,"[{""name"": ""Pump Up"", ""text"": ""If your opponent has 3 or less Prize cards left, Drifblim FB gets +40 HP."", ""type"": ""Poké-Body""}]","[{""name"": ""Shadow Ball"", ""cost"": [""Psychic"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": """", ""text"": ""Choose 1 of your opponent's Benched Pokémon. This attack does 40 damage to that Pokémon. Apply Weakness and Resistance.""}]",Shadow Ball,,Choose 1 of your opponent's Benched Pokémon. This attack does 40 damage to that Pokémon. Apply Weakness and Resistance.,Darkness:×2,Colorless:-20,Colorless__Colorless,,Lee HyunJung,,,,,,,,,,,,,,,,,,,,,,,,,,
003.jpg,pl3-4,Electivire FB,Pokémon,Lightning,Supreme Victors,4,Rare Holo,https://images.pokemontcg.io/pl3/4_hires.png,https://images.pokemontcg.io/pl3/4.png,90,,"[{""name"": ""Dump and Draw"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": """", ""text"": ""Discard up to 2 Energy cards from your hand. For each card you discarded, draw 2 cards.""}, {""name"": ""Electric Current"", ""cost"": [""Lightning"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""40"", ""text"": ""Move a Lightning Energy card attached to Electivire FB to 1 of your Benched Pokémon.""}]",Dump and Draw|Electric Current,|40,"Discard up to 2 Energy cards from your hand. For each card you discarded, draw 2 cards.|Move a Lightning Energy card attached to Electivire FB to 1 of your Benched Pokémon.",Fighting:×2,Metal:-20,Colorless__Colorless__Colorless,,Hironobu Yoshida,,,,,,,,,,,,,,,,,,,,,,,,,,
004.jpg,pl3-5,Garchomp,Pokémon,Colorless,Supreme Victors,5,Rare Holo,https://images.pokemontcg.io/pl3/5_hires.png,https://images.pokemontcg.io/pl3/5.png,130,"[{""name"": ""Dragon Intimidation"", ""text"": ""If Garchomp is your Active Pokémon and is damaged by an opponent's attack (even if Garchomp is Knocked Out), choose an Energy card attached to the Attacking Pokémon and put it into your opponent's hand."", ""type"": ""Poké-Body""}]","[{""name"": ""Guard Claw"", ""cost"": [""Colorless"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""40"", ""text"": ""During your opponent's next turn, any damage done to Garchomp by attacks is reduced by 20 (after applying Weakness and Resistance).""}, {""name"": ""Speed Impact"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""120-"", ""text"": ""Does 120 damage minus 20 damage for each Energy attached to the Defending Pokémon.""}]",Guard Claw|Speed Impact,40|120-,"During your opponent's next turn, any damage done to Garchomp by attacks is reduced by 20 (after applying Weakness and Resistance).|Does 120 damage minus 20 damage for each Energy attached to the Defending Pokémon.",Colorless:+30,,,Gabite,Mitsuhiro Arita,,,,,,,,,,,,,,,,,,,,,,,,,,
005.jpg,pl3-6,Magmortar,Pokémon,Fire,Supreme Victors,6,Rare Holo,https://images.pokemontcg.io/pl3/6_hires.png,https://images.pokemontcg.io/pl3/6.png,110,"[{""name"": ""Evolutionary Flame"", ""text"": ""Once during your turn, when you play Magmortar from your hand to evolve 1 of your Pokémon, you may use this power. Your opponent's Active Pokémon is now Burned and Confused."", ""type"": ""Poké-Power""}]","[{""name"": ""Fire Arrow"", ""cost"": [""Fire"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": """", ""text"": ""Choose 1 of your opponent's Pokémon. This attack does 30 damage to that Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}, {""name"": ""Flame Ball"", ""cost"": [""Fire"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""60"", ""text"": ""You may move a Fire Energy card attached to Magmortar to 1 of your Benched Pokémon.""}]",Fire Arrow|Flame Ball,|60,Choose 1 of your opponent's Pokémon. This attack does 30 damage to that Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)|You may move a Fire Energy card attached to Magmortar to 1 of your Benched Pokémon.,Water:+30,,Colorless__Colorless,Magmar,Naoyo Kimura,,,,,,,,,,,,,,,,,,,,,,,,,,
006.jpg,pl3-7,Metagross,Pokémon,Metal,Supreme Victors,7,Rare Holo,https://images.pokemontcg.io/pl3/7_hires.png,https://images.pokemontcg.io/pl3/7.png,130,"[{""name"": ""Gravitation"", ""text"": ""Each Pokémon in play (both yours and your opponent's) gets -20 HP. No more than 20 HP can be reduced by all Gravitation Poké-Bodies."", ""type"": ""Poké-Body""}]","[{""name"": ""Geo Impact"", ""cost"": [""Metal"", ""Metal"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""60"", ""text"": ""If you have a Stadium card in play, this attack does 20 damage to each of your opponent's Benched Pokémon that is the same type as the Defending Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)""}]",Geo Impact,60,"If you have a Stadium card in play, this attack does 20 damage to each of your opponent's Benched Pokémon that is the same type as the Defending Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)",Fire:+30,Psychic:-20,Colorless__Colorless__Colorless,Metang,Kagemaru Himeno,"Metang combined to form it. With four brains, it has the intelligence of a supercomputer.",,,,,,,,,,,,,,,,,,,,,,,,,
007.jpg,pl3-8,Rayquaza C,Pokémon,Colorless,Supreme Victors,8,Rare Holo,https://images.pokemontcg.io/pl3/8_hires.png,https://images.pokemontcg.io/pl3/8.png,100,,"[{""name"": ""Trash Burst"", ""cost"": [""Colorless""], ""convertedEnergyCost"": 1, ""damage"": ""10+"", ""text"": ""You may discard up to 5 Energy cards from your hand. If you do, this attack does 10 damage plus 10 more damage for each Energy card you discarded.""}, {""name"": ""Twister"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""50"", ""text"": ""Flip 2 coins. If both are tails, this attack does nothing. For each heads, discard an Energy attached to the Defending Pokémon.""}]",Trash Burst|Twister,10+|50,"You may discard up to 5 Energy cards from your hand. If you do, this attack does 10 damage plus 10 more damage for each Energy card you discarded.|Flip 2 coins. If both are tails, this attack does nothing. For each heads, discard an Energy attached to the Defending Pokémon.",Colorless:×2,Fighting:-20,Colorless__Colorless__Colorless,,kawayoo,,,,,,,,,,,,,,,,,,,,,,,,,,
008.jpg,pl3-9,Regigigas FB,Pokémon,Colorless,Supreme Victors,9,Rare Holo,https://images.pokemontcg.io/pl3/9_hires.png,https://images.pokemontcg.io/pl3/9.png,100,,"[{""name"": ""Drain Punch"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 3, ""damage"": ""30"", ""text"": ""Remove from Regigigas FB a number of damage counters equal to the amount of Energy attached to the Defending Pokémon.""}, {""name"": ""Rainbow Lariat"", ""cost"": [""Colorless"", ""Colorless"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""20×"", ""text"": ""Does 20 damage times the number of different types of Pokémon SP you have in play.""}]",Drain Punch|Rainbow Lariat,30|20×,Remove from Regigigas FB a number of damage counters equal to the amount of Energy attached to the Defending Pokémon.|Does 20 damage times the number of different types of Pokémon SP you have in play.,Fighting:×2,,Colorless__Colorless__Colorless__Colorless,,Shin Nagasawa,,,,,,,,,,,,,,,,,,,,,,,,,,
009.jpg,pl3-10,Rhyperior,Pokémon,Fighting,Supreme Victors,10,Rare Holo,https://images.pokemontcg.io/pl3/10_hires.png,https://images.pokemontcg.io/pl3/10.png,140,,"[{""name"": ""Raging Drill"", ""cost"": [""Fighting"", ""Colorless""], ""convertedEnergyCost"": 2, ""damage"": ""30+"", ""text"": ""Does 30 damage plus 10 more damage for each damage counter on Rhyperior.""}, {""name"": ""Deep Scrap"", ""cost"": [""Fighting"", ""Fighting"", ""Colorless"", ""Colorless""], ""convertedEnergyCost"": 4, ""damage"": ""60"", ""text"": ""If the Defending Pokémon would be Knocked Out by this attack, discard the top 3 cards from your opponent's deck.""}]",Raging Drill|Deep Scrap,30+|60,"Does 30 damage plus 10 more damage for each damage counter on Rhyperior.|If the Defending Pokémon would be Knocked Out by this attack, discard the top 3 cards from your opponent's deck.",Water:+30,Lightning:-20,Colorless__Colorless__Colorless__Colorless,Rhydon,Hajime Kusajima,It can launch a rock held in its hand like a missile by tightening then expanding muscles instantly.,,,,,,,,,,,,,,,,,,,,,,,,,
